"id","URL","title"
"0","https://en.wikipedia.org/wiki/Chief_(album)","Chief (album)"
"1","https://en.wikipedia.org/wiki/The_Outsiders_(Eric_Church_album)","The Outsiders (Eric Church album)"
"2","https://en.wikipedia.org/wiki/Capitol_Records_Nashville","Capitol Records Nashville"
"3","https://en.wikipedia.org/wiki/Mr._Misunderstood","Mr. Misunderstood"
"4","https://en.wikipedia.org/wiki/Jay_Joyce","Jay Joyce"
"5","https://en.wikipedia.org/wiki/Eric_Church","Eric Church"
"6","https://en.wikipedia.org/wiki/Carolina_(Eric_Church_album)","Carolina (Eric Church album)"
"7","https://en.wikipedia.org/wiki/Capitol_Records","Capitol Records"
"8","https://en.wikipedia.org/wiki/Sinners_Like_Me","Sinners Like Me"
"9","https://en.wikipedia.org/wiki/Love_Your_Love_the_Most","Love Your Love the Most"
"10","https://en.wikipedia.org/wiki/Stand_by_Your_Man_(album)","Stand by Your Man (album)"
"11","https://en.wikipedia.org/wiki/Epic_Records","Epic Records"
"12","https://en.wikipedia.org/wiki/Conglomerate_(company)","Conglomerate (company)"
"13","https://en.wikipedia.org/wiki/Japan","Japan"
"14","https://en.wikipedia.org/wiki/Sony_Music_Entertainment","Sony Music"
"15","https://en.wikipedia.org/wiki/Epic_Records_Japan","Epic Records Japan"
"16","https://en.wikipedia.org/wiki/Sony_Corporation_of_America","Sony Corporation of America"
"17","https://en.wikipedia.org/wiki/D-I-V-O-R-C-E_(album)","D-I-V-O-R-C-E (album)"
"18","https://en.wikipedia.org/wiki/Take_Me_to_Your_World_/_I_Don%27t_Wanna_Play_House","Take Me to Your World / I Don't Wanna Play House"
"19","https://en.wikipedia.org/wiki/Tammy_Wynette","Tammy Wynette"
"20","https://en.wikipedia.org/wiki/Inspiration_(Tammy_Wynette_album)","Inspiration (Tammy Wynette album)"
"21","https://en.wikipedia.org/wiki/The_Ways_to_Love_a_Man_(album)","The Ways to Love a Man (album)"
"22","https://en.wikipedia.org/wiki/American_III:_Solitary_Man","American III: Solitary Man"
"23","https://en.wikipedia.org/wiki/Johnny_Cash","Johnny Cash"
"24","https://en.wikipedia.org/wiki/List_of_best-selling_music_artists","List of best-selling music artists"
"25","https://en.wikipedia.org/wiki/ISBN_(identifier)","International Standard Book Number"
"26","https://en.wikipedia.org/wiki/Johnny_Cash#American_Recordings","Johnny Cash"
"27","https://en.wikipedia.org/wiki/American_Recordings_(record_label)","American Recordings (record label)"
"28","https://en.wikipedia.org/wiki/Slayer","Slayer"
"29","https://en.wikipedia.org/wiki/The_Black_Crowes","The Black Crowes"
"30","https://en.wikipedia.org/wiki/List_of_record_labels","Lists of record labels"
"31","https://en.wikipedia.org/wiki/The_Essential_Johnny_Cash","The Essential Johnny Cash (2002 album)"
"32","https://en.wikipedia.org/wiki/Compact_disc","Compact disc"
"33","https://en.wikipedia.org/wiki/Compilation_album","Compilation album"
"34","https://en.wikipedia.org/wiki/Johnny_Cash_at_Madison_Square_Garden","Johnny Cash at Madison Square Garden"
"35","https://en.wikipedia.org/wiki/Love,_God_and_Murder","Love, God, Murder"
"36","https://en.wikipedia.org/wiki/Box_set","Box set"
