"id","title","author","label","URL","embedding"
"0","Chief","Eric Church","country","https://en.wikipedia.org/wiki/Chief_(album)","[-0.06707549095153809, 0.26091352105140686, 1.4879401922225952, 0.43741917610168457, -0.3262987732887268, 0.718272864818573, -0.1894814819097519, -0.3833768367767334, -0.14275291562080383, 0.5259490013122559, -0.43495261669158936, 0.6986843943595886, 0.10846610367298126, 1.0505633354187012, 0.25425446033477783, -0.16301751136779785, 0.8628047108650208, 0.1583898663520813, -0.2819998860359192, -0.10165664553642273, -0.35955068469047546, -0.7935931086540222, 0.4863291382789612, 0.28073200583457947, -0.1849266141653061, -0.2783277630805969, 0.4857124984264374, 0.524522602558136, -0.21819311380386353, -0.3334452211856842, 0.16185960173606873, -0.03103269264101982, -1.0047494173049927, 0.0778944194316864, 0.3524564504623413, 0.2534978687763214, 0.77631676197052, 0.07665693014860153, -0.2274286448955536, 0.12032821774482727, 0.5236412882804871, -0.3189220428466797, 0.09623531997203827, 0.16757620871067047, -0.2741655707359314, -0.26135677099227905, -0.271904855966568, 0.12406165897846222, 0.3155461549758911, -0.14014917612075806, -0.14335529506206512, -0.2174454778432846, 0.7375415563583374, 0.047798361629247665, 0.6910536289215088, -0.2728932499885559, -0.3996243476867676, 0.0306087713688612, -0.47109290957450867, -0.4154762327671051, -0.1876462996006012, -0.07873961329460144, 1.1426242589950562, -0.6883242726325989, 0.25553274154663086, 0.4109894633293152, 0.33448946475982666, 0.22200189530849457, 0.04145931825041771, -0.2597244083881378, -0.436154305934906, 0.005542298313230276, -1.0566858053207397, 0.6110698580741882, 0.3779681324958801, -0.22869178652763367, -0.5032466053962708, 0.23891977965831757, -0.39724138379096985, 0.6068667769432068, -0.6300312280654907, 0.43880242109298706, -0.20962707698345184, 0.23118236660957336, -0.7952415943145752, -0.7307713031768799, -0.5613456964492798, 0.5804240107536316, 1.0456949472427368, 0.5670566558837891, -0.8115208745002747, 0.34482768177986145, -0.19169580936431885, -0.3617798388004303, -0.39378154277801514, 0.027143415063619614, -0.18509061634540558, 0.40653038024902344, 0.06125717610120773, 0.6692066192626953, -0.24389679729938507, -0.18723367154598236, -0.728609025478363, -0.3788403272628784, 0.594694197177887, 0.16337798535823822, 0.08076458424329758, 1.039313554763794, 0.3087639808654785, -0.060639869421720505, -0.11604566127061844, -0.1882004588842392, -0.15351331233978271, 0.42344552278518677, 0.5208220481872559, 0.2862500846385956, -0.0746757760643959, 0.4202892482280731, -0.08898723870515823, 0.3257322609424591, -0.4990473687648773, -0.14368484914302826, -0.1549515724182129, -0.10521362721920013, 0.6655279994010925, -0.7753314971923828, -0.5724139213562012, -0.09830821305513382]"
"1","Stand By Your Man","Tammy Wynette","country","https://en.wikipedia.org/wiki/Stand_by_Your_Man_(album)","[0.3036358058452606, -0.2129547894001007, 0.18771030008792877, 0.04487670958042145, 0.01369099598377943, -0.01084881741553545, -0.34835299849510193, -1.0826666355133057, -0.03258545324206352, 0.045753005892038345, 0.25800079107284546, 0.014810080640017986, 0.00025233509950339794, 0.21379227936267853, -0.13008011877536774, 0.07537335157394409, -0.2550855576992035, 0.44084566831588745, 0.741012454032898, -0.41209712624549866, 0.08093412220478058, 0.8535420298576355, -0.20890682935714722, -0.5079711079597473, 0.4937133193016052, -0.21258634328842163, -0.28074222803115845, 0.5719922780990601, 0.26503270864486694, 0.3375190496444702, 0.2993999719619751, 0.16026556491851807, 0.03700510412454605, -0.27224913239479065, 0.0802861750125885, 0.687370777130127, -0.15840032696723938, 0.057337693870067596, 0.09735743701457977, 0.4763278067111969, 0.35469895601272583, -0.4665643870830536, 0.30357518792152405, -0.0949217900633812, -0.5055448412895203, 0.09487737715244293, 0.06563332676887512, -0.30574852228164673, -0.24087797105312347, -0.5164034366607666, 0.4537185728549957, 0.16615624725818634, -0.17971867322921753, -0.22563980519771576, 0.3053523302078247, -0.3871414065361023, -0.521336555480957, -0.38912832736968994, -0.33431077003479004, 0.2170886993408203, -0.4775412082672119, -0.32399898767471313, 0.41878047585487366, 0.3777265250682831, 0.2750850021839142, 0.2250325083732605, 0.3413821756839752, 0.514348566532135, 0.05585464462637901, -0.3151955306529999, -0.03849785402417183, 0.045505303889513016, 0.23928698897361755, 0.06978742778301239, 0.3014567792415619, 0.02899879589676857, -0.48563188314437866, -0.02530618943274021, -0.037190113216638565, -0.054597847163677216, 0.25673240423202515, 0.03913382068276405, -0.1560189574956894, 0.15667854249477386, -0.29741647839546204, 0.07065550237894058, -0.6664047241210938, -0.047793611884117126, -0.4364638328552246, -0.39385783672332764, 0.3335300087928772, 0.5955287218093872, -0.42329439520835876, -0.5232890844345093, -0.07433053106069565, -0.15540646016597748, 0.14107806980609894, 0.03348485380411148, -0.44246968626976013, -0.2560223937034607, -0.3231419324874878, 0.33571743965148926, 0.2158600389957428, -0.06728585809469223, -0.05869095027446747, -0.23991937935352325, -0.6599044799804688, 0.23036102950572968, -0.034275755286216736, 0.2323608249425888, -0.24732434749603271, -0.06410127878189087, 0.4832116961479187, 0.5707814693450928, -0.2024921029806137, 0.24079352617263794, 0.4726218283176422, 0.41488343477249146, -0.28454527258872986, 0.17063459753990173, 0.47189974784851074, -0.4838695526123047, 0.30447375774383545, 0.053198181092739105, 0.12573003768920898, -0.5881108045578003, 0.26350972056388855, 0.12369394302368164]"
"2","American III: Solitary Man","Johnny Cash","country","https://en.wikipedia.org/wiki/American_III:_Solitary_Man","[-0.03469983488321304, 0.04767496511340141, -0.14621853828430176, 0.3045616149902344, -0.35650521516799927, -0.2807319462299347, 0.3491798937320709, -0.19591648876667023, -0.3965802490711212, -0.18328148126602173, 0.18683867156505585, 0.16408269107341766, -0.11598384380340576, 0.5454258918762207, -0.13945037126541138, 0.28200602531433105, 0.03849995136260986, -0.034540340304374695, -0.14362584054470062, -0.29665201902389526, -0.1951790601015091, 0.15619401633739471, -0.39610791206359863, -0.09387769550085068, 0.15595243871212006, -0.15749192237854004, -0.10707947611808777, -0.07852428406476974, 0.25569576025009155, 0.16356897354125977, -0.03153705224394798, 0.4344312250614166, 0.5359005331993103, 0.1400582194328308, -0.015903478488326073, 0.3153584897518158, -0.19510874152183533, 0.1017925962805748, 0.08782220631837845, -0.3090738356113434, 0.4419841468334198, 0.18016059696674347, -0.0864110141992569, -0.1612773984670639, 0.3080531656742096, 0.422595351934433, -0.14224007725715637, 0.2131928950548172, -0.23214410245418549, -0.2877883315086365, 0.34401923418045044, 0.33779263496398926, -0.04704893380403519, 0.1851367950439453, 0.015956269577145576, 0.5627657175064087, 0.1615714281797409, -0.48804980516433716, -0.21326084434986115, -0.3231186270713806, -0.05242292582988739, -0.0820508673787117, -0.13014841079711914, -0.30205395817756653, 0.08252601325511932, 0.3428975045681, -0.4059349298477173, -0.2141912281513214, -0.33830735087394714, -0.6649485230445862, -0.046419717371463776, -0.5729022026062012, -0.22955521941184998, 0.09156973659992218, 0.19708070158958435, 0.19504842162132263, -0.5147934556007385, 0.2026820331811905, -0.48495858907699585, 0.4885599911212921, -0.23179493844509125, -0.058396242558956146, -0.30761826038360596, -0.5653591156005859, 0.09034755825996399, 0.211183100938797, -0.5724207758903503, -0.13895082473754883, 0.11823619157075882, 0.22001264989376068, -0.15996237099170685, -0.22700850665569305, -0.3549441397190094, 0.15635226666927338, -0.0573725663125515, -0.31691429018974304, 0.6243165135383606, 0.1674955040216446, 0.4741975963115692, -0.20713581144809723, 0.2316952645778656, -0.1903107613325119, -0.15812644362449646, -0.23843125998973846, 0.008471773937344551, -0.19820648431777954, -0.22934310138225555, 0.3045470714569092, -0.413042277097702, 0.24190370738506317, -0.11884837597608566, 0.130660742521286, 0.04462330415844917, -0.057024210691452026, -0.5440168380737305, 0.3496115803718567, 0.2566327154636383, -0.4674927592277527, -0.07496408373117447, -0.36180606484413147, -0.3669779300689697, 0.22795677185058594, 0.07558176666498184, -0.3461373448371887, -0.02558041363954544, -0.18057896196842194, 0.06613075733184814, -0.545762836933136]"
"3","Golden Ring","Tammy Wynette and George Jones","country","https://en.wikipedia.org/wiki/Golden_Ring_(album)","[0.3588860034942627, 0.008725673891603947, 0.2533138692378998, 0.01649378053843975, -0.21032217144966125, 0.016385188326239586, -0.3212539255619049, -0.9145853519439697, -0.18177632987499237, 0.08679769188165665, 0.12059573829174042, -0.1053076907992363, -0.03952106088399887, 0.2746301293373108, 0.11250677704811096, 0.29322144389152527, -0.17694459855556488, 0.0877644270658493, 0.507868230342865, -0.26762494444847107, -0.02283506840467453, 0.365390419960022, 0.08444801717996597, -0.2598338723182678, 0.026879750192165375, 0.12644755840301514, -0.28867295384407043, 0.16328562796115875, 0.2589198052883148, 0.16308334469795227, 0.2519175112247467, -0.11731847375631332, -0.43078601360321045, -0.09561590850353241, 0.13469403982162476, 0.4925742745399475, -0.37413981556892395, -0.29289016127586365, 0.10940608382225037, 0.45194098353385925, 0.23193779587745667, -0.1250629723072052, 0.19173242151737213, -0.27616581320762634, -0.41928836703300476, 0.10242180526256561, -0.30059751868247986, -0.22104020416736603, -0.09778409451246262, -0.3194821774959564, 0.35667499899864197, 0.058578938245773315, -0.30301859974861145, 0.0005829097353853285, 0.02125406637787819, -0.06576430052518845, -0.304252028465271, -0.3926328420639038, -0.3775447607040405, 0.02103186398744583, -0.009154886938631535, -0.3659197688102722, 0.10882679373025894, 0.25147053599357605, -0.0983034074306488, -0.15680646896362305, 0.35099875926971436, 0.34011393785476685, 0.26990702748298645, -0.03362089395523071, -0.008772541768848896, -0.3817703127861023, 0.021317875012755394, -0.029094325378537178, 0.20488831400871277, 0.0639728456735611, -0.4969567656517029, 0.2848197817802429, -0.28589537739753723, 0.010129189118742943, 0.08858499675989151, 0.20906728506088257, 0.0344386100769043, 0.07064777612686157, -0.48289185762405396, 0.46406587958335876, -0.7399634122848511, 0.06039200350642204, -0.38626033067703247, -0.1456078290939331, 0.1820240169763565, 0.2851962447166443, -0.45350247621536255, -0.6833932995796204, 0.177237868309021, -0.1371433436870575, 0.11700551956892014, -0.004462175536900759, -0.056965507566928864, -0.33540764451026917, -0.3224297761917114, -0.07896343618631363, 0.5365917682647705, -0.03751593828201294, 0.22472745180130005, -0.707168459892273, -0.1579991728067398, -0.19643859565258026, -0.18944038450717926, 0.10227452963590622, -0.2449481040239334, -0.13874316215515137, 0.28150132298469543, 0.4606528878211975, -0.3209029734134674, -0.003983818460255861, 0.19788885116577148, 0.2388833612203598, -0.3304598927497864, 0.37315335869789124, 0.63666832447052, -0.2127118706703186, 0.21691346168518066, -0.3431421220302582, 0.38883280754089355, -0.5074372291564941, 0.3300814628601074, 0.2567393183708191]"
"4","The Woman In Me","Shania Twain","country","https://en.wikipedia.org/wiki/The_Woman_in_Me_(Shania_Twain_album)","[0.41691166162490845, -0.5691555142402649, 0.15877792239189148, 0.00036932353395968676, 0.10872557014226913, -0.5140013098716736, -0.38861024379730225, -0.5606072545051575, -0.762053370475769, 0.11373213678598404, -0.5475292801856995, 0.02323482371866703, 0.24296505749225616, -0.258926123380661, 0.1169612780213356, -0.06079887971282005, 0.3100104331970215, 0.04231352359056473, -0.4034069776535034, 0.008666612207889557, -0.20941020548343658, -0.08418141305446625, -0.25300076603889465, 0.04167622700333595, -0.30229446291923523, -0.6523159146308899, 0.5780926942825317, -0.1578078269958496, 0.5682988166809082, -0.009971698746085167, 0.30674299597740173, 0.5247364044189453, 0.10595066100358963, 0.0234066154807806, -0.16316604614257812, 0.290383517742157, 0.024281691759824753, 0.5843249559402466, -0.023246122524142265, 0.10607101023197174, -0.01193106546998024, -0.3149733543395996, 0.260627418756485, -0.04284628853201866, -0.8339809775352478, -0.5253485441207886, 0.07973001897335052, -0.3002806007862091, -0.26842445135116577, 0.42695507407188416, -0.1894092708826065, 0.13424988090991974, -0.43479999899864197, 0.43442031741142273, 0.31793564558029175, -0.27251094579696655, 0.4157627820968628, -0.2547917366027832, 0.15598194301128387, 0.05848586559295654, -0.3779929280281067, 0.07409174740314484, 0.36513906717300415, -0.13476264476776123, -0.16987848281860352, 0.35050877928733826, 0.4198237359523773, -0.24677111208438873, 0.06561378389596939, -0.24950848519802094, 0.19784097373485565, -0.42670896649360657, -0.03877170383930206, 0.5212081074714661, -0.29500263929367065, -0.32330211997032166, 0.1485416293144226, 0.1859755516052246, 0.21821194887161255, 0.06414663046598434, 0.17490845918655396, 0.1305975764989853, 0.3521845042705536, -0.10982853919267654, -0.3238542079925537, 0.06074858456850052, -0.13979050517082214, 0.40350794792175293, 0.619014322757721, 0.2730599343776703, 0.032703716307878494, -0.207061767578125, -0.16463683545589447, 0.040607064962387085, -0.18868647515773773, -0.23172129690647125, 0.3968052566051483, 0.2963065207004547, 0.01087981928139925, -0.4720318615436554, 0.42664802074432373, 0.35357996821403503, 0.1572393774986267, -0.6005324721336365, 0.5400253534317017, 0.03459364175796509, -0.23851270973682404, 0.01695321500301361, -0.6261899471282959, 0.16267891228199005, 0.08433203399181366, -0.06520619988441467, -0.2694932222366333, -0.32982364296913147, 0.17866598069667816, 0.33537495136260986, 0.61842942237854, -0.21933706104755402, 0.5299213528633118, -0.09585729986429214, 0.6285523772239685, 0.4212031066417694, -0.1940012276172638, -0.5305003523826599, 0.03491085395216942, -0.04512801393866539, 0.42581501603126526, -0.2910531759262085]"
"5","Breathe","Faith Hill","country","https://en.wikipedia.org/wiki/Breathe_(Faith_Hill_album)","[-0.2214367836713791, -0.09577631950378418, 0.7212930917739868, -0.12352094799280167, -0.030297856777906418, -0.29766350984573364, -0.8183687329292297, 0.04205082729458809, 0.1351546347141266, 0.0997798889875412, 0.7474795579910278, -0.2173905372619629, -0.23544296622276306, 0.65981525182724, 0.45073845982551575, -0.030386241152882576, 0.002645875560119748, -0.25977614521980286, -0.3403722941875458, 0.3873569369316101, 0.6692214012145996, -0.10349918156862259, 0.15387998521327972, 0.22574268281459808, -0.05998959764838219, -0.1774025708436966, 0.20680022239685059, -0.10782653093338013, 0.5586236119270325, 0.7065337300300598, -0.1917748749256134, 0.10121430456638336, 0.27755969762802124, 0.12794746458530426, -0.2333122342824936, 0.3460254669189453, 0.16457752883434296, 0.16542567312717438, -0.04099443182349205, 0.29480764269828796, 0.008497719652950764, -0.22658157348632812, 0.4949251115322113, -0.29283982515335083, 0.23146295547485352, -0.11083798110485077, -0.33121487498283386, -0.03513123467564583, 0.2563849091529846, 0.09776587039232254, 0.08184814453125, -0.34815388917922974, -0.07764919102191925, 0.8275265097618103, -0.0021492040250450373, 0.08921308070421219, -0.48846620321273804, -0.07222490757703781, 0.11892443895339966, -0.2558865249156952, -0.12719565629959106, -0.3048568367958069, 0.010970121249556541, -0.29109662771224976, -0.3637046813964844, -0.2983890473842621, 0.0865151584148407, -0.6271810531616211, 0.3475508987903595, -0.337664932012558, -0.3975270092487335, 0.15906699001789093, 0.3988831341266632, 0.011154040694236755, -0.4589747488498688, 0.3821045160293579, 0.1537996083498001, 0.4880942106246948, -0.10922659188508987, 0.04520685598254204, 0.4004441797733307, -0.261170893907547, -0.20453369617462158, -0.02174406871199608, -0.6867038607597351, 0.4851468801498413, -0.7186540365219116, -0.3463652431964874, -0.10107383877038956, 0.0404357984662056, 0.36652958393096924, 0.2909509241580963, -0.6619364023208618, -0.09755648672580719, 0.12179837375879288, 0.20434263348579407, 0.09402026981115341, 0.13897643983364105, 0.06444752216339111, -0.026617825031280518, -0.0740668773651123, -0.5824220180511475, 0.1375637650489807, -0.4038592576980591, 0.1968362182378769, -0.05468379333615303, 0.11708972603082657, -0.15573590993881226, 0.19791357219219208, 0.7669987082481384, 0.16372191905975342, -0.04117128252983093, 0.35694342851638794, -0.005674284882843494, -0.36604583263397217, -0.425081342458725, -0.18192611634731293, -0.20732377469539642, -0.05667523667216301, 0.30947232246398926, 0.020837832242250443, 0.05666447430849075, 0.07110212743282318, -0.04400663822889328, -0.32947656512260437, -0.026569753885269165, -0.11184078454971313, 0.16575562953948975]"
"6","Guitars, Cadillacs, Etc., Etc.","Dwight Yoakam","country","https://en.wikipedia.org/wiki/Guitars,_Cadillacs,_Etc.,_Etc.","[0.2853105366230011, -0.02629903331398964, 0.6274121999740601, 0.047546446323394775, -0.06789444386959076, 0.30431613326072693, 0.1966053545475006, -0.11551626771688461, 0.01056596264243126, 0.15223850309848785, 0.2297833114862442, -0.146552175283432, -0.16629494726657867, 0.6112998723983765, -0.1418795883655548, -0.07071834057569504, 0.1421796679496765, 0.5418424010276794, -0.21839599311351776, 0.2113579362630844, 0.47540363669395447, 0.38295429944992065, 0.09958569705486298, 0.03072025440633297, 0.24999898672103882, -0.16551296412944794, 0.2046266496181488, 0.1006915345788002, 0.14145827293395996, -0.35247689485549927, 0.11169470101594925, -0.5037829875946045, 0.23232734203338623, 0.11086810380220413, 0.6241042613983154, -0.6591091156005859, 0.007374041713774204, -0.02643493376672268, 0.09472577273845673, -0.2645353674888611, 0.13255885243415833, -0.14745375514030457, 0.025227287784218788, 0.4434085786342621, -0.21758003532886505, 0.17260970175266266, -0.4304184019565582, -0.15611501038074493, 0.17953017354011536, 0.2351861596107483, -0.16895948350429535, 0.0683118924498558, -0.011624619364738464, 0.21592679619789124, 0.012157939374446869, 0.15961192548274994, -0.21080374717712402, -0.4056794047355652, -0.050743602216243744, 0.19324511289596558, -0.42633160948753357, 0.2939159572124481, -0.3582783043384552, 0.24143381416797638, 0.2913588583469391, 0.308430939912796, 0.18579138815402985, -0.0486639104783535, -0.13110369443893433, -0.1794131100177765, -0.0024393126368522644, -0.08437813818454742, 0.04239865392446518, -0.041932035237550735, -0.05544394999742508, -0.1980622112751007, 0.10105474293231964, -0.015948476269841194, -0.11219718307256699, -0.25317689776420593, -0.14665435254573822, 0.2666625380516052, -0.2078785002231598, 0.263797402381897, -0.2789188623428345, 0.029450412839651108, 0.20960025489330292, -0.14259545505046844, 0.05956835672259331, 0.12927031517028809, 0.1735633760690689, -0.11586186289787292, 0.34801504015922546, -0.21720369160175323, -0.04946519061923027, 0.258563756942749, 0.23253212869167328, -0.08756852895021439, 0.40308621525764465, 0.2535558044910431, -0.18622300028800964, 0.20729123055934906, 0.09059130400419235, -0.36816492676734924, -0.021453041583299637, -0.2632994055747986, 0.06915686279535294, -0.701723575592041, 0.026533642783761024, 0.6282010674476624, 0.4892282783985138, -0.27075061202049255, 0.07726304233074188, -0.1965622752904892, 0.4539905786514282, 0.5920608639717102, 0.24128231406211853, 0.17421777546405792, -0.07685436308383942, 0.22848795354366302, -0.1523861587047577, -0.4251972436904907, 0.1943477839231491, -0.3422238528728485, 0.08161316812038422, -0.03274818882346153, 0.3952433466911316, -0.09871052205562592]"
"7","Unchained","Johnny Cash","country","https://en.wikipedia.org/wiki/Unchained_(Johnny_Cash_album)","[0.24433882534503937, -0.24051541090011597, -0.04589909687638283, 0.31423333287239075, 0.06049773842096329, 0.051588550209999084, -0.0009589798864908516, -0.06330636888742447, -0.08549025654792786, -0.22927482426166534, 0.14278973639011383, 0.537052571773529, -0.23587840795516968, 0.3006015121936798, 0.1073295921087265, 0.08477503806352615, -0.1112658753991127, 0.08428812026977539, -0.1328236311674118, 0.06638587266206741, -0.23300959169864655, -0.11820186674594879, -0.3235284388065338, 0.30299320816993713, 0.27859994769096375, -0.1785445660352707, 0.18481586873531342, 0.22091461718082428, -0.1891637146472931, 0.05171740800142288, -0.1828041821718216, 0.42123886942863464, 0.4944984018802643, 0.16315045952796936, 0.05455372855067253, -0.04906352236866951, -0.13074496388435364, -0.018365953117609024, 0.07763069868087769, -0.3390207886695862, 0.2150418609380722, 0.36727482080459595, -0.10487448424100876, -0.06976351141929626, 0.193078875541687, 0.46086326241493225, 0.022604627534747124, 0.5725705027580261, -0.4090593457221985, -0.368057519197464, 0.43918725848197937, 0.05677663907408714, -0.30976876616477966, 0.4540638327598572, 0.061207350343465805, 0.0346275195479393, -0.2064974457025528, -0.01531818974763155, 0.055519949644804, -0.5045143961906433, 0.26079273223876953, 0.09009920060634613, -0.17808927595615387, -0.10955534875392914, 0.055269788950681686, 0.38946837186813354, -0.5181644558906555, -0.32255277037620544, 0.18303033709526062, -0.25273677706718445, 0.21350756287574768, -0.11463535577058792, -0.3597352206707001, 0.020042676478624344, -0.29065021872520447, -0.22373387217521667, -0.2425680160522461, -0.21506673097610474, -0.08054160326719284, 0.27468636631965637, 0.03658488765358925, 0.12217143923044205, -0.4712790250778198, -0.10163211077451706, -0.012061267159879208, -0.004142569378018379, -0.06357961893081665, 0.18244615197181702, -0.10400967299938202, 0.13231219351291656, -0.5053257942199707, -0.12549848854541779, -0.29822567105293274, -0.0032228385098278522, -0.39034363627433777, -0.09092292189598083, 0.35851460695266724, -0.28221097588539124, 0.2704332768917084, -0.41148632764816284, -0.06758327782154083, -0.18232469260692596, 0.16036386787891388, -0.27015167474746704, -0.11097650229930878, -0.1964043527841568, -0.38380566239356995, 0.25630053877830505, -0.15704947710037231, 0.40321770310401917, 0.17411600053310394, -0.4921547770500183, 0.0899878516793251, -0.2520264685153961, -0.6839940547943115, 0.44682303071022034, 0.14124062657356262, -0.3228754997253418, -0.37461838126182556, -0.24627134203910828, -0.13426539301872253, -0.203079491853714, -0.15018518269062042, -0.45295214653015137, 0.35508471727371216, 0.24729867279529572, 0.10515759885311127, -0.15067164599895477]"
"8","Some Hearts","Carrie Underwood","country","https://en.wikipedia.org/wiki/Some_Hearts","[-0.022353213280439377, -0.33246955275535583, 0.852005124092102, 0.02737218141555786, 0.0011270701652392745, -0.36380812525749207, -0.39574775099754333, 0.09878022968769073, 0.22731401026248932, -0.22014203667640686, 0.42489123344421387, 0.04512613266706467, 0.022585811093449593, 0.05520622432231903, 0.056374549865722656, -0.35798951983451843, -0.05327258259057999, 0.22597262263298035, -0.1843167543411255, 0.13533493876457214, -0.43817317485809326, 0.10351380705833435, 0.030632808804512024, -0.7872020602226257, 0.30834323167800903, -0.2781289219856262, 0.43411606550216675, 0.28536298871040344, 0.26428183913230896, 0.38905271887779236, -0.19956952333450317, 0.2918659746646881, -0.1469849944114685, -0.12541180849075317, 0.01332035381346941, -0.25939232110977173, -0.18639600276947021, 0.04442374035716057, 0.49304255843162537, -0.1753183901309967, -0.27865809202194214, 0.604363203048706, 0.15206019580364227, -0.16882769763469696, -0.37462320923805237, 0.023126747459173203, 0.05108347162604332, -0.3547114431858063, -0.08359381556510925, 0.29713740944862366, -0.27268949151039124, 0.37212705612182617, -0.18588106334209442, -0.027890123426914215, -0.38520848751068115, 0.2627450227737427, -0.5694264769554138, -0.07251758873462677, 0.3778747320175171, -0.3020087778568268, -0.3331182301044464, 0.03196187689900398, -0.2938362956047058, 0.09384193271398544, -0.1072646901011467, -0.20716628432273865, -0.028599070385098457, 0.07611466199159622, 0.2017160803079605, 0.03719352185726166, 0.20041191577911377, 0.09749700874090195, -0.047736816108226776, 0.48717865347862244, -0.07809796929359436, 0.1372322142124176, 0.2233596295118332, 0.2928445041179657, -0.6160117983818054, -0.12691132724285126, -0.009573942981660366, 0.06129414588212967, -0.02118491753935814, 0.04625369608402252, -0.4555570185184479, 0.343743234872818, -0.31913623213768005, 0.3712611496448517, -0.3493262827396393, -0.13739900290966034, 0.45901817083358765, 0.011125742457807064, -0.364715039730072, -0.36914029717445374, 0.4631473422050476, 0.028650596737861633, -0.08275479078292847, -0.14154598116874695, -0.5622660517692566, 0.3054652214050293, 0.07608933001756668, -0.23001274466514587, -0.5140262246131897, -0.2747284173965454, 0.46659475564956665, 0.034620173275470734, -0.16548889875411987, -0.37505561113357544, 0.09405882656574249, 0.5464255213737488, 0.5382072329521179, -0.4976404905319214, -0.09905336052179337, 0.08836237341165543, 0.459743469953537, -0.34838423132896423, -0.005943382158875465, -0.12836088240146637, -0.23130102455615997, 0.2576078772544861, -0.27274274826049805, -0.12005318701267242, -0.3111463189125061, 0.34647291898727417, 0.19073797762393951, -0.38663023710250854, -0.13794530928134918, -0.06254961341619492]"
"9","Red Dirt Girl","Emmylou Harris","country","https://en.wikipedia.org/wiki/Red_Dirt_Girl","[-0.036158669739961624, 0.04736686497926712, 0.26450207829475403, 0.0029307983350008726, 0.46485650539398193, -0.5025379061698914, -0.35173752903938293, -0.048043813556432724, 0.3396775424480438, -0.160501629114151, 0.024407347664237022, -0.13725678622722626, -0.08929230272769928, 0.44706806540489197, -0.10095547139644623, -0.18215058743953705, 0.13399800658226013, 0.014913312159478664, 0.27174457907676697, 0.42303964495658875, 0.39156830310821533, -0.054789669811725616, -0.3401322662830353, -0.27031999826431274, 0.04003307223320007, -0.17697350680828094, 0.05774150788784027, 0.515479564666748, 0.3451210558414459, 0.19958212971687317, -0.27390027046203613, 0.28803423047065735, 0.4533652663230896, -0.3861057162284851, 0.3623364567756653, -0.1485230028629303, 0.20394712686538696, -0.3607923090457916, 0.2120724767446518, -0.12531863152980804, 0.45082375407218933, -0.13994793593883514, 0.40222638845443726, -0.5019546151161194, -0.054631173610687256, 0.08627278357744217, -0.3261656165122986, -0.5419145226478577, -0.0017782682552933693, -0.07854244858026505, -0.2672064006328583, 0.2852284610271454, -0.020726660266518593, 0.2862844169139862, -0.00554140517488122, -0.3115144968032837, 0.023392802104353905, 0.39737725257873535, -0.33681395649909973, -0.36162880063056946, -0.09881668537855148, 0.00949144084006548, 0.03447921574115753, 0.14067469537258148, -0.048384323716163635, 0.32518908381462097, 0.19493797421455383, 0.1050848662853241, -0.08422631025314331, 0.23924529552459717, 0.17296026647090912, -0.3716850280761719, -0.23472821712493896, -0.03649833798408508, -0.24552282691001892, -0.3567736744880676, 0.0623481385409832, 0.17778192460536957, -0.17422498762607574, -0.1642571985721588, -0.25526317954063416, 0.30834314227104187, -0.11884640902280807, 0.031096849590539932, -0.5165173411369324, -0.1585809737443924, -0.001517663011327386, 0.17556387186050415, -0.5683833956718445, -0.5864359140396118, 0.22578279674053192, -0.16538304090499878, -0.30732259154319763, -0.4270085394382477, -0.22773173451423645, 0.39475131034851074, -0.1540832817554474, 0.10743577778339386, 0.7624585032463074, 0.14336824417114258, 0.11917024850845337, -0.14553868770599365, 0.054760538041591644, -0.18636567890644073, 0.008754350244998932, -0.2961527407169342, -0.037974417209625244, 0.48217305541038513, 0.1542196273803711, 0.04835627228021622, 0.10277482867240906, -0.3477415442466736, 0.007140816655009985, -0.17325638234615326, -0.36867183446884155, 0.16711920499801636, 0.11324506253004074, -0.41016265749931335, -0.005321751814335585, -0.09526536613702774, -0.11952488869428635, 0.032231006771326065, -0.28166553378105164, -0.2378842979669571, 0.07115574926137924, -0.32006803154945374, 0.1544918268918991, 0.15880779922008514]"
