"id","title","author","label","URL","embedding"
"0","Chief","Eric Church","country","https://en.wikipedia.org/wiki/Chief_(album)","[-0.07358230650424957, -0.14454948902130127, 0.08612431585788727, 0.25205308198928833, 0.0308923851698637, 0.005317628849297762, 0.7794244885444641, 0.018464569002389908, 0.01782073825597763, -0.15820705890655518, 0.5575527548789978, -0.1544419527053833, -0.17301931977272034, 0.038298700004816055, 0.20140768587589264, 0.32084357738494873, -0.5592247843742371, -0.49665048718452454, 0.041445713490247726, -0.2736806571483612, -0.2781619429588318, 0.052961573004722595, -0.7461814284324646, -0.4020331799983978, 0.9084587693214417, 0.545255720615387, 0.2383217066526413, 0.213624969124794, 0.05643729865550995, 0.2742229998111725, -0.09376143664121628, 0.13513816893100739, -0.13836073875427246, 0.4637031853199005, -0.18662171065807343, 0.16336452960968018, 1.07961905002594, 0.3053465485572815, 0.16536760330200195, 0.4107794761657715, -0.3395264744758606, 0.16077856719493866, -0.1990942358970642, -1.2513834238052368, -0.13319715857505798, 0.31493404507637024, 1.4034125804901123, 0.4842190742492676, 0.22508764266967773, -0.7583920359611511, -0.10799950361251831, -0.19574201107025146, 0.668432354927063, -1.1723896265029907, 0.0848199874162674, -0.8721460103988647, 0.3057398498058319, -0.07827857881784439, 0.5559988617897034, -0.07217952609062195, 0.10500557720661163, -1.0655546188354492, -0.6963675022125244, 0.8079329133033752, 0.045399077236652374, 0.16564133763313293, -0.005190717987716198, -0.2774851322174072, 0.27276724576950073, -0.7980730533599854, -0.7063825130462646, 0.20230776071548462, 0.24998503923416138, -0.35605305433273315, -0.6485378742218018, -0.42485707998275757, 0.46000006794929504, 0.01345866546034813, -1.0936894416809082, -0.2128288596868515, -0.6386465430259705, -0.5948192477226257, 0.1099342629313469, -0.671692430973053, -0.3338809907436371, -0.418742835521698, -1.0226848125457764, 1.0003626346588135, -0.5167262554168701, -0.09114612638950348, 0.32800087332725525, 0.7474971413612366, 0.19412405788898468, -0.5026585459709167, 0.492353618144989, 0.2689346373081207, 0.43642333149909973, 1.104068398475647, 0.34908828139305115, 0.19159184396266937, -0.5342246294021606, -0.4012342095375061, -0.17875972390174866, -0.5840377807617188, -0.10367388278245926, -0.7124937772750854, 0.12993711233139038, -0.18305166065692902, -0.32456424832344055, 0.7162910103797913, 0.9682382941246033, -0.7265440225601196, 0.9633580446243286, -0.1392046958208084, 0.7089484930038452, -0.7248592376708984, 0.6885051131248474, -0.13548246026039124, 1.013667106628418, -0.3880983889102936, -0.41847819089889526, -0.33054518699645996, 0.2939668893814087, -0.03569245710968971, 0.11752507090568542, 0.267264187335968, 0.43290066719055176, -0.3180088698863983]"
"1","Stand By Your Man","Tammy Wynette","country","https://en.wikipedia.org/wiki/Stand_by_Your_Man_(album)","[-0.5345665216445923, -0.5765571594238281, 0.1867712289094925, 1.1007035970687866, 0.16889703273773193, -0.0363197848200798, -0.7439178824424744, 0.03629057854413986, -0.002726948820054531, -0.13321487605571747, 0.051487863063812256, 0.21923474967479706, -0.2553711235523224, -0.11635613441467285, 0.2609958052635193, -0.32786789536476135, 0.2584279775619507, -0.48878562450408936, 0.057858750224113464, -0.850985586643219, 0.6512153148651123, -0.1586226224899292, -0.29381975531578064, -0.7354992628097534, -0.15406757593154907, 0.31143394112586975, -0.4113016128540039, -0.8596004843711853, -0.7020977735519409, -0.7361921072006226, 0.7726616859436035, 0.4853024482727051, -0.43342941999435425, -0.7444041967391968, 0.6463109254837036, -0.2487974911928177, 0.4512965679168701, 0.2690877318382263, 0.891960859298706, 1.1952871084213257, -0.006590177770704031, -0.19068452715873718, -0.4364982843399048, 0.1364208310842514, 0.26871442794799805, 0.3079993426799774, 0.7281004786491394, -0.2892053425312042, 0.3590833842754364, -0.7254061698913574, -0.035709694027900696, -0.3315226435661316, 0.4969920516014099, -0.07425833493471146, 0.602354109287262, 0.04496021941304207, 0.5612363815307617, -0.3571568727493286, 0.14761461317539215, -0.36902138590812683, 0.32846733927726746, -0.4746561050415039, 0.004553714767098427, 0.5655583143234253, -0.5087537169456482, -0.3765694200992584, -0.5117484927177429, -0.1519053727388382, 0.42557281255722046, 0.6565408110618591, 0.09682082384824753, 0.5996115207672119, -0.1652589738368988, -0.27084216475486755, 0.6834163069725037, 0.09198278933763504, -0.15238359570503235, -0.348854124546051, -0.32961297035217285, 0.4284153878688812, -0.40423107147216797, 0.04725220799446106, -0.5153685808181763, 0.4527474641799927, 0.28570374846458435, 0.4709925651550293, 0.45983538031578064, 0.003705846844241023, 0.12303931266069412, -0.25050532817840576, -0.885402262210846, -0.5479103922843933, 0.03154433146119118, 0.2902350127696991, -0.0702991709113121, 0.7977463006973267, -0.08362466841936111, 0.5787519216537476, -0.06416064500808716, -0.21180948615074158, -0.9938822984695435, -0.43804091215133667, -0.5391079187393188, -0.3054317831993103, 0.42231470346450806, -0.35067689418792725, -0.0643591582775116, 0.5769873261451721, -0.03924797475337982, -0.27807867527008057, 0.5689436197280884, -0.11838766187429428, -0.7841452360153198, -0.36539310216903687, -0.34126314520835876, 0.16762013733386993, 0.13858650624752045, 0.7189298868179321, -0.41446465253829956, -0.18828675150871277, 0.7568045854568481, 0.011356974020600319, 0.13141293823719025, -0.17531773447990417, 0.39956554770469666, -0.20723554491996765, 0.6252248287200928, 0.5267476439476013]"
"2","American III: Solitary Man","Johnny Cash","country","https://en.wikipedia.org/wiki/American_III:_Solitary_Man","[0.20130550861358643, -0.5526019334793091, 0.2117726355791092, 0.058994490653276443, -0.4779589772224426, -0.3933611512184143, 0.15709276497364044, -0.06917127966880798, 0.24402061104774475, 0.5660111904144287, -4.24567042500712e-06, 0.05631332844495773, 0.09770806133747101, -0.13439859449863434, 0.1288260817527771, -0.09305388480424881, -0.2902480661869049, 0.23958565294742584, -0.2605612576007843, 0.361970990896225, -0.08817227929830551, 0.19970054924488068, 0.3034818172454834, -0.14403927326202393, -0.012189661152660847, 0.15931524336338043, 0.1239386647939682, 0.4327746331691742, 0.6945709586143494, -0.3662538230419159, -0.2202119082212448, 0.21869508922100067, 0.33676865696907043, -0.7218756675720215, -0.42652663588523865, -0.5204729437828064, -0.058729540556669235, -0.06999000161886215, -0.16629093885421753, 1.2174383401870728, 0.020139263942837715, -0.41908544301986694, -0.38465455174446106, -0.25463220477104187, 0.039128731936216354, -0.24784740805625916, 0.9981290698051453, -0.09106685221195221, 0.3918875753879547, -0.3504505455493927, 0.289968341588974, -0.15911445021629333, 0.1960805058479309, 0.37906551361083984, -0.1970425695180893, -0.11257703602313995, -0.3236062228679657, 0.5282031297683716, 0.48788952827453613, -0.001960578840225935, 0.4088808596134186, -0.2563573718070984, -0.13587500154972076, 0.021227354183793068, -0.3482820689678192, 0.10713236033916473, 0.18383927643299103, -0.29464659094810486, 0.2834741473197937, 0.26367291808128357, -0.32608044147491455, 0.012697086669504642, -0.31364381313323975, -0.08912944793701172, -0.8444842100143433, -0.4499114155769348, -0.6069409847259521, -0.18662551045417786, -0.5622050166130066, 0.5162404179573059, -0.3261316418647766, 0.22976836562156677, 0.3920460641384125, -0.1669330894947052, 0.15694037079811096, 0.2613757848739624, 0.138421893119812, -0.24028164148330688, 0.4959716498851776, -0.32801708579063416, 0.12892746925354004, -0.1710592359304428, 0.5237325429916382, 0.5446914434432983, 0.06543959677219391, -0.0816022977232933, 0.45105496048927307, -0.35741159319877625, -0.6415088772773743, -0.29626402258872986, -0.1203230768442154, -0.11606180667877197, 0.04202258959412575, -0.024672893807291985, -0.23193256556987762, -0.40055346488952637, -0.4729281961917877, 0.4959406554698944, 0.4611088037490845, 0.5947884321212769, 1.0349009037017822, -0.3244590163230896, -0.16417576372623444, 0.6493944525718689, -0.24980805814266205, -0.10661499202251434, 0.28137680888175964, 1.0947375297546387, 0.12799836695194244, -0.25103890895843506, 0.7668231129646301, -0.5447471737861633, 0.20174537599086761, -0.3141235113143921, 0.15923655033111572, 0.5181650519371033, 0.36206117272377014, -0.32550230622291565]"
"3","Golden Ring","Tammy Wynette and George Jones","country","https://en.wikipedia.org/wiki/Golden_Ring_(album)","[-0.18852758407592773, 0.1406949758529663, 0.13182978332042694, 0.7443967461585999, 0.19732312858104706, -0.15204383432865143, -0.0274463202804327, 0.05571094527840614, 0.42694997787475586, -0.3443363308906555, -0.012994901277124882, 0.11288575828075409, -0.4656311571598053, -0.006209028884768486, 0.28874701261520386, -0.22146324813365936, 0.22662703692913055, -0.5160704851150513, -0.20258577167987823, -0.4663529694080353, 0.04385087266564369, -0.1314505636692047, -0.029291393235325813, -0.5729324817657471, 0.04131495952606201, 0.29354774951934814, -0.2383120059967041, -0.22172117233276367, -0.3384624421596527, -0.1817481368780136, 0.6677386164665222, -0.11859805136919022, -0.7310455441474915, -0.5892778038978577, -0.11044109612703323, -0.22683961689472198, 0.09820926189422607, 0.2431606501340866, 0.8776355981826782, 0.7345165610313416, -0.332685261964798, -1.021520733833313, -0.039034824818372726, -0.03800186514854431, 0.21936461329460144, 0.3072914779186249, 0.42845848202705383, -0.31862327456474304, 0.30043825507164, -0.6371934413909912, -0.20168283581733704, -0.06864188611507416, 0.6876465082168579, -0.6039431095123291, 0.12961898744106293, 0.0301117692142725, 0.5994417667388916, -0.44942840933799744, 0.13694024085998535, 0.023401446640491486, -0.0744524821639061, -0.0414823442697525, -0.09849440306425095, -0.3412429392337799, -0.9670547842979431, -0.28637805581092834, -0.2449255883693695, 0.12188315391540527, 0.7072453498840332, 0.23641416430473328, -0.10558873414993286, 0.6030674576759338, -0.3260512948036194, -0.07838737219572067, 0.37577247619628906, -0.3091665804386139, 0.142163947224617, -0.15068404376506805, -0.0618724562227726, 0.6594332456588745, -0.9295461177825928, 0.3255535364151001, -0.4043641984462738, 0.12701667845249176, -0.08871535956859589, 0.744154155254364, 0.07930397987365723, 0.24414260685443878, -0.1893162876367569, -0.19672352075576782, -0.6074447631835938, 0.38673028349876404, -0.7707427144050598, -0.08535008132457733, 0.40354740619659424, 0.6751909852027893, -0.3333836793899536, 0.5474379062652588, -0.21573291718959808, -0.2056424617767334, -0.6611291170120239, 0.1296137571334839, -0.8081907629966736, -0.40416255593299866, -0.08887044340372086, -0.39935657382011414, 0.08019278198480606, 0.31727737188339233, 0.1926499307155609, 0.06891333311796188, 0.31562337279319763, -0.3391546607017517, -0.3207966983318329, -0.10329356789588928, -0.21862918138504028, 0.4675506353378296, 0.41653016209602356, 0.4179406464099884, -0.13523246347904205, 0.06868132203817368, 0.3842088580131531, -0.3284887373447418, -0.07546188682317734, -0.6775407195091248, 0.3901365399360657, 0.118830107152462, 0.22817087173461914, 0.15551809966564178]"
"4","The Woman In Me","Shania Twain","country","https://en.wikipedia.org/wiki/The_Woman_in_Me_(Shania_Twain_album)","[-0.4164837598800659, -0.28607192635536194, -0.4302254319190979, -0.09921340644359589, 0.17132921516895294, 0.8481239676475525, 0.43698596954345703, 0.3506796956062317, 0.4608037769794464, 0.06506102532148361, -0.2439393550157547, -0.17691971361637115, -0.08379709720611572, -0.08966425806283951, 0.4173312783241272, -0.23726685345172882, 0.24241919815540314, -0.5184274911880493, 0.028129039332270622, 0.26123183965682983, -0.21010400354862213, -0.5066304802894592, 0.31953608989715576, 0.31648316979408264, 0.4457598626613617, 0.21276816725730896, -0.09410328418016434, -0.39835458993911743, 0.6259557604789734, 0.22538690268993378, -0.22724023461341858, -0.11296378821134567, -0.06736142933368683, -0.8196833729743958, 0.48782503604888916, -0.2615555226802826, 0.26675328612327576, 0.18315234780311584, 0.04997655749320984, -0.3662959039211273, -0.012679586187005043, -0.14240893721580505, -0.6304911375045776, 0.3814634382724762, 0.15564778447151184, -0.9915552735328674, 1.2816963195800781, 0.6454643607139587, 0.041296057403087616, -0.4866824448108673, 0.20085649192333221, -1.1011393070220947, 0.8098345398902893, 0.14658650755882263, 0.3391000032424927, 0.3381524384021759, 0.37548917531967163, 0.24497821927070618, -0.2032976746559143, 0.3665304183959961, 0.17805451154708862, -0.3986550271511078, -0.3579261004924774, -0.8913764953613281, -0.07612812519073486, -0.2530933618545532, 0.593267023563385, -0.2525041997432709, -0.21157559752464294, -0.00394127331674099, -0.2732829749584198, -0.2300717532634735, 0.46774861216545105, 0.28796204924583435, -0.5015282034873962, -0.3769708573818207, -0.2993093430995941, -0.056145887821912766, 0.36421242356300354, 0.029041914269328117, 0.43779027462005615, 0.24976477026939392, 0.07002349942922592, -0.5398620367050171, 0.16549052298069, -0.22839199006557465, 0.13682812452316284, 0.3451431393623352, -0.08372087776660919, 0.42472100257873535, -0.1737751066684723, -0.20612186193466187, -0.3639328181743622, -0.06709535419940948, 0.38352838158607483, 0.26595133543014526, 0.2451356053352356, 0.7439044713973999, -0.4965180456638336, 0.04518710821866989, 0.6014410257339478, -0.3810705840587616, 0.03507481515407562, -0.9113914370536804, -0.33173924684524536, 0.5923713445663452, -0.45379266142845154, -0.223091259598732, 0.08188395947217941, -0.5554506182670593, 0.5014129281044006, -0.38093066215515137, -0.4604508876800537, 0.2529321312904358, 0.3023376762866974, -0.5138499736785889, 0.01830761693418026, -0.14370472729206085, 0.11841022223234177, -0.8741241097450256, 0.6987994909286499, -0.6888555884361267, 0.001198301208205521, -0.39836129546165466, -0.21234527230262756, 0.19579948484897614, 0.9088749289512634, 0.018276594579219818]"
"5","Breathe","Faith Hill","country","https://en.wikipedia.org/wiki/Breathe_(Faith_Hill_album)","[0.6900768876075745, -0.22257809340953827, -0.26992201805114746, 0.415774405002594, -0.04019097611308098, -0.42768123745918274, 0.5198943614959717, 0.01391193363815546, 0.5202946066856384, 0.09170863032341003, -0.395489901304245, -0.5912578105926514, -0.9084066152572632, 0.5343544483184814, 0.18952739238739014, -0.6091506481170654, -0.10349824279546738, -0.27317315340042114, -0.18941380083560944, 0.15695756673812866, 0.3519969880580902, -0.93263179063797, -0.022699374705553055, -0.35733819007873535, 0.2046067714691162, -0.44129815697669983, 0.3361186683177948, 0.11356870830059052, -0.12076310068368912, 0.18293826282024384, -0.1210348978638649, 0.394992470741272, 0.13298988342285156, -0.05255603790283203, 0.23786821961402893, -0.35461893677711487, -0.2115260511636734, 0.13888244330883026, -0.11492018401622772, -0.23994490504264832, -0.06610669195652008, -0.4507461488246918, -0.04755406826734543, 0.47320854663848877, -0.3225436210632324, -0.19650542736053467, -0.10187210887670517, -0.4118236303329468, 0.8971465826034546, -0.6244183778762817, -0.20079456269741058, -0.4977363049983978, 0.01440801564604044, 0.021763451397418976, -0.4532064199447632, -0.3687154948711395, 0.9043968319892883, 0.29319316148757935, -0.21172934770584106, 0.009459889493882656, 0.3035825490951538, -0.15761278569698334, 0.14485949277877808, -0.7234219312667847, -0.26893001794815063, 0.16050471365451813, -0.7689500451087952, -0.8459725975990295, 0.5378143191337585, 0.18186913430690765, 0.47134727239608765, -0.13043692708015442, -0.4765812158584595, 0.08053768426179886, 0.4011029899120331, 0.1137508675456047, 0.1566992551088333, -0.28704243898391724, 0.3531051576137543, 0.5318924188613892, -0.3713783621788025, -0.1059303805232048, 0.4232020080089569, -0.033528901636600494, 0.3165297210216522, -0.2614794969558716, -0.7047662734985352, -0.44498926401138306, -0.48154106736183167, -0.17867669463157654, 0.5358220934867859, 0.1255250871181488, 0.07167042791843414, -0.5136076807975769, -0.4106057584285736, -0.03439754620194435, -0.20356306433677673, 0.893891453742981, 0.18897803127765656, -0.3524303436279297, -0.07818034291267395, -0.22809498012065887, -0.3777161240577698, -0.15427422523498535, -1.1078547239303589, -0.014580010436475277, 0.33607974648475647, 0.3428455591201782, -0.40111425518989563, -0.29546841979026794, 0.5008915066719055, -0.2635267674922943, 0.2130264937877655, -0.08658960461616516, 0.16217194497585297, -0.03001433052122593, -0.3089236617088318, 0.7676274180412292, 0.7957125306129456, -0.8189438581466675, 0.539657473564148, 0.15142592787742615, 0.0472976453602314, 0.2499779462814331, 0.29376330971717834, -0.28331199288368225, -0.002493699314072728, -0.10131528228521347]"
"6","Guitars, Cadillacs, Etc., Etc.","Dwight Yoakam","country","https://en.wikipedia.org/wiki/Guitars,_Cadillacs,_Etc.,_Etc.","[-0.16428589820861816, -0.452418714761734, -0.46961748600006104, 0.14304500818252563, -0.1365201473236084, -0.12014913558959961, -0.3028223514556885, -0.0049817003309726715, -0.19484736025333405, -0.4348510503768921, -0.21379593014717102, 0.5696432590484619, -0.16756999492645264, 0.523798942565918, 0.2465122789144516, -0.5178176164627075, 0.528866708278656, 0.0023345258086919785, 0.12963742017745972, 0.535942018032074, 0.280453622341156, 0.6237425804138184, 0.07265041768550873, 0.4931820333003998, -0.05339152365922928, 0.7478843331336975, 0.024627935141324997, -0.46136102080345154, -0.09388919919729233, 0.48756659030914307, -0.32111281156539917, -0.022127628326416016, 0.11812780052423477, 0.07853943854570389, 0.5721217393875122, -0.15984667837619781, -0.5540904402732849, 0.2986530065536499, 0.252496600151062, 0.6388631463050842, -0.36966028809547424, 0.46559378504753113, -0.34181371331214905, 0.059147439897060394, -0.4371590316295624, 0.3737616240978241, 0.35427361726760864, 0.28241342306137085, -0.29090139269828796, 0.6697115302085876, 0.22383199632167816, 0.7029868960380554, 0.23121406137943268, 0.3616407513618469, -0.21835018694400787, -0.04210343584418297, 0.23596595227718353, 0.02408400923013687, -0.8160609006881714, -0.18829438090324402, 0.004992633126676083, -0.2258831113576889, 0.2859397530555725, 0.20491677522659302, -0.8572098016738892, 0.5817363262176514, -0.20566479861736298, 0.47885870933532715, 0.13317130506038666, 0.15974298119544983, -0.5769253969192505, -0.1575392484664917, -0.5578058362007141, 0.34386909008026123, -0.8001044988632202, 0.5400463938713074, 0.5094683170318604, 0.06326401978731155, -0.07843154668807983, -0.11898714303970337, -0.5227928161621094, 0.13859300315380096, -0.4429607689380646, 0.03905731067061424, -0.004797826055437326, 0.12426849454641342, -0.05346382409334183, 0.019957788288593292, -0.2517243027687073, -0.3280516564846039, 0.12309730052947998, -0.44959649443626404, 0.4751175045967102, -0.07385648041963577, 0.51966392993927, 0.5042674541473389, 0.46216103434562683, 0.7443884611129761, -0.007545559201389551, -0.29394713044166565, 0.009276158176362514, -0.2555065453052521, -0.24174053966999054, -0.10697522759437561, 0.11764074116945267, 0.20123019814491272, -0.38175028562545776, -0.27643293142318726, -0.17836347222328186, 0.14713332056999207, 0.25278085470199585, -0.33554607629776, -0.15541264414787292, 0.4953930974006653, 0.25026822090148926, 0.11926836520433426, -0.28669044375419617, -0.3061964213848114, 0.4998878836631775, 0.32337486743927, -0.11217445880174637, -0.37456777691841125, -0.007081015035510063, -0.1134018823504448, 0.11934132874011993, -0.11211156100034714, 0.321347713470459, 0.34273502230644226]"
"7","Unchained","Johnny Cash","country","https://en.wikipedia.org/wiki/Unchained_(Johnny_Cash_album)","[0.35854363441467285, -0.7926841378211975, -0.18234704434871674, 0.7835656404495239, 0.39581406116485596, -0.2830691635608673, 0.05458373203873634, -0.3598781228065491, 0.05117582157254219, 0.40928444266319275, -0.1137387678027153, -0.10571900755167007, 0.4644898772239685, 0.14261583983898163, 0.0863812044262886, 0.00847044587135315, -0.25078147649765015, -0.4923890233039856, -0.30448222160339355, 0.39842507243156433, -0.019268332049250603, 0.28813421726226807, -0.005158951971679926, -0.2172713428735733, 0.1984184831380844, -0.4609536826610565, 0.0006196298054419458, 0.48337459564208984, 0.5987448692321777, -0.13075290620326996, -0.09107164293527603, 0.5228115320205688, 0.17836454510688782, -0.3266872465610504, 0.20187005400657654, -0.03725406900048256, -0.6146422624588013, 0.5102421045303345, 0.19091415405273438, 0.6505285501480103, -0.32694119215011597, -0.07006863504648209, -0.2913278341293335, -0.028932932764291763, -0.04369410127401352, -0.03457503020763397, 0.25387415289878845, 0.15666444599628448, 0.1306261122226715, -0.7675299048423767, -0.1541236937046051, 0.04188377037644386, 0.9596266746520996, -0.2117639034986496, -0.4152422845363617, 0.4854315519332886, -0.2211422622203827, 0.37557074427604675, 0.4449712336063385, 0.20619073510169983, -0.08477641642093658, -0.1054370254278183, -0.08135448396205902, 0.03824644908308983, -0.5439053773880005, 0.16064876317977905, -0.1710355430841446, -0.04725511372089386, 0.5199974775314331, 1.1833139657974243, -0.2525922954082489, 0.07451948523521423, 0.03694137930870056, 0.14258892834186554, -0.7089913487434387, -0.6989200115203857, -0.10728593915700912, -0.1435321867465973, -0.020885836333036423, 0.3960517942905426, -0.5628466606140137, 0.30723345279693604, 0.3910509943962097, -0.18041375279426575, -0.3343069553375244, -0.19636933505535126, 0.082893006503582, 0.3383118212223053, 0.4869646430015564, -0.7010188698768616, 0.3100796043872833, -0.2343454211950302, 0.7088733911514282, 0.33432313799858093, 0.23083050549030304, -0.10601227730512619, 0.6580497026443481, -0.18753129243850708, -0.06019067391753197, -0.22097337245941162, 0.1100815087556839, 0.4418117105960846, -0.19994401931762695, -0.09303271770477295, 0.0012352862395346165, 0.2610653340816498, -0.5195192098617554, 0.2893601059913635, -0.08251827210187912, 0.6255291104316711, 0.3150826394557953, -0.34950652718544006, -0.09615210443735123, 0.15022654831409454, 0.013151771388947964, -0.33469513058662415, -0.00563343008980155, 0.3438803553581238, 0.0963161289691925, 0.10843376070261002, 0.22653834521770477, 0.6691024899482727, 0.10421857982873917, 0.44237834215164185, 0.3515920042991638, -0.1809425950050354, 0.3357063829898834, -0.0504363551735878]"
"8","Some Hearts","Carrie Underwood","country","https://en.wikipedia.org/wiki/Some_Hearts","[-0.3372580409049988, -0.06507059186697006, 0.009401040151715279, -0.4706229865550995, -0.3301045000553131, 0.2974255084991455, -0.43374091386795044, -0.15712234377861023, -0.23692232370376587, 0.280182421207428, 0.27536967396736145, -0.7624252438545227, -0.29599660634994507, 0.3006182312965393, 0.0864979550242424, -0.5932559967041016, -0.88469398021698, -0.08298825472593307, -0.3048937916755676, -0.12450097501277924, -0.10377685725688934, 0.12595055997371674, 0.4811502993106842, -0.4123521149158478, 0.07982001453638077, 0.08926916867494583, 0.224010169506073, 0.24566231667995453, 0.4249917268753052, 0.570618212223053, -0.3497481942176819, 0.5248153209686279, 0.30405473709106445, -0.01106723677366972, 0.46065962314605713, 0.033822666853666306, 0.27401500940322876, 0.16673976182937622, 0.8706898093223572, -0.030112147331237793, -0.36104699969291687, -0.9005076289176941, -0.17959946393966675, 0.18183621764183044, -0.6486650705337524, 0.19943836331367493, 0.1715191900730133, -0.22578276693820953, 0.6540496349334717, -0.3349330723285675, 0.9680338501930237, 0.2981754243373871, 0.4212953746318817, -0.5271204113960266, 0.001650199992582202, 0.12455809116363525, 0.9166836738586426, 0.06595859676599503, -0.4052068293094635, 0.09348427504301071, -0.02016293816268444, -0.32645583152770996, 0.29220569133758545, -0.5405562520027161, -1.3237766027450562, 0.02868007682263851, 0.34694117307662964, -0.3445110619068146, -0.6920501589775085, 0.08944085240364075, 0.36974185705184937, -0.3992677628993988, -0.3154774010181427, -0.3480273485183716, 0.032293159514665604, -0.06965743005275726, -0.3100983798503876, -0.41495025157928467, 0.3356855511665344, -0.12319783866405487, -0.3644729554653168, -0.6618472337722778, 0.433883398771286, 0.21937482059001923, 0.2726740539073944, 0.06008537486195564, 0.2165570706129074, 0.01884891651570797, -0.4426228106021881, 0.3245169520378113, 0.01890222728252411, 0.4013906717300415, -0.760062038898468, 0.6123490333557129, -0.4499113857746124, -0.33699727058410645, 0.030418500304222107, 0.5057293772697449, -0.2826765179634094, -0.5473033785820007, 0.1490844339132309, -0.10911043733358383, -0.3765306770801544, -0.4639872610569, -0.22807082533836365, -0.47248584032058716, -0.2903077304363251, 0.3720933496952057, 0.35586562752723694, 0.07761596888303757, 0.440365195274353, 0.04171745106577873, 0.015361404046416283, 0.5731788873672485, 0.4274904131889343, 0.12384098023176193, -0.12642888724803925, -0.46597570180892944, 0.4662354588508606, 0.015713509172201157, -0.14305979013442993, -0.550443708896637, -0.26612627506256104, 0.19585451483726501, 0.9233997464179993, 0.10764890909194946, -0.09467259794473648, 0.8049727082252502]"
"9","Red Dirt Girl","Emmylou Harris","country","https://en.wikipedia.org/wiki/Red_Dirt_Girl","[-0.10566305369138718, -0.40382131934165955, 0.8074926733970642, 0.5362052321434021, -0.044763095676898956, -0.4200311303138733, -0.27915191650390625, -0.42429837584495544, -0.15227624773979187, -0.5367653965950012, 0.1274445801973343, -0.27117660641670227, -0.431528240442276, -0.2135341316461563, -0.39683666825294495, -0.1402340680360794, -0.13325347006320953, -0.013289591297507286, 0.326453298330307, 0.8930033445358276, -0.4983659088611603, 0.2413305938243866, 0.892444372177124, -0.5508688688278198, 0.2858419120311737, 0.11896807700395584, 0.05114022269845009, -0.4279189109802246, 0.04718267172574997, 0.014330940321087837, -0.48795709013938904, 0.46112579107284546, 0.3098742961883545, -0.05547483265399933, -0.06426689773797989, 0.15786638855934143, 0.293658047914505, 1.099981427192688, 0.09945261478424072, 0.1499364823102951, 0.1537882387638092, -0.5855653285980225, -0.3836512863636017, 0.03108973801136017, -0.39132368564605713, 0.20352043211460114, 0.2842165231704712, 0.19427745044231415, 0.6281696557998657, -0.630492091178894, 0.8388803601264954, 0.4433162808418274, -0.10617667436599731, 0.35333970189094543, 0.19205132126808167, -0.3831294775009155, 0.4912031590938568, -0.21179425716400146, -0.3503323197364807, 0.38399529457092285, 0.12641972303390503, -0.17635662853717804, -0.058045096695423126, -0.15909993648529053, -0.42823392152786255, -0.14104263484477997, 0.5503931045532227, -0.17851611971855164, 0.2434251457452774, 0.11380103975534439, -0.21926462650299072, 0.28511708974838257, -0.5999014377593994, 0.26056355237960815, 0.09266290813684464, 0.3103085458278656, 0.501635730266571, -0.11198119819164276, -0.11841494590044022, 0.011912631802260876, -0.22583912312984467, 0.31655120849609375, -0.12346925586462021, -0.02078871801495552, -0.42464104294776917, -0.10027220100164413, -0.9176437854766846, 0.5923427939414978, 0.1016584187746048, -0.12445848435163498, -0.07464806735515594, -0.12025274336338043, -0.08699221909046173, -0.4075954556465149, 0.30293524265289307, 0.4690481126308441, 0.1490587294101715, -0.012601839378476143, 0.3525504767894745, -0.21995678544044495, 0.15541043877601624, -0.3648515045642853, -1.2799270153045654, -0.047451745718717575, 0.10289216786623001, 0.24471382796764374, -0.22499163448810577, 0.1285686045885086, -0.1079336628317833, 0.05661755055189133, -0.2858923077583313, 0.035815026611089706, -0.3297988474369049, 0.07119102030992508, -0.00032378436299040914, -0.14107823371887207, -0.05791115388274193, 0.5553717017173767, 0.41064903140068054, -0.007027005776762962, 0.5303443074226379, -0.1279289871454239, -0.1881907731294632, -0.1525748372077942, 0.21335484087467194, -0.0963757112622261, 0.31762877106666565, 0.15143229067325592]"
