"id","title","author","label","URL","embedding"
"0","Chief","Eric Church","country","https://en.wikipedia.org/wiki/Chief_(album)","[-0.9744369983673096, -0.418002188205719, 0.6134427785873413, 0.008760502561926842, 0.20686249434947968, 0.14295534789562225, 0.93919438123703, 0.4488954246044159, 1.0402088165283203, -0.25791919231414795, -0.028487039729952812, 0.4335007965564728, 0.2831346094608307, -0.09456764906644821, 0.14262127876281738, -0.6486555337905884, -0.08057170361280441, 0.33367210626602173, -0.865757405757904, 0.39359408617019653, -0.46928226947784424, -0.3688748776912689, 0.18214678764343262, -0.07927463948726654, 0.410834401845932, 0.4506656229496002, 0.6651684641838074, -0.016275253146886826, 0.6222426295280457, 0.1996442973613739, 0.04531450197100639, 0.14370329678058624, 0.772476851940155, -0.3882153332233429, 0.41059252619743347, -0.38819602131843567, -0.25490081310272217, 0.4288065731525421, -0.32356610894203186, 0.25029638409614563, 0.29354801774024963, -0.09327688813209534, 0.1619890183210373, -0.3849693238735199, -0.6538335084915161, 0.25122198462486267, -0.01986907795071602, -0.20314651727676392, -0.014713573269546032, -0.6150366067886353, 1.023935079574585, 0.6040393710136414, -0.25177618861198425, -0.4275696575641632, -0.10068514943122864, 0.87389075756073, 0.5816965699195862, 1.2747960090637207, 0.0360296405851841, -0.9810488224029541, -0.6494547724723816, 0.38027825951576233, 0.07960475236177444, 0.24221688508987427, -0.7037767171859741, 0.36751502752304077, 0.4725494980812073, -0.06017390638589859, 0.8781912326812744, 0.1343095749616623, -1.0695477724075317, -0.5969141125679016, 0.337593674659729, 0.11712878942489624, 0.2572089731693268, 0.2665020227432251, -0.21165719628334045, 0.44009435176849365, -0.9282246828079224, 0.11517813801765442, 0.47924327850341797, -0.39603105187416077, -0.03589928150177002, 0.4360123872756958, 0.6604062914848328, -0.04493824020028114, -0.5065231323242188, -0.293558806180954, -0.2012982815504074, -0.0776943638920784, 0.00030439853435382247, -0.03863920271396637, 0.25210079550743103, 0.025541996583342552, -0.8878207802772522, -0.26421940326690674, 0.20443026721477509, -0.07580950111150742, 0.42434343695640564, -0.3342345654964447, -0.43211671710014343, -0.04386337101459503, -0.3136986792087555, 0.09890180826187134, -0.40540555119514465, -0.144383043050766, 0.9809650182723999, 0.41214799880981445, 0.2322814166545868, 0.19501639902591705, 0.505255937576294, -0.20017042756080627, 0.5614593029022217, 0.06321220844984055, 0.3277430236339569, 0.7600472569465637, -0.09556164592504501, -0.13479267060756683, 0.9074162840843201, -0.500584065914154, -0.0034043381456285715, 0.27941522002220154, -0.27966681122779846, -0.9121205806732178, 1.015342354774475, -0.14393550157546997, 0.3134872615337372, -0.07099533826112747]"
"1","Stand By Your Man","Tammy Wynette","country","https://en.wikipedia.org/wiki/Stand_by_Your_Man_(album)","[0.19975395500659943, -0.6813120245933533, -0.3295226991176605, -0.07767614722251892, 0.239885151386261, 0.21310459077358246, 0.618007481098175, -0.6271440386772156, -0.4711303114891052, 0.2976876497268677, -0.35387206077575684, 0.20007510483264923, 0.08201688528060913, 0.6377103924751282, 0.2174084186553955, -0.5777581930160522, -0.09584075957536697, -0.20098227262496948, -0.45107343792915344, 0.2036983221769333, 0.06711620837450027, -0.045726675540208817, -0.25197869539260864, -0.8838961124420166, -0.8083374500274658, 0.5405099391937256, -0.06814586371183395, -0.3098115622997284, -0.5264261364936829, 0.3999646008014679, 0.3080400824546814, -0.4881353974342346, -0.5948362350463867, -0.12766604125499725, 0.20000238716602325, -0.7260621786117554, -0.20235282182693481, 0.2961658239364624, 0.14357560873031616, -0.6275386214256287, 0.27808308601379395, 0.38403424620628357, 0.78609299659729, 0.3431963622570038, -0.3761390745639801, 0.20373697578907013, -0.02397730201482773, 0.14253665506839752, 0.7522178292274475, -0.31856071949005127, -0.004225222859531641, 0.15520063042640686, -0.16230811178684235, 0.3126279413700104, -0.1651945859193802, 1.2557979822158813, 0.49919119477272034, 0.3876327574253082, -0.11265073716640472, -0.17247964441776276, -0.01612546667456627, -0.18819954991340637, 0.15549859404563904, -0.3172691762447357, -0.12198793888092041, -0.030718758702278137, -0.16654498875141144, 0.47670912742614746, -0.5270201563835144, -0.34331828355789185, -0.600494921207428, 0.28177523612976074, 0.09305845201015472, -0.37750139832496643, -0.10374794900417328, 0.3691229522228241, -0.3627599775791168, -0.1481667309999466, 0.15532805025577545, 0.2472056746482849, -0.23247504234313965, 0.1959628015756607, 0.5257695317268372, -0.12653829157352448, -0.17769110202789307, 0.2986958920955658, 0.7731384634971619, -0.2718464434146881, 0.24266043305397034, 0.23889099061489105, -0.1634373962879181, -0.38786211609840393, -0.12004578858613968, 0.04471566528081894, 0.4846022427082062, 0.18989843130111694, -0.034330449998378754, 0.11879201978445053, 0.13010171055793762, -0.348141074180603, 0.1624559462070465, 0.16397882997989655, -0.13124890625476837, -0.2950994372367859, 0.6201719641685486, 0.2896149158477783, 0.3499912917613983, 0.4498237073421478, -0.5468481183052063, 0.3083304464817047, 0.7176674604415894, 0.057851143181324005, 0.4500051438808441, 0.09418823570013046, 0.6124211549758911, 0.6642270088195801, 0.1739954799413681, -0.09900329262018204, 0.25838610529899597, -0.7608900666236877, -0.15457184612751007, -0.6158491373062134, 0.04870146885514259, -0.7160494327545166, 0.009848158806562424, 0.43257611989974976, -0.5061779022216797, -0.4477256238460541]"
"2","American III: Solitary Man","Johnny Cash","country","https://en.wikipedia.org/wiki/American_III:_Solitary_Man","[-0.30137279629707336, 0.6035805344581604, -0.2762848436832428, 0.2850428819656372, 0.7361233830451965, 0.507664144039154, 0.1395817995071411, 0.162278413772583, -0.43691110610961914, -0.08879579603672028, 0.263237863779068, 0.5479174256324768, 0.09376342594623566, 0.19643661379814148, -0.19826434552669525, 0.09191272407770157, 0.12428975850343704, -0.6562612056732178, -0.2770707905292511, 0.2960924804210663, 0.0074370549991726875, -0.10772699862718582, -0.08734746277332306, -0.10740654170513153, -0.3055417835712433, -0.10827663540840149, 0.49617642164230347, -0.4032510221004486, 0.19636039435863495, 0.11860182136297226, -0.3896818161010742, 0.2018001675605774, 0.10214314609766006, 0.1469140648841858, -0.8082647919654846, -0.646710216999054, -0.39480915665626526, -0.22120405733585358, -0.3264274001121521, -0.10663893073797226, 0.5824156999588013, -0.12017370760440826, 0.14014393091201782, -0.15932288765907288, -0.5145268440246582, -0.26052621006965637, 0.0657021775841713, 0.15975554287433624, 0.6681663990020752, 0.3078666031360626, 0.4624970555305481, -0.48292139172554016, -0.21155858039855957, 4.786935824085958e-05, -0.07421266287565231, 0.4346714913845062, 0.7091668844223022, 0.9621750116348267, 0.20038412511348724, 0.2225089967250824, 0.044207725673913956, -0.0188619215041399, 0.1835394948720932, 0.16735470294952393, 0.335129976272583, 0.2524891495704651, -0.2382921427488327, 0.5220999121665955, 0.3650030791759491, -0.2905212640762329, -0.15509772300720215, 0.41980093717575073, 0.1054040789604187, -0.6624898910522461, 0.2973653972148895, 0.19209976494312286, -0.0040270178578794, 0.29880571365356445, 0.19878722727298737, 0.17194417119026184, -0.009245073422789574, 0.3187660872936249, -0.24780023097991943, -0.4336411952972412, 0.7398865818977356, 0.8392853140830994, -0.14343474805355072, -0.43795105814933777, 0.6787919402122498, 0.06556593626737595, 0.18622779846191406, -0.3205524682998657, -0.3412313163280487, -0.5678297281265259, 0.4168205261230469, -0.014514317736029625, 0.11782769113779068, 0.025897014886140823, -0.29226934909820557, -0.21254950761795044, 0.4129733145236969, -0.23503729701042175, -0.37723416090011597, 0.5577326416969299, 0.32101327180862427, -0.12464144825935364, -0.13928410410881042, 0.16872896254062653, -0.4043290317058563, 0.11699479818344116, -0.46053630113601685, -0.2871386706829071, 0.26175782084465027, 0.16696637868881226, 0.13214202225208282, 0.6233324408531189, 0.22699961066246033, 0.5271062254905701, -0.4718863368034363, -0.3954002261161804, 0.32486993074417114, 0.002950281137600541, 0.03726041316986084, -0.33423057198524475, -0.17249581217765808, -0.19240392744541168, -0.44590625166893005, -0.5027552843093872]"
"3","Golden Ring","Tammy Wynette and George Jones","country","https://en.wikipedia.org/wiki/Golden_Ring_(album)","[0.21523234248161316, -0.2902982831001282, -0.2301849126815796, 0.06435535848140717, 0.35280510783195496, 0.3735995590686798, 0.7016153931617737, -0.2523384094238281, -0.2583754062652588, 0.11704621464014053, -0.09369438141584396, 0.31340593099594116, -0.051005616784095764, 0.31581905484199524, -0.2690298855304718, -0.9358620643615723, 0.04053495079278946, -0.4994562864303589, -0.722540557384491, -0.04585155099630356, 0.009306102059781551, -0.6893123984336853, -0.27436497807502747, -0.8162303566932678, -0.5083655714988708, 0.2694816291332245, 0.29724523425102234, -0.01850576139986515, -0.09414754062891006, 0.5686997771263123, 0.15271365642547607, -0.5724280476570129, -0.5319117307662964, -0.020504551008343697, 0.32992851734161377, -0.35359179973602295, -0.2533983886241913, 0.1264229416847229, 0.28593307733535767, -0.3170919716358185, 0.19379188120365143, -0.06408288329839706, 0.34921905398368835, -0.07549592852592468, -0.3086020350456238, 0.32875072956085205, -0.13996130228042603, -0.07115019112825394, 0.4475778341293335, -0.5042612552642822, 0.17063358426094055, 0.24313341081142426, -0.2921185791492462, 0.05576930195093155, -0.007255371659994125, 1.017000436782837, 0.405721515417099, 0.17194612324237823, -0.0571490079164505, -0.32116591930389404, 0.33860525488853455, -0.30995839834213257, 0.525108814239502, -0.41830378770828247, -0.5306567549705505, 0.29396405816078186, 0.10686702281236649, 0.4543762505054474, -0.06020798906683922, -0.5041970014572144, -0.42666929960250854, 0.1530221849679947, 0.10819803923368454, -0.4171620011329651, -0.18005670607089996, 0.2545328140258789, 0.11017481237649918, 0.11614326387643814, -0.1074410006403923, 0.32426968216896057, -0.049452122300863266, -0.033070918172597885, -0.010221358388662338, -0.3144139051437378, 0.027347279712557793, 0.14724977314472198, 0.19246187806129456, -0.2545677721500397, 0.5262701511383057, 0.2605607509613037, -0.017235448583960533, -0.4033527970314026, 0.08862780779600143, -0.2705289423465729, 0.07903719693422318, -0.08356577903032303, -0.1026676669716835, -0.11480715125799179, 0.07623139023780823, -0.17006315290927887, -0.018692925572395325, 0.25067707896232605, -0.07357578724622726, -0.08669505268335342, 0.5407041311264038, 0.2874946594238281, 0.4613475501537323, 0.6473381519317627, -0.537077784538269, 0.14040309190750122, 0.5966458916664124, -0.49612873792648315, 0.6678706407546997, 0.19382141530513763, 0.4448937475681305, 0.6777002811431885, 0.14710363745689392, -0.23725569248199463, 0.016584068536758423, -0.8059490323066711, 0.1429547518491745, -0.7662168741226196, -0.09326186031103134, -0.6625601053237915, 0.4070773422718048, -0.17419849336147308, -0.3141941428184509, -0.6474658250808716]"
"4","The Woman In Me","Shania Twain","country","https://en.wikipedia.org/wiki/The_Woman_in_Me_(Shania_Twain_album)","[0.9154185652732849, 0.03576885163784027, -0.08874502032995224, -0.20635703206062317, 0.21611975133419037, 0.11713212728500366, 0.6478621363639832, 0.539143443107605, -0.3482401967048645, 0.5672978758811951, 0.11256237328052521, 0.21048696339130402, -0.3045613467693329, 0.19799569249153137, -0.31754228472709656, -0.018234821036458015, -0.317163348197937, -0.3088289201259613, -0.14261047542095184, 0.15560470521450043, 0.014633813872933388, 0.1599777340888977, -0.13399410247802734, 0.050525207072496414, -0.19158996641635895, 0.22678431868553162, 0.18082895874977112, -0.45520785450935364, 0.511313259601593, 0.20810173451900482, -0.7749974727630615, 0.011569613590836525, -0.5861302614212036, -0.6638802886009216, -0.297747403383255, -0.7598011493682861, -0.6819522380828857, 0.07858622819185257, 0.12771525979042053, 0.13840261101722717, 0.0493646003305912, -0.598998486995697, 0.17726260423660278, -0.20318906009197235, -0.7337049841880798, -0.1593242585659027, 0.24373209476470947, -0.1564500629901886, 0.8026126027107239, -0.42215657234191895, 0.5963514447212219, -0.14706982672214508, -0.14651905000209808, -0.1200888603925705, -0.21051420271396637, 0.5214071869850159, 0.30465880036354065, 0.9405919909477234, 0.4998963475227356, -0.1301431953907013, -0.6054396033287048, 0.10696496069431305, 0.18040397763252258, 0.018361829221248627, -0.016982220113277435, -0.45697885751724243, -0.06735023856163025, 0.7229472398757935, 0.6272212266921997, 0.03478909656405449, -0.5317595601081848, 0.03911970183253288, -0.2435721457004547, -0.17621655762195587, 0.1670217365026474, -0.2205972969532013, -0.7286354899406433, 0.1686723530292511, -0.36192867159843445, -0.15226852893829346, -0.3043733239173889, 0.24639251828193665, -0.26560553908348083, 0.37796613574028015, 0.2618996798992157, 0.26440054178237915, -0.10059018433094025, -0.7436121702194214, 0.49534672498703003, -0.10656476020812988, 0.3609137237071991, -0.6231908202171326, 0.4222200810909271, 0.19816993176937103, -0.36306074261665344, -0.14053189754486084, 0.17870959639549255, 0.021305469796061516, 0.19546355307102203, -0.3415338099002838, 0.5392729043960571, 0.23208972811698914, -0.06331676989793777, 0.2614290714263916, -0.07074203342199326, 0.34408247470855713, 0.8724588751792908, 0.3365408182144165, 0.07434680312871933, 0.04925401508808136, -0.18212439119815826, -0.15887466073036194, 0.3154495358467102, -0.009107057936489582, 0.9011367559432983, -0.2884562015533447, 0.060610685497522354, 0.1309782862663269, 0.2380450963973999, -0.3804400861263275, 0.4036825895309448, -0.3074224889278412, -0.278833270072937, -0.1759052574634552, -0.13479940593242645, 0.00319520290941, -0.21889039874076843, 0.2917676270008087]"
"5","Breathe","Faith Hill","country","https://en.wikipedia.org/wiki/Breathe_(Faith_Hill_album)","[-0.1668834388256073, -0.0444941408932209, 0.0487637035548687, 0.33491212129592896, 0.1149275079369545, 0.22725854814052582, 0.7832930088043213, -0.24453772604465485, 0.032059572637081146, 0.11559060215950012, -0.33826297521591187, 0.004789046011865139, 0.3553745448589325, 0.027975860983133316, 0.17202208936214447, -0.7828343510627747, 0.1555793732404709, -0.4011000096797943, -0.43255749344825745, 0.3979138135910034, -0.20873261988162994, -0.2661798894405365, -0.2018372267484665, 0.20041295886039734, -0.07401148229837418, 0.2550993263721466, 0.3439517617225647, 0.2122441977262497, 0.11075061559677124, 0.11097995936870575, -0.09960751980543137, -0.39162999391555786, -0.12267468124628067, -0.08026925474405289, 0.2791116237640381, -0.2259550392627716, -0.2588050663471222, -0.21408584713935852, -0.4263370931148529, -0.15919817984104156, -0.3235780894756317, 0.010912683792412281, 0.23444554209709167, 0.026384657248854637, -0.40958452224731445, -0.1809031218290329, -0.19114220142364502, 0.6115732192993164, 0.1301218420267105, -0.29842379689216614, 0.6310663819313049, -0.11177840083837509, -0.3103950023651123, -0.08865281194448471, 0.10899205505847931, 0.6264267563819885, 0.4978823661804199, 0.18115068972110748, -0.4464198350906372, -0.4487673044204712, 0.13047391176223755, -0.26124659180641174, 0.5811091065406799, -0.1239204853773117, -0.49256300926208496, -0.0013113897293806076, 0.49780091643333435, 0.48865070939064026, 0.16467483341693878, -0.37393850088119507, -0.13980692625045776, -0.3590872883796692, -0.5531845092773438, -0.03179904446005821, 0.3150784969329834, -0.01565275900065899, 0.0781284049153328, 0.5574802756309509, 0.09087113291025162, 0.3131476938724518, 0.647408127784729, 0.1897062063217163, -0.20379184186458588, -0.48740914463996887, -0.11422812938690186, 0.09235060214996338, 0.08904161304235458, -0.16866305470466614, 0.10861095041036606, 0.21233782172203064, 0.012407488189637661, -0.5027657151222229, 0.139529749751091, -0.07298088818788528, -0.46825048327445984, -0.6547011733055115, 0.4721159338951111, -0.7658697962760925, 0.519356906414032, 0.0654601901769638, 0.39084503054618835, 0.23816907405853271, -0.15365488827228546, -0.5781409740447998, 0.19653265178203583, -0.6385191679000854, 0.2110416144132614, 0.17571628093719482, -0.35770636796951294, -0.21305182576179504, -0.1501539647579193, 0.516810417175293, -0.12150868773460388, 0.20650258660316467, 0.40933969616889954, 0.5572276711463928, 0.05808144435286522, 0.16222181916236877, 0.39450183510780334, -0.6287614107131958, 0.5315254926681519, -0.19683721661567688, -0.3638021647930145, -0.45165684819221497, 0.3730599880218506, -0.20731121301651, -0.11164366453886032, -0.16517086327075958]"
"6","Guitars, Cadillacs, Etc., Etc.","Dwight Yoakam","country","https://en.wikipedia.org/wiki/Guitars,_Cadillacs,_Etc.,_Etc.","[-0.11574960500001907, -0.3344411551952362, 0.13912546634674072, 0.22247450053691864, 0.34485894441604614, 0.21557094156742096, 0.2734632194042206, 0.08712608367204666, -0.08661802858114243, 0.098332479596138, 0.0045312801375985146, -0.06857354193925858, 0.0821826383471489, -0.08518664538860321, -0.048117466270923615, -0.21572482585906982, 0.10837382823228836, -0.6628624200820923, -0.1990780532360077, 0.05854397267103195, 0.42050111293792725, 0.19479139149188995, 0.0020631796214729548, 0.5019921660423279, 0.3581497073173523, 0.2428158074617386, 0.2180580049753189, -0.1766553819179535, -0.32040300965309143, -0.09059782326221466, 0.47475889325141907, 0.03761642053723335, 0.27186793088912964, -0.03966245427727699, 0.3542279899120331, -0.4545239210128784, -0.7362438440322876, 0.30210110545158386, 0.024561980739235878, -0.18377788364887238, 0.41440579295158386, 0.34108540415763855, 0.13726592063903809, 0.4064072370529175, -0.13990207016468048, 0.5635566115379333, 0.6215956807136536, -0.14655564725399017, 0.2100147306919098, -0.4599306881427765, 0.48840272426605225, -0.12810252606868744, -0.7273615598678589, 0.04129675030708313, -0.21985790133476257, 0.35381075739860535, 0.6058412194252014, 0.4553694725036621, -0.24956215918064117, -0.540412425994873, 0.12371031939983368, 0.5444108843803406, -0.433096319437027, -0.3615247309207916, 0.3549524247646332, -0.009609078988432884, 0.23322418332099915, 0.6016718745231628, 0.05609235540032387, 0.20628178119659424, -0.6283340454101562, 0.15807844698429108, 0.3481427729129791, 0.12607590854167938, 0.704537034034729, 0.20145024359226227, -0.4906037151813507, -0.16861455142498016, 0.1121818795800209, -0.04513658210635185, -0.31433990597724915, -0.408779501914978, 0.25136786699295044, 0.1844269186258316, -0.005509253591299057, -0.2791057527065277, 0.3611612319946289, 0.4788321852684021, 0.21201004087924957, 0.03211389482021332, 0.16328486800193787, -0.1769418716430664, -0.04060576111078262, -0.8950628638267517, -0.6104763150215149, -0.39923128485679626, -0.07584069669246674, -0.0011662633623927832, 0.04357989504933357, 0.22523918747901917, 0.24364273250102997, 0.16716822981834412, 0.0026521633844822645, -0.12200960516929626, -0.025543881580233574, 0.3222624957561493, 0.3989311158657074, -0.1337805986404419, 0.24670740962028503, 0.5431551337242126, 0.07294251769781113, 0.37708762288093567, 0.4691011905670166, 0.3510268032550812, -0.002907691989094019, 0.215294748544693, -0.17852386832237244, 0.03095710650086403, 0.23716282844543457, -0.1801702380180359, 0.1570042073726654, -0.18621817231178284, -0.46586525440216064, -0.15981054306030273, 0.24506430327892303, -0.09156271070241928, -0.2809007465839386, 0.38706791400909424]"
"7","Unchained","Johnny Cash","country","https://en.wikipedia.org/wiki/Unchained_(Johnny_Cash_album)","[-0.25239843130111694, 0.4131231904029846, 0.4609210789203644, -0.2856839895248413, 0.6693230867385864, 0.18439039587974548, 0.4911658763885498, 0.24631890654563904, -0.38473957777023315, 0.0935545340180397, 0.33063381910324097, 0.057268280535936356, 0.27958354353904724, 0.35146355628967285, -0.01193624921143055, 0.38735461235046387, 0.22458933293819427, -0.14308562874794006, -0.25133371353149414, -0.08225227892398834, 0.07436288893222809, -0.2767895758152008, -0.16041618585586548, 0.21138523519039154, -0.06868331134319305, 0.06399617344141006, 0.38684844970703125, -0.6835007071495056, 0.01850670576095581, 0.23142991960048676, -0.12864728271961212, 0.17783285677433014, 0.18182805180549622, 0.5896708965301514, -0.20085297524929047, -0.361917644739151, -0.5330597162246704, 0.14538238942623138, 0.41557106375694275, -0.46760275959968567, -0.021644601598381996, -0.13984502851963043, -0.19120071828365326, -0.16764260828495026, -0.6624069809913635, 0.13882964849472046, 0.21713310480117798, 0.274298757314682, 0.6881666779518127, -0.13960637152194977, 0.4619230031967163, -0.8405804634094238, -0.4066718518733978, 0.22551722824573517, -0.16469214856624603, 0.4589877724647522, 0.06962300091981888, 0.5668477416038513, -0.1663151979446411, -0.3982864022254944, 0.2804547846317291, -0.060008302330970764, 0.5650166273117065, -0.24350909888744354, 0.03709964081645012, 0.3006705045700073, -0.139508917927742, 0.8138065338134766, 0.033549487590789795, -0.2595236003398895, 0.10175637155771255, 0.03955095261335373, -0.1331636756658554, 0.06863702833652496, 0.17562781274318695, 0.09434118866920471, -0.352939248085022, 0.09690060466527939, 0.32025983929634094, 0.2451077103614807, 0.1929175853729248, 0.7358794212341309, -0.0890113115310669, -0.05161774158477783, 0.7184717655181885, 0.27630293369293213, 0.22763466835021973, -0.4919944405555725, 0.7124942541122437, -0.17983844876289368, 0.16968944668769836, -0.06364922970533371, -0.1606355905532837, -0.6201605796813965, 0.10063841938972473, -0.4448396861553192, -0.10316188633441925, -0.4639638662338257, -0.4615604877471924, -0.08799870312213898, 0.30820003151893616, 0.049321066588163376, -0.14464852213859558, 0.048396870493888855, 0.3591553270816803, -0.22866180539131165, -0.45202136039733887, 0.03905688598752022, -0.3749607503414154, 0.14510318636894226, -0.15974776446819305, 0.04054379090666771, 0.04917845502495766, 0.6239363551139832, -0.26872363686561584, 0.48365911841392517, 0.3513678312301636, 0.235256165266037, -0.5280733704566956, -0.026212427765130997, -0.29262810945510864, -0.09705586731433868, -0.5674653649330139, -0.6141573190689087, 0.3221536874771118, -0.03436778858304024, -0.28934237360954285, -0.3602403700351715]"
"8","Some Hearts","Carrie Underwood","country","https://en.wikipedia.org/wiki/Some_Hearts","[0.08961475640535355, -0.42039597034454346, 0.4336906671524048, 0.2668811082839966, 0.2517768144607544, 0.3201413154602051, 0.7285751104354858, 0.3499499559402466, 0.006602692883461714, 0.6414952278137207, -0.011485555209219456, 0.24409563839435577, 0.11382768303155899, 0.39908871054649353, -0.18331553041934967, -1.102593183517456, 0.07217644900083542, 0.022434381768107414, -0.7578052282333374, 0.4011076092720032, 0.11855687946081161, -0.13013295829296112, -0.3759448230266571, -0.20123206079006195, -0.2607805132865906, 0.17629431188106537, 0.633928656578064, -0.17420156300067902, 0.08759260177612305, 0.19714362919330597, -0.08742541074752808, 0.0013870327966287732, 0.20640349388122559, -0.01906673237681389, -0.11108191311359406, -0.04371251165866852, -0.8295165300369263, -0.1964271515607834, 0.07056143879890442, -0.2088647037744522, 0.012249013409018517, 0.026763563975691795, 0.38598647713661194, 0.7720897197723389, -0.0067403120920062065, -0.10332480818033218, -0.2657793462276459, -0.04160630702972412, 0.14181184768676758, -0.09069216996431351, 0.29379528760910034, -0.623653769493103, -0.29587021470069885, -0.5239571332931519, -0.23931291699409485, 0.3332574665546417, 0.11330263316631317, 0.08297966420650482, 0.020279347896575928, 0.12867316603660583, 0.4481515884399414, 0.3541261553764343, -0.1598118096590042, -0.07561391592025757, -0.21261203289031982, -0.5847229957580566, 0.012083605863153934, -0.20325125753879547, 0.29107916355133057, -0.30078980326652527, -0.11136364936828613, -0.10349585860967636, -0.2118062824010849, -0.17531132698059082, 0.435122013092041, -0.12295909225940704, -0.6747804284095764, 0.16110746562480927, -0.019349947571754456, 0.45535653829574585, 0.16400358080863953, -0.4722956120967865, -0.0023883413523435593, -0.046397238969802856, -0.03679501265287399, -0.26109620928764343, 0.1455974280834198, -0.18397358059883118, 0.1736321896314621, 0.023094389587640762, 0.6604729294776917, -0.07716937363147736, 0.01345589105039835, -0.09467121958732605, 0.01173609308898449, -0.11131186783313751, 0.08976365625858307, -0.3984662592411041, 0.19514642655849457, 0.25138986110687256, -0.04945896938443184, -0.26525458693504333, -0.4783453047275543, -0.42444270849227905, 0.3818940222263336, 0.3096364438533783, 0.8896821141242981, 0.49216198921203613, -0.44049984216690063, 0.15882189571857452, -0.16835744678974152, 0.023998314514756203, 0.5471683144569397, 0.1631273478269577, 0.5319043397903442, 0.3857543170452118, -0.12067840248346329, 0.14007733762264252, -0.3185875117778778, -0.37614431977272034, 0.37493896484375, -0.1957196593284607, -0.3675119876861572, 0.10077233612537384, 0.783033549785614, -0.07354453951120377, -0.46959471702575684, -0.22717908024787903]"
"9","Red Dirt Girl","Emmylou Harris","country","https://en.wikipedia.org/wiki/Red_Dirt_Girl","[0.4795076847076416, 0.22022831439971924, -0.09047942608594894, -0.10706397891044617, 0.1579291671514511, 0.1458684653043747, 0.5348029136657715, 0.42222467064857483, -0.3140621483325958, 0.6339529156684875, 0.49785903096199036, 0.30432525277137756, 0.21439050137996674, 0.2893751859664917, 0.1630588173866272, -0.4467678666114807, 0.14864689111709595, -0.03329718858003616, -0.09712477028369904, 0.539813220500946, -0.007101414725184441, 0.007382040377706289, 0.05840805545449257, -0.3341517746448517, -0.004946151748299599, 0.24491196870803833, 0.6163157224655151, 0.0313086062669754, 0.21392430365085602, 0.07730019837617874, 0.20674948394298553, 0.14674267172813416, 0.2447788566350937, -0.19642700254917145, 0.34356632828712463, -0.2478330284357071, -0.6387210488319397, 0.3278259336948395, 0.08070062845945358, -0.06557003408670425, -0.21207371354103088, 0.35417187213897705, 0.7047604918479919, 0.2568669617176056, 0.5061454176902771, 0.5657909512519836, 0.4017368257045746, -0.05236685648560524, -0.2951715886592865, 0.27659204602241516, 0.3964694142341614, -0.22500033676624298, -0.29472294449806213, -0.1774752289056778, -0.0469946451485157, 0.8759891986846924, 0.36302587389945984, 0.5966519713401794, 0.0118490532040596, -0.034472811967134476, 0.4049108624458313, 0.6973277926445007, 0.5247475504875183, -0.14455848932266235, 0.23029044270515442, -0.20683729648590088, 0.406061589717865, 0.734523355960846, 0.5056567192077637, -0.1168452724814415, 0.06561827659606934, 0.0026187950279563665, -0.26187068223953247, 0.269607275724411, 0.5290355682373047, 0.23692069947719574, -0.05688481777906418, 0.0743287056684494, 0.06079540401697159, 0.02517230063676834, 0.2532828450202942, -0.17447350919246674, 0.12604030966758728, 0.3087049722671509, 0.21053187549114227, 0.11205587536096573, -0.31972262263298035, 0.24082481861114502, 0.46826082468032837, -0.28003984689712524, -0.16118690371513367, 0.04625415802001953, 0.18136489391326904, -0.31608113646507263, -0.6497787237167358, 0.0661858320236206, 0.04482973739504814, 0.0605514794588089, -0.3147332966327667, -0.4268859326839447, 0.5091627836227417, 0.18219396471977234, -0.188162162899971, -0.6494022607803345, 0.4553235173225403, -0.3383963406085968, 0.18084993958473206, 0.1043737530708313, -0.4976813793182373, 0.21272091567516327, 0.0386921726167202, 0.24828550219535828, 0.14954186975955963, -0.048492830246686935, -0.05631152540445328, 1.0765581130981445, -0.36308714747428894, 0.026782073080539703, -0.10499197244644165, -0.37154436111450195, -0.45651975274086, 0.32079625129699707, -0.04656684771180153, -0.4930930435657501, -0.5018168091773987, 0.08465723693370819, 0.054634153842926025, -0.23058971762657166]"
