"id","title","author","label","URL","embedding"
"0","Chief","Eric Church","country","https://en.wikipedia.org/wiki/Chief_(album)","[-0.3481748104095459, -0.7723734378814697, 0.08400384336709976, 0.18406197428703308, 0.7581709027290344, -0.1997905671596527, 0.1583501398563385, -0.5192689299583435, -0.014076023362576962, 0.6218166947364807, 0.004042597021907568, -0.04893222451210022, -0.4478907287120819, 0.9893150329589844, 0.34672868251800537, -0.22642865777015686, -0.6598541736602783, -0.5726272463798523, -0.21485666930675507, 0.1414404660463333, 0.46825167536735535, -0.1982685774564743, 0.42372649908065796, 1.1660592555999756, 1.0427989959716797, 0.6421684622764587, -0.02798967994749546, 1.297073483467102, 0.8524551391601562, 0.342133492231369, 0.6386129260063171, -0.21662302315235138, -1.0679394006729126, 0.2031291276216507, -0.597665011882782, 0.09235117584466934, 0.5291809439659119, 0.4908106327056885, 0.8998527526855469, -0.525834321975708, -0.05688052624464035, 0.7227420210838318, 0.014170069247484207, 0.8047245144844055, -0.17626075446605682, 0.9853150844573975, 0.1502646654844284, 0.10479018837213516, 0.04226810112595558, -0.5593645572662354, -0.7346348762512207, 0.20620286464691162, -0.5387261509895325, 0.06742410361766815, -0.20627138018608093, -0.19931836426258087, -0.37090688943862915, 0.4231131076812744, 0.17505265772342682, 0.009734841994941235, 0.12327844649553299, -0.4122484624385834, 0.06151959300041199, -0.3159690201282501, 0.6737775206565857, -0.4210450053215027, 0.19885078072547913, -0.7624770998954773, 0.05204707384109497, -0.6039258241653442, 0.19007465243339539, -0.223676398396492, 0.23337605595588684, -0.031336069107055664, 0.08347176015377045, 0.0343208909034729, -0.03628739342093468, 1.1310139894485474, 0.5973703861236572, -0.41662925481796265, -0.9977938532829285, -0.5055429339408875, 0.35664448142051697, 0.22691471874713898, -0.015134886838495731, -0.69305020570755, -0.5643810629844666, 0.4048856496810913, 0.907453715801239, 0.9039036631584167, 0.049447786062955856, -0.5230395793914795, -0.3582371175289154, 0.7136824131011963, 0.6536032557487488, -0.35272666811943054, -0.2763991355895996, -0.423501193523407, -0.25924384593963623, -1.049423098564148, -0.026535803452134132, -0.580103874206543, -0.323003351688385, -0.18126976490020752, -0.8733552694320679, -0.1505529284477234, 0.005533469840884209, -0.14047861099243164, -0.7590412497520447, 0.07361406832933426, 0.3997790217399597, -0.3384951055049896, -0.59418123960495, 0.33463194966316223, 1.2935984134674072, 0.7245804071426392, 0.5265119075775146, 0.6290955543518066, -0.02966947853565216, 0.06753074377775192, -0.1427779346704483, -0.2961978018283844, 0.5529380440711975, -0.1893703043460846, 0.0431487113237381, -0.0866079032421112, -1.2809171676635742, -0.5479506254196167]"
"1","Stand By Your Man","Tammy Wynette","country","https://en.wikipedia.org/wiki/Stand_by_Your_Man_(album)","[0.134098082780838, -0.6770423054695129, -0.5938750505447388, 0.025990528985857964, -0.6862438321113586, 0.5746853947639465, -0.14698386192321777, -0.35678908228874207, -0.6568199992179871, -0.123639777302742, -0.48132842779159546, 1.1655758619308472, 0.5528167486190796, -0.0631648376584053, -0.2194669097661972, -0.20073343813419342, 0.0420040488243103, -0.6356143355369568, 0.4201996922492981, 0.7679488658905029, -0.15806205570697784, 0.22698119282722473, 0.4826015532016754, -0.1578783243894577, -0.43059492111206055, 0.3631851375102997, 0.0762220174074173, 0.11874180287122726, 0.24652807414531708, -0.31354305148124695, 0.2960819900035858, 0.1066277027130127, -0.09672480821609497, 0.43554824590682983, -0.0168521236628294, -0.08832810074090958, -0.2876226007938385, -0.0780254527926445, -1.1155476570129395, -0.6323511004447937, -0.13257676362991333, 0.6610079407691956, 0.1439637839794159, -0.34964364767074585, -0.03281049802899361, 0.09260985255241394, -1.032599687576294, -0.7653633952140808, -0.47826623916625977, -0.44215914607048035, -0.2070346474647522, 0.9451543092727661, 0.010824819095432758, 0.3773517310619354, 0.09910359978675842, 0.5245503187179565, 0.5379212498664856, 0.30716732144355774, -0.3354471027851105, 0.6381052136421204, 0.730287492275238, -0.18845629692077637, -0.3260243535041809, 0.006053891498595476, -0.24473688006401062, -0.5670378804206848, -0.12504109740257263, -0.04325408115983009, 0.11856073886156082, -0.2325284332036972, -0.9262973070144653, -0.3600229024887085, 0.4443901479244232, -0.17614394426345825, 0.5011124014854431, 0.7815827131271362, 0.06371822953224182, -0.4782772958278656, -0.009985622018575668, 0.4607865512371063, 0.3236420452594757, -0.21622905135154724, 0.5733184814453125, 0.7238332033157349, 0.5458260774612427, -0.8933272361755371, -0.39475131034851074, 0.5805847644805908, 0.009500314481556416, -0.32922935485839844, -0.1291305422782898, -0.2667289972305298, 0.28453561663627625, 0.2090160995721817, -0.6110343933105469, -0.3300415873527527, -0.2644782066345215, 0.1746489703655243, 0.03184271231293678, -0.8132642507553101, -0.5829598307609558, -0.5881929993629456, 0.3540424704551697, -0.35464510321617126, 0.1845627725124359, -0.08995398879051208, -4.5706423406954855e-05, 0.1421516239643097, 0.033420369029045105, 0.06904610246419907, 0.4320239722728729, 0.03300970047712326, 0.38399702310562134, 0.1930135041475296, -0.049438055604696274, -0.2586906850337982, -0.593541145324707, 0.23101048171520233, 0.23715202510356903, -0.16732312738895416, -0.9005610942840576, -0.003721658606082201, -0.050491463392972946, 0.440336138010025, 1.0452094078063965, -0.4391666352748871, -0.19123049080371857, 0.11394840478897095]"
"2","American III: Solitary Man","Johnny Cash","country","https://en.wikipedia.org/wiki/American_III:_Solitary_Man","[-0.5036280155181885, -0.4807959496974945, -0.09816015511751175, 0.8458907604217529, -0.15012963116168976, -0.26668408513069153, -0.2575853765010834, -0.295054167509079, -0.2252730131149292, 0.4848923087120056, -0.3772525489330292, 0.43517348170280457, 0.13275998830795288, -0.0851178914308548, -0.15060187876224518, -0.30096545815467834, -0.06505235284566879, -0.3816206753253937, 0.035223040729761124, -0.24777962267398834, -0.018855437636375427, 0.013496891595423222, -0.03568731248378754, -0.2532624304294586, -0.18892545998096466, 0.4723103642463684, 0.47035881876945496, 0.009740726090967655, 0.011003726162016392, -0.6401275396347046, 0.6527696251869202, 0.27792298793792725, 0.3224770724773407, 0.20817703008651733, -0.39388495683670044, -0.1778436154127121, -1.0610883235931396, 0.4113873839378357, -0.17351000010967255, -0.35709553956985474, 0.3329835534095764, -0.42241984605789185, -0.38794803619384766, 0.3819665312767029, -0.4728400707244873, 0.18560676276683807, -0.242876335978508, 0.00675996346399188, -0.8353818655014038, -0.4651901125907898, -0.12642274796962738, -0.29734334349632263, -0.0015279464423656464, 0.645102858543396, 0.6133991479873657, -0.5854809284210205, 0.28026822209358215, 0.24445542693138123, 0.1835794746875763, -0.08335106074810028, 0.5122626423835754, 0.08229851722717285, -0.46675729751586914, 0.6453262567520142, -0.010309258475899696, 0.4620722532272339, 0.22624622285366058, -1.2494962215423584, 0.3075747489929199, -0.6831393241882324, -0.03333618491888046, -0.7309570908546448, 0.377334862947464, 0.468171626329422, 0.4257345497608185, -0.020538024604320526, 0.41693979501724243, 0.3730432391166687, -0.3357035219669342, -0.1999865621328354, -0.10686074197292328, -0.61638343334198, -0.15171073377132416, 0.15380971133708954, 0.3680509328842163, 0.19657127559185028, -0.47008824348449707, 0.21276842057704926, -0.01182497013360262, -0.7605563402175903, -0.2442260980606079, -1.1967869997024536, 0.2567703425884247, 0.34430626034736633, -0.29823362827301025, -0.14988380670547485, 0.2621478736400604, 0.020619509741663933, -0.5108106136322021, 0.061473820358514786, 0.14245706796646118, -0.05712937191128731, -0.14980676770210266, -0.285588800907135, -0.331516295671463, -0.05146351456642151, 0.0246942937374115, 0.04612989351153374, 0.3599874973297119, 0.10698236525058746, -0.2952902019023895, -0.3071911931037903, 0.5484158992767334, -0.08381088078022003, 0.25762632489204407, -0.13923966884613037, -0.26184576749801636, -0.339554101228714, 0.3927172124385834, -0.8378271460533142, 0.3304005265235901, -0.0745680183172226, -0.5719534158706665, -0.18167263269424438, -0.48004135489463806, -0.4777661859989166, -0.40409794449806213, -0.2930278182029724]"
"3","Golden Ring","Tammy Wynette and George Jones","country","https://en.wikipedia.org/wiki/Golden_Ring_(album)","[0.04346691444516182, -0.890819787979126, -0.5016736388206482, 0.24452388286590576, -0.40481212735176086, 0.4335586130619049, -0.08157290518283844, -0.2042643427848816, -0.44223037362098694, -0.18839192390441895, -0.18741141259670258, 0.8981419205665588, 0.5625336170196533, -0.1737535148859024, -0.46322333812713623, -0.21212837100028992, -0.23261874914169312, -0.5094353556632996, 0.4141550362110138, 0.5826279520988464, -0.004366980399936438, 0.28350281715393066, 0.3830862045288086, 0.05399002134799957, -0.3192199766635895, 0.18676891922950745, 0.06902115792036057, 0.24809418618679047, 0.5884130597114563, -0.012074729427695274, 0.040195588022470474, -0.09091676026582718, -0.373004674911499, 0.592394232749939, -0.5416193604469299, 0.22376203536987305, 0.2582024037837982, 0.30721408128738403, -0.39152202010154724, -0.38572201132774353, -0.4165385961532593, 0.38410377502441406, 0.07064887881278992, 0.10684125870466232, -0.1568460315465927, 0.356510728597641, -0.5778402090072632, -0.5219141840934753, 0.04304555431008339, -0.25901418924331665, -0.4832322299480438, 0.7737882137298584, -0.1893751621246338, 0.1917915940284729, 0.2325623631477356, 0.48012208938598633, 0.22081445157527924, 0.11186383664608002, -0.7178931832313538, 0.2114984393119812, 0.6554422974586487, 0.03449045866727829, -0.34901130199432373, 0.21955418586730957, 0.0680590346455574, -0.4939550757408142, -0.028966572135686874, -0.2779814302921295, 0.3464641571044922, -0.34403884410858154, -0.580124020576477, -0.48156049847602844, 0.3252372443675995, -0.4322991669178009, 0.24604445695877075, 0.25649628043174744, 0.1384279429912567, -0.29309138655662537, -0.179428830742836, 0.28890562057495117, -0.169791117310524, -0.19843779504299164, 0.18555152416229248, 0.5780594348907471, 0.6878300905227661, -0.5984092950820923, -0.5401201844215393, 0.5112568140029907, 0.3808708190917969, 0.29560744762420654, -0.0472535602748394, -0.5231989026069641, 0.5024166107177734, 0.08656008541584015, -0.2960948348045349, -0.054889511317014694, -0.4310828745365143, 0.1760929822921753, -0.21847331523895264, -0.7393659353256226, -0.5153632164001465, -0.7443726062774658, -0.10210222005844116, -0.5422734618186951, -0.034708838909864426, 0.0883026048541069, 0.7228715419769287, -0.4398682415485382, 0.029817761853337288, -0.031886957585811615, 0.36303091049194336, 0.012033816426992416, 0.35925331711769104, 0.16144438087940216, -0.04561835899949074, -0.07092227041721344, -0.6029234528541565, 0.2659008502960205, 0.6126248240470886, 0.1437334269285202, -0.33284083008766174, -0.24506215751171112, 0.05616455897688866, -0.2820756733417511, 0.8248271942138672, -0.5994736552238464, -0.6489298939704895, 0.05447980761528015]"
"4","The Woman In Me","Shania Twain","country","https://en.wikipedia.org/wiki/The_Woman_in_Me_(Shania_Twain_album)","[-0.36961254477500916, -0.20838379859924316, -0.11030060052871704, 0.3569057285785675, 0.004887267481535673, -0.20310284197330475, -0.1140596866607666, -1.042127251625061, -0.17270253598690033, -0.42769646644592285, -0.6965319514274597, -0.21768157184123993, 0.07057944685220718, 0.8528209328651428, 0.04960060119628906, -0.040271010249853134, -0.5515754818916321, -0.43555641174316406, 0.07688960433006287, -0.28876420855522156, 0.332157164812088, 0.40876638889312744, 0.37255969643592834, 0.6126580834388733, -0.15515531599521637, 0.6432160139083862, -0.5166770815849304, 0.8050147294998169, -0.2124793529510498, 0.32800647616386414, 0.2981111407279968, -0.5683454275131226, -0.01081590075045824, 0.36596718430519104, -0.9284346103668213, 0.09692937880754471, -0.7440263032913208, 0.16454966366291046, -0.2877010703086853, -0.2891395390033722, 0.4669012725353241, 0.403003454208374, 0.09030203521251678, 0.04197820648550987, -0.3640066087245941, 0.19739359617233276, 0.10204526036977768, -0.17293225228786469, -0.9493759274482727, -0.764154314994812, -0.4408027231693268, 0.0791834145784378, -0.536506712436676, 0.4977045953273773, 0.3603154122829437, -0.46985241770744324, 0.01776251383125782, 0.25281429290771484, 0.7209697365760803, -0.06546690315008163, -0.10245392471551895, 0.06630684435367584, -0.7485595941543579, 0.010807019658386707, -0.23471812903881073, 0.5069254040718079, 0.36886683106422424, -0.779675304889679, -0.15238775312900543, -0.4217197000980377, -0.6674137711524963, -0.128877192735672, 0.4882870018482208, 0.19868987798690796, 0.20919197797775269, 0.42004814743995667, 0.7797572016716003, -0.015729786828160286, -0.15991537272930145, -0.027940945699810982, -0.09330707043409348, -0.07459750026464462, 0.3734781742095947, 0.4840376675128937, -0.10659226775169373, 0.0126829594373703, -0.5043773055076599, 0.43878859281539917, 0.3979530334472656, -0.2915453016757965, 0.7676317691802979, -0.9887393712997437, 0.302435040473938, 0.37267130613327026, -0.11870991438627243, -0.49245312809944153, -0.10624518245458603, -0.23659856617450714, -0.3189016878604889, -0.5700021386146545, -0.0472814105451107, -0.06722841411828995, 0.1841277927160263, -0.39911913871765137, -0.11095094680786133, 0.27803292870521545, -0.24276724457740784, -0.35208964347839355, 0.4504038095474243, -0.336008757352829, 0.4882197678089142, -0.19577768445014954, -0.8876045942306519, 0.5485333204269409, -0.027116356417536736, 0.021410929039120674, 0.22918358445167542, -0.3441663682460785, -0.2310384064912796, -0.46929657459259033, -0.5160042643547058, -0.3350573480129242, -0.2110605388879776, 0.10685654729604721, -0.2835220396518707, -0.14503923058509827, 0.004265076946467161, -0.09005162864923477]"
"5","Breathe","Faith Hill","country","https://en.wikipedia.org/wiki/Breathe_(Faith_Hill_album)","[-0.5090486407279968, -0.6737833619117737, -0.1784369945526123, 0.3945649564266205, 0.07360212504863739, -0.08877717703580856, 0.044009216129779816, -0.34304478764533997, -0.05689474940299988, -0.03333035856485367, -0.20947685837745667, 0.4105939269065857, -0.05810743570327759, -0.32782307267189026, -0.16171784698963165, -0.6179535388946533, -0.22712792456150055, -0.23367998003959656, 0.6450537443161011, 0.007470142096281052, 0.017210952937602997, 0.38286152482032776, 0.5854880213737488, 0.8335428237915039, -0.15083780884742737, 0.1070643737912178, 0.13364624977111816, 0.799662172794342, 0.7889478802680969, -0.128867968916893, 0.24131225049495697, 0.377419114112854, -0.1429537534713745, -0.3891323506832123, -0.2745472490787506, 0.5816442966461182, 0.3494049906730652, 0.23835569620132446, -0.29492050409317017, 0.09760577231645584, 0.45623618364334106, 0.17060668766498566, 0.04113773629069328, 0.14709925651550293, 0.17989107966423035, 0.02669893205165863, -0.39143839478492737, -0.6592680811882019, -0.33681297302246094, -0.45222076773643494, -0.18242138624191284, -0.03957125544548035, -0.34058719873428345, -0.052500367164611816, 0.39185667037963867, 0.38834431767463684, 0.048931099474430084, -0.3209551274776459, -0.2074032425880432, 0.30975160002708435, 0.14660434424877167, -0.19763334095478058, -0.20145107805728912, 0.23368729650974274, 0.2593381106853485, 0.07635831832885742, 0.6479368209838867, -0.9013928771018982, 0.21625782549381256, -0.4719786047935486, -0.12842828035354614, -0.9531189799308777, 0.07870115339756012, -0.3675070106983185, 0.07265565544366837, 0.5271918177604675, 0.5391038060188293, -0.11023812741041183, -0.3395861089229584, 0.134877547621727, -0.6150460243225098, -0.27029287815093994, -0.28853192925453186, 0.2598784267902374, 0.26241257786750793, -0.07417649775743484, -0.6130914688110352, 0.34589990973472595, -0.08846481144428253, 0.4773693382740021, 0.09294896572828293, -0.7955077290534973, -0.39700189232826233, 0.14541196823120117, 0.19833654165267944, -0.006952366791665554, 0.15974923968315125, 0.0416342094540596, -0.14954759180545807, -0.4979408383369446, -0.551006019115448, -0.45084264874458313, -0.5858203768730164, -0.5444685220718384, -0.3890615403652191, -0.33820807933807373, -0.1977921575307846, -0.3719482123851776, -0.2830101251602173, 0.26954397559165955, -0.21215398609638214, -0.29170554876327515, -0.3161754906177521, -0.25913649797439575, 0.06385915726423264, 0.20342126488685608, -1.0515886545181274, 0.4165186583995819, -0.05989111214876175, 0.05387366935610771, -0.11467014253139496, -0.1180727407336235, 0.0011901537654921412, 0.4390225410461426, 0.3860149383544922, -0.048055458813905716, -0.5283986330032349, -0.5024639368057251]"
"6","Guitars, Cadillacs, Etc., Etc.","Dwight Yoakam","country","https://en.wikipedia.org/wiki/Guitars,_Cadillacs,_Etc.,_Etc.","[-0.009622333571314812, -0.3556043207645416, -0.1255996972322464, 0.346304327249527, 0.04529024288058281, -0.08439282327890396, -0.1103401780128479, -0.5145953893661499, -0.07894337177276611, 0.7836769819259644, -0.7726863026618958, 0.26406002044677734, -0.20448839664459229, 0.38097941875457764, -0.07914672791957855, -0.42424389719963074, 0.10005875676870346, 0.43228402733802795, 0.47442635893821716, -0.05056991055607796, -0.41548818349838257, 0.00828185211867094, 0.23969659209251404, -0.13210107386112213, 0.10734772682189941, 0.12702542543411255, -0.038242533802986145, 0.3773651421070099, 0.20124465227127075, 0.4936673641204834, 0.45800867676734924, 0.11598719656467438, -0.1861482858657837, -0.0049355109222233295, -0.10323450714349747, 0.285099059343338, 0.1579044908285141, 0.016371840611100197, 0.5416486263275146, -0.8591594696044922, 0.04258690029382706, 0.716934084892273, 0.2133743017911911, 0.8483982682228088, -0.2587537169456482, 0.48921918869018555, -0.41563642024993896, -0.12249041348695755, -0.45459476113319397, -0.7654184699058533, -0.2433299720287323, 0.08883889019489288, -0.10722009092569351, 0.3630882203578949, 0.14435672760009766, -0.2902555465698242, -0.24642391502857208, 0.21816380321979523, 0.0020532263442873955, -0.20848077535629272, 1.0330923795700073, 0.04391933232545853, -0.5602262616157532, 0.21344077587127686, -0.16909360885620117, 0.04962996765971184, -0.2474929839372635, -0.613053023815155, -0.33219313621520996, -0.3820766806602478, 0.005664361175149679, 0.1598605066537857, 0.09481515735387802, -0.5065578818321228, 0.03311843425035477, 0.0932481586933136, 0.35402947664260864, 0.39329972863197327, 0.3812858462333679, -0.08221317082643509, -0.5259488821029663, -0.32790863513946533, 0.3322344422340393, 0.20657101273536682, 0.25036969780921936, -0.42634469270706177, -0.08684943616390228, 0.22567075490951538, 0.6926376819610596, -0.22466017305850983, -0.6930565237998962, -0.26243627071380615, -0.4425773024559021, 0.3385171890258789, 0.4357803761959076, 0.46830934286117554, 0.2247612178325653, 0.2713864743709564, -0.5273638367652893, -0.2755516469478607, -0.18839424848556519, 0.05895416438579559, 0.002503024647012353, 0.16741998493671417, 0.11499102413654327, 0.04202372580766678, 0.21294736862182617, 0.16238205134868622, 0.5264906287193298, -0.45416519045829773, 0.23122577369213104, -0.072264164686203, -0.44960424304008484, 0.5692848563194275, 0.38412725925445557, 0.13403645157814026, -0.6477139592170715, -0.4594149887561798, 0.3907361626625061, -0.08328945934772491, 0.3008737564086914, -0.22509904205799103, 0.36267468333244324, -0.049154132604599, 0.11719765514135361, 0.2273532748222351, 0.36931270360946655, 0.3906363248825073]"
"7","Unchained","Johnny Cash","country","https://en.wikipedia.org/wiki/Unchained_(Johnny_Cash_album)","[-0.5617296099662781, -1.0106922388076782, -0.5170892477035522, 0.4702747166156769, -0.13257703185081482, -0.40370604395866394, 0.1591436266899109, -0.17725889384746552, -0.15318112075328827, 0.5833927392959595, -0.3592408299446106, 0.06574570387601852, -0.3735272288322449, -0.15773926675319672, -0.3788417875766754, -0.9452189803123474, 0.16190578043460846, -0.25765275955200195, -0.014145802706480026, 0.10994650423526764, -0.1023963913321495, 0.2782019376754761, -0.06623208522796631, -0.23597915470600128, -0.565214216709137, 0.45086508989334106, 0.4553943872451782, 0.33108875155448914, 0.20899714529514313, 0.0963500514626503, 0.3717091977596283, 0.6135026812553406, 1.1241754293441772, 0.6753721237182617, -0.03366561606526375, -0.3857825994491577, -0.2882530093193054, 0.23786801099777222, 0.011696839705109596, -0.35813477635383606, 0.3475130498409271, -0.18082574009895325, -0.17960013449192047, 0.48008084297180176, 0.10849615186452866, 0.034362245351076126, -0.8237175345420837, 0.08502151817083359, -0.7402784824371338, -0.2874838709831238, 0.4357886016368866, 0.23836158215999603, 0.19843310117721558, 0.02451920136809349, -0.3255458474159241, -0.7612608075141907, 0.4322895109653473, -0.2316303551197052, 0.12452396750450134, 0.3451871871948242, 0.8026830554008484, -0.16067244112491608, 0.26587817072868347, 0.4942837357521057, -0.03800899535417557, 0.40553316473960876, 0.363750159740448, -0.8982143402099609, 0.0068032266572117805, -0.6681257486343384, -0.49566715955734253, -0.05757603049278259, 0.35147443413734436, -0.17685453593730927, 0.4251880347728729, 0.0012287561548873782, -0.08269700407981873, -0.14904874563217163, -0.40741074085235596, 0.12840846180915833, -0.7082529664039612, -0.618524968624115, 0.11243131011724472, 0.05372660979628563, 0.10425219684839249, 0.12723764777183533, -0.09396792203187943, 0.06128004193305969, 0.2132403552532196, -0.4941994845867157, -0.25353893637657166, -0.47048699855804443, -0.0026839105412364006, 0.11751464754343033, -0.17432719469070435, 0.4295709729194641, 0.28480246663093567, -0.23922516405582428, -0.7168116569519043, 0.1293051540851593, -0.8430942893028259, 0.24486522376537323, -0.15314362943172455, 0.030153583735227585, 0.008808042854070663, -0.16920213401317596, -0.016943486407399178, -0.03254017233848572, 0.3621044456958771, 0.20820164680480957, -0.01618363708257675, 0.37608352303504944, 0.272311270236969, -0.14062802493572235, 0.29741936922073364, 0.1470683068037033, -0.2851494252681732, -0.47980400919914246, 0.024849459528923035, -0.23180435597896576, 0.07190601527690887, -0.0669659897685051, -0.2146497219800949, 0.10109585523605347, -0.48513373732566833, -0.5139775276184082, -0.478333979845047, -0.05142195150256157]"
"8","Some Hearts","Carrie Underwood","country","https://en.wikipedia.org/wiki/Some_Hearts","[0.015710214152932167, -0.5710225701332092, -0.7104523777961731, 0.06972837448120117, 0.24740691483020782, 0.25906333327293396, 0.0653097927570343, -0.47838640213012695, -0.12856395542621613, 0.04317803308367729, -0.36494097113609314, -0.015721207484602928, -0.0483834333717823, 0.738502562046051, -0.25589069724082947, -0.16469943523406982, -0.32334384322166443, -0.3636751174926758, 0.41851067543029785, 0.011727984063327312, -0.29131659865379333, 0.33692696690559387, 0.5396204590797424, 0.275214821100235, -0.2889827489852905, 0.4429077208042145, 0.12677255272865295, 0.3394143283367157, 0.9247153997421265, -0.22526554763317108, 0.6081218719482422, -0.602600634098053, -0.47723251581192017, 0.2965697944164276, -0.02288196235895157, 0.1111389696598053, 0.16396988928318024, 0.17685870826244354, 0.09957987070083618, -0.584466278553009, 0.33366942405700684, 0.7547584772109985, 0.5517745018005371, 0.7565276026725769, -0.31912097334861755, 0.5721659064292908, -1.0305997133255005, -0.30004018545150757, -0.13255929946899414, -0.42125391960144043, -0.30054932832717896, 0.3928493559360504, 0.21190519630908966, 0.2199404537677765, 0.49518799781799316, 0.08555428683757782, -0.016483832150697708, -0.2287355363368988, 0.2382339984178543, -0.07025371491909027, 0.5447868704795837, -0.26873284578323364, -0.32585853338241577, 0.05749937519431114, 0.2354889214038849, -0.20440815389156342, -0.18416063487529755, -0.2222525030374527, 0.43961167335510254, -0.6375134587287903, -0.7347361445426941, -0.636811375617981, -0.014197868295013905, -0.1817862093448639, -0.17013533413410187, -0.1454848200082779, 0.5719656348228455, -0.35950252413749695, 0.1296566128730774, 0.04612159729003906, 0.22616030275821686, -0.4385271668434143, 0.16820502281188965, 0.5801085829734802, 0.3193380534648895, -0.2460409253835678, -0.32732194662094116, 0.626781165599823, 0.13935169577598572, -0.27211621403694153, -0.03199787065386772, -0.9244564771652222, -0.2605840563774109, 0.38533514738082886, 0.396015465259552, -0.30597126483917236, 0.09785525500774384, 0.347210168838501, -0.2757692039012909, -0.055995579808950424, 0.17964784801006317, -0.2030687779188156, -0.5249533653259277, -0.8122537732124329, 0.27792423963546753, 0.13169513642787933, 0.23832789063453674, 0.2142772227525711, 0.5133110284805298, 0.8434348702430725, 0.06347804516553879, -0.5095657110214233, -0.1689445525407791, 0.04627949371933937, 0.20469330251216888, 0.043588798493146896, -0.6733474135398865, 0.5788319706916809, -0.25165072083473206, 0.5406057238578796, 0.13157005608081818, 0.06980644166469574, -0.23276205360889435, 0.3940480649471283, -0.13785320520401, -0.07035394012928009, 0.09669379889965057, -0.408284991979599]"
"9","Red Dirt Girl","Emmylou Harris","country","https://en.wikipedia.org/wiki/Red_Dirt_Girl","[-0.15391415357589722, -0.8200645446777344, -0.3600029945373535, 0.6463974714279175, -0.1465088129043579, 0.12977460026741028, 0.48393771052360535, -0.5701207518577576, -0.40810179710388184, 0.6582934260368347, -0.7393497228622437, 0.10419470071792603, -0.09749799966812134, 0.8101089000701904, 0.28355711698532104, -0.7025628685951233, -0.7103778123855591, -0.09047583490610123, 0.13500188291072845, 0.294464647769928, 0.17932523787021637, 0.08456460386514664, 0.3975667953491211, 0.15571795403957367, -0.059157729148864746, 0.6632135510444641, 0.1406238079071045, 0.45335257053375244, 0.21648579835891724, 0.025372538715600967, 0.30504533648490906, 0.3029946982860565, -0.26113277673721313, 0.11564773321151733, 0.04488401487469673, -0.07939319312572479, 0.3442666530609131, -0.013210777193307877, -0.11151931434869766, -0.6842134594917297, 0.4627492129802704, 0.057837843894958496, 0.004189136438071728, 0.4704872667789459, -0.24418053030967712, 0.36226508021354675, -0.25488072633743286, -0.6606011390686035, 0.0022188792936503887, -0.2625649571418762, -0.6868217587471008, -0.27416369318962097, -0.6843476295471191, -0.15855850279331207, -0.20242595672607422, -0.2590484023094177, -0.1566457897424698, 0.131659597158432, 0.05257733538746834, 0.04983539879322052, 0.8071402907371521, -0.32659462094306946, -0.04297048598527908, 1.1655884981155396, 0.057454369962215424, -0.11952373385429382, 0.05472388491034508, 0.0966339185833931, -0.056425563991069794, 0.0009781722910702229, -0.2825586795806885, -0.17638641595840454, 0.05353664979338646, -0.11245821416378021, 0.15419626235961914, 0.12658774852752686, -0.038919948041439056, 0.2931358814239502, 0.8366087675094604, 0.459086537361145, -0.38910895586013794, -0.015353200025856495, 0.32197305560112, 0.2530514895915985, 0.3923501968383789, -0.310936838388443, -0.5042769908905029, -0.02538205496966839, 0.2233622521162033, -0.19954350590705872, -0.2204562872648239, -0.44462668895721436, -0.25615257024765015, 0.12660861015319824, 0.06890266388654709, 0.3441076874732971, 0.2394988238811493, 0.37743279337882996, 0.25929325819015503, 0.12405450642108917, -0.03645109757781029, -0.11393509060144424, -0.6174542307853699, -0.1754007637500763, -0.02691851183772087, -0.02736060880124569, 0.13419398665428162, -0.053363919258117676, -0.08888622373342514, 0.5171834230422974, 0.10372328013181686, 0.28696414828300476, -0.0646059587597847, 0.3673570454120636, 0.4011589288711548, 1.0114202499389648, -0.4487352967262268, -0.2543640732765198, 0.24070218205451965, -0.6041978597640991, 0.43489834666252136, 0.46089592576026917, -0.5777859091758728, 0.25003817677497864, 0.17871223390102386, 0.11090534925460815, -0.05025409907102585, 0.2960827350616455]"
