"id","title","author","label","URL","embedding"
"0","Chief","Eric Church","country","https://en.wikipedia.org/wiki/Chief_(album)","[0.7422655820846558, 0.023125318810343742, -0.05737753584980965, -0.00919654592871666, 0.6846895813941956, 0.0156128890812397, -0.21010370552539825, -0.13190707564353943, -0.5983831286430359, -0.10313832759857178, 0.23413553833961487, 0.5186077952384949, 0.6960185766220093, 0.06975361704826355, 0.1668560951948166, -0.03511461243033409, -0.31195205450057983, 0.6614270210266113, 0.2903067171573639, -0.04932745173573494, 0.4780353605747223, 0.04839213937520981, 0.06191276013851166, -0.70326828956604, -0.12085986137390137, -0.3044452965259552, 0.6540809869766235, -0.30321016907691956, 0.44729915261268616, -0.08531714975833893, 0.39347514510154724, -0.3170119524002075, 0.09101798385381699, 0.22482474148273468, -0.9871857166290283, 0.718666672706604, -0.2859306037425995, 0.5079832077026367, -0.4605913758277893, -0.024420037865638733, 0.4003296494483948, 0.5649201273918152, 0.3264015018939972, -0.020626720041036606, 0.0075933909974992275, -0.14433546364307404, -0.6343823671340942, -0.054997045546770096, 0.7241175770759583, 0.04792315885424614, -0.25776782631874084, 0.6090663075447083, 0.3686733543872833, -0.26711294054985046, 0.29349246621131897, 0.7725326418876648, -0.6205450296401978, -0.5771309733390808, 0.11804041266441345, 0.05697784572839737, 0.1147538274526596, 0.773301362991333, 0.785159170627594, -0.5589280128479004, 0.2328370362520218, 0.22757117450237274, 0.15287813544273376, -0.16277089715003967, -0.038024868816137314, 0.0438632033765316, -0.13537098467350006, -0.0003194884047843516, 0.15016663074493408, 0.4044402837753296, -0.14016605913639069, -0.15647725760936737, 0.40079420804977417, 0.5186315774917603, 0.6627151966094971, 0.23706373572349548, 0.3174893856048584, -0.029374953359365463, 0.21601809561252594, 0.030301230028271675, 0.06519999355077744, -0.20718786120414734, 0.3627384603023529, -0.01658819057047367, -0.4213982820510864, 0.39716026186943054, 0.05431829392910004, 0.03120938315987587, 0.026692887768149376, -0.13888658583164215, 0.5126079320907593, -0.5838592648506165, 0.18461103737354279, 0.4295436143875122, 0.37246036529541016, -0.6961188912391663, -0.17581108212471008, 0.42892080545425415, -0.38250187039375305, 0.11104754358530045, 0.12155906111001968, -0.09499169141054153, 0.16023053228855133, -0.22921036183834076, -0.35214948654174805, -0.5017186999320984, 0.488240510225296, -0.29199284315109253, 0.24805501103401184, -0.3237514793872833, -0.050091732293367386, -1.1191356182098389, -0.25729796290397644, -0.2877916395664215, -0.5838142037391663, -0.15113505721092224, 0.012059567496180534, -0.11068076640367508, -0.8518276214599609, 0.27966979146003723, 0.1534930020570755, 0.040050484240055084, 0.11664622277021408, -0.15073534846305847]"
"1","Stand By Your Man","Tammy Wynette","country","https://en.wikipedia.org/wiki/Stand_by_Your_Man_(album)","[-0.5624205470085144, 0.45051097869873047, -0.012106886133551598, 0.3252251446247101, 0.24024420976638794, -0.18929171562194824, 0.1104293093085289, -0.13573086261749268, 0.1151338443160057, -0.5637852549552917, -0.0051512341015040874, -0.06629306823015213, 0.07048667222261429, 0.23732659220695496, 0.28113603591918945, 0.840022087097168, 0.11851811408996582, -0.4703584313392639, -0.0628184974193573, -0.14619404077529907, 0.7660738825798035, 0.18689115345478058, -0.2099093645811081, 0.006701755337417126, 0.061142075806856155, 0.22862155735492706, 0.3880993723869324, -0.39648133516311646, 0.19600258767604828, 0.34556061029434204, 0.2876364290714264, -0.3098789155483246, 0.30374810099601746, 0.22949767112731934, 0.1363084316253662, -0.016874978318810463, -0.6632684469223022, -0.23120038211345673, -0.270844429731369, -0.45178937911987305, 0.4179353415966034, 0.6604674458503723, 0.19837655127048492, -0.0015436948742717505, 0.15334436297416687, -0.021940695121884346, 0.3085481822490692, 0.0674748495221138, 0.41922301054000854, 0.0751323327422142, -0.13995197415351868, 0.4332367479801178, -0.20779360830783844, 0.35646167397499084, -0.2868766188621521, -0.06232745945453644, -0.14693085849285126, 0.10651341080665588, 0.2877752482891083, -0.31398770213127136, -0.16970402002334595, -0.08905157446861267, 0.2946760356426239, -0.2857469916343689, -0.07209908962249756, 0.6832872033119202, 0.4445292353630066, -0.18219928443431854, 0.6787761449813843, -0.08226066827774048, -0.3433288335800171, 0.49282872676849365, 0.194122776389122, 0.07882262021303177, -0.3528312146663666, 0.2727809548377991, 0.5828965306282043, 0.3207923471927643, -0.06613022089004517, 0.14161066710948944, 0.014099158346652985, -0.40669435262680054, 0.074656642973423, -0.6396924257278442, -0.37085214257240295, -0.06393800675868988, -0.0819275975227356, -0.7748908400535583, -0.7611331939697266, 0.23508380353450775, -0.07335872948169708, 0.10831921547651291, 0.1826854646205902, 0.40612226724624634, -0.3297753632068634, 0.02239028923213482, -0.040635641664266586, 0.2636009752750397, -0.3266565203666687, -0.5787956714630127, 0.07886267453432083, 0.0862656831741333, 0.4258708655834198, 0.4934208393096924, 0.460452139377594, -0.4604812562465668, -0.5906895399093628, -0.2753906846046448, -0.19484145939350128, -0.28328362107276917, -0.0603124275803566, -0.499070405960083, -0.14163267612457275, -0.5368679761886597, 0.5019966959953308, -0.14800991117954254, -0.26053258776664734, 0.04780219867825508, -0.44425129890441895, -0.09246993064880371, -0.1578827053308487, 0.0746406838297844, 0.0867902934551239, 0.3419085144996643, 0.6171907186508179, 0.11679214239120483, -0.10282455384731293, -0.47468727827072144]"
"2","American III: Solitary Man","Johnny Cash","country","https://en.wikipedia.org/wiki/American_III:_Solitary_Man","[-0.40376371145248413, -0.20229654014110565, 0.25485002994537354, 0.5063621997833252, -0.03512238338589668, -0.06544645875692368, -0.03780188411474228, 0.18134240806102753, 0.4039524495601654, 0.024287045001983643, 0.062445223331451416, 0.1943158656358719, 0.13618163764476776, -0.12176645547151566, 0.06892535835504532, 0.11850494146347046, 0.38497358560562134, 0.07651572674512863, 0.029600882902741432, -0.07038221508264542, 0.6860013604164124, -0.22166526317596436, 0.32253873348236084, 0.41149649024009705, 0.1470179259777069, -0.11824778467416763, 0.17453771829605103, -0.23077194392681122, 0.14000064134597778, 0.08680106699466705, 0.7081291675567627, -0.219681516289711, 0.2605322599411011, 0.3142695128917694, -0.42216917872428894, -0.09666066616773605, 0.005282113328576088, -0.4216081202030182, -0.14691965281963348, -0.1525779366493225, -0.09654002636671066, 0.1640162616968155, -0.20650714635849, 0.20066651701927185, 0.16917559504508972, -0.1952366828918457, 0.21190449595451355, 0.32575723528862, 0.06527943164110184, -0.25022727251052856, -0.08318156749010086, 0.16575807332992554, 0.052359309047460556, -0.25294655561447144, -0.45065441727638245, -0.09097672253847122, -0.13071297109127045, -0.4722687900066376, -0.3541796803474426, -0.25005877017974854, 0.02854483760893345, -0.03493635728955269, -0.07271460443735123, 0.16506218910217285, 0.027315989136695862, -0.05913577601313591, 0.46211129426956177, -0.16906514763832092, -0.09639815986156464, 0.098970927298069, 0.5050279498100281, -0.2471643090248108, -0.07678587734699249, 0.42424774169921875, -0.5038228034973145, -0.4948699474334717, -0.1382932811975479, 0.3807433247566223, 0.23588576912879944, 0.8432231545448303, 0.35699665546417236, -0.41973093152046204, 0.2799597978591919, -0.10464198887348175, -0.6314873099327087, 0.31070372462272644, -0.3064151108264923, 0.1957969218492508, -0.4135544002056122, 0.06803890317678452, 0.5883808135986328, 0.05773843079805374, 0.3822336494922638, 0.07438827306032181, -0.37107840180397034, -0.34108319878578186, -0.16492190957069397, -0.007926123216748238, 0.23047757148742676, -0.09554075449705124, -0.09212855994701385, -0.0023011963348835707, 0.6130226850509644, -0.08279838413000107, -0.44451212882995605, -0.11031369119882584, -0.3364219069480896, -0.21102821826934814, -0.19354212284088135, 0.1322607696056366, 0.42604854702949524, -0.6364765167236328, 0.11125999689102173, -0.33183279633522034, 0.2964993417263031, -0.130567267537117, -0.456744909286499, 0.5104616284370422, -0.21678631007671356, 0.2352621704339981, 0.2732396125793457, -0.07241326570510864, 0.056353479623794556, 0.4414272904396057, 0.7209389209747314, 0.34232816100120544, -0.13681252300739288, 0.10105334222316742]"
"3","Golden Ring","Tammy Wynette and George Jones","country","https://en.wikipedia.org/wiki/Golden_Ring_(album)","[0.020705364644527435, 0.5244213938713074, -0.19950665533542633, 0.29777684807777405, 0.5831478834152222, -0.2654782831668854, -0.10618662089109421, -0.35283657908439636, -0.05354028567671776, -0.5893572568893433, -0.010291550308465958, 0.13425840437412262, 0.38461795449256897, -0.12319321185350418, 0.14512114226818085, 0.5628741383552551, 0.1357753872871399, -0.24045872688293457, 0.21431659162044525, -0.42339038848876953, 0.8801640868186951, 0.2542358934879303, -0.18832963705062866, -0.060570333153009415, 0.2699102759361267, 0.23005953431129456, 0.3953917920589447, -0.34893107414245605, 0.16746528446674347, 0.4097312092781067, 0.5398105978965759, -0.17173892259597778, 0.17376111447811127, 0.022359363734722137, -0.01367868296802044, 0.04301300272345543, -0.8540430068969727, -0.07696563750505447, -0.3744993209838867, -0.2597126066684723, 0.3897859454154968, 0.4501965045928955, 0.11619051545858383, -0.11250711232423782, 0.23676270246505737, -0.4300379157066345, -0.18264029920101166, -0.08358623832464218, 0.4528582990169525, 0.23540154099464417, -0.037059832364320755, 0.6333025693893433, -0.16840563714504242, 0.33791595697402954, -0.18880189955234528, -0.195165753364563, -0.5074766278266907, -0.17042014002799988, 0.2962992191314697, -0.5581229329109192, 0.12004878371953964, 0.2967911660671234, 0.1866239458322525, -0.14166858792304993, -0.03090500272810459, 0.22404947876930237, 0.2910699248313904, 0.22617563605308533, 0.7029402852058411, -0.20106899738311768, -0.25984081625938416, 0.4644626975059509, 0.46974441409111023, 0.12483743578195572, -0.1516902893781662, 0.03805737942457199, 0.5799852013587952, 0.3599725067615509, -0.007692504208534956, 0.0003957479784730822, 0.08885962516069412, -0.4931764304637909, 0.2353440821170807, -0.4205954968929291, -0.3026609718799591, 0.031723424792289734, 0.038565706461668015, -0.6908769011497498, -0.5660998225212097, 0.07879708707332611, -0.18228532373905182, -0.21638618409633636, 0.27535349130630493, 0.34790268540382385, -0.12162385880947113, -0.20043165981769562, 0.18834030628204346, 0.2258637398481369, -0.3540436923503876, -0.4891512393951416, 0.06623679399490356, 0.06542931497097015, 0.34851595759391785, 0.16979730129241943, 0.18351368606090546, -0.3886236548423767, -0.07539006322622299, -0.20683513581752777, -0.42536598443984985, -0.09013383835554123, -0.009728716686367989, -0.43914875388145447, 0.06379400193691254, -0.530055582523346, 0.2897106409072876, -0.5747278928756714, -0.27297911047935486, 0.16857554018497467, -0.4138983190059662, -0.30031973123550415, -0.3558315932750702, -0.030719654634594917, -0.047313250601291656, -0.132528617978096, 0.43543779850006104, 0.2482595443725586, -0.19246028363704681, -0.515769362449646]"
"4","The Woman In Me","Shania Twain","country","https://en.wikipedia.org/wiki/The_Woman_in_Me_(Shania_Twain_album)","[0.11366413533687592, 0.03196963295340538, 0.03239530324935913, -0.26292797923088074, 0.33248990774154663, -0.12554287910461426, 0.02330920472741127, 0.4460185766220093, -0.026504628360271454, 0.23953720927238464, 0.1180708184838295, 0.4800373613834381, 0.04587465152144432, -0.2789503037929535, 0.6285809278488159, 0.02592586539685726, 0.3680756092071533, -0.09859964996576309, 0.12942415475845337, 0.08651715517044067, 0.2030484974384308, 0.11833595484495163, 0.11228269338607788, -0.032759636640548706, 0.7056788802146912, -0.49592888355255127, 0.31278589367866516, -0.0242483988404274, -0.4064326286315918, 0.029320525005459785, 0.370323121547699, -0.39857012033462524, 0.3159235119819641, 0.4346238672733307, -0.3126024007797241, -0.16724181175231934, 0.09370376169681549, 0.28790122270584106, -0.1475197821855545, -0.03645280748605728, -0.4785637855529785, 0.38094833493232727, 0.2906056344509125, 0.37882718443870544, 0.03242272138595581, -0.16372713446617126, 0.052963342517614365, 0.22607167065143585, 0.7743474841117859, -0.5228422284126282, -0.36334922909736633, -0.02057303488254547, -0.10936426371335983, 0.49305814504623413, -0.2936050295829773, 0.03288773447275162, -0.4944779872894287, -0.5399102568626404, -0.0557251013815403, 0.43898624181747437, -0.06990457326173782, 0.34684833884239197, -0.19274109601974487, -0.13750521838665009, 0.346261590719223, 0.40311703085899353, 0.1628911793231964, -0.1494855284690857, 0.16040870547294617, 0.08228261023759842, -0.12717294692993164, 0.3387344181537628, 0.20090845227241516, 0.15051886439323425, -0.5143817663192749, -0.11561829596757889, 0.7283867001533508, 0.4660176634788513, -0.095553457736969, 0.04536457732319832, 0.15608957409858704, 0.002771008526906371, 0.35101833939552307, -0.11531044542789459, -0.24634598195552826, -0.2770489752292633, 0.10027138143777847, -0.22427354753017426, -0.1793157011270523, 0.563232958316803, 0.028602968901395798, -0.019108613952994347, -0.3588238060474396, 0.49664315581321716, -0.0792689397931099, 0.046618446707725525, -0.3775129020214081, 0.4007493257522583, 0.022115148603916168, -0.49219292402267456, 0.17395876348018646, 0.22283627092838287, -0.09549417346715927, -0.534973680973053, -0.3366321325302124, -0.3381250500679016, -0.561222493648529, -0.052137233316898346, -0.4013364911079407, -0.21013745665550232, -0.12322800606489182, -0.7158930897712708, -0.03749098256230354, -0.5776023268699646, 0.4814082980155945, -0.15257713198661804, -0.24252711236476898, -0.4202270209789276, 0.21711240708827972, 0.4553454518318176, 0.3280732035636902, 0.2272035777568817, 0.18592485785484314, 0.12497057765722275, 0.35572877526283264, 0.029187509790062904, -0.420998752117157, -0.009061652235686779]"
"5","Breathe","Faith Hill","country","https://en.wikipedia.org/wiki/Breathe_(Faith_Hill_album)","[0.0942649394273758, 0.605967104434967, -0.38338252902030945, -0.35923531651496887, 0.031949762254953384, 0.26871800422668457, -0.06324359029531479, 0.3311974108219147, 0.09830334037542343, -0.43282994627952576, -0.05772920325398445, -0.13563157618045807, 0.5236624479293823, -0.6167924404144287, 0.06498095393180847, 0.03797511011362076, -0.27678999304771423, -0.4042540490627289, 0.028641188517212868, -0.3072187006473541, 0.414946973323822, -0.08205655217170715, 0.04321591556072235, 0.08591260015964508, 0.11506913602352142, 0.17554987967014313, -0.083428755402565, 0.16508033871650696, -0.3071627914905548, 0.12231661379337311, -0.0011780941858887672, -0.38649803400039673, -0.060037266463041306, -0.12462091445922852, -0.15499506890773773, -0.12063367664813995, -0.028580421581864357, -0.10916778445243835, -0.15689022839069366, -0.08274976909160614, 0.23189866542816162, 0.2107904553413391, -0.5548335909843445, -0.047147952020168304, 0.18359728157520294, 0.0043832482770085335, -0.3580290973186493, -0.3224099278450012, 0.05451604351401329, 0.2783033549785614, -0.14716115593910217, 0.025468358770012856, -0.050352245569229126, 0.4859851002693176, 0.08408793807029724, 0.026618989184498787, -0.2918418049812317, -0.2513819932937622, -0.25818800926208496, -0.25447091460227966, 0.48556220531463623, 0.5534988641738892, 0.3803168833255768, -0.17191968858242035, 0.7197609543800354, 0.07253379374742508, -0.347052663564682, -0.20025934278964996, -0.12090487778186798, 0.31700989603996277, 0.4304759204387665, -0.1256094127893448, 0.3044317364692688, 0.46363139152526855, -0.16776202619075775, -0.3213053047657013, 0.44335752725601196, 0.1150643527507782, 0.11787182092666626, -0.029886629432439804, -0.14827650785446167, 0.05893918499350548, 0.4248502552509308, -0.058371689170598984, -0.03603322431445122, -0.28666964173316956, -0.01766914874315262, -0.355195552110672, -0.4212336242198944, -0.028507323935627937, 0.04017701372504234, -0.5104261636734009, 0.5388756990432739, 0.01864350587129593, -0.1453075259923935, 0.10752569139003754, -0.16232506930828094, 0.33128002285957336, -0.19641035795211792, -0.19180157780647278, -0.023194918408989906, 0.027071671560406685, 0.07218868285417557, -0.06403797119855881, 0.6022533178329468, -0.37703168392181396, -0.09232155978679657, -0.2960142493247986, -0.1740531176328659, 0.07544925063848495, -0.10141917318105698, -0.8008214831352234, 0.07874870300292969, -0.5789823532104492, -0.3104999363422394, -0.5695526003837585, -0.5345367193222046, -0.2680283188819885, -0.40025943517684937, 0.3842855989933014, -0.053985144942998886, -0.3847079277038574, 0.20910172164440155, 0.15208248794078827, 0.2191145271062851, -0.005707349628210068, -0.3646393418312073, 0.6375592350959778]"
"6","Guitars, Cadillacs, Etc., Etc.","Dwight Yoakam","country","https://en.wikipedia.org/wiki/Guitars,_Cadillacs,_Etc.,_Etc.","[0.6097778081893921, 0.3279997408390045, -0.14413999021053314, 0.4974726438522339, 0.06285485625267029, -0.44736814498901367, -0.4767679274082184, 0.061371877789497375, 0.032150138169527054, -0.5202058553695679, 0.2357465922832489, 0.17595626413822174, 0.136813685297966, -0.1951945722103119, 0.18796031177043915, 0.06126478314399719, 0.11424019932746887, -0.10246402025222778, 0.06766576319932938, 0.07131806761026382, 0.2827187478542328, -0.13231748342514038, 0.1311391144990921, -0.13077406585216522, 0.08637914806604385, 0.21017198264598846, 0.16691698133945465, -0.41120079159736633, 0.08377932757139206, 0.2727664113044739, 0.4845508337020874, -0.09067056328058243, -0.12132181972265244, -0.16083858907222748, -0.3714662194252014, -0.00010978196223732084, 0.358987957239151, 0.627203106880188, 0.5168625116348267, -0.040044862776994705, 0.061693739145994186, -0.0532170906662941, 0.16775234043598175, 0.09681130945682526, 0.2053307294845581, -0.18587785959243774, 0.07937921583652496, -0.03676234558224678, 0.07163698971271515, -0.28435471653938293, -0.5923530459403992, 0.11054673045873642, 0.06807523965835571, 0.2385929673910141, -0.3738400638103485, 0.43517157435417175, -0.03206949681043625, -0.04685535281896591, 0.1225762739777565, -0.3747430741786957, 0.41660138964653015, 0.040433403104543686, -0.019519882276654243, -0.24667629599571228, 0.23078666627407074, 0.45206594467163086, -0.1971580982208252, 0.024130819365382195, 0.01163068599998951, 0.3043491542339325, 0.27907970547676086, -0.3598672151565552, 0.07743115723133087, -0.5211219191551208, 0.06479330360889435, 0.31464606523513794, -0.1254120171070099, 0.31599047780036926, 0.15635661780834198, 0.07794229686260223, 0.06544943153858185, -0.1105012446641922, 0.24073554575443268, 0.45915353298187256, -0.24786259233951569, -0.2440013438463211, 0.03886013105511665, -0.6679521799087524, -0.26270371675491333, 0.11356454342603683, -0.18605858087539673, -0.35301271080970764, -0.7880198359489441, 0.33090177178382874, 0.15498410165309906, -0.30456840991973877, 0.2435620278120041, -0.2748166620731354, -0.0424170084297657, 0.21533431112766266, -0.26714882254600525, 0.6452345252037048, 0.4121844470500946, 0.15504573285579681, 0.1272910088300705, -0.27256956696510315, -0.14535681903362274, -0.13561566174030304, -0.06142015755176544, -0.4696175456047058, 0.1500914841890335, -0.6441436409950256, 0.11948741972446442, -0.1045023649930954, 0.159098282456398, -0.2823888063430786, -0.4250405728816986, 0.17277240753173828, -0.046035997569561005, 0.15121203660964966, 0.15696172416210175, -0.11403122544288635, -0.3173832893371582, 0.30651232600212097, 0.39869388937950134, -0.0052472325041890144, -0.2142343372106552, -0.20528540015220642]"
"7","Unchained","Johnny Cash","country","https://en.wikipedia.org/wiki/Unchained_(Johnny_Cash_album)","[-0.02914823777973652, -0.09942760318517685, 0.24192246794700623, 0.39493328332901, -0.04257121682167053, 0.3142746090888977, 0.0008122407598420978, -0.3315613865852356, -0.3035092353820801, 0.052355799823999405, 0.611935019493103, -0.2105126827955246, 0.15566425025463104, 0.2561042010784149, 0.5512663125991821, -0.12657944858074188, 0.09921205043792725, 0.10192207992076874, -0.5021001100540161, 0.4730706810951233, 0.3179086148738861, -0.3912135660648346, -0.021067965775728226, 0.31827741861343384, 0.10532805323600769, 0.20496509969234467, 0.11985287070274353, -0.14837154746055603, 0.10447438806295395, 0.28620362281799316, 0.20224282145500183, -0.16336166858673096, 0.19948820769786835, -0.002127575222402811, -0.6016579866409302, 0.045855943113565445, 0.004617731552571058, -0.11690039932727814, -0.31030479073524475, 0.5940355658531189, 0.07500546425580978, 0.16839374601840973, 0.09614190459251404, -0.039190828800201416, 0.062282197177410126, 0.150285542011261, -0.2858664393424988, 0.06967270374298096, -0.19254666566848755, 0.11171785742044449, 0.022699259221553802, 0.10795598477125168, 0.46020230650901794, -0.2158767580986023, -0.6423724889755249, -0.10754649341106415, -0.38021036982536316, -0.4941161274909973, 0.23516157269477844, -0.44300344586372375, 0.2040778249502182, 0.009275581687688828, -0.2296663522720337, 0.07762560993432999, 0.048876576125621796, 0.17103423178195953, 0.8001807928085327, -0.010635011829435825, -0.3407699167728424, 0.4195570945739746, 0.5020533800125122, 0.2008885145187378, 0.605575442314148, 0.45543286204338074, -0.3134421408176422, -0.3525310754776001, 0.29826220870018005, 0.4184812009334564, 0.46541711688041687, 0.7095670700073242, 0.07820414006710052, -0.20007862150669098, 0.226236492395401, 0.07032006978988647, -0.7890044450759888, 0.30945008993148804, -0.36175838112831116, -0.1961987018585205, 0.12769827246665955, -0.036811474710702896, 0.34853464365005493, -0.41433805227279663, 0.20839910209178925, -0.040127601474523544, -0.10448659211397171, -0.3467874228954315, -0.06062307208776474, 0.07101491838693619, -0.14500471949577332, 0.036074358969926834, -0.16154423356056213, -0.2869391143321991, 0.5172476172447205, 0.2517830729484558, 0.27246949076652527, -0.24719999730587006, -0.061809033155441284, 0.10035771876573563, -0.31435999274253845, -0.01790046878159046, 0.1667071282863617, -0.5796326398849487, 0.24289093911647797, -0.6019385457038879, -0.04012603312730789, 0.24159128963947296, -0.3947910964488983, 0.16438783705234528, -0.23675458133220673, 0.10716240108013153, 0.20484238862991333, -0.01562894508242607, 0.05465029925107956, 0.06009892001748085, 0.2641102075576782, 0.3819352388381958, 0.08897535502910614, 0.3636486232280731]"
"8","Some Hearts","Carrie Underwood","country","https://en.wikipedia.org/wiki/Some_Hearts","[0.385949969291687, 0.6056945323944092, -0.5578164458274841, 0.21482150256633759, 0.6911971569061279, 0.01238868199288845, -0.14292359352111816, 0.019682085141539574, 0.6940857768058777, -0.27851781249046326, -0.238958939909935, -0.05547405034303665, 0.254894495010376, -0.19765524566173553, -0.10494957864284515, -0.15115977823734283, 0.3929238021373749, -0.17317861318588257, 0.12741196155548096, -0.1689375936985016, 0.40697482228279114, -0.1278616189956665, 0.1582970917224884, -0.4663665294647217, 0.17860917747020721, -0.2005881667137146, 0.6073307991027832, 0.15217900276184082, -0.16522444784641266, -0.0031827560160309076, 0.06911153346300125, -0.3702664077281952, -0.3562415540218353, 0.21443291008472443, -0.0981970801949501, 0.3228282332420349, -0.11904237419366837, 0.19331856071949005, 0.07060059905052185, 0.03420839458703995, -0.021144205704331398, 0.13010337948799133, -0.2726235091686249, 0.28813445568084717, -0.29694268107414246, 0.17745335400104523, -0.314074844121933, -0.48903006315231323, 0.36438819766044617, -0.10016883909702301, -0.13978950679302216, 0.31001606583595276, 0.03807036951184273, 0.7332960963249207, -0.5527496933937073, -0.34028851985931396, 0.009271741844713688, -0.28577274084091187, -0.2718108892440796, 0.07654579728841782, 0.5908474326133728, 0.5113101005554199, -0.13720208406448364, -0.28582170605659485, 0.23632203042507172, 0.3142533004283905, 0.16697420179843903, 0.07370004802942276, -0.08490833640098572, 0.14229528605937958, -0.14174290001392365, 0.11406505852937698, 0.19270096719264984, 0.5586689710617065, -0.3373977243900299, -0.39127030968666077, 0.047054223716259, 0.22583365440368652, -0.06627956032752991, -0.2821233868598938, 0.1987374871969223, 0.01573130302131176, 0.016442736610770226, 0.32187992334365845, 0.2691648304462433, -0.38471800088882446, 0.13935711979866028, -0.8206607699394226, -0.058560293167829514, -0.12908649444580078, 0.02895696461200714, -0.32560500502586365, 0.0030669013503938913, 0.18141406774520874, -0.3614540696144104, -0.5526228547096252, 0.2710641622543335, 0.348964124917984, 0.07222351431846619, -0.14639101922512054, -0.0729922279715538, 0.05915316194295883, 0.34959661960601807, 0.20407241582870483, 0.2606918215751648, -0.7201582193374634, -0.34730517864227295, -0.21492841839790344, 0.12273746728897095, -0.08421293646097183, 0.02843354642391205, -0.36285385489463806, -0.08657403290271759, -0.07564521580934525, 0.12941184639930725, -0.35053175687789917, -0.18416279554367065, 0.7657613158226013, -0.3820168375968933, 0.004401542246341705, -0.013990704901516438, -0.32397881150245667, 0.30293354392051697, 0.3187423646450043, 0.24769146740436554, 0.050831470638513565, -0.5743822455406189, 0.3568668067455292]"
"9","Red Dirt Girl","Emmylou Harris","country","https://en.wikipedia.org/wiki/Red_Dirt_Girl","[0.05606510117650032, 0.11631844192743301, 0.014999283477663994, 0.10476341098546982, -0.01030860748142004, -0.05090394616127014, -0.2697143256664276, 0.08299554884433746, -0.1358637660741806, 0.018866460770368576, 0.31538125872612, 0.061151470988988876, -0.012269003316760063, -0.3002924621105194, 0.38551637530326843, 0.14202438294887543, 0.038971222937107086, -0.7117107510566711, 0.069727823138237, -0.2855771481990814, 0.7021315097808838, -0.04961257055401802, -0.23264187574386597, -0.09195242822170258, -0.10734739899635315, 0.1951703131198883, 0.4809972643852234, -0.7326233983039856, 0.07240033149719238, -0.14527620375156403, 0.1268060952425003, -0.34252095222473145, -0.5131969451904297, 0.03853681683540344, -0.6164298057556152, -0.43765389919281006, 0.16484814882278442, 0.44020044803619385, 0.3191954493522644, 0.30888307094573975, -0.1474568396806717, 0.5114620327949524, -0.05556965619325638, -0.08002357929944992, -0.14810819923877716, 0.16724509000778198, -0.377003014087677, 0.09206539392471313, -0.23756851255893707, 0.055044036358594894, 0.0928812325000763, 0.10970067977905273, 0.2011638879776001, 0.16136707365512848, 0.12404072284698486, -0.06533987075090408, -0.35849130153656006, -0.013271638192236423, -0.03032865561544895, -0.05066198110580444, -0.14035609364509583, 0.030927518382668495, -0.35778966546058655, -0.10633969306945801, 0.3070662319660187, 0.1004742905497551, 0.2746772766113281, -0.14099806547164917, 0.4003266394138336, 0.43891772627830505, 0.36977607011795044, 0.055525802075862885, -0.349780410528183, 0.023133860900998116, 0.1492822915315628, -0.2863512337207794, 0.4999362528324127, 0.4192937910556793, 0.15972550213336945, 0.22876207530498505, -0.1299462467432022, -0.10243800282478333, 0.14969097077846527, -0.011732704006135464, -0.1887873113155365, -0.3314608037471771, 0.33865785598754883, -0.5074746608734131, -0.30420130491256714, 0.08102595061063766, 0.202017143368721, -0.6892390847206116, 0.18662190437316895, 0.1726459562778473, 0.34188270568847656, -0.26043370366096497, 0.3198939561843872, 0.6509107351303101, -0.11782561987638474, 0.004216732922941446, 0.1590641438961029, -0.12331496924161911, 0.5127379894256592, -0.10232345759868622, 0.8210675716400146, -0.2887047529220581, 0.0943332090973854, 0.23708444833755493, -0.2396131157875061, -0.06492070108652115, 0.016693217679858208, -0.5137996673583984, 0.2504546344280243, 0.10310877114534378, -0.1157771423459053, -0.43210145831108093, -0.2824053466320038, 0.2477208375930786, -0.30007240176200867, -0.20197166502475739, -0.42906153202056885, -0.0969574823975563, 0.2611825466156006, 0.324003666639328, 0.3295227885246277, 0.2274782657623291, -0.3612581789493561, 0.3214830458164215]"
