"id","title","author","label","URL","embedding"
"0","Chief","Eric Church","country","https://en.wikipedia.org/wiki/Chief_(album)","[0.25365376472473145, -0.22523759305477142, 0.29939645528793335, -0.23387238383293152, 0.1849287748336792, -0.5912685394287109, -0.7462382912635803, -0.3538074493408203, -0.14670388400554657, -0.2584952712059021, -0.1465221792459488, -0.10424508154392242, -0.22223159670829773, 0.3339385986328125, 0.36714988946914673, -0.24164462089538574, 0.26514342427253723, 0.4278517961502075, -0.28763753175735474, -0.2893279790878296, 0.37815654277801514, -0.29267457127571106, -0.20969973504543304, -0.1382305771112442, -0.37555834650993347, -0.1578609198331833, -0.19252291321754456, 0.0960950180888176, -0.16883614659309387, -0.1276523470878601, 0.08258923143148422, -0.2609943151473999, 0.7014428377151489, -0.09150879830121994, -0.09758676588535309, -0.4465351402759552, -0.218882218003273, -0.2979027032852173, -0.28332599997520447, -0.3622586131095886, -0.13700081408023834, -0.1746753752231598, 0.16307972371578217, -0.16155345737934113, -0.371124804019928, -0.08357413858175278, -0.5610406994819641, -0.14953690767288208, 0.598304808139801, -0.04913124069571495, 0.0835430771112442, -0.21968165040016174, -0.5544065237045288, -0.41142144799232483, -0.711112380027771, 0.23512811958789825, 0.33978766202926636, 0.7527965307235718, -0.029160039499402046, -0.8558478355407715, 0.21877828240394592, -0.15841832756996155, 0.4275122880935669, 0.6691067814826965, 0.19506332278251648, 0.14961369335651398, 0.364063024520874, 0.18026284873485565, -0.35652077198028564, -0.10829590260982513, -0.16504578292369843, 0.33919164538383484, -0.495604544878006, 0.526390552520752, 0.5533433556556702, 0.41954073309898376, -0.3074854612350464, -0.5152116417884827, -0.44708704948425293, 0.5807047486305237, -0.6238740086555481, 0.20013463497161865, -0.24673983454704285, -0.5563419461250305, 0.3312225639820099, -0.6214587092399597, -0.7641447186470032, -0.22489933669567108, -0.09529352933168411, 0.4188995957374573, -0.15951186418533325, 0.276416152715683, 0.43400222063064575, -0.011028052307665348, 0.22321592271327972, -0.19997656345367432, -0.2395455241203308, 0.3905903398990631, 0.10153203457593918, 0.15133020281791687, -0.046596791595220566, 0.3963562250137329, -0.0724404826760292, 0.25111645460128784, -0.47547945380210876, -0.31859105825424194, 0.6162842512130737, 0.815048336982727, -0.35592129826545715, -0.2138788253068924, -0.10502202808856964, -0.2006702423095703, -0.5305631160736084, -0.5383023023605347, 0.13643665611743927, 0.489586740732193, 0.25809377431869507, 0.1937057226896286, 0.17343021929264069, -0.10587356984615326, -0.24072840809822083, 0.1298070251941681, 0.2554878294467926, 0.2727353572845459, -0.37888386845588684, -0.10147978365421295, -0.22105608880519867, -0.07208410650491714]"
"1","Stand By Your Man","Tammy Wynette","country","https://en.wikipedia.org/wiki/Stand_by_Your_Man_(album)","[-0.22275158762931824, -0.16396288573741913, 0.057325076311826706, -0.048660870641469955, 0.7659507989883423, -0.3259285092353821, -0.10771427303552628, 0.2717507481575012, -0.1749674379825592, -0.35590481758117676, 0.5113378763198853, 0.03269866481423378, -0.24871549010276794, -0.09925451129674911, -0.07510847598314285, 0.03131125494837761, -0.00850718654692173, -0.026627270504832268, -0.2708781361579895, 0.30277934670448303, 0.1687650829553604, -0.1798318475484848, 0.10182678699493408, -0.09721864014863968, -0.3344866633415222, 0.30053576827049255, -0.09177900850772858, 0.419725239276886, -0.19998714327812195, -0.4218730330467224, -0.4693385660648346, -0.2274465262889862, 0.2900455892086029, -0.24611565470695496, 0.2400095909833908, 0.08130285143852234, -0.19947411119937897, -0.27596336603164673, 0.05469803139567375, -0.4808276295661926, 0.3725653886795044, -0.17009185254573822, 0.021098444238305092, -0.6622589826583862, 0.4378146231174469, -0.5876722931861877, -0.2566079795360565, 0.0820082575082779, 0.04376975819468498, -0.15763236582279205, 0.22537046670913696, 0.24933987855911255, -0.3430485129356384, 0.25382301211357117, -0.41294798254966736, 0.30648383498191833, -0.05473320558667183, 0.30418860912323, -0.40398603677749634, -0.2525676190853119, 0.2284069061279297, 0.45146143436431885, 0.041846439242362976, 0.2662891745567322, 0.1546989530324936, -0.3177047073841095, 0.5778977274894714, -0.2202138900756836, 0.11492551863193512, 0.16048483550548553, -0.5297482013702393, 0.3050154149532318, -0.2808120846748352, -0.48545047640800476, 0.10022374242544174, 0.38010460138320923, 0.040616996586322784, 0.27432289719581604, 0.07590515166521072, -0.22488951683044434, -0.5686725974082947, 0.9113849997520447, 0.37676802277565, -0.5266274213790894, 0.23474858701229095, -0.04753514379262924, 0.19998186826705933, 0.334073930978775, -0.1568085104227066, -0.06905507296323776, 0.36496108770370483, 0.392435222864151, -0.4732493460178375, 0.5055911540985107, -0.28114864230155945, 0.23017136752605438, 0.3591859042644501, 0.2809293866157532, 0.16747722029685974, -0.23785333335399628, 0.29997172951698303, 0.13252714276313782, 0.13035482168197632, 0.36531901359558105, -0.13354423642158508, -0.3924780488014221, -0.016025502234697342, -0.18213406205177307, -0.14609387516975403, -0.18393321335315704, 0.20968279242515564, -0.2158157080411911, -0.47613072395324707, -0.0053092543967068195, 0.5763764977455139, 0.3731237053871155, 0.4767218232154846, -0.006433501373976469, 0.2931719422340393, -0.3744646906852722, 0.199508398771286, 0.19525089859962463, 0.22166943550109863, 0.29664522409439087, 0.3196520507335663, -0.3525789678096771, 0.07092346996068954, -0.0665472149848938]"
"2","American III: Solitary Man","Johnny Cash","country","https://en.wikipedia.org/wiki/American_III:_Solitary_Man","[0.24846550822257996, 0.009151997976005077, 0.47661781311035156, 0.03217316418886185, 0.28522929549217224, 0.14628008008003235, -0.19499780237674713, 0.5823005437850952, -0.1628057062625885, -0.2729690372943878, 0.10993021726608276, -0.521112322807312, 0.09510882943868637, -0.1806463599205017, 0.38911086320877075, -0.2865685820579529, -0.05107947066426277, -0.46907690167427063, 0.12360408157110214, 0.3178198039531708, 0.13195522129535675, -0.03523993864655495, -0.05478506535291672, -0.1320318728685379, -0.408037394285202, -0.09524139761924744, 0.09905638545751572, 0.4147767126560211, 0.3443716764450073, 0.009219064377248287, -0.06372447311878204, 0.14833080768585205, -0.09007082879543304, 0.0842684805393219, 0.06405974179506302, 0.003909063525497913, -0.43835628032684326, -0.5202410221099854, -0.3889937102794647, -0.24759411811828613, -0.02290860004723072, -0.1384410411119461, -0.1255522072315216, 0.1743415743112564, -0.40021035075187683, -0.5492449998855591, -0.0250859372317791, -0.4104566276073456, -0.2516712248325348, -0.21558819711208344, -0.3054533004760742, 0.021793385967612267, -0.6344176530838013, 0.7953329682350159, -0.3289087116718292, -0.01144825853407383, 0.18109747767448425, 0.27126243710517883, 0.05414767563343048, -0.5305938720703125, 0.210435688495636, -0.11313499510288239, -0.15624170005321503, -0.07324813306331635, 0.2339060753583908, -0.12541452050209045, 0.21630223095417023, -0.2849746346473694, -0.04714599624276161, 0.19413365423679352, -0.04859667271375656, 0.19444866478443146, 0.1559152454137802, -0.03802802041172981, 0.3060130774974823, -0.4119420349597931, 0.0028984902892261744, -0.1564938873052597, -0.21121372282505035, -0.06027502194046974, -0.043827932327985764, 0.2161034643650055, -0.15636317431926727, 0.46032992005348206, -0.13220739364624023, 0.13183769583702087, -0.2249193787574768, 0.3549647927284241, 0.18813996016979218, -0.06994643807411194, 0.3493489921092987, 0.5246999263763428, 0.20496238768100739, 0.2524357736110687, 0.05528654158115387, -0.21162082254886627, -0.04435069486498833, 0.24569690227508545, 0.49031272530555725, -0.006991609465330839, 0.20102693140506744, 0.49086108803749084, 0.08909977227449417, 0.3146214783191681, 0.18144060671329498, -0.21911370754241943, -0.12580838799476624, 0.18960492312908173, -0.06716416776180267, 0.06444277614355087, -0.08975952863693237, 0.21410086750984192, 0.09681833535432816, 0.000699155789334327, -0.010610944591462612, 0.3394849896430969, 0.02447059191763401, 0.5088603496551514, 0.6551863551139832, -0.4506298303604126, 0.07294830679893494, 0.06211096793413162, 0.004846710246056318, 0.07982711493968964, 0.231736958026886, -0.1469103991985321, -0.004673615097999573, -0.7410055994987488]"
"3","Golden Ring","Tammy Wynette and George Jones","country","https://en.wikipedia.org/wiki/Golden_Ring_(album)","[-0.1150776743888855, 0.1039181500673294, 0.20625491440296173, -0.1236739233136177, 0.7211562395095825, -0.38972482085227966, -0.17757660150527954, 0.2630074918270111, -0.17828057706356049, -0.4584915339946747, 0.3207545280456543, 0.03629583492875099, -0.284920871257782, 0.012278640642762184, 0.05841900780797005, 0.08437619358301163, 0.24941521883010864, 0.21819496154785156, 0.014160128310322762, 0.17348715662956238, 0.19614002108573914, -0.2503150701522827, 0.0706334263086319, -0.06594207882881165, -0.4465664327144623, 0.17741170525550842, -0.3764762580394745, 0.192091166973114, 0.15599028766155243, -0.2904513478279114, -0.18307635188102722, -0.28757771849632263, 0.44664880633354187, -0.21943826973438263, 0.22187867760658264, -0.22346842288970947, -0.07438262552022934, 0.006709055509418249, 0.2914801239967346, -0.4626055359840393, 0.511706531047821, 0.12997902929782867, 0.3455146253108978, -0.37303972244262695, 0.452736496925354, -0.24826855957508087, -0.2029159665107727, -0.0335378460586071, 0.2242237776517868, 0.04225620627403259, 0.20914770662784576, 0.40843886137008667, -0.5857939720153809, 0.2723281681537628, -0.2944137156009674, 0.5836325287818909, -0.09681472182273865, 0.5449826121330261, -0.265109121799469, -0.4481021463871002, -0.07781925052404404, 0.07954776287078857, 0.08282826095819473, 0.32389166951179504, 0.18607565760612488, -0.2736324369907379, 0.38711005449295044, -0.37696146965026855, -0.2507514953613281, -0.06760995835065842, -0.2566278576850891, 0.12391381710767746, -0.43815866112709045, -0.4685263931751251, -0.24971798062324524, 0.2901468276977539, -0.35262593626976013, 0.10383075475692749, -0.019286923110485077, -0.25501540303230286, -0.27310919761657715, 0.8310670852661133, 0.0648370012640953, -0.4651568531990051, 0.47903504967689514, -0.38137152791023254, -0.17564018070697784, 0.004295075312256813, -0.0038684289902448654, -0.18461735546588898, 0.1191210076212883, 0.3562215566635132, -0.21343867480754852, 0.6050030589103699, -0.031259309500455856, 0.0914001315832138, 0.23137567937374115, 0.09687354415655136, 0.16339847445487976, 0.19876860082149506, 0.13124512135982513, -0.2181515246629715, 0.2547789216041565, 0.28381678462028503, -0.3505633473396301, -0.06223709136247635, 0.23874442279338837, -0.15522068738937378, -0.3326687216758728, -0.19187995791435242, 0.017397943884134293, -0.005204000044614077, -0.29005545377731323, -0.2955491840839386, 0.3701024055480957, 0.23517917096614838, 0.6957482099533081, -0.06543682515621185, 0.11432862281799316, -0.5499987602233887, 0.314409464597702, 0.2767263948917389, 0.280488520860672, 0.13664571940898895, 0.24428775906562805, -0.277923583984375, 0.1556214690208435, -0.28923359513282776]"
"4","The Woman In Me","Shania Twain","country","https://en.wikipedia.org/wiki/The_Woman_in_Me_(Shania_Twain_album)","[0.47217705845832825, -0.3334536850452423, 0.0577910840511322, 0.3898974061012268, 0.17062073945999146, -0.0723474770784378, -0.15590286254882812, 0.4620400071144104, 0.12517954409122467, -0.676131010055542, 0.5519508123397827, -0.16963300108909607, -0.35136231780052185, -0.4641420841217041, 0.20082657039165497, -0.10513121634721756, 0.2659076452255249, -0.34914088249206543, -0.22564180195331573, 0.37435382604599, 0.2765023708343506, -0.3739751875400543, 0.01691432297229767, 0.0028794712852686644, -0.47555652260780334, 0.19075016677379608, -0.15961383283138275, 0.03734305500984192, -0.17970016598701477, 0.2827046811580658, 0.2922430634498596, -0.30753710865974426, 0.04675540328025818, -0.061999138444662094, 0.5175526738166809, 0.023912765085697174, 0.4122207462787628, 0.08466475456953049, 0.19495046138763428, 0.2475913017988205, -0.05305038020014763, 0.08048916608095169, 0.1907692849636078, -0.20364323258399963, -0.04449911788105965, -0.18278639018535614, -0.12355662137269974, 0.029641473665833473, 0.2516912519931793, -0.36553430557250977, 0.05024415999650955, 0.3623514175415039, -0.29225024580955505, 0.2566829323768616, -0.5503318309783936, -0.329482764005661, -0.630422830581665, -0.02078193984925747, 0.5954099893569946, -0.20373070240020752, 0.0985366627573967, -0.036938250064849854, 0.34335073828697205, 0.6972030401229858, -0.21429093182086945, 0.2945552468299866, 0.20359064638614655, -0.6588906049728394, -0.27224040031433105, 0.08593828976154327, -0.5820450186729431, 0.21335411071777344, 0.07478667050600052, -0.06367285549640656, 0.1972406804561615, -0.06075746566057205, -0.39153966307640076, -0.5856924653053284, -0.2781277000904083, 0.5005383491516113, 0.2722611725330353, 0.6795290112495422, -0.12602484226226807, 0.2807502746582031, 0.04361942037940025, 0.25021904706954956, 0.005846307147294283, 0.050330210477113724, 0.05797913670539856, 0.200190931558609, -0.12562713027000427, -0.02290463261306286, -0.24312718212604523, -0.02063647471368313, 0.256744384765625, 0.34211787581443787, -0.22545653581619263, -0.23507292568683624, 0.3442777395248413, -0.26566189527511597, 0.29746928811073303, 0.14424075186252594, 0.1157793328166008, 0.42060285806655884, 0.08101048320531845, -0.5511984825134277, 0.30387139320373535, 0.10747756063938141, -0.39477962255477905, 0.24488292634487152, 0.053853727877140045, -0.035070326179265976, 0.16097502410411835, -0.26701119542121887, 0.14911891520023346, 0.03421761468052864, -0.05747309699654579, 0.4769163727760315, -0.04454965144395828, -0.25141388177871704, -0.41892996430397034, -0.5181537866592407, 0.07857494801282883, 0.4094706177711487, 0.11510799080133438, 0.09250535815954208, -0.06200182065367699, -0.011469338089227676]"
"5","Breathe","Faith Hill","country","https://en.wikipedia.org/wiki/Breathe_(Faith_Hill_album)","[0.09364905208349228, 0.1267082691192627, 0.5054773092269897, -0.04534340277314186, -0.3702760338783264, -0.029896272346377373, 0.03963649645447731, -0.0752873495221138, -0.04005762189626694, -0.1545226126909256, 0.08494437485933304, -0.17712129652500153, -0.5006650686264038, 0.37867411971092224, -0.26861125230789185, 0.6268237233161926, 0.279112845659256, -0.2790808081626892, 0.03549230098724365, -0.05357775464653969, 0.6940024495124817, -0.03996651992201805, 0.028696009889245033, -0.01687147095799446, -0.4811645746231079, 0.07502323389053345, -0.13341838121414185, -0.21987541019916534, 0.251570463180542, -0.27537211775779724, 0.030090313404798508, -0.41188767552375793, 0.2909958064556122, -0.6590670347213745, -0.2693251073360443, -0.11980755627155304, 0.10859764367341995, 0.47117647528648376, -0.2809004783630371, -0.0981764867901802, -0.25073304772377014, -0.06003507971763611, 0.1538292020559311, 0.07362000644207001, 0.16926433145999908, -0.10841181874275208, -0.22089050710201263, -0.53097003698349, 0.4305657148361206, -0.19238701462745667, -0.07953385263681412, 0.3643750846385956, -0.559556782245636, -0.06776265054941177, 0.156358003616333, -0.04548269510269165, -0.22393909096717834, 0.6372585892677307, -0.03288845345377922, -0.17187730967998505, 0.13743385672569275, -0.22561043500900269, 0.16309624910354614, -0.20387697219848633, 0.0657767727971077, 0.22788657248020172, -0.1775151491165161, -0.07232226431369781, 0.0803445354104042, 0.34953591227531433, -0.26759442687034607, -0.05038142576813698, -0.4925073981285095, -0.32792386412620544, 0.17291082441806793, -0.11929301172494888, 0.03276103362441063, -0.10015614330768585, -0.6661682724952698, 0.1101195216178894, -0.2578250467777252, 0.17752045392990112, -0.44471824169158936, -0.6370389461517334, -0.0631612092256546, -0.31687265634536743, 0.05707651749253273, -0.2391853779554367, -0.2656228840351105, -0.5031940340995789, 0.10316705703735352, 0.3153269290924072, 0.04247162863612175, 0.004953843075782061, 0.09282325208187103, 0.16554878652095795, 0.45474645495414734, 0.07132840156555176, 0.052136972546577454, -0.2863959074020386, -0.010200866498053074, -0.4303039610385895, -0.104062020778656, 0.29834723472595215, -0.282676100730896, -0.25196337699890137, -0.13846798241138458, -0.10742031037807465, -0.2318776398897171, -0.036993589252233505, -0.34593793749809265, -0.16219811141490936, -0.41768112778663635, -0.019339945167303085, 0.19116520881652832, -0.36563554406166077, -0.1473989635705948, 0.22208009660243988, 0.11874712258577347, -0.4655715227127075, 0.034230172634124756, -0.23712661862373352, -0.2528335750102997, 0.39286670088768005, -0.30869412422180176, -0.36460840702056885, 0.13293622434139252, -0.36211588978767395]"
"6","Guitars, Cadillacs, Etc., Etc.","Dwight Yoakam","country","https://en.wikipedia.org/wiki/Guitars,_Cadillacs,_Etc.,_Etc.","[0.4012604057788849, -0.5332223176956177, -0.1765788495540619, -0.1754055768251419, 0.5123348832130432, -0.25383761525154114, -0.11153358221054077, -0.17185573279857635, -0.6847066879272461, -0.01427959743887186, -0.08159046620130539, 0.27232033014297485, -0.36292406916618347, -0.10818549990653992, 0.1428299844264984, 0.05385325103998184, 0.45266199111938477, -0.4982297420501709, -0.1937061846256256, -0.004816130734980106, 0.31078076362609863, -0.020549632608890533, 0.2667088508605957, -0.11403431743383408, -0.23295673727989197, 0.3164689242839813, -0.09412533044815063, -0.24908573925495148, -0.48710307478904724, 0.01203859131783247, -0.11287087947130203, -0.5004652738571167, -3.6670164263341576e-05, -0.18445152044296265, -0.33804625272750854, -0.43229350447654724, -0.053395140916109085, -0.19256043434143066, 0.0887715294957161, -0.25181880593299866, -0.27410823106765747, 0.18406423926353455, -0.27481430768966675, 0.5957329273223877, -0.23234622180461884, -0.3738364577293396, 0.16127774119377136, 0.263837605714798, 0.261130690574646, -0.14282840490341187, 0.07512719929218292, -0.20069986581802368, -0.2908579111099243, 0.10839980840682983, 0.15542681515216827, 0.19643501937389374, -0.002960656536743045, 0.33123594522476196, 0.30345359444618225, -0.10778321325778961, 0.14845864474773407, -0.3298540413379669, 0.019924551248550415, 0.10963107645511627, 0.5324368476867676, -0.10443397611379623, 0.19962342083454132, 0.22665610909461975, -0.2910182476043701, -0.0332120880484581, -0.1644936501979828, 0.3869241774082184, -0.5709947943687439, 0.44904810190200806, -0.30907315015792847, 0.08248236030340195, 0.29865410923957825, -0.10376017540693283, -0.23665162920951843, -0.1252390444278717, -0.04157279059290886, 0.34132832288742065, -0.023133601993322372, -0.16146795451641083, -0.33974018692970276, 0.12171050161123276, 0.13412097096443176, -0.10603518038988113, 0.16857357323169708, -0.06164177134633064, 0.14543597400188446, -0.23268181085586548, 0.2682288587093353, -0.18813414871692657, -0.31587016582489014, 0.1706981509923935, 0.0719957947731018, 0.059979766607284546, -0.21777120232582092, -0.27666613459587097, -0.21796247363090515, 0.0694693848490715, -0.2335330694913864, -0.2240377813577652, -0.11304859817028046, -0.1573784053325653, 0.15886954963207245, -0.0006984132342040539, 0.21247170865535736, 0.10929618775844574, 0.17975600063800812, -0.22035779058933258, 0.4241446256637573, 0.034404002130031586, 0.24552716314792633, -0.3775106370449066, 0.21411365270614624, 0.20922376215457916, 0.008139834739267826, -0.10690315812826157, -0.03284330666065216, -0.2954385578632355, 0.7389125227928162, 0.553525984287262, 0.32151785492897034, -0.295979768037796, 0.09173932671546936, -0.13266843557357788]"
"7","Unchained","Johnny Cash","country","https://en.wikipedia.org/wiki/Unchained_(Johnny_Cash_album)","[-0.10131722688674927, -0.2238144725561142, 0.255354106426239, -0.07624618709087372, 0.12428928166627884, -0.009016674011945724, 0.10498850792646408, 0.3906997740268707, -0.13378281891345978, -0.08848387002944946, 0.1233610138297081, -0.5519574284553528, 0.19586317241191864, -0.25046783685684204, -0.05466698855161667, 0.1559261530637741, 0.5595788955688477, -0.14852207899093628, -0.06471823900938034, -0.09685171395540237, 0.1979459971189499, 0.0730554610490799, -0.4505111277103424, -0.1560133397579193, -0.6649086475372314, -0.11525660008192062, -0.12665195763111115, 0.4785415828227997, 0.20363464951515198, 0.20432554185390472, 0.06397935748100281, -0.3340778946876526, -0.19156287610530853, -0.13313449919223785, -0.0096520921215415, -0.09266527742147446, -0.2338542640209198, -0.4946572780609131, -0.5160627961158752, -0.7261949181556702, -0.3457459509372711, -0.09274385124444962, -0.3628475069999695, 0.10619569569826126, 0.45567846298217773, -0.10250867158174515, 0.020585691556334496, -0.26880669593811035, -0.5686479210853577, -0.27799105644226074, 0.08835362643003464, 0.01967880129814148, -0.42255398631095886, 0.19283805787563324, -0.20863783359527588, 0.11712335050106049, -0.42325255274772644, -0.09061289578676224, -0.21442097425460815, -0.399696409702301, -0.11421138793230057, -0.22223371267318726, 0.246586874127388, -0.3991755545139313, 0.035298239439725876, -0.3141636550426483, 0.08304779976606369, -0.405009925365448, 0.46671247482299805, -0.3080064356327057, 0.3075861930847168, 0.2571587562561035, 0.14402803778648376, -0.1539222151041031, 0.3699939548969269, 0.174625426530838, -0.07924140989780426, -0.007560073863714933, -0.6940060257911682, 0.04430101066827774, 0.39038586616516113, 0.28612515330314636, 0.13350693881511688, 0.18023881316184998, -0.013761439360678196, 0.1514795869588852, -0.10597359389066696, 0.3301122188568115, -0.09673286229372025, 0.32849788665771484, -0.0017348079709336162, 0.26832082867622375, 0.13526546955108643, 0.4296633303165436, 0.1369728446006775, -0.3093929886817932, 0.2720417380332947, -0.07762238383293152, 0.4227370023727417, 0.009029688313603401, 0.01869220845401287, 0.19851689040660858, -0.026805561035871506, 0.12359543144702911, -0.22285844385623932, -0.2723502516746521, -0.08301430940628052, 0.05576162785291672, 0.2138667106628418, 0.4662345051765442, -0.23074433207511902, -0.1898663341999054, 0.16616801917552948, 0.03302321583032608, 0.2793648838996887, 0.42127853631973267, -0.25016364455223083, 0.01928197219967842, 0.24302737414836884, -0.2786039710044861, 0.265519917011261, -0.06106634438037872, 0.0133690619841218, 0.03307515010237694, 0.31883612275123596, 0.04131823033094406, 0.1640128344297409, -0.66203773021698]"
"8","Some Hearts","Carrie Underwood","country","https://en.wikipedia.org/wiki/Some_Hearts","[0.20555640757083893, 0.22446931898593903, 0.03338548168540001, -0.12289765477180481, 0.3914770185947418, 0.09746040403842926, -0.4872361421585083, 0.14896434545516968, 0.11675113439559937, 0.01671074517071247, -0.2122770994901657, -0.04619968682527542, -0.7734310626983643, -0.10945948213338852, -0.2349397987127304, -0.018112100660800934, 0.579632580280304, -0.25886261463165283, 0.03110196627676487, 0.16522110998630524, 0.5749368071556091, 0.07980639487504959, 0.2579880654811859, -0.3160085678100586, -0.2692062258720398, 0.05002288520336151, -0.29357051849365234, -0.19632737338542938, 0.2889789938926697, -0.18255533277988434, -0.2612450122833252, -0.6730876564979553, -0.12073592841625214, -0.5982986688613892, 0.3224868178367615, -0.4047749638557434, 0.14203940331935883, 0.11693832278251648, 0.2608485817909241, 0.11420577019453049, -0.037497200071811676, 0.10816376656293869, 0.005554518662393093, -0.2592352032661438, 0.09418920427560806, -0.3813539743423462, -0.3763885498046875, -0.2339630275964737, 0.13542065024375916, -0.4647725522518158, 0.186762735247612, -0.0483715757727623, -0.31206610798835754, 0.24812127649784088, 0.2059541493654251, -0.06538417935371399, -0.026144228875637054, 0.18403245508670807, -0.06781674921512604, -0.5840402245521545, 0.19461752474308014, 0.11396488547325134, -0.39243897795677185, -0.38969817757606506, 0.3144133985042572, -0.12275393307209015, 0.4828038215637207, -0.02743680216372013, 0.02631242200732231, 0.0853278860449791, -0.1780591458082199, -0.035485830157995224, -0.31582510471343994, 0.3504752218723297, 0.31238457560539246, 0.10354304313659668, -0.22329454123973846, -0.0470598004758358, -0.048762574791908264, 0.5300143361091614, -0.15297973155975342, 0.15701040625572205, -0.49331358075141907, -0.44256871938705444, -0.030877040699124336, -0.2652929425239563, -0.10190175473690033, 0.10456059128046036, 0.43655502796173096, -0.6154852509498596, 0.002016476122662425, -0.0865689367055893, 0.11873137205839157, -0.38308215141296387, 0.08221814781427383, 0.11906860768795013, 0.15840867161750793, -0.13755205273628235, 0.5273193717002869, -0.27935147285461426, -0.2938501238822937, -0.337862491607666, 0.006972295697778463, -0.07002697885036469, -0.6177347898483276, -0.33440476655960083, -0.04220462590456009, -0.25462719798088074, -0.547737717628479, 0.13094854354858398, 0.03714518994092941, -0.3608381450176239, -0.007274983916431665, -0.5439434051513672, 0.04395436868071556, 0.12601125240325928, 0.3052096962928772, 0.17069688439369202, -0.02103004977107048, -0.553806722164154, -0.036333851516246796, -0.03187667578458786, 0.24552415311336517, 0.11369357258081436, 0.3540691137313843, 0.15762729942798615, -0.018032215535640717, -0.18050391972064972]"
"9","Red Dirt Girl","Emmylou Harris","country","https://en.wikipedia.org/wiki/Red_Dirt_Girl","[-0.09194440394639969, -0.2529063820838928, 0.23843231797218323, -0.11153266578912735, 0.3101388216018677, 0.03632286190986633, 0.33311405777931213, -0.2834377586841583, 0.251703143119812, -0.03797127678990364, 0.21414272487163544, -0.31379327178001404, -0.08549540489912033, 0.16084174811840057, -0.04550032690167427, -0.22313079237937927, 0.6552562713623047, -0.0873946025967598, -0.19630543887615204, 0.14008460938930511, 0.14142057299613953, 0.15002195537090302, 0.323805570602417, 0.14010260999202728, -0.05367213115096092, 0.5168845653533936, -0.1263938844203949, 0.01919063925743103, 0.11461565643548965, -0.4292987883090973, 0.12165559828281403, -0.39091113209724426, -0.14010615646839142, -0.39112186431884766, -0.07219801843166351, -0.38229668140411377, -0.4658271074295044, 0.11521194130182266, -0.21778957545757294, -0.6316044926643372, -0.3329511880874634, 0.29520875215530396, 0.25500112771987915, 0.2733128070831299, -0.024873334914445877, -0.14601895213127136, 0.0016021986957639456, -0.052010372281074524, 0.47058260440826416, -0.5464120507240295, -0.1469653993844986, 0.6772634983062744, -0.25974240899086, -0.20729418098926544, 0.09823428839445114, -0.2838045060634613, 0.07718344032764435, 0.1851395219564438, -0.09035913646221161, -0.34999608993530273, -0.06753107905387878, 0.13824716210365295, 0.43007373809814453, 0.026965240016579628, 0.2384575754404068, 0.33532577753067017, -0.0003369857731740922, -0.21463388204574585, -0.45605915784835815, 0.11487258225679398, -0.13886523246765137, 0.054187022149562836, -0.01068333350121975, -0.09441390633583069, 0.0687553733587265, 0.09478816390037537, 0.23571184277534485, -0.31202152371406555, -0.07050488144159317, 0.19958052039146423, -0.3382904529571533, 0.29427534341812134, -0.057146407663822174, -0.13936880230903625, 0.0732022225856781, 0.1546809822320938, -0.07868510484695435, -0.14678458869457245, -0.1698109209537506, 0.01616361364722252, -0.3466373383998871, -0.023090198636054993, 0.2348310500383377, 0.010497826151549816, 0.12805944681167603, 0.2205093801021576, 0.1476173847913742, -0.20893576741218567, 0.5332962274551392, -0.01231162529438734, 0.074071004986763, -0.20674771070480347, -0.13420593738555908, 0.04322195053100586, -0.19051413238048553, -0.28673282265663147, 0.40708300471305847, -0.13139593601226807, 0.08434915542602539, 0.0016647203592583537, -0.29375141859054565, -0.23075269162654877, -0.4124487340450287, -0.09247986972332001, 0.16772258281707764, -0.029902784153819084, 0.22226038575172424, -0.18373122811317444, 0.35110893845558167, -0.10193685442209244, 0.5527336001396179, -0.1674330234527588, 0.3313133120536804, 0.4752580523490906, 0.47207221388816833, 0.11206483095884323, 0.16843412816524506, -0.21238717436790466]"
