"id","title","author","label","URL","embedding"
"0","Chief","Eric Church","country","https://en.wikipedia.org/wiki/Chief_(album)","[0.3994493  0.1948091  0.41927633 0.26344404 0.12834612 0.00525317
 0.2099355  0.02883752 0.         0.20449468 0.         0.29138023
 0.41507953 0.15131506 0.41669464 0.         0.35651097 0.
 0.40014288 0.00568792 0.39474437 0.4089649  0.2570207  0.
 0.33213395 0.         0.         0.26298946 0.1983386  0.2788384
 0.07195242 0.3214296  0.02174604 0.36908913 0.3596536  0.
 0.00564666 0.31222215 0.         0.34015745 0.35762233 0.
 0.09103182 0.00507785 0.03409515 0.         0.14712812 0.08308385
 0.14639951 0.36254522 0.14886656 0.14239392 0.36769274 0.32994765
 0.         0.14218605 0.12364071 0.2915054  0.22512543 0.01242862
 0.         0.25741524 0.         0.28687793 0.02219923 0.33218393
 0.         0.         0.38662946 0.27459347 0.278677   0.
 0.39174968 0.00256103 0.10600784 0.35054636 0.44951847 0.26668224
 0.3742106  0.01178395 0.38693127 0.31028673 0.14123613 0.
 0.38939822 0.34633043 0.02429961 0.3138563  0.         0.24921006
 0.38534045 0.2671565  0.07802511 0.40476334 0.00922529 0.21106043
 0.32090226 0.33644193 0.20163438 0.         0.03324622 0.07771089
 0.33024192 0.26233763 0.00775849 0.01932386 0.3323966  0.3197971
 0.20584172 0.15124142 0.09176436 0.04334422 0.38779658 0.34728074
 0.         0.00587591 0.41814345 0.33388498 0.3711167  0.22903255
 0.00255095 0.08272712 0.         0.19089383 0.14425062 0.00731882
 0.         0.13262409]"
"1","Stand By Your Man","Tammy Wynette","country","https://en.wikipedia.org/wiki/Stand_by_Your_Man_(album)","[0.2800705  0.01160457 0.12953714 0.28469667 0.00157449 0.14304936
 0.2818799  0.00089221 0.2218366  0.01916503 0.13178442 0.28160447
 0.01031844 0.3416097  0.3833145  0.35999095 0.25965905 0.18343459
 0.2872507  0.21593177 0.17311695 0.06307229 0.20673981 0.30743933
 0.         0.26070163 0.04332362 0.00213013 0.29303953 0.2442241
 0.00813552 0.31871676 0.         0.31388423 0.24345317 0.12807709
 0.32489914 0.26245654 0.24319693 0.13309708 0.22856012 0.25546554
 0.13568953 0.10750826 0.29313    0.3026125  0.26410675 0.1341505
 0.01394198 0.00147543 0.02992446 0.20964044 0.14643982 0.03054027
 0.31548053 0.05876543 0.31659883 0.17641366 0.26885816 0.1703653
 0.3041027  0.0366148  0.0120508  0.3342516  0.00471392 0.06513733
 0.14713177 0.18094009 0.38871312 0.00438754 0.02698034 0.31441224
 0.05791607 0.2032753  0.24726191 0.01151758 0.00457735 0.3432365
 0.34015918 0.20880468 0.2936762  0.33990753 0.0116224  0.10099664
 0.01051215 0.3424422  0.02651789 0.30556703 0.31353536 0.01093403
 0.00918812 0.21931854 0.29351372 0.00787779 0.07433444 0.36579785
 0.01772214 0.27400464 0.1958438  0.03527243 0.03478298 0.05299321
 0.24043243 0.2813319  0.34123296 0.0353964  0.22696492 0.00563655
 0.16690472 0.0036044  0.31582472 0.14561635 0.21902701 0.30630672
 0.2863602  0.29572245 0.02265704 0.16774926 0.2961642  0.35534042
 0.2857895  0.11170091 0.0203983  0.19303733 0.26310453 0.17519191
 0.31056118 0.3049473 ]"
"2","American III: Solitary Man","Johnny Cash","country","https://en.wikipedia.org/wiki/American_III:_Solitary_Man","[5.4844171e-03 4.7969928e-01 0.0000000e+00 5.0485647e-01 4.5590922e-01
 0.0000000e+00 0.0000000e+00 6.2028393e-03 0.0000000e+00 0.0000000e+00
 1.6012788e-04 0.0000000e+00 3.9453864e-01 0.0000000e+00 0.0000000e+00
 4.4004217e-02 0.0000000e+00 3.2214940e-01 0.0000000e+00 0.0000000e+00
 0.0000000e+00 4.7726378e-01 7.6197833e-04 1.7542647e-01 0.0000000e+00
 0.0000000e+00 5.7743318e-02 4.1497633e-01 4.5658255e-01 3.7449890e-01
 8.8476539e-03 2.4254858e-01 1.0870412e-02 3.3385706e-01 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.8109353e-01
 2.7171132e-01 0.0000000e+00 3.1132609e-01 4.6711868e-01 4.4298020e-01
 1.5113717e-01 0.0000000e+00 3.3579230e-01 4.4380784e-01 3.7520877e-01
 4.5059910e-01 2.5883561e-01 3.0646241e-01 4.7289103e-02 3.8179848e-01
 4.2678142e-01 4.0222231e-01 9.5846370e-02 1.6149950e-01 4.3266672e-01
 4.9865443e-01 9.3034506e-03 1.0932922e-02 0.0000000e+00 3.6982954e-01
 0.0000000e+00 4.2717230e-01 4.3599048e-01 0.0000000e+00 4.2131364e-01
 3.9917591e-01 4.5132184e-01 3.2698160e-01 2.3072809e-03 0.0000000e+00
 2.5500357e-04 0.0000000e+00 0.0000000e+00 4.1388184e-01 0.0000000e+00
 0.0000000e+00 2.9628098e-01 0.0000000e+00 3.8314694e-01 4.5477262e-01
 4.7506148e-01 0.0000000e+00 3.6269632e-01 0.0000000e+00 0.0000000e+00
 2.0799324e-01 3.7248462e-01 2.7874225e-01 3.4922987e-02 5.0389522e-01
 0.0000000e+00 2.7565327e-01 0.0000000e+00 4.1308466e-01 0.0000000e+00
 4.0058851e-01 0.0000000e+00 0.0000000e+00 4.9841741e-01 4.6536568e-01
 4.5645678e-01 3.5005960e-01 7.1243659e-02 1.3971016e-02 0.0000000e+00
 4.9794517e-02 1.3961902e-01 0.0000000e+00 0.0000000e+00 4.8530447e-01
 1.0380514e-02 0.0000000e+00 1.5466063e-01 4.5288482e-01 9.8568551e-02
 2.7691993e-01 4.5353237e-01 9.9474669e-02 4.7625625e-01 4.7571841e-01
 1.8850482e-01 8.3145924e-02 0.0000000e+00]"
"3","Golden Ring","Tammy Wynette and George Jones","country","https://en.wikipedia.org/wiki/Golden_Ring_(album)","[0.00000000e+00 1.01462379e-02 1.61574572e-01 4.42090899e-01
 0.00000000e+00 0.00000000e+00 5.51500916e-01 0.00000000e+00
 4.41534340e-01 0.00000000e+00 4.78466868e-01 3.21295857e-01
 8.06704685e-02 2.97303647e-01 5.63803256e-01 2.01217607e-01
 2.96550304e-01 0.00000000e+00 5.06864905e-01 5.29189527e-01
 0.00000000e+00 9.37635899e-02 4.07662153e-01 9.39089060e-02
 9.89458710e-03 1.45659536e-01 2.01225728e-02 0.00000000e+00
 4.83239740e-02 1.62620172e-02 3.21938843e-02 2.84493655e-01
 0.00000000e+00 4.31115359e-01 1.29271299e-03 4.13386285e-01
 7.11209029e-02 4.87029493e-01 4.65720922e-01 4.45318103e-01
 5.29979229e-01 4.50333089e-01 3.58693302e-04 4.80489165e-01
 4.01624560e-01 4.97760504e-01 4.49152350e-01 3.93323123e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 5.28399050e-02
 5.07785380e-01 8.44085962e-03 2.50479579e-03 0.00000000e+00
 4.14653569e-01 2.09958881e-01 4.11541581e-01 4.84612375e-01
 2.10334539e-01 0.00000000e+00 6.03286177e-03 3.61287266e-01
 0.00000000e+00 3.93676102e-01 2.78146863e-01 4.24111634e-03
 1.91764206e-01 0.00000000e+00 3.70634019e-01 4.00078475e-01
 2.37477675e-01 0.00000000e+00 4.02055353e-01 0.00000000e+00
 0.00000000e+00 2.20650882e-02 4.82548892e-01 4.31128442e-01
 4.86424446e-01 4.98979717e-01 5.20529896e-02 4.00994539e-01
 0.00000000e+00 2.67938435e-01 4.45995659e-01 4.99645412e-01
 4.47231084e-01 0.00000000e+00 0.00000000e+00 8.64714384e-05
 4.96254146e-01 6.67358935e-03 1.42812848e-01 3.43681157e-01
 0.00000000e+00 4.31875348e-01 8.00821111e-02 0.00000000e+00
 3.05092409e-02 4.66082394e-02 4.45729911e-01 4.93232250e-01
 4.77377549e-02 7.35834166e-02 3.43195274e-02 0.00000000e+00
 2.52779603e-01 2.08995864e-01 4.73834395e-01 4.25820798e-03
 4.95882899e-01 1.79883167e-02 6.67990670e-02 1.56103283e-01
 0.00000000e+00 4.27097470e-01 1.66943133e-01 1.16875224e-01
 5.12402952e-01 0.00000000e+00 0.00000000e+00 7.75199905e-02
 3.77586484e-01 4.28382754e-01 3.47330689e-01 3.95934492e-01]"
"4","The Woman In Me","Shania Twain","country","https://en.wikipedia.org/wiki/The_Woman_in_Me_(Shania_Twain_album)","[2.46514976e-01 0.00000000e+00 4.25151736e-01 4.54959750e-01
 4.83666472e-02 4.83495295e-01 1.12408563e-01 2.74455547e-01
 4.45473254e-01 5.11220634e-01 3.18289191e-01 1.78852528e-01
 1.55073762e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.58152270e-01 6.21136427e-02 1.28119349e-01 4.44915920e-01
 0.00000000e+00 1.92822337e-01 0.00000000e+00 3.58847767e-01
 9.77804512e-02 0.00000000e+00 4.96928930e-01 1.99816704e-01
 4.72529441e-01 1.46131635e-01 1.44001022e-02 4.57161665e-01
 3.67462635e-04 3.27021301e-01 0.00000000e+00 4.41640437e-01
 1.77845359e-03 0.00000000e+00 0.00000000e+00 0.00000000e+00
 3.17898929e-01 4.49167013e-01 1.87635705e-01 0.00000000e+00
 1.55982509e-01 0.00000000e+00 4.65580046e-01 7.75046647e-04
 4.27418947e-01 9.70967859e-03 0.00000000e+00 4.32133675e-04
 0.00000000e+00 8.02721679e-02 4.09222037e-01 4.40196693e-01
 5.27071536e-01 3.82871598e-01 0.00000000e+00 3.04602087e-04
 0.00000000e+00 4.48975027e-01 3.77331674e-03 0.00000000e+00
 0.00000000e+00 4.14764941e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 3.34035516e-01 5.49680352e-01
 1.13742091e-01 3.84083688e-01 7.12764412e-02 3.86560857e-01
 1.98259950e-05 3.46473381e-02 3.94466147e-02 1.94904596e-01
 0.00000000e+00 3.76575470e-01 4.38019693e-01 2.42417008e-02
 0.00000000e+00 4.09185827e-01 5.69923408e-02 4.54324782e-01
 8.34543258e-02 3.62210661e-01 0.00000000e+00 7.93717802e-04
 2.65858024e-01 5.38938493e-02 4.97869730e-01 0.00000000e+00
 4.22603011e-01 0.00000000e+00 3.38268310e-01 4.48226988e-01
 4.34387505e-01 6.15825243e-02 0.00000000e+00 1.85799509e-01
 4.59387377e-02 8.55903402e-02 2.47047633e-01 6.86887130e-02
 5.16308367e-01 4.03500676e-01 4.71247673e-01 3.85346264e-03
 1.33697480e-01 4.67637956e-01 5.56712709e-02 9.96774361e-02
 1.67215690e-01 2.88789392e-01 4.81532067e-01 5.07110655e-01
 3.11466128e-01 4.43465143e-01 4.03385937e-01 4.53839809e-01
 4.85143483e-01 3.58132094e-01 3.91065300e-01 1.11155584e-01]"
"5","Breathe","Faith Hill","country","https://en.wikipedia.org/wiki/Breathe_(Faith_Hill_album)","[2.52043873e-01 6.40157610e-03 0.00000000e+00 2.32006878e-01
 2.53027797e-01 1.09934956e-02 3.52849886e-02 3.60090911e-01
 2.92680264e-02 3.90557870e-02 0.00000000e+00 1.89170018e-01
 0.00000000e+00 5.25982201e-01 4.33172047e-01 0.00000000e+00
 4.48684722e-01 7.35985115e-02 3.95378202e-01 4.06578988e-01
 1.62441060e-01 0.00000000e+00 9.50913727e-02 0.00000000e+00
 4.82626021e-01 2.78783292e-02 0.00000000e+00 4.74989057e-01
 1.40627787e-01 3.80894542e-01 2.79480428e-01 3.68603408e-01
 4.19376373e-01 3.01605970e-01 0.00000000e+00 0.00000000e+00
 1.44661710e-01 0.00000000e+00 0.00000000e+00 2.44738743e-01
 2.38815859e-01 0.00000000e+00 2.70655274e-01 1.92028701e-01
 2.81132013e-03 0.00000000e+00 3.51784170e-01 4.76459980e-01
 4.57805276e-01 3.32652479e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.52012092e-01 0.00000000e+00 3.50597620e-01
 4.45523798e-01 1.87702477e-02 0.00000000e+00 0.00000000e+00
 4.23367918e-01 0.00000000e+00 2.23439932e-03 4.56725955e-01
 3.18915188e-01 3.28531772e-01 4.60710466e-01 4.94410366e-01
 4.63788599e-01 0.00000000e+00 0.00000000e+00 4.81126547e-01
 1.52943075e-01 0.00000000e+00 2.58873135e-01 0.00000000e+00
 2.18922228e-01 5.22398949e-03 0.00000000e+00 4.56503332e-01
 0.00000000e+00 6.44151270e-02 0.00000000e+00 0.00000000e+00
 5.01558065e-01 3.49417329e-04 0.00000000e+00 3.57660592e-01
 4.39867377e-03 4.91399944e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 1.56299770e-02 3.71119440e-01 0.00000000e+00
 5.14659286e-01 0.00000000e+00 4.99763340e-01 3.73418093e-01
 0.00000000e+00 4.14092392e-01 4.30804312e-01 4.12532538e-02
 2.62492597e-02 6.24470413e-04 9.87388492e-02 2.85617113e-01
 1.99854448e-02 0.00000000e+00 0.00000000e+00 4.10252124e-01
 3.76829743e-01 1.03748515e-02 1.66299641e-01 2.03824610e-01
 4.74497944e-01 4.12493318e-01 4.70684022e-01 4.73679692e-01
 4.67510283e-01 0.00000000e+00 0.00000000e+00 1.65963471e-01
 0.00000000e+00 9.00458992e-02 4.33300972e-01 4.55608875e-01]"
"6","Guitars, Cadillacs, Etc., Etc.","Dwight Yoakam","country","https://en.wikipedia.org/wiki/Guitars,_Cadillacs,_Etc.,_Etc.","[2.05634132e-01 2.59719789e-01 4.35923249e-01 0.00000000e+00
 2.39255041e-01 3.47606421e-01 4.51756567e-02 4.12627220e-01
 3.12487125e-01 4.13060933e-01 2.99256146e-01 0.00000000e+00
 1.95695788e-01 2.38386020e-02 3.03387135e-01 3.89087677e-01
 3.52935866e-02 2.58549035e-01 4.21032697e-01 1.44946873e-02
 2.44787931e-02 2.96005368e-01 4.22728449e-01 1.65221915e-02
 1.46612823e-01 1.94088772e-01 2.37745181e-01 0.00000000e+00
 4.72154409e-01 1.90227419e-01 0.00000000e+00 4.37472701e-01
 6.83138520e-03 2.53774405e-01 4.50972259e-01 1.47267535e-01
 4.91844654e-01 4.75227952e-01 7.84281641e-02 4.70850766e-01
 2.40115419e-01 4.00863409e-01 1.36225432e-01 4.86577421e-01
 2.59115636e-01 8.99685547e-02 4.10590112e-01 2.64961928e-01
 2.62454689e-01 6.87514991e-03 0.00000000e+00 5.21900579e-02
 3.94889623e-01 2.83924907e-01 7.53614753e-02 1.76071867e-01
 0.00000000e+00 3.46766740e-01 0.00000000e+00 1.97880566e-01
 1.14528924e-01 2.53688902e-01 4.69551980e-02 3.78512919e-01
 3.28606457e-01 0.00000000e+00 6.83280379e-02 2.50380009e-01
 2.29872674e-01 0.00000000e+00 3.71617526e-01 3.42787445e-01
 6.31165430e-02 3.64562392e-01 2.30618566e-03 3.07673812e-01
 5.02257705e-01 4.54533488e-01 1.11558147e-01 4.76269424e-01
 0.00000000e+00 3.09724957e-01 9.00771469e-03 6.68372959e-03
 0.00000000e+00 9.81999263e-02 3.79439533e-01 2.19119489e-02
 2.93894887e-01 1.87516749e-01 5.70292473e-02 1.93743482e-01
 3.88619080e-02 1.42678976e-01 0.00000000e+00 2.42521286e-01
 4.87069815e-01 3.74981761e-01 0.00000000e+00 4.61092472e-01
 0.00000000e+00 5.47291338e-02 0.00000000e+00 3.05097222e-01
 2.56152064e-01 2.06944674e-01 3.21108609e-01 5.07978141e-01
 2.33006895e-01 3.87109816e-04 0.00000000e+00 1.05299160e-01
 0.00000000e+00 1.95991844e-02 0.00000000e+00 3.49586904e-02
 4.01877254e-01 8.50450993e-03 0.00000000e+00 1.61568433e-01
 3.58918995e-01 1.28417090e-01 4.35987413e-01 2.79590711e-02
 5.20571023e-02 0.00000000e+00 6.62090778e-02 3.67464796e-02]"
"7","Unchained","Johnny Cash","country","https://en.wikipedia.org/wiki/Unchained_(Johnny_Cash_album)","[0.3581502  0.264039   0.20280707 0.43394825 0.18780825 0.
 0.02391304 0.         0.1588757  0.2843643  0.5303838  0.
 0.03294521 0.         0.16596764 0.         0.12237804 0.39039087
 0.         0.         0.         0.36319804 0.3781473  0.07832579
 0.         0.30889553 0.         0.51405305 0.5641471  0.13621068
 0.02199119 0.         0.4094811  0.45106998 0.         0.05711871
 0.         0.         0.18508321 0.43402874 0.4622689  0.59061056
 0.20029148 0.23989543 0.15087163 0.         0.         0.2783233
 0.2572502  0.50123775 0.4731256  0.43649697 0.14843857 0.3430127
 0.28953367 0.5296782  0.29261374 0.         0.3545648  0.61469764
 0.4119812  0.06477755 0.26485956 0.         0.4452282  0.
 0.41481453 0.09481322 0.07460874 0.36396533 0.56562245 0.2207638
 0.4337257  0.2871336  0.08860934 0.0008099  0.         0.07994607
 0.11753887 0.00101945 0.         0.38876477 0.40277022 0.36767212
 0.34150168 0.3989591  0.         0.60538703 0.         0.
 0.00319164 0.5005461  0.33100888 0.3035191  0.18713203 0.00493036
 0.5802938  0.44394553 0.29174554 0.53928703 0.45612347 0.
 0.         0.50401396 0.37826568 0.40524364 0.21044827 0.03229041
 0.06434049 0.3647861  0.         0.5391076  0.         0.10257071
 0.464047   0.4865663  0.         0.2959152  0.3951896  0.45803344
 0.         0.18910496 0.47236037 0.4439561  0.3831197  0.37190995
 0.62210524 0.        ]"
"8","Some Hearts","Carrie Underwood","country","https://en.wikipedia.org/wiki/Some_Hearts","[0.         0.01321831 0.         0.5056936  0.         0.32710052
 0.2040182  0.         0.         0.5215742  0.27174968 0.035418
 0.44495893 0.153808   0.02471394 0.46467263 0.5558294  0.0430561
 0.         0.00652459 0.42819828 0.         0.         0.5148494
 0.03148521 0.53396845 0.         0.007638   0.         0.55868864
 0.         0.28489715 0.         0.4480085  0.43779624 0.31842554
 0.         0.09340981 0.10177167 0.519357   0.         0.
 0.5048831  0.43763214 0.19049689 0.         0.5002509  0.
 0.34867537 0.         0.01917804 0.         0.08081467 0.
 0.         0.00191776 0.39387676 0.08613442 0.         0.05137693
 0.36876896 0.5202468  0.24841608 0.54215986 0.3410797  0.41852978
 0.40821654 0.01991121 0.002892   0.00483982 0.02406761 0.4820119
 0.43854606 0.         0.24092963 0.07575589 0.04002959 0.47264215
 0.         0.         0.4720404  0.14106488 0.04295843 0.53557956
 0.         0.         0.03485038 0.00745656 0.5203871  0.49353054
 0.0384184  0.4313317  0.25734067 0.2706281  0.3772382  0.38936967
 0.5528713  0.16367297 0.         0.         0.543584   0.02743265
 0.         0.50750214 0.523817   0.46655577 0.54100496 0.4598278
 0.47538745 0.45443282 0.4248168  0.01395041 0.39500362 0.10779572
 0.39917642 0.         0.5571862  0.         0.02484701 0.01914368
 0.35850856 0.35143906 0.         0.49176416 0.         0.
 0.10676999 0.        ]"
"9","Red Dirt Girl","Emmylou Harris","country","https://en.wikipedia.org/wiki/Red_Dirt_Girl","[0.08829796 0.11053122 0.21872994 0.         0.3908457  0.01225173
 0.3579888  0.20071612 0.33203357 0.12506896 0.07173701 0.
 0.5361782  0.         0.06612098 0.35096726 0.17382553 0.21871719
 0.3738707  0.2965635  0.5452095  0.19852556 0.43343332 0.380943
 0.14801845 0.18568712 0.4376657  0.         0.2183908  0.4081711
 0.         0.02139135 0.5418581  0.45662692 0.         0.33394513
 0.52570003 0.546568   0.         0.38809472 0.41013312 0.41654074
 0.07941438 0.460538   0.         0.11273959 0.03186162 0.5360285
 0.33540338 0.02027015 0.25931466 0.20906763 0.49206394 0.44669008
 0.3015546  0.35681933 0.5140634  0.35290828 0.03996848 0.16790105
 0.         0.3116842  0.1469679  0.08896239 0.18167077 0.
 0.         0.3062231  0.53058517 0.41329765 0.         0.2695197
 0.249276   0.07109562 0.2577199  0.41921213 0.06076963 0.53436536
 0.14807388 0.44765234 0.13575968 0.03067334 0.41130662 0.36398366
 0.2196671  0.10867187 0.55686665 0.36954844 0.19812356 0.49404567
 0.         0.4931052  0.22470543 0.48619735 0.04517857 0.14620107
 0.5201382  0.10379069 0.44779736 0.05310082 0.03831723 0.2792307
 0.11571033 0.         0.23103842 0.17689171 0.5265726  0.42915332
 0.07890362 0.3734377  0.44974205 0.11877821 0.45873985 0.
 0.3122266  0.         0.39551106 0.24424389 0.09154157 0.13086335
 0.         0.0856391  0.33717504 0.20546605 0.5547862  0.05972854
 0.         0.177526  ]"
