"id","title","author","label","URL","embedding"
"0","Chief","Eric Church","country","https://en.wikipedia.org/wiki/Chief_(album)","[0.         0.         0.         0.3746942  0.03380891 0.
 0.21159485 0.03911086 0.30954415 0.15123878 0.         0.33696163
 0.39173386 0.235275   0.39124846 0.12152998 0.         0.01455452
 0.2695722  0.31559822 0.         0.35290983 0.         0.13821885
 0.3335746  0.06251031 0.40467036 0.08050549 0.0081569  0.14049113
 0.12751171 0.         0.19696751 0.03711045 0.27304673 0.
 0.37932178 0.00570849 0.         0.1876759  0.37971532 0.03769486
 0.263031   0.         0.06345575 0.13551533 0.3753954  0.01071031
 0.14340436 0.2993163  0.26915282 0.03211457 0.3394302  0.00207495
 0.         0.         0.3597061  0.30400836 0.17528658 0.1581111
 0.15068468 0.12830019 0.01368896 0.3794542  0.34137285 0.
 0.15632793 0.29062572 0.         0.40183523 0.3773389  0.
 0.25802413 0.41318503 0.39122942 0.37668395 0.10409749 0.
 0.27958065 0.         0.41001257 0.10162217 0.0310208  0.
 0.00685937 0.37042308 0.12140774 0.18030134 0.13103749 0.
 0.21861956 0.27035373 0.25060073 0.27811807 0.28691366 0.
 0.35289088 0.40682226 0.374036   0.26340187 0.38964456 0.17830314
 0.01129189 0.29802394 0.37846234 0.         0.00359056 0.
 0.33888602 0.         0.3733909  0.38063803 0.42175734 0.3952924
 0.268626   0.         0.34963974 0.31598768 0.02077601 0.00367571
 0.30668122 0.37428024 0.         0.39307553 0.0117327  0.
 0.31707537 0.12314688]"
"1","Stand By Your Man","Tammy Wynette","country","https://en.wikipedia.org/wiki/Stand_by_Your_Man_(album)","[0.17357904 0.         0.33986485 0.         0.29493445 0.39125088
 0.29654825 0.00094682 0.33008155 0.20366834 0.01892727 0.27360055
 0.29341435 0.         0.38806066 0.32519752 0.         0.
 0.         0.07377116 0.2982767  0.05854794 0.38098127 0.2460599
 0.03971461 0.         0.         0.44606245 0.         0.0033764
 0.08665539 0.31276703 0.2671407  0.256272   0.02115993 0.32036024
 0.12659208 0.09088407 0.00563575 0.22662488 0.09297018 0.
 0.         0.13295327 0.42657894 0.01724121 0.4000107  0.
 0.         0.         0.         0.33517256 0.36910638 0.
 0.         0.12426141 0.06473131 0.         0.37553054 0.0138879
 0.31247503 0.         0.38650537 0.04429112 0.20070283 0.34721562
 0.11548753 0.3045498  0.01952306 0.3494071  0.3995288  0.
 0.23251034 0.10217862 0.39960682 0.36344948 0.         0.215686
 0.33936048 0.05466128 0.36738878 0.34257647 0.37918234 0.
 0.36273223 0.         0.12761359 0.3909981  0.21684372 0.36632547
 0.2569482  0.05477781 0.24430057 0.34150478 0.34147263 0.4209775
 0.37310296 0.06299217 0.24122562 0.0022919  0.4222663  0.01145878
 0.30177075 0.         0.2873576  0.24024758 0.0421807  0.15222785
 0.33557755 0.         0.3594812  0.         0.3377743  0.0061754
 0.11157142 0.39801377 0.18018585 0.02004672 0.00112464 0.25690392
 0.18501545 0.         0.01860555 0.2820657  0.10597588 0.38136864
 0.4195724  0.3879959 ]"
"2","American III: Solitary Man","Johnny Cash","country","https://en.wikipedia.org/wiki/American_III:_Solitary_Man","[0.00000000e+00 0.00000000e+00 4.73921634e-02 4.37022418e-01
 0.00000000e+00 4.13856506e-02 0.00000000e+00 2.17868760e-01
 3.94995630e-01 2.55345628e-02 4.32154477e-01 4.01999831e-01
 0.00000000e+00 3.71062994e-01 1.12331674e-01 1.26336515e-02
 4.34606642e-01 2.56490201e-01 4.65592027e-01 1.30634755e-03
 0.00000000e+00 3.59965473e-01 4.72709060e-01 3.45166177e-01
 2.68273234e-01 4.25966978e-01 3.81291956e-01 2.01303512e-03
 4.11616489e-02 4.43000883e-01 0.00000000e+00 0.00000000e+00
 4.58237648e-01 4.08071011e-01 4.21779156e-01 4.54360366e-01
 3.73923272e-01 9.80367512e-03 6.80599362e-03 3.96296322e-01
 2.99994171e-01 4.82061803e-02 4.72832680e-01 8.61835033e-02
 2.21175760e-01 4.49709266e-01 0.00000000e+00 0.00000000e+00
 4.10752147e-01 3.25649977e-04 6.81954324e-02 4.36704040e-01
 4.23948109e-01 3.30806494e-01 9.50519294e-02 4.04246151e-03
 1.92391127e-03 0.00000000e+00 4.31832254e-01 1.03169903e-02
 3.78194988e-01 9.80048552e-02 0.00000000e+00 4.10788476e-01
 2.24947184e-01 0.00000000e+00 3.25212538e-01 8.48476291e-02
 4.07775044e-01 1.04529172e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 4.55749929e-02 9.49434936e-02
 4.20156807e-01 0.00000000e+00 2.46021628e-01 4.50880915e-01
 4.61825281e-01 8.00368935e-03 0.00000000e+00 1.11114033e-01
 3.84277672e-01 1.79552794e-01 5.77747524e-02 4.12704915e-01
 0.00000000e+00 4.29366618e-01 4.05678272e-01 0.00000000e+00
 0.00000000e+00 4.16502506e-01 0.00000000e+00 1.24129213e-01
 4.16191339e-01 4.14574027e-01 2.75664419e-01 4.07812953e-01
 1.75340980e-01 0.00000000e+00 1.97626650e-04 3.78507338e-02
 4.68412519e-01 3.55003387e-01 4.32323396e-01 0.00000000e+00
 4.58773673e-02 5.38647696e-02 4.40054417e-01 4.14279342e-01
 0.00000000e+00 0.00000000e+00 5.12279570e-04 1.27309412e-02
 0.00000000e+00 4.37127501e-01 0.00000000e+00 4.37151194e-01
 0.00000000e+00 2.99720094e-02 4.88202989e-01 0.00000000e+00
 0.00000000e+00 4.15888757e-01 4.11702573e-01 3.89429748e-01]"
"3","Golden Ring","Tammy Wynette and George Jones","country","https://en.wikipedia.org/wiki/Golden_Ring_(album)","[0.502441   0.         0.4058895  0.         0.382735   0.3144012
 0.3278988  0.38301933 0.43965963 0.05618529 0.         0.37971374
 0.4299369  0.05188125 0.48226574 0.20532256 0.         0.15995261
 0.20672886 0.51563907 0.04965035 0.3509811  0.4131245  0.19234306
 0.13924477 0.02566457 0.         0.08299683 0.06671969 0.49814212
 0.4356685  0.5094609  0.3070712  0.56953573 0.23953068 0.13689464
 0.3063852  0.06385305 0.41935062 0.27257618 0.5567984  0.
 0.05607597 0.44728392 0.29971734 0.043457   0.38789433 0.
 0.         0.13046338 0.10128912 0.2896814  0.33452088 0.
 0.0133201  0.         0.         0.3027378  0.33410275 0.354699
 0.03424902 0.07843778 0.09577496 0.         0.524936   0.44653368
 0.51704985 0.3043079  0.37853396 0.10916112 0.38074452 0.
 0.02268615 0.10867525 0.33878    0.3504403  0.         0.
 0.16825035 0.39951527 0.02780506 0.4007163  0.34270984 0.
 0.51179093 0.01668008 0.         0.5044564  0.4208912  0.4039587
 0.41047105 0.         0.10463975 0.5335841  0.08837301 0.11415165
 0.3347591  0.30355972 0.17249933 0.18510504 0.15802611 0.1695151
 0.02000547 0.         0.         0.         0.5193162  0.5246508
 0.43709224 0.         0.47439796 0.         0.01964416 0.05999381
 0.56987005 0.14283922 0.3805115  0.32319435 0.         0.4950207
 0.46694404 0.         0.         0.42925102 0.41745794 0.49632868
 0.25319812 0.17965394]"
"4","The Woman In Me","Shania Twain","country","https://en.wikipedia.org/wiki/The_Woman_in_Me_(Shania_Twain_album)","[2.60045290e-01 2.85152614e-01 2.25615472e-01 1.19092859e-01
 2.43641511e-01 4.04150009e-01 3.41920733e-01 3.94350320e-01
 2.22044259e-01 2.79335320e-01 1.35255978e-01 1.14688501e-02
 2.09562197e-01 1.86349958e-01 4.55548048e-01 0.00000000e+00
 4.20873821e-01 2.86016732e-01 1.34247720e-01 4.05662745e-01
 1.31846726e-01 2.43924558e-03 4.60340977e-02 6.76386952e-02
 3.15817416e-01 4.57339466e-01 0.00000000e+00 3.36237609e-01
 3.53318721e-01 1.51245818e-02 3.89115691e-01 8.59913975e-02
 4.49789941e-01 1.44972354e-01 3.89044732e-01 1.17396921e-01
 0.00000000e+00 3.78372610e-01 1.60211757e-01 0.00000000e+00
 2.34730974e-01 7.99972340e-02 0.00000000e+00 0.00000000e+00
 3.87349427e-01 2.63668597e-03 4.21295494e-01 9.63218510e-04
 4.18477803e-01 4.86751348e-01 5.50918430e-02 3.46952260e-01
 3.38368118e-04 4.28996623e-01 2.46153027e-03 0.00000000e+00
 1.77570105e-01 3.92874330e-03 2.86132634e-01 6.93734586e-02
 3.48009169e-04 3.03242207e-01 3.07679921e-03 3.08118165e-01
 2.85319507e-01 1.08127005e-01 2.75222898e-01 0.00000000e+00
 4.02618051e-01 2.28397906e-01 3.38024497e-01 0.00000000e+00
 1.29319578e-02 7.11665526e-02 3.28360498e-01 3.82332236e-01
 2.61231661e-01 4.49167848e-01 6.93998262e-02 1.84413046e-03
 4.97573495e-01 0.00000000e+00 6.42942786e-02 4.02603507e-01
 3.08489323e-01 6.09110296e-02 3.13419551e-01 2.14781955e-01
 4.31792796e-01 3.20178598e-01 4.49607521e-01 2.95421958e-01
 4.25839543e-01 3.61813605e-03 1.49285555e-01 2.02013791e-01
 3.12804312e-01 3.43910277e-01 4.29630041e-01 4.44620967e-01
 3.09581101e-01 4.69833046e-01 1.40274808e-01 2.37232536e-01
 3.14638764e-03 0.00000000e+00 3.71455401e-03 7.03284815e-02
 2.71261930e-02 3.57389420e-01 0.00000000e+00 4.50373739e-02
 4.03421283e-01 3.36224556e-01 3.49704146e-01 2.59873211e-01
 0.00000000e+00 8.11135024e-02 3.05140078e-01 3.49361092e-01
 0.00000000e+00 0.00000000e+00 4.28579003e-03 4.36247468e-01
 3.89034957e-01 5.02270535e-02 3.14968079e-03 1.87602282e-01]"
"5","Breathe","Faith Hill","country","https://en.wikipedia.org/wiki/Breathe_(Faith_Hill_album)","[0.0000000e+00 2.8839666e-01 0.0000000e+00 5.5446196e-01 4.6048522e-01
 0.0000000e+00 4.3537179e-01 3.7364706e-02 7.0919380e-02 3.4389094e-01
 4.4663897e-01 4.3155572e-01 1.3477027e-01 4.1032365e-01 1.7767078e-01
 4.8504472e-03 0.0000000e+00 1.7984821e-01 0.0000000e+00 1.4629923e-02
 0.0000000e+00 4.1322196e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00
 4.3896371e-01 0.0000000e+00 9.9838480e-02 4.8770097e-01 3.8320392e-01
 3.5650289e-01 0.0000000e+00 5.4679930e-01 0.0000000e+00 4.3857974e-01
 0.0000000e+00 2.4801400e-01 1.1498772e-02 1.6936141e-01 3.3483541e-01
 1.6286270e-01 2.5646338e-01 2.1545795e-01 4.8558602e-01 7.9131052e-02
 3.0574235e-01 5.1725715e-01 4.0149681e-02 4.0764090e-01 2.5638589e-01
 2.8261325e-01 2.6049596e-01 0.0000000e+00 7.4818268e-02 4.2789839e-02
 0.0000000e+00 4.6442792e-01 7.6334178e-04 0.0000000e+00 0.0000000e+00
 0.0000000e+00 4.4846397e-02 4.3394950e-01 0.0000000e+00 3.7061018e-01
 4.5767340e-01 4.4419521e-01 3.7509042e-01 0.0000000e+00 0.0000000e+00
 2.2806820e-01 3.5078144e-01 8.4719881e-03 4.1925317e-01 9.0222798e-02
 5.2352846e-01 4.5406473e-01 5.0073373e-01 8.4196776e-04 4.8775059e-01
 2.4389188e-01 4.7501028e-01 1.5764438e-02 4.7037303e-02 2.2583941e-01
 2.1855988e-02 4.9164891e-04 0.0000000e+00 3.1346491e-01 3.7535274e-01
 1.5760443e-01 3.6265314e-01 4.7848660e-01 1.0268152e-01 0.0000000e+00
 0.0000000e+00 7.3107705e-03 0.0000000e+00 4.6790689e-01 4.7271922e-03
 7.9225749e-04 0.0000000e+00 0.0000000e+00 2.5562197e-04 3.3758014e-01
 4.5570686e-01 1.6680667e-01 2.0536643e-01 3.4723568e-01 0.0000000e+00
 6.9985345e-02 0.0000000e+00 0.0000000e+00 1.1266269e-02 2.5625622e-01
 4.8696822e-01 3.8489574e-01 3.0511615e-01 4.5580626e-01 4.7826499e-01
 4.5138144e-01 0.0000000e+00 0.0000000e+00 4.0709531e-01 3.2669291e-01
 4.3370929e-01 4.5965248e-01 0.0000000e+00]"
"6","Guitars, Cadillacs, Etc., Etc.","Dwight Yoakam","country","https://en.wikipedia.org/wiki/Guitars,_Cadillacs,_Etc.,_Etc.","[9.3039885e-02 3.6793828e-01 2.0805393e-01 0.0000000e+00 1.0418847e-01
 6.3352585e-02 4.6073940e-01 3.0186290e-01 1.2779434e-01 2.9019117e-01
 5.2910632e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 4.4022340e-01 4.6118015e-01 4.8809206e-01 2.6030648e-01 1.2858255e-01
 1.6202475e-01 6.1048631e-02 3.4443426e-01 3.3336771e-01 3.8891369e-01
 2.4834995e-01 4.9215990e-01 4.8084262e-01 3.4756213e-01 3.8671359e-01
 0.0000000e+00 2.9243085e-01 4.3170911e-01 3.2865912e-01 2.8785819e-01
 4.0916196e-01 3.8783786e-01 2.7686715e-01 0.0000000e+00 1.6821650e-01
 0.0000000e+00 3.7644185e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 3.0243480e-01 0.0000000e+00 3.2525577e-02 3.9032954e-01
 1.8411942e-02 6.9487840e-04 0.0000000e+00 4.5432615e-01 9.3063042e-03
 0.0000000e+00 1.5595636e-01 2.9456007e-01 2.7827236e-01 3.9809170e-01
 3.4165287e-01 0.0000000e+00 4.4578603e-01 0.0000000e+00 8.3908439e-04
 1.0059029e-02 1.5448968e-01 3.2916147e-01 3.1562769e-01 9.8364882e-02
 1.2267977e-02 4.6190068e-01 3.1077164e-01 2.8103715e-01 7.2351232e-02
 2.1147855e-02 2.5440145e-01 1.2438045e-01 2.0807496e-01 9.6134901e-02
 3.1805030e-01 0.0000000e+00 9.0664625e-04 2.9792103e-01 3.3830985e-01
 0.0000000e+00 0.0000000e+00 7.9275668e-04 5.0221336e-01 2.2412837e-01
 7.6257437e-04 4.5907182e-01 2.5343247e-02 2.5502324e-01 0.0000000e+00
 2.0161241e-01 1.8374330e-01 0.0000000e+00 3.1431493e-01 1.2889646e-02
 0.0000000e+00 3.2340792e-01 5.3293222e-01 4.8536310e-01 2.8211772e-01
 1.9523987e-01 4.9383903e-01 3.6771929e-01 5.7877295e-02 5.8177166e-02
 4.8289493e-01 0.0000000e+00 5.8936294e-02 2.6378298e-01 3.6833179e-01
 9.3164071e-02 3.7517071e-01 4.2698532e-04 8.5785389e-02 3.1031120e-01
 2.7260774e-01 0.0000000e+00 2.3357470e-01 1.0019878e-01 1.0625911e-01
 2.6530614e-01 0.0000000e+00 3.3605215e-01]"
"7","Unchained","Johnny Cash","country","https://en.wikipedia.org/wiki/Unchained_(Johnny_Cash_album)","[0.         0.00416392 0.30016533 0.50950336 0.1131213  0.14853668
 0.02464846 0.4101825  0.30680692 0.09430742 0.36352608 0.519845
 0.         0.12636253 0.         0.06656625 0.48268667 0.32271102
 0.5104368  0.         0.09338372 0.42349258 0.5773825  0.4727458
 0.16337278 0.4110704  0.3392421  0.         0.         0.59018785
 0.         0.1878918  0.414102   0.3823338  0.17078643 0.29976705
 0.1768766  0.0283428  0.2409958  0.46026704 0.5648964  0.1386367
 0.5848556  0.5317451  0.07857346 0.48115182 0.07969417 0.09414905
 0.5363558  0.46601418 0.01549499 0.45009354 0.36909792 0.48753172
 0.3417458  0.44678876 0.01181868 0.05230547 0.39810598 0.23045298
 0.0962897  0.41850033 0.         0.45114416 0.25856707 0.41946155
 0.5440923  0.53548837 0.5189605  0.5878847  0.10297589 0.
 0.16339546 0.         0.         0.03695454 0.06445146 0.10710604
 0.27680725 0.473      0.07086021 0.         0.4914233  0.06894538
 0.39164644 0.17548725 0.34832937 0.3993467  0.00359141 0.43252406
 0.02734015 0.         0.         0.36839634 0.         0.16311884
 0.5898487  0.49340415 0.4011776  0.31163228 0.1635691  0.23885387
 0.07038154 0.20452966 0.05653947 0.22417164 0.3885954  0.05783791
 0.14011665 0.4313323  0.1405628  0.         0.07559105 0.11333032
 0.03455624 0.548575   0.         0.0705359  0.11606997 0.4264381
 0.         0.3774876  0.48757094 0.06819769 0.         0.4958959
 0.45308504 0.52140063]"
"8","Some Hearts","Carrie Underwood","country","https://en.wikipedia.org/wiki/Some_Hearts","[0.13952361 0.4133103  0.20604804 0.41020754 0.         0.
 0.2045213  0.         0.         0.47737488 0.1615384  0.5078796
 0.26974964 0.06883877 0.53374416 0.02759621 0.         0.5507945
 0.         0.46566725 0.42781842 0.         0.         0.11604127
 0.14981121 0.         0.55840534 0.2336868  0.08029954 0.40537626
 0.         0.54666805 0.429746   0.1709155  0.         0.45795506
 0.39664742 0.23416653 0.37110445 0.         0.02194363 0.
 0.5079961  0.4921261  0.5088837  0.18541774 0.02112453 0.49999976
 0.28831917 0.4548659  0.03464925 0.         0.         0.05471465
 0.11981063 0.02427077 0.50902903 0.27835435 0.37862703 0.
 0.5764775  0.         0.369388   0.58677053 0.         0.
 0.05014305 0.43112072 0.         0.         0.4019637  0.13627824
 0.31851977 0.4843794  0.         0.04172347 0.05831549 0.
 0.2021563  0.5025911  0.33091494 0.         0.3485719  0.09680232
 0.08406016 0.1875374  0.4721694  0.01837857 0.24519858 0.
 0.         0.         0.         0.1841925  0.19570574 0.
 0.06453478 0.23967965 0.         0.48778006 0.         0.1795803
 0.4137376  0.         0.09145497 0.13911366 0.5613417  0.00171051
 0.39688814 0.4579934  0.21884799 0.26914376 0.11080648 0.22073412
 0.27044004 0.21312496 0.2423228  0.5343674  0.00815042 0.00115257
 0.4674579  0.47761562 0.40353936 0.5532267  0.23354411 0.
 0.         0.5413377 ]"
"9","Red Dirt Girl","Emmylou Harris","country","https://en.wikipedia.org/wiki/Red_Dirt_Girl","[0.         0.55534106 0.07084566 0.         0.         0.08481169
 0.5206883  0.5114211  0.37930202 0.5539553  0.04847873 0.
 0.42421803 0.24945575 0.17487809 0.46005183 0.3241511  0.45834255
 0.06665539 0.47585046 0.01049965 0.31913045 0.         0.42028353
 0.57649493 0.         0.         0.4158419  0.50890285 0.50876164
 0.51142037 0.4743843  0.         0.00183307 0.523683   0.37057814
 0.5905498  0.5423968  0.         0.         0.         0.13656652
 0.13277033 0.03024662 0.24789521 0.29606217 0.12609833 0.
 0.         0.16932711 0.         0.05244315 0.         0.06722291
 0.36876655 0.         0.40261132 0.         0.3556022  0.4853326
 0.3727842  0.5637929  0.2666808  0.         0.11330283 0.54898334
 0.38809848 0.47960836 0.33290857 0.         0.03973577 0.
 0.         0.33460048 0.04054645 0.10925682 0.58332735 0.02051285
 0.47560346 0.43404666 0.19057602 0.4104123  0.31328428 0.42652363
 0.         0.         0.         0.42850882 0.09765991 0.31303158
 0.         0.         0.14563538 0.         0.         0.1783395
 0.         0.46991628 0.         0.         0.5877211  0.
 0.5318034  0.5184082  0.25612992 0.02316277 0.53322136 0.01520348
 0.41923213 0.3016114  0.283633   0.3841934  0.4365725  0.06398623
 0.3029563  0.         0.288696   0.591003   0.05183248 0.02309625
 0.5058862  0.         0.         0.00379433 0.45673418 0.5103104
 0.         0.01628415]"
