"id","title","author","label","URL","embedding"
"0","Chief","Eric Church","country","https://en.wikipedia.org/wiki/Chief_(album)","[0.13060743 0.09973554 0.15871133 0.11310352 0.13606136 0.15426256
 0.17916293 0.15611601 0.08619686 0.20729552 0.28735858 0.23300521
 0.36549276 0.17693238 0.17492986 0.15622407 0.24716732 0.11131597
 0.28293586 0.1543316  0.40838078 0.1976781  0.36826617 0.11956327
 0.05309064 0.29041642 0.03551998 0.12717277 0.19591817 0.19423665
 0.29189035 0.18527187 0.06063394 0.22688898 0.20083918 0.1563053
 0.17190321 0.12820242 0.06072717 0.0097883  0.10641211 0.21777543
 0.25193748 0.13677713 0.1783639  0.1468597  0.2171182  0.29410374
 0.18900225 0.22967748 0.24044639 0.3352898  0.04290677 0.3213228
 0.16552147 0.22727165 0.10188189 0.09066653 0.20994608 0.224312
 0.26649547 0.08813062 0.1697831  0.22643574 0.14521073 0.23948075
 0.15117227 0.23147607 0.48007506 0.36386675 0.18609048 0.28943607
 0.18241039 0.2976163  0.         0.05429456 0.27178147 0.11097944
 0.21753275 0.         0.24726714 0.2515857  0.15738156 0.08112134
 0.25593746 0.120006   0.3177815  0.24278104 0.3040707  0.25945443
 0.06962011 0.17606428 0.29041013 0.12810794 0.20951809 0.12666397
 0.27866074 0.03291578 0.11504956 0.2071738  0.18687604 0.1406524
 0.1987538  0.31025827 0.2784032  0.25394428 0.29720494 0.25475836
 0.149232   0.31071955 0.08973282 0.21575536 0.36719823 0.2655197
 0.03421365 0.14504674 0.3609952  0.24730249 0.31336856 0.22816719
 0.04205873 0.36484826 0.28294802 0.21603493 0.29080528 0.25335136
 0.17244337 0.28879696]"
"1","Stand By Your Man","Tammy Wynette","country","https://en.wikipedia.org/wiki/Stand_by_Your_Man_(album)","[0.         0.3780602  0.35404396 0.28100985 0.24786068 0.39201653
 0.29637    0.06209319 0.03400795 0.20213257 0.59181875 0.06659067
 0.24080549 0.02432365 0.46749005 0.3703103  0.5536015  0.30966514
 0.53735256 0.3555711  0.29105052 0.06943278 0.25939366 0.2815743
 0.11392727 0.32429615 0.         0.13119459 0.08597308 0.43089405
 0.34541538 0.04598583 0.01595076 0.09359423 0.6042478  0.36839736
 0.08933473 0.13241103 0.20488723 0.05756935 0.14024967 0.05225036
 0.26124778 0.6435004  0.0303633  0.30043215 0.03203073 0.13252825
 0.0588352  0.25357455 0.28734726 0.39991185 0.31426683 0.23230132
 0.51692975 0.06091533 0.24242017 0.16619284 0.23271489 0.33964497
 0.10746042 0.07953855 0.2455554  0.5085329  0.26297104 0.04964809
 0.20978083 0.23879227 0.6038933  0.01624891 0.27135104 0.28268412
 0.08945347 0.49146923 0.35713857 0.2057114  0.43370295 0.
 0.3077858  0.18134885 0.27379173 0.6488801  0.08831455 0.5462224
 0.         0.13434178 0.5444427  0.16240452 0.3464517  0.4029988
 0.16145882 0.15601249 0.16211489 0.30388007 0.         0.35257578
 0.20883183 0.         0.1554243  0.5560694  0.35388103 0.01058511
 0.7106033  0.49210918 0.35933343 0.3201372  0.3020424  0.34034503
 0.07947271 0.2054636  0.23354729 0.17689341 0.64544266 0.17693445
 0.16829725 0.21057473 0.4687113  0.272993   0.2250578  0.41131973
 0.1763884  0.21623982 0.20108347 0.14998478 0.60627097 0.5386806
 0.21507756 0.06687529]"
"2","American III: Solitary Man","Johnny Cash","country","https://en.wikipedia.org/wiki/American_III:_Solitary_Man","[0.16357163 0.         0.49081546 0.16102134 0.13313724 0.21798034
 0.20935601 0.38928974 0.03285883 0.24990661 0.527057   0.1196503
 0.76144946 0.13311358 0.22457439 0.36240792 0.12214005 0.
 0.14911193 0.51482135 0.36794928 0.1502316  0.23745649 0.50391906
 0.25395757 0.2395531  0.11832652 0.18581522 0.09220001 0.30648595
 0.11900681 0.48643586 0.49950963 0.55010134 0.35394752 0.
 0.2742759  0.2313056  0.         0.14072244 0.1601446  0.14444692
 0.1301025  0.31891522 0.22764863 0.5828938  0.30492666 0.32381922
 0.2064766  0.24022453 0.19543391 0.49195758 0.         0.17881171
 0.11356019 0.41143367 0.15737614 0.06584224 0.19989915 0.22773719
 0.3193518  0.65188646 0.41251317 0.2846899  0.         0.4987087
 0.2655819  0.22814102 0.4123571  0.2970113  0.3364426  0.4240846
 0.07867429 0.2437317  0.         0.06927358 0.         0.
 0.68992305 0.13461933 0.18626918 0.93412715 0.07682682 0.14303143
 0.312978   0.37978408 0.31810448 0.22591977 0.13762614 0.43746465
 0.04493727 0.39658883 0.27374986 0.16420928 0.2710958  0.29113594
 0.04340436 0.01824847 0.22386375 0.         0.4257118  0.10871843
 0.10771687 0.49195606 0.579866   0.20827869 0.11738809 0.09360819
 0.5039727  0.3631474  0.         0.3268901  0.2699275  0.
 0.         0.23068826 0.19813453 0.25761732 0.3729197  0.44683388
 0.2884575  0.6180683  0.23800996 0.39173847 0.55700713 0.18593052
 0.09539302 0.0947364 ]"
"3","Golden Ring","Tammy Wynette and George Jones","country","https://en.wikipedia.org/wiki/Golden_Ring_(album)","[0.40784296 0.5834822  0.5146012  0.25472867 0.06258895 0.05342524
 0.40327367 0.18737806 0.36998066 0.         0.13835153 0.02753089
 0.07783525 0.25051826 0.         0.13427626 0.30477098 0.28970587
 0.31915435 0.03695393 0.         0.1713212  0.14174756 0.40768695
 0.20557149 0.3529189  0.20790108 0.32184324 0.26457798 0.88607424
 0.9067264  0.31600463 0.0568454  0.         0.11988201 0.8082073
 0.0570066  0.         0.         0.         0.04691832 0.23730978
 0.         0.82116586 0.86837    0.5436928  0.25079304 0.19602346
 0.16302522 0.32899418 0.39130136 0.38222653 0.30971736 0.075339
 0.3947409  0.         0.4470217  0.05179488 0.30566517 0.27838254
 0.3726145  0.         0.06870325 0.5092265  0.         0.7213203
 0.         0.51501775 0.         0.0828557  0.6443204  0.24534576
 0.21688308 0.673733   0.03906561 0.6731409  0.05919248 1.0300356
 0.21348569 0.3899931  0.2736399  0.29231697 0.         0.07591905
 0.23852867 0.04907165 0.27322915 0.4269609  0.26077238 0.5185279
 0.11390574 0.01399475 0.08943054 0.3498854  0.57496506 0.
 0.         0.04676106 0.         0.6117658  0.15315638 0.
 0.         0.8284769  0.14699039 0.         0.02778343 0.21354182
 0.22398129 0.37049732 0.         0.196158   0.4729048  0.00249289
 0.22287303 0.15764901 0.19235119 0.24287018 0.43333519 0.404833
 0.6194383  0.         0.         0.17036948 0.00220095 0.
 0.21265979 0.34451804]"
"4","The Woman In Me","Shania Twain","country","https://en.wikipedia.org/wiki/The_Woman_in_Me_(Shania_Twain_album)","[0.36416447 0.13287246 0.8177442  0.5561093  0.17038456 0.08478949
 0.14705324 0.4478951  0.         0.06359303 0.4417582  0.16445465
 0.         0.30435652 0.23564021 0.06148643 0.03189968 0.
 0.43864995 0.19707176 0.599976   0.         0.33949834 0.08083893
 0.04084143 0.37665614 0.         0.16419278 0.22079125 0.6739653
 0.05609703 0.5849436  0.44505176 0.10528702 0.09848534 0.
 0.27662197 0.7447491  0.         0.         0.27626032 0.31342173
 0.62060994 0.6421765  0.1666754  0.03610319 0.         0.
 0.24707644 0.         0.4271184  0.53031075 0.18938461 0.48439026
 0.18403415 0.         0.2774589  0.21426962 0.8238838  0.26286852
 0.2492147  0.26578066 0.09465463 0.3385525  0.         0.47006312
 0.5975858  0.4892826  0.0873081  0.45998225 0.08795087 0.40157756
 0.14819449 0.23569943 0.         0.3093211  0.10701643 0.62605244
 0.9230425  0.         0.41299728 0.42401543 0.6768195  0.2938595
 0.45161912 0.30289248 0.4966646  0.3332506  0.21602443 0.6436539
 0.24473085 0.5237498  0.         0.71077377 0.60477453 0.
 0.61110306 0.         0.12258371 0.6612787  0.4384019  0.
 0.3629914  1.0147496  0.48240343 0.41209757 0.18979722 0.1423609
 0.42814258 0.6334618  0.         0.4175465  0.         0.15803076
 0.         0.         0.0472616  0.07574637 0.38882026 0.5353204
 0.         0.15604293 0.3226264  0.16770357 1.0066767  0.6668426
 0.19363973 0.42074078]"
"5","Breathe","Faith Hill","country","https://en.wikipedia.org/wiki/Breathe_(Faith_Hill_album)","[0.03898026 0.25230452 0.35522857 0.02412166 0.08470776 0.71645784
 0.10072683 0.27868855 0.         0.3813504  0.2757353  0.
 0.3522843  0.06627913 0.         0.         0.49848753 0.
 0.7538885  0.16991264 0.         0.5502812  0.555793   0.04013567
 0.         0.803371   0.         0.         0.40805393 0.39519042
 0.5710074  0.         0.548809   0.4834602  0.22098532 0.34143063
 0.5684183  0.83830726 0.5094176  0.16607518 0.37270522 0.
 0.2359134  0.         0.16048831 0.6148295  0.5704814  1.0690981
 0.01182057 0.44039217 0.         0.3327465  0.58145344 0.29682294
 0.47188827 0.38178906 0.         0.         0.4836077  0.27878508
 0.7449962  0.         0.15032952 0.4522589  0.         0.10322427
 0.47240818 1.0042262  0.62180614 0.20371117 0.         0.5421865
 0.05589262 0.44646367 0.308217   0.43734875 0.4119507  0.23722148
 0.3204008  0.2633958  0.2590619  0.36253121 0.21192357 0.
 0.18077166 0.1544931  0.3126019  0.42011586 0.         0.
 0.11667527 0.22958472 0.44440854 0.         0.16426216 0.1638277
 0.93363917 0.         0.04868285 0.09327978 0.28260207 0.
 0.         0.15852232 0.20483005 0.36692995 0.66780984 0.27441955
 0.25347352 0.6098151  0.         0.4596814  1.1764386  0.13483202
 0.         0.3976964  0.34763703 0.2259817  0.05328662 0.23257208
 0.09629214 0.5340017  0.373717   0.18384753 0.335443   0.8526681
 0.0666635  0.6193914 ]"
"6","Guitars, Cadillacs, Etc., Etc.","Dwight Yoakam","country","https://en.wikipedia.org/wiki/Guitars,_Cadillacs,_Etc.,_Etc.","[1.93871349e-01 8.08680594e-01 5.22274256e-01 5.78911066e-01
 1.15829967e-01 7.43762553e-01 6.04297519e-02 7.29543865e-01
 4.14565623e-01 1.41619086e-01 6.26228601e-02 7.77133331e-02
 1.81103066e-01 5.39484739e-01 3.99926871e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 5.61000705e-01 0.00000000e+00
 3.66106719e-01 2.78809696e-01 1.23107001e-01 2.56951332e-01
 3.08018059e-01 3.87480110e-01 6.72361106e-02 0.00000000e+00
 7.84085616e-02 1.85317010e-01 1.87239125e-01 0.00000000e+00
 6.53622597e-02 2.34056100e-01 1.13420069e+00 2.84032196e-01
 2.94527382e-01 5.20196378e-01 2.64104337e-01 7.60324538e-01
 0.00000000e+00 4.42490131e-01 1.58649758e-01 1.71735048e-01
 0.00000000e+00 7.00659275e-01 1.09078363e-01 0.00000000e+00
 0.00000000e+00 1.92706093e-01 6.13088459e-02 4.22013640e-01
 1.52042836e-01 2.32275680e-01 1.23685554e-01 6.50837779e-01
 2.64876187e-01 1.03736714e-01 8.35232496e-01 1.88574731e-01
 1.45623609e-01 3.48092586e-01 6.88617676e-02 0.00000000e+00
 4.83404577e-01 1.18539222e-01 4.24406379e-01 7.68369973e-01
 2.33961090e-01 0.00000000e+00 1.93858221e-01 6.09823735e-03
 3.15038383e-01 1.55017555e-01 5.67041576e-01 5.09552598e-01
 3.19413021e-02 0.00000000e+00 3.68422776e-01 2.27191120e-01
 5.49904168e-01 2.64326215e-01 7.01911092e-01 6.35462523e-01
 0.00000000e+00 5.66193044e-01 8.91995013e-01 3.45447809e-01
 3.42841089e-01 0.00000000e+00 4.13628101e-01 5.91878453e-03
 2.48299286e-01 4.33824137e-02 3.16507369e-02 4.61064845e-01
 4.08096761e-01 1.76834147e-02 3.57095540e-01 5.02103388e-01
 7.28480518e-05 7.70013928e-02 1.87781572e-01 2.12083384e-01
 1.90157935e-01 1.54963732e-01 3.13422084e-01 1.11145362e-01
 6.33281469e-02 5.99975288e-01 0.00000000e+00 1.66525748e-02
 5.13149202e-01 8.85381829e-03 3.93244848e-02 5.02688050e-01
 5.82742989e-01 1.61931545e-01 5.05883209e-02 4.03222680e-01
 0.00000000e+00 0.00000000e+00 1.02059856e-01 0.00000000e+00
 3.68423760e-01 8.89560342e-01 1.38556272e-01 0.00000000e+00]"
"7","Unchained","Johnny Cash","country","https://en.wikipedia.org/wiki/Unchained_(Johnny_Cash_album)","[0.         0.         0.21543397 0.         0.18810958 0.48018718
 0.02891493 0.7559822  0.         0.5342973  0.685276   0.1095432
 0.5489505  0.19969875 0.73103297 0.23932493 0.20388976 0.11838173
 0.07184972 1.2351542  0.35395652 0.54463387 0.30920124 0.49836972
 0.28709984 0.         0.31296784 0.         0.         0.48638707
 0.06422618 0.2888678  0.8843744  0.21637459 0.6357002  0.25749272
 0.781833   0.5785255  0.22504568 0.62725943 0.26994535 0.
 0.3364357  0.33085525 0.05127854 0.5478135  0.87589073 0.7942391
 0.05308498 0.16458564 0.21147418 0.67946005 0.339122   0.34930497
 0.01291526 0.5010455  0.09773502 0.19218266 0.35346383 0.
 0.21087883 0.65845513 0.39896578 0.         0.         0.4509512
 0.085137   0.46995503 0.7092947  0.00646474 0.         0.66884184
 0.19760893 0.12131158 0.         0.16726562 0.20097668 0.05260876
 0.4515815  0.0367118  0.67421407 1.1775216  0.35428247 0.14981483
 0.898922   0.         0.         0.13501805 0.46110767 0.32760745
 0.         0.0801284  0.27242345 0.         0.5146981  0.24641652
 0.19155708 0.14167257 0.32302696 0.19532783 0.01200734 0.30525106
 0.09537423 0.30229777 0.33257195 0.5140086  0.         0.2545512
 0.23357041 0.00696281 0.         0.8600709  0.76056665 0.25244358
 0.05981956 0.55138516 0.07969922 0.2880806  0.1643468  0.21313457
 0.41185227 0.67157155 0.2743172  0.77725375 0.6714685  0.22543858
 0.         0.        ]"
"8","Some Hearts","Carrie Underwood","country","https://en.wikipedia.org/wiki/Some_Hearts","[0.36428043 0.         0.34319353 0.         0.2582274  0.42738476
 0.7468577  0.0968798  0.17242673 0.2517535  0.9196538  0.21473916
 0.         0.10615987 0.         0.09850042 0.         0.4404074
 0.5033974  0.18857111 0.3346687  0.         0.01126652 0.2766966
 0.08938426 0.03400212 0.0309013  0.         0.22653356 0.34517133
 0.         0.32560748 0.14127702 0.7038008  1.0571778  0.68721056
 0.31952617 0.         0.39865017 0.08995834 0.19476394 0.65593046
 0.         0.20867197 0.         0.5147335  0.33303404 0.07279076
 0.84277445 0.30582228 0.25823906 0.6630584  0.         0.20038466
 0.2650585  0.         0.36156255 0.371677   0.15112513 0.13431291
 0.00368515 0.         0.26767004 0.65314823 0.         0.62018305
 0.24832556 0.7680581  0.20980462 0.14939576 0.0571476  0.5670626
 0.31155077 0.01268168 0.19957203 0.7479094  0.2497743  0.32057786
 0.7793462  0.15114601 0.3441672  0.8387927  0.06717036 0.31082958
 0.85026354 0.         0.6024741  0.20954536 0.49114016 0.24887884
 0.         0.48292857 0.33800188 0.         0.84641117 0.23655003
 0.64505523 0.06063081 0.34474257 0.47091398 0.08431582 0.0819345
 0.37131244 0.42060953 0.47562674 0.04795283 0.21475835 0.10892923
 0.         0.9964783  0.03178694 0.         0.40689585 0.05610627
 0.23355933 0.01033801 0.889614   0.         1.3386012  0.41504353
 0.5366178  0.         0.14548995 0.20708832 0.17693648 0.
 0.33574492 0.34283516]"
"9","Red Dirt Girl","Emmylou Harris","country","https://en.wikipedia.org/wiki/Red_Dirt_Girl","[0.         0.09347027 0.7180027  0.34900787 0.         0.30881956
 0.13604535 0.29106635 0.76993793 0.19467379 0.         0.3983197
 0.4696821  0.1894399  0.04520557 0.5088581  0.38844374 0.32955092
 0.49127367 0.0678453  0.6920992  0.10339646 0.48525316 0.
 0.07581577 0.8013486  0.0988768  0.31650645 0.3038919  0.15523171
 0.24099983 0.14786634 0.8015195  0.92146665 0.9013339  0.19546947
 0.77703995 0.9722106  0.23043928 0.23685524 0.00433851 0.
 0.18827464 0.30107522 0.63625336 0.67612565 0.4939056  0.34736213
 0.29894626 0.5519916  0.07411586 0.23243089 0.         0.10099303
 0.         1.501696   0.36421704 0.         0.45392084 0.06145707
 0.         0.6280908  0.33411515 0.2558031  0.28000385 0.16876101
 0.22588344 0.9505632  0.35713524 0.         0.23391758 0.33888483
 0.40995702 0.06581038 0.27373707 0.8896166  0.04513712 0.34401307
 0.17118526 0.10958183 0.39306682 0.40345693 0.07651246 0.09959212
 0.         0.         0.         0.5282319  0.37677994 0.
 0.12623253 0.2138747  0.42295656 0.09411661 0.23464297 0.845138
 0.21093953 0.08324782 0.30568433 0.         0.25169933 0.19238062
 0.14543256 0.01549301 0.         0.62513775 0.41226882 0.4057739
 0.4127983  0.37699282 0.         0.43875572 0.29079956 0.24711007
 0.06822808 0.43797234 0.3707885  0.5349056  0.7135346  0.7986208
 0.07427368 0.13980067 0.41961703 0.05830162 0.         0.4887763
 0.         0.5179567 ]"
