"id","title","author","label","URL","embedding"
"0","Chief","Eric Church","country","https://en.wikipedia.org/wiki/Chief_(album)","[2.48125736e-02 5.31498194e-01 4.57986817e-02 5.54608047e-01
 4.23843324e-01 3.18097204e-01 7.42970645e-01 6.65530413e-02
 1.61607325e-01 4.45139080e-01 7.83643723e-01 1.26237631e-01
 0.00000000e+00 4.49925423e-01 3.30240250e-01 6.14184856e-01
 1.12815693e-01 9.93224531e-02 1.88433573e-01 3.75368536e-01
 2.33033806e-01 3.17981154e-01 0.00000000e+00 7.89173007e-01
 0.00000000e+00 0.00000000e+00 5.93664527e-01 4.34236228e-01
 3.18672150e-01 7.51395226e-01 1.68719262e-01 0.00000000e+00
 3.57523888e-01 0.00000000e+00 2.17372805e-01 5.89237213e-01
 3.08460090e-04 4.16305602e-01 3.91219258e-01 9.77595687e-01
 1.43396229e-01 3.99415702e-01 9.38440189e-02 2.59881109e-01
 5.77992618e-01 2.95770943e-01 3.55140686e-01 3.11178654e-01
 0.00000000e+00 5.03694713e-01 2.78649747e-01 2.16433451e-01
 7.40339637e-01 0.00000000e+00 0.00000000e+00 3.54977489e-01
 4.09518391e-01 1.70669645e-01 2.57091552e-01 1.83297060e-02
 4.66875702e-01 5.71848094e-01 2.42997199e-01 5.30363142e-01
 5.71921840e-03 3.73458982e-01 3.76696259e-01 2.07788944e-01
 1.17924944e-01 4.50764835e-01 4.87296224e-01 5.56574047e-01
 0.00000000e+00 4.34959084e-01 2.09619612e-01 4.28902566e-01
 4.98526752e-01 1.98125672e-02 0.00000000e+00 1.24722503e-01
 3.05704810e-02 5.59627891e-01 1.95069194e-01 3.36851984e-01
 8.81418109e-01 5.42500854e-01 8.11651707e-01 2.11008847e-01
 0.00000000e+00 0.00000000e+00 2.49918550e-01 0.00000000e+00
 0.00000000e+00 2.44288161e-01 2.38277406e-01 7.89408907e-02
 4.18200672e-01 4.25319433e-01 6.58690393e-01 0.00000000e+00
 1.14604890e-01 2.74224222e-01 4.81187403e-01 4.40104008e-01
 4.33114439e-01 2.42426932e-01 5.28334677e-01 3.70625295e-02
 7.09004283e-01 1.25490114e-01 5.21843359e-02 2.27332398e-01
 6.01081848e-01 3.01071852e-01 3.90035547e-02 3.21122289e-01
 4.19694670e-02 5.54010093e-01 6.42530560e-01 7.17956305e-01
 2.96749830e-01 1.47475362e-01 4.39353622e-02 2.80211307e-03
 0.00000000e+00 1.19721316e-01 7.42474020e-01 5.30743599e-01]"
"1","Stand By Your Man","Tammy Wynette","country","https://en.wikipedia.org/wiki/Stand_by_Your_Man_(album)","[0.05423882 0.21727514 0.7768657  0.3157273  0.41104603 0.12393023
 0.8354711  0.11255956 0.18406756 0.10937982 0.6698558  0.10239357
 0.5949162  0.40517673 0.38912886 0.4303697  0.04576529 0.20371388
 0.25035235 0.2952148  0.29144704 0.1385192  0.         0.2869647
 0.07372648 0.32987115 0.55481887 0.47716308 0.66464055 0.5279302
 0.7918848  0.12638405 0.2473251  0.37473458 0.63962984 0.33068255
 0.12637265 0.38388902 0.1657778  0.41256675 0.2558829  0.25911176
 0.23909818 0.22865121 0.13057996 0.2991266  0.14202477 0.2754904
 0.         0.3101372  0.5534804  0.18811238 0.4244344  0.27178657
 0.00453558 0.34857967 0.29501987 0.31746793 0.38902122 0.00972502
 0.43984058 0.45768926 0.06301517 0.36527357 0.3271299  0.37831092
 0.19113702 0.22306621 0.3513621  0.18877004 0.20224513 0.4411798
 0.84901136 0.5524146  0.12351391 0.41793063 0.2628883  0.39562103
 0.         0.         0.53495765 0.4718481  0.10162067 0.09092301
 0.04484624 0.1354352  0.5503974  0.3244803  0.45272693 0.01235643
 0.24883123 0.         0.2492229  0.45670995 0.25570095 0.3140128
 0.15354939 0.9151932  0.41872057 0.         0.29591197 0.2696477
 0.28345475 0.         0.51202005 0.48257038 0.         0.5056724
 0.3814093  0.         0.24498062 0.20049311 0.12904422 0.34069693
 0.         0.21864705 0.09448377 0.06387316 0.02988268 0.5176408
 0.23156825 0.36260873 0.01128787 0.08300194 0.         0.03382796
 0.11963564 1.0500134 ]"
"2","American III: Solitary Man","Johnny Cash","country","https://en.wikipedia.org/wiki/American_III:_Solitary_Man","[0.         0.16532408 0.         0.761213   0.         0.
 0.         0.36567655 0.27248374 0.43155143 0.5011197  0.
 0.6032597  0.48047683 0.485263   0.31920654 0.         0.2667495
 0.16027758 0.3087538  0.08456364 0.         0.11683416 0.16452095
 0.         0.782184   0.67068255 0.4165017  0.5003072  0.14028311
 0.5820922  0.3589573  0.         0.         0.         0.6677631
 0.2193593  0.4573413  0.42725062 0.         0.01523413 0.26201415
 0.01776194 0.         0.01144376 0.48793694 0.5148216  0.08381166
 0.39912248 0.03841362 0.35113594 0.06715067 0.         0.0988934
 0.3146142  0.18809049 0.24368419 0.48146778 0.16917247 0.1039624
 0.04827928 0.83498573 0.23828208 0.43073827 0.479108   0.11223251
 0.         0.30081376 0.5454881  0.5191134  0.21725711 0.05144406
 0.52949536 0.0121002  0.20438713 0.06782166 0.04491705 0.
 0.3010957  1.060259   0.43454036 0.02403641 0.4750759  0.39417803
 0.47610557 0.17359269 0.15926363 0.21708563 0.01275823 0.95654386
 0.80930597 0.06253088 0.06270757 0.11067896 0.5427901  0.82652396
 0.4306832  0.92917    0.28753132 0.0998155  0.34321138 0.27564692
 0.         0.         0.53250074 0.2687447  0.32207385 0.44241112
 0.02321606 0.1719999  0.16652405 0.16674522 0.12322787 0.
 0.15816785 0.         0.23276582 0.3741825  0.         0.28402042
 0.46912703 0.3567811  0.5195938  0.35326338 0.         0.14261743
 0.55378157 0.45789692]"
"3","Golden Ring","Tammy Wynette and George Jones","country","https://en.wikipedia.org/wiki/Golden_Ring_(album)","[0.17674223 0.12522776 1.2510697  0.6425666  0.16604103 0.17723502
 0.4650615  0.05855838 0.15019341 0.3434654  0.37169155 0.
 0.20163237 0.1093761  0.48470402 0.48194966 0.48312065 0.05552723
 0.26323894 0.03602529 0.61146414 0.08995765 0.13486339 0.25052235
 0.         0.50179857 0.3254798  0.03453639 0.16158104 0.76318616
 0.91619205 0.12536557 0.19483271 0.34692615 0.27523547 0.404144
 0.15547372 0.6255431  0.         0.22895867 0.44063446 0.03539374
 0.21295147 0.         0.19089603 0.17973529 0.19030249 0.80425954
 0.11201523 0.43085814 0.18054426 0.4041536  0.33395198 0.15132645
 0.16708922 0.4209333  0.08173523 0.24308449 0.33260775 0.
 0.21652772 1.1031004  0.5625003  0.88138336 0.20943381 0.87261176
 0.44208023 0.4763266  0.15733267 0.         0.27498046 0.16670607
 0.70945305 0.46906388 0.24042171 0.         0.28228664 0.39855525
 0.         0.         0.58185995 0.81785595 0.51370764 0.00941922
 0.02102803 0.16258805 0.26379478 0.08647744 0.837669   0.
 0.31843457 0.         0.28854707 0.18951458 0.         0.6384427
 0.19902077 0.6117382  0.         0.02834347 0.19133554 0.70592403
 0.33906814 0.21777625 0.377087   0.28767604 0.5271527  0.33649093
 0.65601134 0.         0.44286826 0.         0.66056556 0.16535506
 0.04482005 0.48722488 0.3919118  0.27469516 0.36545306 0.21127065
 0.34304816 0.22137012 0.         0.17012745 0.         0.
 0.         0.77630466]"
"4","The Woman In Me","Shania Twain","country","https://en.wikipedia.org/wiki/The_Woman_in_Me_(Shania_Twain_album)","[0.16146268 0.         0.47908652 0.         0.13847627 0.14620994
 0.68873465 0.82426506 0.09597655 0.31259042 0.         0.29658088
 0.546199   0.41358128 0.3149516  0.14319181 0.17967284 0.4856698
 0.69319624 0.505683   0.04810803 0.3040258  0.781904   0.1307299
 0.08893622 0.3149652  0.777468   0.1374608  0.5032096  0.
 0.04038211 0.12040585 0.10025555 0.06399737 0.13875471 0.39376214
 0.7394115  0.49747407 0.2222545  0.30104896 0.31369042 0.594434
 0.42781985 0.43641815 0.         0.44761354 0.45595556 0.28052053
 0.2812435  0.2539333  0.40386483 0.10069782 0.38990194 0.18487301
 0.31080592 0.31801397 0.34386283 0.3623789  0.1564842  0.3702493
 0.         0.69491315 0.7299403  0.4378506  0.24679519 0.35404557
 0.37114877 0.8325321  0.43844777 0.17810166 0.6144605  0.91271454
 0.10379211 0.23001479 0.7597151  0.3041564  0.16472062 0.00868827
 0.28811276 0.62796086 0.42490688 0.03643212 0.4328442  0.14559768
 0.5544306  0.6789424  0.16808502 0.43420658 0.5454406  0.6719566
 0.14910805 0.02788144 0.23759085 0.34203807 0.06120479 0.56824523
 0.10925293 0.         0.6182174  0.05658657 0.13572972 0.19397041
 0.1326597  0.13324364 0.         0.         0.         0.12209939
 0.20119384 0.1463636  0.84281087 0.15491548 0.13386452 0.5969151
 0.15654792 0.12568814 0.46552482 0.5219818  0.20309325 0.54501253
 0.         0.05781887 0.16349709 0.09679325 0.         0.17848116
 0.23821548 0.1043827 ]"
"5","Breathe","Faith Hill","country","https://en.wikipedia.org/wiki/Breathe_(Faith_Hill_album)","[0.5949878  0.28933015 0.3865235  0.11970487 0.10066456 0.21599056
 0.14334492 0.2835769  0.38036886 0.40526283 0.         0.
 0.5781438  0.58450544 0.40590304 0.08606488 0.21170741 0.37154293
 0.35761058 0.         0.1401451  0.24112217 0.09631675 0.32860404
 0.12139007 0.18664138 0.28647375 0.3284874  1.0916059  0.46106204
 0.7386071  0.24880166 0.1685743  0.11326148 0.12821238 0.29455793
 0.1808182  0.10982406 0.21488443 0.06801613 0.2681529  0.29315975
 0.33064255 0.64031947 0.51034224 0.2573666  0.217208   0.11491701
 0.14617638 0.09903327 0.572964   0.3409354  0.05966023 0.08148044
 0.38837558 0.60364985 0.28679606 0.16603242 0.18430023 0.37435883
 0.19583757 0.67820156 0.10970443 0.0813155  0.29808855 0.0913266
 0.27733713 0.24871242 0.6917942  0.37979388 0.2068479  0.84554166
 0.48788658 0.23773345 0.2315515  0.29480758 0.08602582 0.0630665
 0.34281528 0.         0.18110432 0.33243915 0.29387417 0.5246439
 0.21329127 0.19407585 0.2420669  0.18349329 0.44994336 0.59498763
 0.         0.0909549  0.31312442 0.28215587 0.10855409 0.3530208
 0.46656135 0.24419352 0.07621247 0.13493997 0.6004211  0.34167185
 0.16738093 0.0164507  0.         0.         0.33673558 0.01909841
 0.5675967  0.4522861  0.34498137 0.15274921 0.3391952  0.24664457
 0.09598929 0.28316954 0.00334335 0.14408185 0.21756633 0.
 0.34002545 0.27907738 0.         0.32857943 0.         0.12148216
 0.35546994 0.30466512]"
"6","Guitars, Cadillacs, Etc., Etc.","Dwight Yoakam","country","https://en.wikipedia.org/wiki/Guitars,_Cadillacs,_Etc.,_Etc.","[0.         0.50771564 0.07691818 0.         0.17568137 0.6653269
 0.5811877  0.16836861 0.24244903 0.6335569  0.2199049  0.27577272
 0.38655597 0.35648108 0.3796304  0.19567458 0.         0.08630607
 0.27092728 0.43860155 0.34500468 0.07107258 0.         0.45460275
 0.2494649  0.28500974 0.9422866  0.53246117 0.8816585  0.08340929
 0.04666398 0.         0.22207478 0.17078996 0.44001788 0.48160464
 0.01258386 0.6551075  0.47215724 0.32904467 0.2693331  0.055998
 0.4508837  0.21092923 0.13267991 0.3490126  0.5643789  0.23920079
 0.22646211 0.21256956 0.58566356 0.0938694  0.24124911 0.22891232
 0.1361717  0.01618851 0.10271239 0.51396483 0.4066781  0.18541066
 0.55159426 0.10984025 0.62834203 0.03339527 0.05348591 0.
 0.3471048  0.3009694  0.03832521 0.35730243 0.13344947 0.23158266
 0.46109575 0.32159352 0.26641187 0.3440045  0.26568815 0.4127985
 0.15590405 0.23323035 0.00375057 0.25185734 0.41295868 0.24430339
 0.92435163 0.5258883  0.6001936  0.3341338  0.1914257  0.2940901
 0.10455611 0.00871246 0.         0.05446118 0.22621466 0.2642126
 0.18369038 0.47791016 0.1672037  0.         0.098159   0.1828304
 0.2680649  0.01690761 0.50197953 0.37971523 0.42090827 0.56134707
 0.31297034 0.07239342 0.492435   0.         0.24234842 0.12874807
 0.042461   0.0256866  0.23177236 0.09054272 0.47034836 0.83844215
 0.10665327 0.05283016 0.27048934 0.11353911 0.         0.36453122
 0.53220105 0.7407234 ]"
"7","Unchained","Johnny Cash","country","https://en.wikipedia.org/wiki/Unchained_(Johnny_Cash_album)","[0.4058046  0.29456466 0.         1.1361022  0.         0.19206384
 0.         0.8484608  0.6853757  0.41897908 0.40607762 0.
 0.44269606 0.46001688 0.23019521 0.316132   0.32000807 0.01075557
 0.07647302 0.3484902  0.22093236 0.24123229 0.12227321 0.
 0.         0.67876303 0.424357   0.         0.15182069 0.7775794
 0.31522405 0.595587   0.02468281 0.38108513 0.10903434 1.1054229
 0.         0.40507263 0.2229165  0.23098108 0.16700193 1.0047905
 0.13563745 0.         0.         0.16196354 0.28597283 0.21456614
 0.8522106  0.         0.29933167 0.         0.0354386  0.28906304
 0.14026803 0.13388811 0.5935027  0.3510409  0.0055421  0.
 0.15645066 0.6362084  0.011045   0.74169695 0.3358293  0.01945525
 0.6206642  0.         0.34505612 0.33152127 1.2313228  0.
 0.90211004 0.         0.3152053  0.9487694  0.20021302 0.35378397
 0.36839697 1.0307039  0.31967062 0.         0.43175456 0.48814335
 0.8242963  0.09431814 0.25444716 0.8531353  0.         0.8781623
 0.6215252  0.         0.         0.23853311 0.48696074 0.78603923
 0.18867601 0.8082714  0.33762625 0.         0.14423788 0.
 0.22509277 0.         0.7194871  1.065004   0.6385167  0.74081224
 0.         0.         0.30133316 0.40600914 0.4102705  0.07285542
 0.795993   0.09956195 0.31610435 0.44583037 0.         0.2745696
 1.0327041  1.0115665  0.83006394 0.79105735 0.         0.5987703
 0.6035552  0.30864164]"
"8","Some Hearts","Carrie Underwood","country","https://en.wikipedia.org/wiki/Some_Hearts","[0.         0.6172394  0.         0.23724683 0.5891431  0.5026895
 0.21029949 0.16963837 0.38298643 0.33970407 0.5858681  0.34734353
 0.         0.         0.9143476  0.27316383 0.00585827 0.
 0.3672801  0.54401696 0.5671137  0.53202933 0.50620794 0.73231256
 0.30194017 0.48447162 0.6169078  0.         0.58955413 0.5310391
 0.18071921 0.09066074 0.3025348  0.29976654 0.46269718 0.28880498
 0.11203411 0.27692658 0.1349513  0.27607793 0.11502389 0.9804009
 0.11665213 0.34715182 0.22697793 0.         1.0650579  0.01208334
 0.04782613 0.         0.24562052 0.         0.70750797 0.
 0.10456917 0.04082903 0.5546726  0.6305322  0.         0.05100691
 0.65505886 0.04756656 0.32680628 0.4581714  0.11358196 0.23381428
 0.31397527 0.40275317 0.266237   0.24367915 0.5056866  0.49477458
 0.46071148 0.25028902 0.26089758 0.77449745 0.44206277 0.0409411
 0.1052357  0.489845   0.1986549  0.46544516 0.30825424 0.3460888
 0.39627668 0.35694826 0.6092274  1.0026983  0.         0.26280168
 0.         0.         0.10847447 0.24190892 0.23065749 0.17850202
 0.5030564  1.2507651  0.21539475 0.         0.4535948  0.10022087
 0.         0.21093257 0.4865879  1.0664726  0.3152189  0.6358366
 0.47513115 0.24530101 0.9426747  0.16849314 0.8390096  0.19144447
 0.19210498 0.46218097 0.08950637 0.         0.38635206 1.0555658
 0.29334182 0.3558898  0.40884233 0.01926143 0.         0.36637372
 0.6919797  0.39078373]"
"9","Red Dirt Girl","Emmylou Harris","country","https://en.wikipedia.org/wiki/Red_Dirt_Girl","[0.51908183 0.20629814 0.63779485 0.         0.24956276 0.37544212
 0.81781214 0.4586958  0.2648872  0.27775744 0.40851933 0.3969823
 0.34439385 0.3628798  0.42633802 0.0545499  0.71889234 0.15938362
 0.1668459  0.         0.10039452 0.14581886 0.         0.6385448
 0.         0.46989802 0.31696337 0.25690386 0.82470286 0.73928124
 0.6607947  0.0780059  0.7210504  0.0167751  0.2667419  0.10234131
 0.1961073  0.63151157 0.7429813  0.25332215 0.32009646 0.42460257
 0.28934243 0.65293086 0.47244796 0.33372352 0.19070376 0.32454547
 0.5863656  0.26826108 0.04268495 0.17940105 0.16933706 0.06289914
 0.20956174 0.         0.45645753 0.67218214 0.5528457  0.3612961
 0.18569708 0.5875802  0.721776   0.5836079  0.         0.
 0.52674216 0.15699765 0.43692902 0.17390108 0.18274464 0.2834228
 0.40800744 0.6628764  0.3488018  0.41417137 0.6274587  0.19322012
 0.69583756 0.         0.73205554 0.5003836  0.08959236 0.08291408
 0.41626084 0.41045937 0.48485017 0.08013995 0.18016312 0.02297139
 0.33193964 0.14026944 0.09322438 0.17638451 0.03564772 0.
 0.36115676 0.5815094  0.484803   0.         0.16452979 0.22351229
 0.         0.         0.03480924 0.27282873 0.48838773 0.33966747
 0.42617998 0.26315972 0.7592194  0.20369045 0.26558745 0.04632828
 0.         0.37527198 0.21245094 0.2678143  0.58055955 0.02789512
 0.35448197 0.04008045 0.12041867 0.43889457 0.         0.11885268
 0.2610834  0.5718298 ]"
