"id","title","label","URL","embedding"
"0","Bloodshot","super-hero","https://en.wikipedia.org/wiki/Bloodshot_(film)","[-0.15921072661876678, 0.2699722945690155, -0.6387818455696106, 0.1631624400615692, 0.602594256401062, -0.3774547576904297, -1.0305765867233276, -0.3268579840660095, -0.3729417324066162, 0.0752640813589096, 0.23927640914916992, 0.08245410770177841, 0.10071470588445663, 0.200156107544899, -0.7169911861419678, -0.4952901601791382, -0.4083688259124756, -0.016046272590756416, -0.10244959592819214, -0.745739758014679, 0.47285816073417664, 0.2861420810222626, -0.5138062834739685, -0.31755873560905457, 0.21188825368881226, -0.19339358806610107, -0.11575407534837723, -0.162891685962677, -0.2595295011997223, -0.0158762875944376, 0.17464779317378998, -0.5795488357543945, -0.8326839804649353, -0.46167799830436707, 0.04115419089794159, 0.23819513618946075, -0.03437977656722069, -0.32251620292663574, 0.30742162466049194, 0.3090670704841614, -0.4644291400909424, -0.2907656729221344, -0.009994576685130596, -0.05367862060666084, 0.7034027576446533, 0.2166586071252823, -0.21224293112754822, 0.4473438262939453, 0.3562432825565338, 0.08590899407863617, -0.21272195875644684, 0.24704359471797943, -0.7295877933502197, -0.07412917912006378, -0.30167466402053833, -0.4943244159221649, 0.297044575214386, 0.0778338685631752, -0.14486849308013916, 0.13101328909397125, -0.46268823742866516, -0.24358730018138885, -0.2902313470840454, -0.22374464571475983, -0.5038515329360962, 0.946544349193573, 0.11029402911663055, -0.8031831979751587, -0.3241959810256958, -0.3887587785720825, 0.05947898328304291, -0.25488027930259705, 0.12256573140621185, 0.18201564252376556, -0.46814125776290894, 0.5670416355133057, -0.03309950977563858, 0.045119576156139374, 0.4246489405632019, 0.1352040320634842, 0.3960786759853363, 0.029780447483062744, 0.45962879061698914, 0.29497724771499634, -0.0018461026484146714, -0.6036821007728577, 0.9235275387763977, 0.5587591528892517, -0.020711345598101616, 0.08981768786907196, 0.4711463749408722, 0.12848666310310364, 0.5075958967208862, -0.2905060946941376, -0.4228009283542633, 0.48983821272850037, -0.0760660395026207, 0.029118359088897705, -0.20533181726932526, -0.854868471622467, 0.5034189224243164, 0.19969819486141205, -0.3327297270298004, 0.45501387119293213, -0.019843652844429016, 0.5039049386978149, 0.33532094955444336, -0.0950077474117279, -0.38752996921539307, -0.23687759041786194, -0.212189719080925, 0.11935082823038101, -0.3276102542877197, 0.07604087144136429, -0.1255512535572052, 0.3056336045265198, -0.2767336368560791, 0.5455153584480286, 0.1978686898946762, 0.6674193739891052, -0.050190117210149765, 0.015735603868961334, 0.07100936770439148, -0.894673764705658, -0.11293605715036392, -0.4500855803489685, -0.11823760718107224, -0.5273265838623047]"
"1","Watchmen","super-hero","https://en.wikipedia.org/wiki/Watchmen_(film)","[-0.16744470596313477, 0.49852246046066284, 0.1723192185163498, -0.37854623794555664, -0.3115919530391693, -0.5040205717086792, -0.7988737225532532, -0.18789954483509064, 0.42322099208831787, 0.31237009167671204, -0.0066010975278913975, -0.02860078774392605, -0.3119860887527466, 0.22565311193466187, -0.549970805644989, -0.2573308050632477, -0.21845312416553497, -0.12585864961147308, -0.07091521471738815, 0.14751234650611877, 0.11292268335819244, 0.3987889289855957, -0.7812778949737549, -0.36606693267822266, 0.27958056330680847, -0.5381062030792236, 0.036444731056690216, 0.7207737565040588, 0.23293684422969818, 0.45648637413978577, -0.4896427094936371, 0.14837580919265747, 0.07126865535974503, 0.006726922933012247, -0.048414286226034164, 0.3099702298641205, 0.20257112383842468, -0.09919290989637375, 0.21943238377571106, -0.13405245542526245, -0.10844488441944122, -0.08945899456739426, 0.9124726057052612, 0.38830500841140747, -0.13588133454322815, 0.16227558255195618, 0.1888265311717987, 0.19437268376350403, 0.18507076799869537, -0.091362863779068, -0.1534164547920227, -0.205983504652977, -0.48877033591270447, 0.18875159323215485, -0.2868933379650116, -0.782681405544281, -0.048511192202568054, -0.2838921844959259, 0.14709989726543427, -0.2377549260854721, -0.17301693558692932, 0.30136093497276306, 0.18974553048610687, 0.27020612359046936, -0.1355985701084137, 0.3827226758003235, -0.2387068122625351, -0.18723417818546295, -0.34138160943984985, -0.5721588134765625, 0.08487965166568756, -0.39504390954971313, 0.3507903218269348, 0.43449896574020386, 0.26909881830215454, -0.6394804120063782, 0.13213621079921722, 0.01853340119123459, -0.30587559938430786, -0.09742802381515503, 0.501854658126831, -0.15795080363750458, 0.12570272386074066, 0.31566402316093445, 0.0009145389776676893, -0.06229419261217117, 0.7172831296920776, 0.9028584361076355, -0.26333507895469666, 0.21687118709087372, -0.47775471210479736, 0.0872974544763565, 0.5389814972877502, -0.14705820381641388, -0.04172230139374733, 0.1131635531783104, -0.5296461582183838, -0.246188685297966, 0.6564951539039612, -0.1267075389623642, 0.341731458902359, -0.34473925828933716, 0.002216038294136524, 0.056326523423194885, 0.21549959480762482, 0.1785196214914322, -0.23581528663635254, 0.44434502720832825, -0.08665424585342407, 0.42666080594062805, -0.6970100998878479, -0.3564898371696472, -0.213407963514328, 0.4008689224720001, 0.5536178946495056, -0.14024506509304047, -1.3319252729415894, -0.04484884813427925, 0.2671003043651581, 0.1179296225309372, -0.33170586824417114, 0.509996771812439, -0.30865904688835144, 0.025273360311985016, -0.3429356813430786, -0.5981212854385376, 0.5152783989906311, 0.023361092433333397]"
"2","Superman II","super-hero","https://en.wikipedia.org/wiki/Superman_II","[0.03854907676577568, 0.09165618568658829, -0.5027416944503784, 0.27407121658325195, 0.3638121783733368, -0.3934367895126343, -0.7709341049194336, 0.3001171350479126, -0.6482897996902466, 0.5900797843933105, 0.2925640046596527, -0.05780644342303276, 0.19109676778316498, -0.21451435983181, -0.20323067903518677, 0.026256104931235313, -0.9090457558631897, -0.1810162365436554, -0.2533414363861084, -0.07115606963634491, 0.26665499806404114, -0.10264567285776138, 0.11606810241937637, -0.638003408908844, -0.07210060209035873, 0.49299851059913635, 0.4632154703140259, -0.7578022480010986, -0.4745310842990875, -0.22119374573230743, -0.13723880052566528, -0.5857319831848145, -0.08142741024494171, 0.10960160195827484, -0.11307265609502792, 0.5290568470954895, 0.49095743894577026, 0.023470662534236908, 0.4802391231060028, 0.15528826415538788, -0.31723105907440186, -0.1359090954065323, -0.04013446718454361, 0.00796543899923563, 0.4133375883102417, 0.5596463084220886, -0.4930673837661743, -0.11789233237504959, -0.45977112650871277, -0.5783730149269104, 0.2216588407754898, 0.5076327323913574, -0.1858040988445282, 0.13317394256591797, -0.2699417173862457, -0.684359073638916, 0.27330514788627625, -0.21134132146835327, 1.0181862115859985, 0.1508948802947998, 0.39839768409729004, 0.12113718688488007, 0.31231746077537537, 0.15745669603347778, -0.3099340498447418, 0.48679450154304504, -0.15110257267951965, 0.003749813186004758, -0.6305232048034668, -0.8189017176628113, 0.3124215304851532, -0.20305055379867554, -0.10855628550052643, -0.18045273423194885, -0.441243976354599, -0.4921673834323883, 0.5301166772842407, 0.592635989189148, -0.037513747811317444, -0.12909509241580963, -0.4700568616390228, -0.6250021457672119, 0.42200541496276855, 0.7785112261772156, 0.0672433003783226, 0.04057068005204201, 0.8763816952705383, 0.1683965027332306, 0.5774319171905518, -0.07894262671470642, 0.15643683075904846, -0.7870581150054932, 0.5190847516059875, -0.6100702285766602, -0.358578085899353, 0.23499146103858948, -0.4285346269607544, 0.1997157484292984, 0.3308619260787964, -0.2782542407512665, -0.07227633148431778, -0.31675848364830017, -0.07371065765619278, -0.12795013189315796, -0.49167710542678833, 0.06664875149726868, -0.05383474379777908, 0.7483932971954346, -0.3777683973312378, -0.04480905830860138, -0.1379285305738449, -0.24041599035263062, -0.5691820979118347, 0.13307873904705048, -0.4996429979801178, -0.4589962959289551, -0.48516321182250977, 0.280503511428833, 0.10749012976884842, -0.6287704706192017, -0.6334611177444458, 0.6750208735466003, 0.010994179174304008, -0.05836595967411995, 0.10184230655431747, -0.4142434298992157, 0.2653316855430603, -0.3589917719364166]"
"3","Birds of Prey (And the Fantabulous Emancipation…","super-hero","https://en.wikipedia.org/wiki/Birds_of_Prey_(2020_film)","[0.04921950027346611, -0.045294374227523804, -0.6216863393783569, -0.21610280871391296, 0.6693750619888306, 0.48675209283828735, -0.2898324131965637, 0.09684628248214722, -0.4642115533351898, 0.26798006892204285, -0.46848100423812866, 0.07214676588773727, 0.01380799151957035, 0.20967411994934082, -0.37107884883880615, -0.09331215173006058, -0.2885192334651947, 0.004006452392786741, -0.4634688198566437, -0.1625969558954239, 0.4822281002998352, 0.24018815159797668, -0.7389163970947266, -0.39173173904418945, -0.09029064327478409, -0.8999205827713013, 0.6733618378639221, 0.5185940265655518, 0.1983838528394699, 0.5621753931045532, -0.05901288986206055, -0.26964354515075684, -0.40433281660079956, -0.32118257880210876, 0.017730575054883957, 0.36088326573371887, 0.015036612749099731, -0.310275673866272, 0.6540846824645996, -0.07233600318431854, -0.43906888365745544, 0.09781084954738617, -0.19064083695411682, -0.31904515624046326, 0.08736568689346313, -0.2532241642475128, -0.14819949865341187, 0.45869240164756775, 0.07209263741970062, 0.00631025992333889, 0.0412132628262043, -0.1937641054391861, -0.10667651146650314, -0.024233518168330193, -0.1787741631269455, -0.26061150431632996, 0.4071986973285675, -0.028908057138323784, 0.23481249809265137, 0.040056172758340836, -0.22471091151237488, -0.6950729489326477, 0.039521437138319016, -0.39344722032546997, 0.21101397275924683, 0.16541965305805206, 0.37506788969039917, 0.03743807226419449, -0.33697205781936646, -0.09158609062433243, 0.1831597536802292, 0.03757699951529503, 0.016103452071547508, 0.2890053391456604, -0.01031537726521492, -0.14809033274650574, 0.8223891258239746, 0.03607577085494995, 0.3596609830856323, 0.19985593855381012, -0.34356874227523804, -0.26887357234954834, -0.10911821573972702, 0.609224259853363, -0.5799131393432617, -0.08744931221008301, 0.7643134593963623, 0.7639323472976685, 0.07467374205589294, 0.014748245477676392, 0.21601714193820953, -0.5857020616531372, -0.0029245945625007153, -0.23151908814907074, -0.15969832241535187, -0.42519596219062805, -0.14925602078437805, -0.2889421880245209, 0.8482657074928284, 0.3198687434196472, 0.05581595003604889, -0.5391926765441895, 0.03961484506726265, 0.08440941572189331, -0.2588737905025482, 0.5713749527931213, 0.004458311013877392, 0.20554104447364807, 0.32201144099235535, 0.11765854060649872, -0.05871276557445526, -0.16016148030757904, -0.5704296827316284, 0.33052903413772583, 0.11102453619241714, 0.10830404609441757, -0.5157987475395203, -0.10998358577489853, -0.0579979233443737, 0.09391649067401886, -0.11493010818958282, -0.05662788450717926, -0.1556926965713501, -0.17008671164512634, 0.039054062217473984, 0.1701194941997528, 0.9013926386833191, -0.46157169342041016]"
"4","Green Lantern","super-hero","https://en.wikipedia.org/wiki/Green_Lantern_(film)","[-0.18411697447299957, 0.07772627472877502, -0.24829933047294617, -0.07309997081756592, 0.023035665974020958, -0.09295804798603058, -0.709096372127533, -0.20155541598796844, -0.3398400843143463, 0.47617149353027344, -0.09633192420005798, -0.14663131535053253, 0.40729549527168274, -0.10097258538007736, -0.009482079185545444, -0.13412074744701385, -0.4553705155849457, -0.5673235058784485, 0.043992817401885986, -0.021327771246433258, 0.5957772135734558, -0.08251740783452988, -0.1851997822523117, -0.46172648668289185, -0.2778666615486145, -0.516205370426178, 0.10515467822551727, 0.08312012255191803, -0.08982329070568085, 0.09035801887512207, 0.4146423637866974, -0.02915232442319393, -0.3592499792575836, 0.17786148190498352, -0.4722755551338196, 0.321865051984787, 0.23746474087238312, -0.04291124641895294, 0.4048200845718384, 0.19112960994243622, -1.1539292335510254, 0.20564387738704681, 0.5312722325325012, -0.12225580215454102, -0.3462527394294739, 0.07717277854681015, 0.03573538735508919, 0.034321367740631104, -0.23368465900421143, -0.3392161726951599, -0.2852780222892761, -0.24079476296901703, 0.019363753497600555, -0.29520800709724426, -0.09540040045976639, -0.5070291757583618, 0.6000338196754456, -0.01852336898446083, 0.2363903522491455, 0.27040746808052063, 0.08680838346481323, -0.0935475304722786, 0.2573499083518982, 0.04129809886217117, 0.11011311411857605, 0.38539639115333557, -0.2656957507133484, -0.4541272521018982, -0.520497739315033, -0.2773617208003998, 0.13574828207492828, -0.11583958566188812, 0.016884805634617805, -0.3622548282146454, -0.26800811290740967, -0.2540605962276459, 0.2367538958787918, -0.021746458485722542, 0.10876915603876114, -0.22197377681732178, -0.16311505436897278, -0.370380163192749, -0.03851896524429321, 0.27607786655426025, 0.10842081904411316, 0.17813651263713837, 0.7224919199943542, 0.8070203065872192, 0.20770716667175293, 0.0013269544579088688, 0.18634729087352753, -0.5588010549545288, 0.5782238245010376, -0.183834046125412, -0.250390887260437, 0.15070900321006775, -0.22826439142227173, 0.1864267736673355, 0.6857270002365112, -0.5159650444984436, 0.1907605081796646, -0.3667469322681427, -0.3036244213581085, -0.09683128446340561, -0.22501565515995026, 0.5146434903144836, 0.5031901597976685, 0.09430725127458572, -0.03988288715481758, 0.2509925663471222, -0.30104801058769226, -0.13635598123073578, -0.7365568280220032, 0.06546182185411453, -0.1278354674577713, 0.024058055132627487, -0.4613937437534332, 0.3646615147590637, 0.10033749043941498, 0.03797704726457596, 0.029281510040163994, 0.1217668205499649, 0.014958162792026997, 0.2139820158481598, 0.31856459379196167, -0.07836580276489258, 0.2990120053291321, -0.6475708484649658]"
"5","The Green Hornet","super-hero","https://en.wikipedia.org/wiki/The_Green_Hornet_(2011_film)","[-0.4879925549030304, 0.26451969146728516, -0.1975613683462143, 0.6348327994346619, 0.4862460792064667, -0.044893473386764526, -0.03576420247554779, 0.27715811133384705, 0.5576995015144348, 0.168376162648201, -0.6514357924461365, -0.1818770468235016, -0.39060649275779724, -0.20730485022068024, -0.4870888292789459, 0.4493364691734314, -0.9079489707946777, 0.8429352045059204, 0.7061731219291687, 0.033096835017204285, 0.1405387669801712, 0.2938659191131592, -0.8313478231430054, -0.5817025303840637, -0.7181417346000671, 0.041004132479429245, -1.04732084274292, 0.5063484311103821, -0.1929907649755478, 0.29657191038131714, 0.6469693779945374, -0.2747515141963959, 0.09915672987699509, -0.6065804362297058, 0.30185213685035706, 0.6308106780052185, -0.3204459547996521, -0.363821804523468, -0.22118912637233734, -1.2156678438186646, 0.3984050154685974, -0.2146228849887848, -0.5222614407539368, 0.45581087470054626, 0.3752078413963318, 0.15534569323062897, 0.46034950017929077, 0.27061697840690613, -0.17431189119815826, 0.8782680630683899, 0.4388286769390106, 1.0366837978363037, 0.02341644838452339, 0.435099720954895, -0.17544782161712646, -0.3618142902851105, -0.23129549622535706, -0.47294315695762634, 0.19619043171405792, 0.7135515213012695, -0.24463889002799988, 0.13354825973510742, 0.474420428276062, 0.06434468179941177, -0.1705387979745865, 0.02172114886343479, 0.5106067061424255, -0.2393476814031601, -0.4429827928543091, -0.5421969294548035, -0.6842607855796814, 0.38306164741516113, 0.4026620388031006, 0.1710270196199417, -1.0757770538330078, -0.37601056694984436, -0.3264724612236023, 0.16032813489437103, 0.540151834487915, 0.6029322147369385, 0.602692723274231, -0.241303488612175, -0.01764753647148609, -0.013019326142966747, -0.5238502621650696, -0.8091176748275757, 0.5552008748054504, 0.5119392275810242, 1.1243380308151245, -0.4432346820831299, 0.17585253715515137, 0.7675396800041199, 0.6984227895736694, 0.18400129675865173, -0.06697733700275421, -0.08116573095321655, -0.5068157911300659, 0.060743313282728195, 0.26121434569358826, 0.04621516540646553, -0.5678406357765198, -0.10902093350887299, -1.145542860031128, 0.20234568417072296, -0.5831974148750305, 0.41516822576522827, -0.146504744887352, 0.10585275292396545, 0.41685354709625244, -0.511202871799469, -0.11417581140995026, -0.7077946066856384, 0.19636788964271545, -0.4243876338005066, -0.035588763654232025, 0.650063157081604, 0.09044425934553146, 0.15200036764144897, -0.4571486711502075, -0.10344910621643066, -0.31649067997932434, 0.10324980318546295, 0.48047131299972534, 0.16162173449993134, 0.6422293782234192, -0.5199082493782043, -0.043957144021987915, -0.8857303857803345]"
"6","Ghost Rider","super-hero","https://en.wikipedia.org/wiki/Ghost_Rider_(2007_film)","[-0.07950308918952942, -0.6724451184272766, -0.14470461010932922, 0.13201947510242462, 0.06456735730171204, -0.08041962236166, -0.3618910312652588, 0.15033037960529327, -0.35144102573394775, 0.162763312458992, -0.11266639083623886, -0.19116953015327454, 0.27452659606933594, 0.6148148775100708, -0.32589635252952576, 0.04038846865296364, -0.6032959222793579, 0.14610426127910614, -0.05190570279955864, -0.5878363847732544, -0.2081797569990158, 0.04057091847062111, -0.4423058331012726, 0.1706397980451584, 0.11379700154066086, -0.333578497171402, -0.06145446002483368, -0.05386681109666824, 0.0363793820142746, -0.07091307640075684, -0.003083833260461688, 0.5055037140846252, -0.054625388234853745, 0.013523747213184834, -0.10370280593633652, 0.19074611365795135, 0.09127988666296005, 0.004090822301805019, 0.5996800065040588, -0.4513351619243622, -0.35529401898384094, 0.42161497473716736, 0.07663951069116592, -0.17316970229148865, 0.006271866150200367, 0.2952309548854828, -0.22807109355926514, 0.17187996208667755, -0.008772800676524639, 0.31707724928855896, -0.671986997127533, -0.05090600997209549, -0.49867215752601624, 0.31471338868141174, 0.22722943127155304, -0.005483595654368401, 0.10874202847480774, 0.1889030784368515, -0.18599821627140045, 0.44790586829185486, 0.16393108665943146, 0.47870680689811707, -0.22111505270004272, -0.646157443523407, -0.0454171858727932, 0.566102147102356, -0.026300380006432533, -0.4130615293979645, -0.24503259360790253, 0.23624515533447266, 0.27449437975883484, 0.07816004753112793, -0.6027065515518188, -0.12115401029586792, -0.3194844424724579, 0.11760303378105164, 0.14624759554862976, -0.24997743964195251, -0.050500888377428055, -0.5889173150062561, 0.017781728878617287, 0.06649193912744522, 0.4844488203525543, 0.09378333389759064, -0.4176230728626251, -0.30768680572509766, 0.7995080947875977, 0.6396812796592712, 0.43844419717788696, 0.11275239288806915, 0.13187840580940247, 6.349364412017167e-06, 0.2745385766029358, 0.15367178618907928, 0.014183787629008293, 0.1565479040145874, 0.08654242753982544, -0.18838529288768768, 0.43298688530921936, -0.5129042863845825, -0.2719935178756714, 0.05535871535539627, -0.47999948263168335, 0.28674742579460144, -0.09671800583600998, 0.19079715013504028, -0.11108458042144775, 0.4326130449771881, -0.3509981632232666, 0.39020952582359314, -0.18842864036560059, -0.13467152416706085, -0.14380842447280884, 0.4016174376010895, 0.03304353728890419, -0.29826298356056213, 0.029222650453448296, 0.07229766994714737, 0.07198325544595718, 0.12002106010913849, -0.18586121499538422, 0.400850772857666, -0.394023060798645, -0.22555020451545715, 0.5815277099609375, 0.4510926604270935, 0.060119710862636566, -0.48026859760284424]"
"7","Batman & Robin","super-hero","https://en.wikipedia.org/wiki/Batman_%26_Robin_(film)","[-0.017906397581100464, 0.026581868529319763, -0.5302460789680481, -0.16299039125442505, -0.09783047437667847, -0.16083648800849915, -0.5598486065864563, 0.18539422750473022, -0.3675261437892914, -0.01569356955587864, -0.30177611112594604, -0.08882734179496765, 0.4399554133415222, 0.030795708298683167, -0.13563206791877747, 0.1167873665690422, -0.3881448805332184, -0.47812700271606445, -0.08582761883735657, 0.07496144622564316, 0.1129453182220459, 0.47012829780578613, -0.20123589038848877, -0.01784892939031124, -0.3531601130962372, -0.4517255425453186, -0.011200685985386372, -0.254517525434494, 0.15072044730186462, 0.15345469117164612, -0.15784454345703125, -0.39725053310394287, -0.2311369925737381, 0.2300582379102707, -0.13988757133483887, 0.37013715505599976, 0.1822102963924408, 0.30402472615242004, 0.46484375, 0.11632250994443893, -0.3505336046218872, 0.2610912621021271, 0.23812252283096313, -0.20288656651973724, 0.1821061372756958, -0.08798062056303024, 0.40085452795028687, 0.12372913211584091, -0.2238195687532425, -0.24817581474781036, -0.26037609577178955, -0.04371627792716026, 0.15084274113178253, -0.21518546342849731, -0.0773729458451271, -0.5512851476669312, 0.27953508496284485, -0.5366684198379517, 0.502718985080719, 0.18882961571216583, -0.10365771502256393, -0.19969265162944794, 0.3543018400669098, -0.18857266008853912, 0.03530950844287872, 0.20873978734016418, -0.013724466785788536, -0.32165518403053284, -0.3821771740913391, -0.30089637637138367, -0.06303368508815765, 0.2688649594783783, 0.13875369727611542, 0.04920092597603798, -0.3361363112926483, -0.4352111220359802, 0.2717413902282715, -0.4160287082195282, 0.3392498195171356, 0.025456616654992104, -0.06025422737002373, -0.5878092050552368, 0.07072197645902634, 0.2643151879310608, 0.32056593894958496, -0.2702573835849762, 0.9236534833908081, 0.7430129647254944, 0.10399731993675232, 0.0012541150208562613, 0.34027090668678284, -0.40346217155456543, 0.5989341139793396, 0.08160006999969482, 0.22195996344089508, 0.16458956897258759, -0.19563671946525574, 0.12500810623168945, 0.37959611415863037, -0.2090829759836197, 0.5018682479858398, -0.5295397043228149, -0.11844529956579208, -0.2778984606266022, -0.17452816665172577, 0.30396926403045654, 0.4278058111667633, 0.13305175304412842, -0.11024072766304016, -0.15722350776195526, -0.597339391708374, -0.13095666468143463, -0.642254650592804, 0.4464007318019867, 0.38246697187423706, -0.1778508871793747, -0.5227988958358765, -0.06614828109741211, 0.055913254618644714, 0.4576203525066376, -0.3834080398082733, -0.09624522179365158, -0.030188772827386856, 0.3041132390499115, -0.010985716246068478, 0.36124783754348755, 0.6466508507728577, -0.635921835899353]"
"8","Hulk","super-hero","https://en.wikipedia.org/wiki/Hulk_(film)","[0.2667270004749298, -0.10317570716142654, 0.365283727645874, -0.6520209312438965, -0.24314358830451965, 0.27338796854019165, -0.6908749938011169, -0.22731804847717285, -0.3933510482311249, -0.4604574739933014, -0.19611039757728577, -0.3713436424732208, 0.12474541366100311, 0.31704598665237427, -0.20325759053230286, 0.20667764544487, -0.3503818213939667, 0.13874247670173645, 0.5100337862968445, -0.2678353488445282, 0.07803161442279816, 0.4411821663379669, -0.5814386606216431, -0.5921503305435181, -0.043705131858587265, -0.7706486582756042, 0.2750340402126312, -0.3261297643184662, -0.5495392084121704, 0.05190036818385124, 0.12754788994789124, -0.22705785930156708, -0.2709672451019287, -0.1719413697719574, -0.26893186569213867, 0.41337764263153076, 0.3959476947784424, 0.5032151341438293, 0.6164994835853577, 0.4802204966545105, -0.27153095602989197, 0.01022339891642332, -0.016374463215470314, 0.4987923204898834, -0.4857245087623596, 0.4158876836299896, 0.07234334200620651, 0.315408855676651, 0.20217016339302063, 0.2625757157802582, -0.27242496609687805, -0.06356573849916458, -0.2775163948535919, -0.03532329574227333, 0.3889866769313812, 0.1085861474275589, -0.11284954100847244, 0.2878173291683197, -0.6385727524757385, 0.2115822434425354, 0.08927394449710846, -0.5261432528495789, -0.10305729508399963, 0.2598450481891632, -0.13863317668437958, -0.4449769854545593, 0.6595514416694641, -0.4141686260700226, -0.3885980248451233, -0.23199154436588287, 0.2669532597064972, 0.06273441761732101, 0.4117629826068878, -0.3330720365047455, -0.036277879029512405, 0.1290770322084427, -0.07298441231250763, 0.009867342188954353, 0.41509902477264404, -0.09155277162790298, 0.017964132130146027, 0.09049729257822037, -0.0016790599329397082, 0.23754321038722992, -0.17017051577568054, 0.11518995463848114, 0.29057952761650085, 0.8833736777305603, -0.1371430903673172, -0.053223397582769394, 0.2960112690925598, 0.15174491703510284, 0.29026132822036743, 0.2242673933506012, -0.3884746730327606, -0.009939488023519516, 0.29011663794517517, -0.2981061339378357, -0.4909588694572449, -0.17877839505672455, -0.025777867063879967, -0.048876140266656876, -0.4309534430503845, -0.07352901995182037, 0.36063438653945923, 0.30303990840911865, -0.2497311234474182, 0.6620724201202393, 0.1696297824382782, -0.24022158980369568, -0.31621286273002625, -0.08215029537677765, -0.15045985579490662, -0.1810993105173111, -0.2658805549144745, 0.16259855031967163, -0.25534409284591675, 0.1366414725780487, -0.5316144227981567, 0.17957976460456848, -0.2532441020011902, -0.023188713937997818, -0.3902239203453064, -0.6759139895439148, -0.10547573119401932, -0.20597892999649048, 0.25491997599601746, -0.10737534612417221]"
"9","Teenage Mutant Ninja Turtles: Out of the Shadows","super-hero","https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows","[0.16972681879997253, 0.40125346183776855, 0.23125478625297546, 0.38836154341697693, 0.6307653188705444, -0.10442502051591873, -1.1429375410079956, -0.6658262610435486, -0.4557195007801056, -0.176310196518898, 0.5768661499023438, 0.45022478699684143, 0.22109617292881012, -0.29806971549987793, -0.7560746073722839, 0.3029172420501709, -0.24037419259548187, -0.01184853445738554, -0.2662259340286255, -0.5010563731193542, 0.22461631894111633, -0.23637163639068604, -0.9023141860961914, -0.046513207256793976, -0.37152299284935, -0.16274142265319824, 0.8562706112861633, -0.3462890684604645, 0.2020559161901474, -0.283278226852417, 0.04441990703344345, 0.18887309730052948, 0.24263598024845123, 0.4438318610191345, 0.5946251749992371, 0.8677754998207092, 0.5038939118385315, -0.16541007161140442, 0.21300745010375977, -0.09626206010580063, -0.22234205901622772, 0.7934280633926392, -0.1854451596736908, 0.3603721559047699, 0.0732337161898613, 0.4099522531032562, -0.6277065277099609, -0.1346895545721054, 0.22387181222438812, -0.27848175168037415, -0.20202839374542236, -0.1963721215724945, -0.3612733483314514, 0.21761465072631836, -0.2924468219280243, -0.09171298146247864, 0.1716180145740509, -0.6477265357971191, -0.6250981688499451, 0.3790419399738312, 0.5091953277587891, -0.07873415946960449, 0.07042809575796127, 0.28736233711242676, -0.21225927770137787, 0.7556571364402771, 0.11309169977903366, 0.14141303300857544, 0.21178579330444336, -0.7093104124069214, 0.3029498755931854, -0.13336148858070374, -0.04922488331794739, 0.06009113788604736, -0.10891439020633698, -0.569887101650238, -0.1356033980846405, -0.12267354130744934, 0.2964808940887451, 0.6549577116966248, 0.0891476571559906, -0.5463573336601257, 0.1056247130036354, 0.04297501593828201, -0.5802328586578369, -0.0315517783164978, 0.9553259611129761, 0.4655595123767853, 0.09264250844717026, 0.3160078823566437, 0.13955120742321014, 0.08030220121145248, 0.06274521350860596, -0.05432245880365372, 0.25981834530830383, -0.27138686180114746, 0.16374969482421875, -0.4097209572792053, -0.4246985614299774, -0.020956872031092644, 0.8110220432281494, -0.16105177998542786, 0.1938677579164505, -0.5572473406791687, -0.12709349393844604, 0.19129005074501038, 0.7393664121627808, -0.28409746289253235, -0.5862213373184204, -0.16652075946331024, -0.9127827882766724, -0.4134368598461151, -0.10727672278881073, 0.06751202791929245, 0.038258146494627, 0.590576171875, -0.2501031458377838, -0.9058799147605896, 0.2398080676794052, 0.45080095529556274, 0.17123781144618988, 0.8285073041915894, 0.10047934949398041, 0.2407195121049881, 0.545479416847229, -0.31345081329345703, 0.6749635934829712, 0.11312327533960342]"
