"id","title","label","URL","embedding"
"0","Bloodshot","super-hero","https://en.wikipedia.org/wiki/Bloodshot_(film)","[-0.2814488112926483, 0.3552497923374176, -0.4760613739490509, -0.07789638638496399, -0.04010767489671707, -0.14378800988197327, 0.2216542363166809, -0.20831702649593353, 0.0562276728451252, 0.46136772632598877, 0.13147500157356262, 0.5131964683532715, 0.6620901226997375, 0.16290229558944702, -0.26636603474617004, 0.8613112568855286, -0.15773612260818481, 0.6392173767089844, 0.39371582865715027, 0.19447875022888184, -0.09596503525972366, 0.04189639538526535, -0.12684766948223114, 0.005791655275970697, 0.3747101128101349, 0.1350950449705124, -0.01723453216254711, -0.15917588770389557, -0.36903148889541626, -0.08879277110099792, 0.6599492430686951, -0.057682447135448456, 0.16308191418647766, 0.08214720338582993, 0.7460787296295166, -0.11414890736341476, -0.3707869052886963, -0.18784025311470032, 0.2555893063545227, -0.5610976815223694, 0.08052406460046768, 0.31981033086776733, 0.4146207273006439, -0.42555364966392517, -0.06452812999486923, 0.33749622106552124, -0.10408994555473328, 0.3550398647785187, 0.39055734872817993, 0.05487336218357086, -0.2418430894613266, 0.3465504050254822, -0.4931144416332245, -0.11017493903636932, -0.3447284400463104, -0.11285971105098724, 0.824386715888977, -0.06510408222675323, -0.01895967870950699, 0.02092830277979374, 0.44624629616737366, 0.1519872397184372, 0.6621506810188293, -0.0070608449168503284, 0.07156460732221603, 0.2830705940723419, 0.23417839407920837, -0.005810837727040052, 0.13193511962890625, -0.3075449764728546, -0.2741599977016449, 0.1327591836452484, 0.32850345969200134, 0.05046838894486427, 0.29207390546798706, 0.23778390884399414, -0.21448880434036255, -0.07795986533164978, -0.4887863099575043, 0.05201727896928787, 0.3009572923183441, 0.09674374759197235, 0.5870549082756042, -0.19714704155921936, -0.18285951018333435, 0.26207393407821655, 0.09216681867837906, -0.07819782942533493, 0.11530238389968872, 0.28910064697265625, -0.2944435477256775, -0.30837202072143555, 0.1876097172498703, 0.0394359789788723, -0.12137270718812943, -0.4186556935310364, -0.2616428732872009, -0.4199473559856415, -0.22804611921310425, -0.2826307713985443, 0.30508285760879517, 0.023858416825532913, -0.36879628896713257, 0.05952311307191849, 0.13431094586849213, 0.25868040323257446, 0.055622830986976624, 0.4105895161628723, -0.060815732926130295, 0.09681686013936996, -0.2722196877002716, -0.20710505545139313, -0.6372983455657959, -0.038604263216257095, 0.5590065717697144, 0.017174504697322845, -0.008275765925645828, 0.2978275716304779, -0.153123140335083, -0.42511433362960815, 0.050505004823207855, -0.25484442710876465, 0.3364408612251282, 0.7858545184135437, -0.034958913922309875, -0.3485385477542877, 0.17420528829097748, 0.5574046969413757]"
"1","Watchmen","super-hero","https://en.wikipedia.org/wiki/Watchmen_(film)","[0.27248290181159973, -0.33690184354782104, -0.68613600730896, 0.20491774380207062, 0.2848507761955261, 0.274594247341156, 0.7987593412399292, -0.23739469051361084, 0.06792506575584412, 0.5585968494415283, 0.324730783700943, 0.22456073760986328, -0.10389561206102371, 0.16507317125797272, -0.36149704456329346, 0.13706326484680176, 0.2407534122467041, -0.11689730733633041, 0.30229082703590393, 0.1303887963294983, -0.06710450351238251, -0.0365854874253273, -0.5289263129234314, -0.3088745176792145, 0.025981660932302475, 0.21627825498580933, 0.14774355292320251, -0.5079284906387329, -0.39700743556022644, 0.5080896615982056, -0.000876814010553062, -0.17786197364330292, 0.16408731043338776, 0.2439863085746765, 0.6438560485839844, 0.0002222344046458602, -0.48008260130882263, -0.3562336564064026, 0.05944586172699928, 0.16262798011302948, 0.43342435359954834, -0.2797568142414093, 0.1761847287416458, -0.07361576706171036, 0.03798850253224373, 0.10784631967544556, 0.03876248002052307, -0.2972581088542938, 0.3201296627521515, 0.2946298122406006, -0.26857614517211914, 0.05232362076640129, 0.2387896180152893, 0.37735608220100403, -0.1121697872877121, -0.05844765901565552, 0.4174763262271881, 0.2217647135257721, -0.028925742954015732, 0.21691420674324036, 0.415708988904953, -0.13602036237716675, 0.1500488966703415, -0.4078137278556824, -0.1263357400894165, 0.05171983316540718, -0.017764123156666756, 0.26672181487083435, 0.17420625686645508, -0.24983882904052734, -0.04284743592143059, -0.31068187952041626, 0.5389025211334229, -0.2151269167661667, 0.23791874945163727, -0.05459044128656387, 0.23068946599960327, 0.13054300844669342, -0.41296523809432983, 0.03544824942946434, 0.3000568449497223, -0.2851317822933197, 0.39984744787216187, 0.21239599585533142, -0.18763861060142517, 0.04833737388253212, -0.021199937909841537, 0.6114851236343384, -0.19731763005256653, 0.13866667449474335, -0.06616341322660446, 0.12727059423923492, 0.01683971844613552, 0.2576865553855896, -0.2539657950401306, -0.0243049468845129, -0.05994024500250816, -0.2023700773715973, -0.44996321201324463, -0.3630926311016083, -0.04465800151228905, -0.12366946041584015, -0.16061916947364807, -0.6031497716903687, 0.5453558564186096, 0.058029189705848694, -0.2918230891227722, 0.35485219955444336, -0.48392245173454285, -0.2806958556175232, 0.040011972188949585, -0.4495956003665924, -0.04499788582324982, 0.24006782472133636, -0.06402101367712021, 0.15321725606918335, 0.5371814370155334, 0.34827637672424316, 0.0857137143611908, -0.07624304294586182, -0.23866285383701324, -0.5282720327377319, 0.5057860016822815, -0.4533070921897888, -0.15929372608661652, -0.165621817111969, 0.08375416696071625, 0.3935895264148712]"
"2","Superman II","super-hero","https://en.wikipedia.org/wiki/Superman_II","[0.17747800052165985, 0.10921604186296463, -0.6302624940872192, -0.32788681983947754, 0.22026923298835754, 0.6467092633247375, -0.20599496364593506, -0.12320051342248917, -0.7313421368598938, 0.2013341337442398, 0.055818673223257065, 0.25789111852645874, 0.49279192090034485, 0.0633334070444107, -0.2615990936756134, -0.14846278727054596, 0.41069892048835754, -0.038101814687252045, 0.18896187841892242, 0.41800451278686523, 0.055347830057144165, -0.0007170057506300509, 0.19811005890369415, 0.1836720108985901, 0.47246116399765015, 0.10817079246044159, -0.03563036769628525, -0.24935084581375122, 0.23466016352176666, 0.20792153477668762, 0.5334826111793518, 0.10321105271577835, -0.2973288297653198, 0.13934451341629028, 1.1550886631011963, -0.028865719214081764, -0.4665391147136688, -0.1953810751438141, -0.10704615712165833, -0.6309159398078918, 0.03879357501864433, -0.0823640376329422, 0.43163540959358215, -0.3001815676689148, 0.2808500826358795, -0.13474783301353455, -0.503706157207489, 0.338072270154953, -0.1325250267982483, 0.08156086504459381, -0.18719297647476196, 0.2105277180671692, 0.27451181411743164, 0.39822623133659363, -0.5943337082862854, 0.208596870303154, -0.24567976593971252, -0.1072503998875618, 0.5021675229072571, -0.13203753530979156, 0.3368731439113617, -0.2669355273246765, 0.4462747275829315, 0.14779722690582275, -0.11793512105941772, -0.11667566001415253, 0.0384472981095314, 0.001171502866782248, -0.43679434061050415, -0.1906241923570633, 0.3849294185638428, -0.1544603705406189, 0.16997702419757843, 0.11577385663986206, -0.04360441118478775, -0.3311134874820709, 0.20407313108444214, 0.05473311245441437, -0.6318504214286804, 0.03976279869675636, 0.2679905891418457, 0.36967572569847107, 0.35205650329589844, 0.495246559381485, -0.2712125778198242, 0.15859299898147583, 0.06484800577163696, 0.4123356342315674, -0.12323334813117981, 0.1703486442565918, -0.5490347743034363, -0.7374811768531799, 0.234727680683136, 0.18127389252185822, -0.18143466114997864, -0.047647856175899506, -0.16574418544769287, 0.41592657566070557, -0.24508477747440338, -0.34890973567962646, 0.5217118859291077, -0.03416485711932182, -0.026132717728614807, -0.45184198021888733, 0.7384136915206909, 0.2565280795097351, -0.23862707614898682, 0.19407691061496735, -0.2487591952085495, 0.01090457383543253, -0.22484146058559418, -0.1360905021429062, -0.41240015625953674, 0.03207463026046753, -0.4638511538505554, 0.09837877750396729, 0.2557791471481323, 0.22611908614635468, 0.22098293900489807, -0.034008584916591644, -0.1311255842447281, 0.34199729561805725, 0.15093393623828888, 0.6263951659202576, 0.05431129410862923, 0.3647499680519104, -0.15344002842903137, -0.1998487114906311]"
"3","Birds of Prey (And the Fantabulous Emancipation…","super-hero","https://en.wikipedia.org/wiki/Birds_of_Prey_(2020_film)","[0.6242782473564148, -0.18414267897605896, -0.7738867402076721, -0.11389047652482986, -0.21479959785938263, 0.2893920838832855, 0.36553728580474854, -0.16770456731319427, -0.00413420470431447, 0.2045498937368393, 0.20203334093093872, 0.35335540771484375, 0.430145800113678, 0.11261603981256485, -0.4408038556575775, 0.11651220172643661, 8.94188488018699e-05, 0.26088854670524597, 0.2697673439979553, 0.2591053247451782, -0.20915883779525757, 0.10018346458673477, -0.385978639125824, 0.20243805646896362, -0.3843619227409363, -0.03770151734352112, 0.01310107484459877, -0.31050992012023926, -0.16333988308906555, 0.051133763045072556, 0.30163270235061646, -0.11316992342472076, 0.11736691743135452, 0.05582740530371666, 0.06139971315860748, -0.3388007879257202, -0.4732538163661957, -0.09278841316699982, 0.34940049052238464, -0.32809484004974365, -0.0739462599158287, -0.3529741168022156, 0.13972902297973633, 0.2814865708351135, 0.09414440393447876, 0.12636937201023102, 0.18094496428966522, -0.049666885286569595, 0.2289087027311325, 0.04822474718093872, 0.25959789752960205, 0.1481972485780716, 0.2909591794013977, -0.40275105834007263, -0.5159447193145752, 0.014397968538105488, -0.0857403427362442, 0.00809765886515379, 0.6001532673835754, 0.1733328402042389, 0.2950975298881531, 0.4855911433696747, 0.46623244881629944, 0.07796251773834229, 0.11865134537220001, 0.1287769228219986, -0.4136696457862854, -0.047075431793928146, -0.15354831516742706, 0.15116658806800842, -0.14992353320121765, -0.1332262009382248, 0.12551070749759674, -0.04105694219470024, 0.22757233679294586, 0.26778456568717957, 0.04687434062361717, -0.046118833124637604, -0.4693397283554077, -0.048124611377716064, -0.12224560230970383, 0.02593596652150154, 1.2210949659347534, 0.06014477461576462, -0.028504030779004097, -0.25068947672843933, 0.4406168460845947, 0.3197821080684662, -0.261078804731369, -0.1320730745792389, -0.015923568978905678, -0.2896796464920044, -0.014140875078737736, -0.08939807116985321, -0.30880075693130493, -0.385364294052124, 0.6379300355911255, 0.65643310546875, -0.41591864824295044, -0.39352187514305115, 0.07617651671171188, -0.4167465567588806, -0.4727528989315033, 0.03513530641794205, 0.04709717631340027, -0.28747671842575073, -0.48602473735809326, 0.15871189534664154, -0.15354777872562408, -0.06253193318843842, -0.23546873033046722, -0.0850599855184555, 0.0280921570956707, -0.12524843215942383, 0.30179306864738464, 0.04642108827829361, 0.12265541404485703, 0.17227454483509064, 0.380416601896286, -0.6255590319633484, 0.1807006299495697, 0.7024514079093933, 0.006205169949680567, -0.13741964101791382, 0.3871890902519226, -0.002014199970290065, 0.519024670124054, 0.21397285163402557]"
"4","Green Lantern","super-hero","https://en.wikipedia.org/wiki/Green_Lantern_(film)","[0.4477579593658447, -0.017487341538071632, -0.8067380785942078, 0.11599758267402649, 0.1604154109954834, 0.23011362552642822, 0.26920148730278015, -0.15647275745868683, -0.25155216455459595, 0.5016329884529114, 0.33594292402267456, 0.2850619852542877, 0.3880138397216797, -0.013793244026601315, -0.1504480242729187, 0.2468734085559845, 0.0677429735660553, 0.32283705472946167, 0.021278200671076775, 0.43997958302497864, -0.308013379573822, 0.09557931125164032, -0.6000681519508362, 0.10433178395032883, 0.2769801616668701, -0.026872554793953896, 0.12378305196762085, -0.48208820819854736, -0.2711926996707916, 0.25175634026527405, 0.5497982501983643, -0.3011399805545807, -0.20457977056503296, -0.05569199100136757, 0.608934760093689, -0.19079090654850006, -0.5632419586181641, 0.060304876416921616, 6.100527025409974e-05, -0.31181180477142334, 0.10002698004245758, 0.10872771590948105, -0.04439340904355049, 0.013615306466817856, 0.12176480144262314, -0.15318050980567932, -0.40940019488334656, -0.10715844482183456, 0.20336154103279114, 0.08729676902294159, 0.0898669958114624, 0.08762869983911514, 0.23779608309268951, 0.30485549569129944, -0.4669562578201294, -0.249311164021492, -0.05638066306710243, -0.02682437002658844, 0.06669885665178299, -0.2146594226360321, 0.4469265341758728, 0.11239205300807953, 0.03540954366326332, -0.09899676591157913, -0.06546411663293839, 0.25515392422676086, -0.4495479464530945, 0.08417770266532898, 0.20157726109027863, 0.15892674028873444, 0.4582612216472626, -0.04533476009964943, 0.10049053281545639, -0.172254279255867, 0.04709860309958458, -0.04843558743596077, -0.025294099003076553, 0.15225575864315033, -0.058492109179496765, 0.23986397683620453, 0.2077493667602539, 0.3683641254901886, 0.7313374876976013, 0.3560256361961365, -0.22316794097423553, -0.09499599784612656, -0.04266377165913582, 0.5027223825454712, -0.031299080699682236, 0.27289706468582153, -0.07234486192464828, -0.26529550552368164, -0.0862027108669281, -0.10229967534542084, -0.04641023278236389, -0.2881000339984894, 0.005006882827728987, 0.3156925141811371, -0.19755050539970398, -0.3472791016101837, 0.12260320782661438, 0.10816336423158646, -0.09441880881786346, -0.05339242145419121, 0.8687637448310852, 0.29788997769355774, -0.15911473333835602, 0.07181603461503983, 0.29061585664749146, 0.06638821214437485, -0.2285539209842682, 0.33215343952178955, -0.6968011260032654, -0.04242565110325813, 0.0672757551074028, -0.23309244215488434, -0.1039048582315445, 0.2811664938926697, 0.2686091661453247, -0.4704122543334961, -0.12704814970493317, 0.17663972079753876, 0.2872045934200287, 0.3347223997116089, -0.05894450843334198, -0.04512394219636917, 0.05430426076054573, -0.24019554257392883]"
"5","The Green Hornet","super-hero","https://en.wikipedia.org/wiki/The_Green_Hornet_(2011_film)","[0.46953245997428894, 0.2314358651638031, 0.2497670203447342, -0.5432270765304565, -0.3854338824748993, 1.016471266746521, 0.569537341594696, 0.5597074031829834, -1.1252446174621582, 0.5863690972328186, -0.0501481331884861, -0.18833886086940765, 0.1022203117609024, 0.6783977150917053, 0.31660768389701843, 0.3422156870365143, -0.2103133648633957, 0.0191147830337286, 0.22022508084774017, -0.10961546003818512, 0.40276873111724854, 0.9491862058639526, -0.03377686068415642, 0.07318757474422455, -0.4716764986515045, -0.4160815179347992, 0.045329079031944275, 0.0662168487906456, -0.7163927555084229, -0.08904624730348587, 0.06231005862355232, -0.7655103802680969, 0.5128788948059082, -0.017656246200203896, 0.006881134118884802, 0.21564075350761414, -0.33548346161842346, -0.1420450061559677, -0.26803264021873474, -0.5755465030670166, 0.39399397373199463, -0.20094028115272522, 0.36638087034225464, -0.32207077741622925, -0.25138530135154724, -0.5235937833786011, -0.2947959303855896, -0.2620164752006531, 0.07748304307460785, -0.3338002860546112, -0.30459925532341003, 0.9257776737213135, -0.09803728014230728, 0.15431161224842072, 0.8831645846366882, 0.11752881109714508, -0.5735180377960205, -0.10435010492801666, -0.13880787789821625, -0.27860552072525024, 0.5806858539581299, 0.3489658236503601, 0.22486281394958496, 0.093657948076725, 0.13260450959205627, 0.12894490361213684, 0.7300441265106201, 0.5315424799919128, 0.0905795767903328, 0.7398553490638733, -0.5755214095115662, -0.5503824353218079, -0.24352659285068512, -0.2058941125869751, 0.6766111850738525, 0.21846218407154083, -0.3769112825393677, -0.9481407403945923, -0.056833114475011826, 0.17905013263225555, -0.12074573338031769, 0.2603268027305603, 0.33085352182388306, -0.46086522936820984, 0.17492611706256866, -0.09232156723737717, 0.25429868698120117, 0.9166511297225952, 0.1733143925666809, -0.9541643857955933, -0.5529975295066833, -0.2719263434410095, 0.5931516885757446, 0.998723030090332, 0.11843939870595932, 0.3312479257583618, -0.5070939660072327, 0.525572657585144, 0.21772648394107819, -0.21350347995758057, 0.1810881644487381, 0.07990511506795883, -0.5963558554649353, 0.19290117919445038, -0.19673310220241547, 0.5229079723358154, 0.27572304010391235, 0.7347944974899292, 0.3085855543613434, -0.1608010083436966, -1.3841642141342163, -0.541300356388092, -0.4549354314804077, 0.6540207266807556, 0.5093657970428467, 0.3033526837825775, -0.5149621367454529, 0.40365925431251526, 0.3493517339229584, -0.27519941329956055, 0.24334190785884857, -0.029714645817875862, 0.19908417761325836, 0.4928024411201477, -0.19083042442798615, -0.5362869501113892, 0.017895128577947617, 0.219750314950943]"
"6","Ghost Rider","super-hero","https://en.wikipedia.org/wiki/Ghost_Rider_(2007_film)","[-0.054542284458875656, -0.205357626080513, -0.28174394369125366, -0.02060066908597946, 0.08606760203838348, 0.09197355061769485, -0.04488414153456688, -0.29802754521369934, -0.011546089313924313, 0.21900412440299988, -0.13919956982135773, 0.21630695462226868, 0.4490208029747009, 0.16351570188999176, -0.40035250782966614, 0.4762743413448334, -0.0603560134768486, 0.568164050579071, -0.12422534823417664, 0.3062417507171631, -0.2426256537437439, 0.23484131693840027, -0.4252415895462036, 0.12297604233026505, 0.7047590017318726, -0.284184992313385, -0.35117578506469727, 0.2244861125946045, 0.23829324543476105, -0.10405553877353668, 0.44312530755996704, 0.34424954652786255, 0.04835996404290199, -0.41910532116889954, 0.1588040590286255, 0.0797409936785698, -0.4524034559726715, 0.12817077338695526, 0.03879512473940849, -0.11019065231084824, -0.22984029352664948, 0.12083715945482254, 0.1393272429704666, -0.03014509566128254, -0.12991976737976074, -0.04652393236756325, -0.15883632004261017, -0.21761584281921387, -0.03451383113861084, -0.288960337638855, 0.05601706728339195, 0.2720482349395752, 0.4854447841644287, -0.15055571496486664, -0.44513174891471863, -0.5020322203636169, -0.3277457654476166, -0.44329702854156494, 0.37898632884025574, -0.0432635061442852, -0.04348967969417572, 0.2838141918182373, 0.2324908822774887, 0.1479611098766327, 0.1496940404176712, -0.11074770987033844, 0.0012053295504301786, 0.08455590903759003, -0.2380920797586441, 0.2315286546945572, -0.18753935396671295, 0.1714404821395874, 0.4407896101474762, -0.017607534304261208, 0.2786131501197815, 0.0840255618095398, 0.19013750553131104, 0.04301687330007553, -0.07915126532316208, -0.3048911690711975, 0.2781530022621155, -0.049938175827264786, -0.05591360852122307, -0.3038959801197052, -0.23905141651630402, 0.27031537890434265, 0.05778199061751366, -0.2963338792324066, -0.44231411814689636, -0.015056077390909195, -0.06922508031129837, 0.03839483484625816, 0.3127646744251251, 0.19396398961544037, 0.18177074193954468, -0.01724334992468357, 0.4513164162635803, 0.12594060599803925, -0.023487655445933342, -0.27561184763908386, 0.17306753993034363, -0.11835739016532898, -0.4434131681919098, -0.03801679611206055, -0.2747095823287964, 0.339040607213974, 0.26373425126075745, 0.41816726326942444, -0.0753888413310051, 0.10883358120918274, -0.495304673910141, -0.20732423663139343, -0.19147159159183502, -0.3489750027656555, 0.2324729859828949, -0.12000337988138199, -0.2891538143157959, 0.4808802306652069, 0.14214736223220825, 0.06525662541389465, 0.05820383131504059, -0.4497920274734497, 0.013649817556142807, 0.5223066210746765, 0.22348377108573914, 0.088884636759758, 0.06069517880678177, 0.565618097782135]"
"7","Batman & Robin","super-hero","https://en.wikipedia.org/wiki/Batman_%26_Robin_(film)","[0.3130289912223816, -0.17938917875289917, -0.651157557964325, -0.014735550619661808, 0.022310864180326462, 0.3273151218891144, 0.033338513225317, -0.20093970000743866, -0.1737978309392929, 0.2771776616573334, 0.22195680439472198, 0.13353244960308075, 0.3748973608016968, 0.212100088596344, -0.5576013326644897, -0.03535052016377449, 0.10128236562013626, -0.2490159124135971, 0.08637931197881699, 0.3527936339378357, 0.04650713875889778, -0.1515250951051712, -0.4374648928642273, -0.02280374988913536, 0.16670233011245728, 0.19739028811454773, 0.08338960260152817, -0.4064216911792755, -0.17875786125659943, -0.10834033042192459, 0.2827896773815155, -0.0539654977619648, 0.04458807036280632, 0.011784067377448082, 0.35950201749801636, -0.25311559438705444, -0.494668185710907, 0.012782269157469273, 0.40935951471328735, -0.26255422830581665, 0.2754306495189667, 0.16161634027957916, -0.0781770870089531, -0.06758296489715576, -0.23880042135715485, -0.18739661574363708, -0.0967717319726944, -0.05749109387397766, 0.16655533015727997, -0.10262914001941681, 0.13980750739574432, 0.11131884902715683, 0.4014643728733063, 0.028955787420272827, -0.3772542178630829, -0.11684166640043259, -0.1029256284236908, -0.09163514524698257, 0.33614474534988403, 0.2347056269645691, 0.42275139689445496, 0.12516312301158905, -0.03851471096277237, -0.18613861501216888, 0.07146492600440979, 0.12662290036678314, -0.2919570803642273, 0.14971202611923218, -0.10726989060640335, 0.16967444121837616, -0.18925733864307404, 0.046934422105550766, -0.07353365421295166, -0.21294233202934265, 0.23254884779453278, -0.43488457798957825, -0.038148555904626846, 0.06512647867202759, -0.5439767837524414, 0.22210386395454407, -0.17052462697029114, 0.1820388287305832, 0.3940008878707886, 0.39922866225242615, -0.636544406414032, 0.32815977931022644, -0.025564201176166534, 0.6954246163368225, -0.24820810556411743, -0.022240402176976204, -0.2401396483182907, -0.448532372713089, -0.014112094417214394, 0.28072813153266907, 0.1969408243894577, 0.05703902617096901, 0.03111846372485161, 0.21391481161117554, -0.4147126078605652, -0.4640417993068695, -0.12955521047115326, 0.040389664471149445, -0.07042408734560013, -0.31156110763549805, 0.5823977589607239, 0.2399224191904068, -0.3768388330936432, -0.13149704039096832, 0.016999125480651855, 0.09167440235614777, -0.2634994685649872, 0.07507692277431488, -0.30245935916900635, -0.36594003438949585, 0.18601848185062408, -0.24822546541690826, 0.30392059683799744, 0.11119883507490158, 0.2839341461658478, -0.29523640871047974, -0.1807611733675003, -0.15459954738616943, 0.16936351358890533, 0.3395123779773712, 0.07787203043699265, -0.08127165585756302, 0.21287989616394043, -0.1794775426387787]"
"8","Hulk","super-hero","https://en.wikipedia.org/wiki/Hulk_(film)","[-0.19032375514507294, 0.15367421507835388, -0.6847825050354004, -0.16343049705028534, 0.04569544270634651, -0.16710299253463745, 0.40109238028526306, -0.15609218180179596, -0.29818621277809143, 0.12693925201892853, 0.2862482964992523, 0.41786882281303406, 0.696043848991394, 0.254250168800354, -0.5627567768096924, 0.11928952485322952, -0.14046265184879303, 0.3498210906982422, -0.03526395559310913, 0.2987765371799469, 0.048665184527635574, 0.5461366176605225, -0.2980121970176697, -0.12740524113178253, 0.20487287640571594, -0.04976388439536095, 0.34310299158096313, 0.5347037315368652, 0.02508413977921009, -0.11993101984262466, 0.043522726744413376, -0.03583161160349846, 0.04095450043678284, -0.26826801896095276, 0.1058901846408844, -0.20892460644245148, -0.2691607177257538, 0.05409426614642143, 0.16227082908153534, -0.2112414389848709, 0.20841765403747559, -0.15341666340827942, 0.23682987689971924, 0.17238636314868927, 0.15218091011047363, 0.22829553484916687, -0.25055861473083496, 0.3467659652233124, -0.010068579576909542, 0.17560650408267975, 0.0984463021159172, -0.2978993356227875, -0.10926224291324615, -0.020786913111805916, -0.1441846638917923, 0.02750099077820778, -0.29131507873535156, 0.02020123228430748, -0.2723098695278168, -0.45821893215179443, 0.3146066963672638, 0.06627956032752991, 0.22600318491458893, -0.2800619900226593, -0.07308769226074219, 0.03591616451740265, 0.03578349947929382, -0.0050035156309604645, 0.060732897371053696, -0.3511888086795807, -0.15601596236228943, -0.048657309263944626, -0.18946275115013123, -0.10365969687700272, 0.04271434620022774, 0.26491352915763855, -0.02835208736360073, -0.0630856454372406, -0.43366044759750366, 0.037665557116270065, 0.0180131196975708, 0.3943428099155426, -0.012301514856517315, -0.018770089372992516, -0.23540614545345306, -0.26457133889198303, 0.1458083838224411, -0.5444155931472778, -0.32856348156929016, -0.08659669011831284, 0.06618115305900574, -0.03821338340640068, 0.3164539039134979, 0.5069998502731323, 0.1439013034105301, -0.5566432476043701, 0.37002789974212646, -0.6626995205879211, 0.16931748390197754, -0.3055444061756134, -0.018118591979146004, 0.07820441573858261, -0.11000678688287735, 0.07624679803848267, 0.342708945274353, -0.21684861183166504, 0.11288926750421524, 0.11174222081899643, 0.020131126046180725, -0.11659736931324005, -0.5324326157569885, -0.34155380725860596, 0.10159530490636826, 0.054169461131095886, -0.18075133860111237, -0.5084836483001709, 0.02925407700240612, 0.2842671871185303, 0.14059102535247803, -0.270885705947876, 0.24485273659229279, -0.1024441048502922, -0.016956157982349396, 0.6108381748199463, -0.03214166685938835, -0.41710230708122253, 0.05214990675449371, 0.4479864835739136]"
"9","Teenage Mutant Ninja Turtles: Out of the Shadows","super-hero","https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows","[-0.2119169682264328, -0.39757466316223145, -0.013752139173448086, -0.021757522597908974, -0.4233567416667938, 0.2628796100616455, 0.25438201427459717, 1.0203012228012085, 0.05825313925743103, -0.09851080924272537, 0.17081134021282196, 0.4875730276107788, 0.33100318908691406, 0.008639191277325153, -0.6729739904403687, 0.1210746318101883, 0.19394858181476593, 0.1335403174161911, -0.005663268733769655, 0.3631204068660736, -0.19275447726249695, -0.3822169601917267, 0.2770203948020935, 0.6689371466636658, 0.10619768500328064, 0.44187626242637634, -0.13940511643886566, 0.08039084821939468, 0.18083570897579193, -0.17626354098320007, 0.36953428387641907, 0.0369267500936985, 0.27709969878196716, -0.1419886201620102, 0.05458974465727806, 0.1007969081401825, 0.539192259311676, 0.3450962007045746, 0.3932279050350189, 0.03742639347910881, -0.21571120619773865, -0.566149890422821, -0.18971845507621765, -0.08375946432352066, -0.44449087977409363, -0.428821325302124, -0.2786703109741211, -0.7110557556152344, 0.4618242681026459, 0.3363136053085327, -0.046289004385471344, -0.034072425216436386, -0.07291647791862488, 0.528170645236969, -0.8211842179298401, -0.4304538369178772, 0.4104151725769043, 0.3169812262058258, -0.5666263103485107, -0.3473757207393646, 0.40727999806404114, 0.12175992131233215, 0.2964004874229431, 0.39880332350730896, -0.14811503887176514, 0.5768407583236694, -0.31738653779029846, -0.1539948284626007, -0.3405984342098236, -0.4738942086696625, -0.21881437301635742, -0.2588733732700348, 0.24268558621406555, 0.2065206617116928, -0.30645012855529785, 0.4726017117500305, -0.2718932330608368, 0.2170700877904892, -0.485728919506073, -0.11531469225883484, -0.04937930777668953, 0.06575801968574524, 0.09546153247356415, 0.29146823287010193, -0.1836204081773758, 0.5191432237625122, -0.40574443340301514, 0.44622817635536194, 0.17444680631160736, 0.005829384550452232, -0.22693513333797455, 0.5656618475914001, -0.23518775403499603, 0.2574543058872223, 0.3842310309410095, 0.19385194778442383, -0.07015910744667053, 0.13854435086250305, 0.24281278252601624, -0.5313112139701843, -0.26293087005615234, -0.25680574774742126, -0.41809287667274475, 0.567424476146698, 0.6012365818023682, 0.21619968116283417, -0.0457812063395977, 0.4431406259536743, -0.6310774683952332, -0.1661089062690735, -0.1396920084953308, -0.3659674823284149, -0.3463153541088104, -0.16216057538986206, -0.17400404810905457, -0.044600170105695724, 0.4052223861217499, 1.0072649717330933, 0.4710938334465027, -0.7342274785041809, -0.2211848795413971, 0.06622637808322906, 0.27888473868370056, 0.24561981856822968, 0.07780624181032181, 0.36213889718055725, 0.43306466937065125, 0.3423088788986206]"
