"id","title","label","URL","embedding"
"0","Bloodshot","super-hero","https://en.wikipedia.org/wiki/Bloodshot_(film)","[-0.5125956535339355, -0.12981367111206055, 0.2299812287092209, -0.1617564857006073, -0.27387434244155884, 0.5357028841972351, -0.036805734038352966, 0.5617554783821106, -0.07641541212797165, -0.5374723076820374, 0.04017486795783043, -0.43057969212532043, 0.1296047568321228, -0.464431494474411, -0.12885427474975586, 0.09479929506778717, -0.0897064283490181, 0.524035632610321, 0.7495682239532471, -0.08316464722156525, -0.21311907470226288, -0.0925707072019577, -0.5481375455856323, -0.014183257706463337, 0.012146160006523132, 0.49030810594558716, -0.13996188342571259, 0.28786376118659973, 0.0821107029914856, -0.1001143530011177, 0.38725975155830383, -0.11068352311849594, -0.17289160192012787, -0.25394052267074585, 0.24977613985538483, 0.12062860280275345, 0.45951682329177856, -0.12905892729759216, 0.6570151448249817, -0.17608143389225006, -0.48209279775619507, -0.7122989296913147, -0.40676525235176086, -0.056124497205019, 0.04057430475950241, 0.027550769969820976, -0.21291105449199677, -0.28371119499206543, -0.4496537446975708, -0.25462478399276733, -0.18217618763446808, -0.2877226173877716, -0.4647831916809082, -0.27419471740722656, 0.0978817343711853, 0.11146103590726852, -0.048312071710824966, -0.0365159697830677, 0.3515929579734802, -0.09352414309978485, 0.2761332392692566, 0.07801053673028946, -0.07655377686023712, -0.31943386793136597, -0.06003846228122711, 0.22982275485992432, -0.3791719079017639, -0.0796210989356041, 0.24637487530708313, -0.07085626572370529, -0.024345573037862778, -0.5322239995002747, -0.07284750044345856, -0.5457241535186768, 0.027056964114308357, -0.16894057393074036, -0.36922457814216614, 0.2851642370223999, 0.02596917934715748, 0.6242583394050598, -0.3128282427787781, 0.2113065868616104, 0.010606124065816402, -0.41735610365867615, 0.1772838681936264, 0.0400143601000309, 0.3035184442996979, -0.02345683053135872, 0.4840405583381653, 0.015810497105121613, 0.06723102927207947, -0.338805615901947, -0.40663644671440125, 0.25796085596084595, 0.555695116519928, -0.12367955595254898, 0.06667275726795197, 0.1097472757101059, 0.19033004343509674, -0.3741080164909363, 0.4174855947494507, -0.1571408063173294, -0.5045124888420105, -0.024337515234947205, 0.3343532979488373, -0.22598974406719208, 0.3884986340999603, -0.03293817117810249, -0.2336084544658661, -0.40025267004966736, -0.022927669808268547, -0.514062225818634, 0.19404162466526031, 0.11035341024398804, 0.6652376651763916, 0.1315167099237442, 0.014190717600286007, -0.19074366986751556, -0.4580143988132477, 0.13698716461658478, 0.5765736103057861, 0.4904155731201172, -0.5343687534332275, -0.09868663549423218, -0.7655446529388428, 0.0919281542301178, -0.5310693383216858, -0.19829513132572174]"
"1","Watchmen","super-hero","https://en.wikipedia.org/wiki/Watchmen_(film)","[-0.3638610243797302, -0.249644935131073, 0.07193741202354431, 0.3602679967880249, 0.0030420073308050632, 0.3720467686653137, 0.02657848596572876, -0.011050920002162457, 0.23021946847438812, -0.3813769221305847, 0.43783119320869446, -0.4605506956577301, -0.7014678716659546, -0.13325397670269012, -0.40622955560684204, 0.327046275138855, 0.16345243155956268, 0.2745992839336395, 0.6759463548660278, -0.6365196108818054, 0.47432389855384827, 0.00130187114700675, -0.14780041575431824, 0.14969472587108612, -0.018974022939801216, -0.27353209257125854, -0.6387752294540405, -0.2600075304508209, 0.3655446469783783, -0.07651150971651077, 0.07163110375404358, -0.25582295656204224, -0.41084685921669006, 0.6230920553207397, 0.3159906268119812, 0.413828045129776, 0.461897075176239, -0.022774379700422287, -0.17054079473018646, 0.27587834000587463, -0.3659161329269409, -0.25100183486938477, -0.2739926278591156, 0.2350364774465561, 0.148338183760643, 0.22481508553028107, -0.3251100778579712, -0.3489428162574768, 0.1283952295780182, -0.2891956865787506, 0.47764745354652405, 0.25464943051338196, 0.3562307059764862, 0.01108349859714508, 0.2502697706222534, -0.11724334955215454, -0.3242189288139343, 0.16941295564174652, 0.07412049919366837, 0.04568902775645256, 0.063746877014637, -0.04724830016493797, -0.12828047573566437, 0.16662606596946716, -0.18771539628505707, 0.5075251460075378, -0.06351402401924133, -0.05919010564684868, -0.16492076218128204, 0.21446359157562256, -0.06826585531234741, -0.49101361632347107, 0.2765255868434906, 0.09786532819271088, -0.14192551374435425, -0.16687560081481934, -0.05615139380097389, -0.08940567076206207, 0.17711390554904938, 0.9525617957115173, -0.6009857058525085, 0.13038215041160583, 0.44707414507865906, -0.611627459526062, -0.027925938367843628, -0.2680671513080597, -0.27728885412216187, -0.36795395612716675, 0.3601721525192261, -0.14398901164531708, 0.21829655766487122, -0.07417790591716766, -0.25510913133621216, 0.14047826826572418, 0.1864723414182663, -0.30250808596611023, 0.39568042755126953, 0.013994241133332253, 0.3601923882961273, -0.04557138681411743, 0.349164754152298, 0.2313680350780487, 0.3779502809047699, 0.3208262622356415, 0.18510907888412476, -0.3272809684276581, 0.19242070615291595, 0.15270911157131195, 0.16581694781780243, -0.3677883744239807, -0.12279479950666428, 0.10106367617845535, -0.2518256604671478, -0.17078036069869995, 0.35180699825286865, 0.2375655621290207, -0.030328301712870598, 0.019080806523561478, -0.05667891725897789, -0.08244680613279343, 0.39853835105895996, 0.34021303057670593, -0.27931687235832214, -0.1115545704960823, -0.9996838569641113, -0.11611010879278183, 0.055360354483127594, -0.19950102269649506]"
"2","Superman II","super-hero","https://en.wikipedia.org/wiki/Superman_II","[-0.6246562004089355, 0.1538161337375641, 0.2087908685207367, 0.21717461943626404, 0.1492203027009964, 0.270511656999588, -0.3059159219264984, 0.1059907078742981, 0.07336296141147614, -0.033055439591407776, 0.21771007776260376, -0.02690412476658821, -0.565247654914856, 0.03958773985505104, -0.14554500579833984, 0.2813241481781006, 0.7193007469177246, 0.6614490151405334, 0.5305103659629822, -0.14164596796035767, 0.4926070272922516, 0.2772626280784607, 0.3005410432815552, 0.008383657783269882, 0.26235201954841614, 0.42167553305625916, -0.29532986879348755, -0.4674643576145172, 0.4293385446071625, -0.012385128065943718, 0.1982107162475586, 0.14921562373638153, -0.094427190721035, -0.19558657705783844, 0.5539810061454773, -0.28269216418266296, 0.15669596195220947, 0.20323826372623444, 0.04243104159832001, -0.14227965474128723, -0.27510398626327515, -0.5016515851020813, -0.7738800644874573, 0.5041592717170715, 0.4337303936481476, 0.2972143292427063, -0.23281505703926086, -0.12518887221813202, 0.17816416919231415, -0.26534125208854675, -0.3139025568962097, 0.46738889813423157, -0.24425913393497467, -0.2651010751724243, 0.328468382358551, -0.41523870825767517, -0.7835112810134888, 0.6045922636985779, -0.5229922533035278, -0.38657400012016296, -0.027100149542093277, -0.15718364715576172, -0.19572971761226654, -0.0225926972925663, -0.5625959634780884, 0.5605940818786621, -0.012755480594933033, 0.2833394408226013, -0.13714660704135895, 0.4782806634902954, -0.05660993978381157, -0.32771724462509155, 0.23329973220825195, 0.017362529411911964, 0.27647238969802856, -0.38672617077827454, -0.7184675335884094, 0.3127381503582001, -0.08615481108427048, 0.5045619606971741, -0.3381602466106415, -0.11853408068418503, -0.08303289860486984, -0.6057761311531067, 0.05901610851287842, -0.09978803992271423, -0.07703442126512527, -0.06829901039600372, 0.24935154616832733, 0.03922877460718155, -0.28251272439956665, 0.2824767827987671, 0.04532758519053459, 0.15137337148189545, 0.341672420501709, -0.13753044605255127, 0.6425788998603821, -0.10730338841676712, 0.4370117783546448, 0.45520052313804626, 0.2950151562690735, -0.09490334987640381, -0.367872953414917, -0.2371962070465088, 0.3102455139160156, -0.3459784686565399, -6.684698746539652e-06, 0.3110160529613495, 0.2360994815826416, -0.1112094298005104, -0.4016103446483612, -0.06543713063001633, -0.555444061756134, -0.18499016761779785, 0.07079663127660751, -0.3755701184272766, -0.11475484818220139, 0.22133615612983704, 0.17320621013641357, 0.04146336764097214, -0.18889182806015015, 0.20727291703224182, -0.2945936322212219, 0.1940949410200119, -0.5029376149177551, -0.020096780732274055, 0.2881430983543396, -0.34609854221343994]"
"3","Birds of Prey (And the Fantabulous Emancipation…","super-hero","https://en.wikipedia.org/wiki/Birds_of_Prey_(2020_film)","[0.11117823421955109, 0.10147744417190552, 0.3663308322429657, -0.2564123570919037, 0.17002955079078674, 0.5488618612289429, -0.09476298838853836, 0.0810321494936943, -0.13210034370422363, -0.28523871302604675, 0.0034914568532258272, -0.7531370520591736, -0.3369881510734558, 0.043754592537879944, -0.023577049374580383, 0.300176203250885, 0.6848909258842468, 0.7295843958854675, 0.03181925788521767, -0.23774461448192596, 0.3043311834335327, 0.10268367826938629, 0.28314945101737976, 0.4905441105365753, 0.6155258417129517, 0.0859304666519165, -0.27662330865859985, -0.32296305894851685, 0.24586564302444458, -0.04436339810490608, 0.014169537462294102, -0.24478988349437714, -0.3603011667728424, 0.20521430671215057, 0.30677923560142517, -0.2528526186943054, 0.07352025806903839, -0.01713402010500431, 0.30783194303512573, 0.3386577069759369, -0.14962811768054962, -0.5160270929336548, -0.04893973469734192, 0.4606834352016449, 0.40038609504699707, 0.060414869338274, -0.6861141324043274, -0.30873903632164, -0.062540702521801, -0.3894209861755371, 0.20757754147052765, -0.27663475275039673, -0.23792602121829987, -0.23507609963417053, -0.1798604279756546, 0.02006244659423828, 0.03190561756491661, 0.3152749240398407, 0.13900603353977203, -0.013811812736093998, 0.2948322594165802, 0.06335001438856125, -0.00255507486872375, -0.035238027572631836, -0.3265473246574402, 0.46621549129486084, -0.009785669855773449, 0.01942032389342785, -0.08178327977657318, -0.08799689263105392, -0.12395215779542923, -0.32023417949676514, 0.23155122995376587, 0.3435296416282654, 0.06804455071687698, -0.1052357479929924, -0.07842450588941574, 0.22305476665496826, 0.09817148745059967, 0.46947887539863586, -0.6533356308937073, 0.25678569078445435, 0.023232851177453995, -0.6440067887306213, -0.029893523082137108, -0.7971091270446777, 0.032768070697784424, -0.2707594931125641, 0.09564866125583649, -0.43120619654655457, -0.22156107425689697, 0.11070314049720764, -0.4448795020580292, -0.2475200593471527, 0.35123807191848755, 0.02593925967812538, 0.4671381115913391, -0.1807796061038971, -0.18327747285366058, -0.1930147111415863, 0.228641539812088, -0.23554739356040955, -0.29173544049263, 0.08809959888458252, 0.5130174160003662, -0.2057778537273407, 0.43433672189712524, -0.08436840027570724, -0.1218029335141182, -0.2761691212654114, -0.4444199502468109, 0.3380391001701355, 0.07696598023176193, -0.4264313280582428, 0.1893519014120102, 0.011225427500903606, 0.3644336462020874, -0.010588646866381168, -0.254769891500473, -0.40317749977111816, 0.15824012458324432, 0.3089478313922882, 0.11965487152338028, 0.30565375089645386, -0.7546997666358948, 0.09519674628973007, -0.2720026969909668, -0.14433789253234863]"
"4","Green Lantern","super-hero","https://en.wikipedia.org/wiki/Green_Lantern_(film)","[-0.3484105169773102, -0.19992026686668396, 0.18440422415733337, -0.11406287550926208, 0.06253719329833984, 0.2868175208568573, -0.0036426943261176348, 0.3747595250606537, 0.03228756785392761, -0.42340484261512756, 0.09798739105463028, -0.5071799755096436, -0.25538378953933716, -0.08968905359506607, 0.03865932300686836, -0.05511273443698883, -0.10914904624223709, 0.41025155782699585, 0.45150744915008545, -0.53347247838974, 0.22289685904979706, 0.4920662045478821, -0.20912736654281616, 0.1827690154314041, 0.11326999962329865, 0.021791502833366394, -0.6919581890106201, -0.22693485021591187, 0.7395750880241394, 0.13591158390045166, 0.7179937958717346, 0.24317413568496704, -0.06462906301021576, 0.09211814403533936, 0.6959827542304993, -0.12908172607421875, 0.19624830782413483, 0.26388099789619446, -0.20239849388599396, 0.3095285892486572, -0.4861067831516266, -0.3877142369747162, -0.46729332208633423, 0.29472672939300537, 0.24010434746742249, 0.5593758821487427, -0.19049927592277527, -0.2861749529838562, -0.06630582362413406, -0.3016190230846405, -0.32606327533721924, 0.049686066806316376, -0.5051963329315186, 0.0462905578315258, 0.3755355477333069, -0.01829463429749012, -0.6227126121520996, -0.10013646632432938, -0.21126902103424072, -0.23755909502506256, 0.08519692718982697, 0.1451711803674698, -0.45049846172332764, -0.18108110129833221, -0.5224321484565735, 0.5953587889671326, -0.20607778429985046, -0.3514198362827301, 0.3444030284881592, 0.1368314027786255, 0.041281599551439285, -0.47836801409721375, 0.18009883165359497, 0.22314006090164185, -0.4049283266067505, -0.3517310321331024, -0.3157585859298706, 0.15486803650856018, -0.016126150265336037, 0.7571105360984802, -0.449769526720047, -0.16026438772678375, 0.17501655220985413, -0.47080549597740173, 0.019002454355359077, -0.2772311866283417, 0.3524259030818939, 0.04111501947045326, 0.24993814527988434, -0.08790440857410431, 0.007495653349906206, 0.17021672427654266, 0.11269962787628174, 0.23478594422340393, 0.3292052447795868, -0.49782243371009827, 0.4259146451950073, -0.3997672200202942, -0.05888289585709572, -0.06752075999975204, 0.32055655121803284, -0.15977564454078674, -0.2099982053041458, 0.25646984577178955, 0.7453693747520447, -0.27118825912475586, 0.4624975621700287, -0.12310123443603516, 0.04206700623035431, 0.14465907216072083, -0.5742912888526917, -0.14723235368728638, -0.38072049617767334, -0.07061413675546646, 0.17329411208629608, -0.1567770391702652, 0.02027301862835884, -0.17882798612117767, -0.10738873481750488, -0.2497200220823288, 0.08024884015321732, 0.01271270215511322, 0.002275587758049369, 0.11574611812829971, -0.5842103958129883, 0.030838677659630775, -0.19066345691680908, -0.19906121492385864]"
"5","The Green Hornet","super-hero","https://en.wikipedia.org/wiki/The_Green_Hornet_(2011_film)","[-0.8657458424568176, -0.077410988509655, -0.40003493428230286, -0.18484574556350708, -0.3041953146457672, 0.4599880576133728, 0.4848215579986572, 0.5446624755859375, 0.21092386543750763, 0.042622704058885574, 0.5343102812767029, -0.7029548287391663, 0.6290020942687988, -0.631375253200531, -0.03377360478043556, -0.28369244933128357, -0.3635214567184448, 0.6305702924728394, 0.02640608325600624, 0.010717421770095825, -0.3457412123680115, -0.2226281762123108, -0.2599436044692993, 0.34093737602233887, 0.43640780448913574, -0.0767739862203598, 0.4675517976284027, -0.12421046197414398, 0.40065765380859375, 0.3555639684200287, 0.1553332805633545, -0.36815395951271057, -0.5193695425987244, 0.11625535041093826, 0.14824634790420532, -0.11445839703083038, 0.10018277168273926, 0.37643635272979736, 0.07035419344902039, -0.4020984470844269, -0.014222131110727787, -0.25957006216049194, -0.3509114980697632, 0.2462310940027237, 0.029063507914543152, 0.20826603472232819, -0.17363205552101135, -0.1721496433019638, 0.35753417015075684, -0.020468005910515785, -0.1369347721338272, 0.14268596470355988, -0.8261843323707581, 0.052714020013809204, -0.15616007149219513, -0.7450023293495178, -0.22823761403560638, -0.11970056593418121, 0.39716291427612305, 0.09544764459133148, 0.5624580383300781, -0.45568978786468506, -0.5632060766220093, 0.13283835351467133, -0.6426215767860413, 0.4659762680530548, -0.1706496924161911, 0.2993091940879822, 0.3917849659919739, 0.23022116720676422, -0.20329059660434723, -0.12639717757701874, 0.23751185834407806, 0.4445907473564148, 0.1898740530014038, -0.5846888422966003, -0.5167619585990906, 0.04148329421877861, 0.12130850553512573, 0.22280673682689667, -0.26020312309265137, 0.11257685720920563, -0.4792495369911194, 0.22319458425045013, 0.06392821669578552, -0.1794399917125702, 0.1545623391866684, 0.6135780811309814, 0.3299539387226105, 0.5829103589057922, 0.6446340084075928, -0.9091952443122864, -0.715327799320221, -0.17379306256771088, 0.4387151598930359, -0.039613671600818634, 0.4063274562358856, 0.3303208649158478, 0.3770877420902252, -0.14733833074569702, -0.07826416194438934, -0.5421609282493591, -0.68681800365448, 0.33586788177490234, 0.23024725914001465, -0.2626739740371704, 0.1293802112340927, -0.24118781089782715, -0.09855378419160843, -0.07107188552618027, -0.6468372941017151, -0.6323559284210205, -0.5010243058204651, 0.3166560232639313, -0.1583789587020874, -0.0633363276720047, 0.2425650656223297, 0.25600168108940125, -0.16670681536197662, 0.6814799308776855, 0.18213553726673126, 0.5981165170669556, -0.35079658031463623, -0.20020551979541779, -0.3407071828842163, -0.4619884490966797, -0.20259135961532593, -0.21225090324878693]"
"6","Ghost Rider","super-hero","https://en.wikipedia.org/wiki/Ghost_Rider_(2007_film)","[-0.5226067900657654, -0.7550745606422424, 0.4256941080093384, -0.3162917196750641, -0.2701299786567688, -0.035476718097925186, -0.24733249843120575, 0.47636157274246216, 0.4918990135192871, -0.11959351599216461, 0.39783692359924316, -0.5574648976325989, 0.34421610832214355, -0.029734503477811813, 0.13501834869384766, 0.2158358097076416, 0.21387436985969543, -0.03480810299515724, 0.3490819036960602, 0.5747737288475037, -0.10606011748313904, -0.5483106970787048, -0.22253011167049408, 0.06624253839254379, -0.034302741289138794, 0.1560438722372055, 0.058799080550670624, 0.06260889768600464, 0.07777397334575653, 0.13556469976902008, 0.09087565541267395, -0.5141794681549072, -0.1918279081583023, 0.09055836498737335, 0.4125930368900299, -0.07412731647491455, -0.3151061534881592, -0.1473163515329361, -0.30401813983917236, 0.09120748937129974, -0.548679530620575, -0.27417996525764465, -0.7622615098953247, -0.17912279069423676, -0.2302926480770111, 0.36117440462112427, -0.16872215270996094, 0.14156337082386017, -0.30376365780830383, -0.5522844195365906, -0.14012612402439117, -0.0683966800570488, -0.05423467606306076, 0.17871105670928955, 0.3949598968029022, 0.022151662036776543, -0.22422415018081665, 0.13021767139434814, 0.10584047436714172, 0.22192104160785675, -0.13931001722812653, -0.1967899054288864, -0.14690527319908142, -0.17691491544246674, -0.31087595224380493, 0.5094178915023804, -0.12241895496845245, 0.07541928440332413, 0.3490656912326813, 0.10347412526607513, -0.033784158527851105, -0.059938378632068634, 0.22719937562942505, 0.05063201114535332, 0.21406427025794983, -0.054930172860622406, -0.3067311644554138, 0.2774569094181061, -0.02044091373682022, 0.5597712993621826, -0.370975524187088, 0.0017519633984193206, -0.24326883256435394, -0.42628350853919983, -0.18520686030387878, 0.014592213556170464, -0.09385234117507935, -0.2306443303823471, -0.09005508571863174, 0.1315709948539734, 0.04928423836827278, 0.0021634174045175314, -0.08455236256122589, -0.11454611271619797, 0.37825483083724976, 0.00453313859179616, 0.6457482576370239, 0.08424508571624756, 0.0048379721119999886, 0.044441476464271545, 0.18479497730731964, -0.17698752880096436, -0.6396209001541138, 0.10505566745996475, 0.37247633934020996, 0.2513352334499359, 0.07469258457422256, -0.3268224596977234, -0.2121514081954956, -0.563198983669281, -0.1913437843322754, -0.23690909147262573, -0.41405975818634033, -0.4443901777267456, 0.038246721029281616, -0.058840230107307434, -0.07644807547330856, -0.06446398794651031, 0.07099410891532898, -0.4083215892314911, -0.3014647960662842, 0.4094650149345398, 0.1401824653148651, -0.24892736971378326, -0.562943696975708, -0.20624420046806335, -0.22596333920955658, -0.20768243074417114]"
"7","Batman & Robin","super-hero","https://en.wikipedia.org/wiki/Batman_%26_Robin_(film)","[-0.09828504920005798, 0.0049478658474981785, 0.20845083892345428, -0.022362004965543747, 0.3727399408817291, 0.5303577184677124, -0.30675768852233887, -0.13649027049541473, 0.05737745016813278, -0.46127116680145264, 0.17835530638694763, -0.28055089712142944, -0.3714602291584015, 0.035794828087091446, 0.040406156331300735, 0.12408946454524994, 0.3020588159561157, 0.6552042961120605, 0.5268520712852478, -0.2588482201099396, 0.40147480368614197, -0.0931413546204567, -0.04290603846311569, 0.06578311324119568, 0.05403181165456772, 0.1745108813047409, -0.3208043873310089, -0.4293208420276642, 0.529121994972229, 0.33154594898223877, 0.07789377123117447, -0.21427875757217407, -0.2830301523208618, 0.2634601294994354, 0.35995492339134216, -0.28386348485946655, 0.243250772356987, 0.19049514830112457, 0.5182098746299744, 0.28446105122566223, -0.4448067247867584, -0.34832853078842163, -0.42380112409591675, 0.17089435458183289, 0.27594077587127686, 0.1936422884464264, -0.39174067974090576, -0.43389326333999634, -0.21633367240428925, -0.29883062839508057, -3.296586510259658e-05, -0.17004385590553284, -0.07518137246370316, -0.05634472519159317, 0.24862290918827057, -0.2468116730451584, -0.234355166554451, 0.2189607322216034, -0.11768772453069687, -0.02806127816438675, 0.1155788004398346, -0.16619008779525757, -0.2887832820415497, -0.041857294738292694, -0.4252757430076599, 0.5716583728790283, -0.006570049561560154, 0.05879324674606323, -0.039141695946455, 0.200650155544281, 0.05967221036553383, -0.39171111583709717, 0.42505791783332825, -0.06450141966342926, 0.01972348988056183, -0.34129559993743896, -0.4764327108860016, 0.11157295852899551, -0.4611278474330902, 0.7879706025123596, -0.6237520575523376, 0.09693398326635361, 0.18807923793792725, -0.38363948464393616, 0.024310939013957977, -0.33546075224876404, 0.22107718884944916, 0.11269012093544006, 0.21977193653583527, 0.018861575052142143, -0.0727115273475647, 0.10073808580636978, -0.005037000402808189, 0.13886387646198273, 0.4705559313297272, -0.29011550545692444, 0.5362722277641296, -0.4517277479171753, -0.19319479167461395, -0.18606646358966827, 0.16046859323978424, -0.23446987569332123, -0.22725261747837067, 0.2187899649143219, 0.5336652994155884, -0.13677659630775452, 0.23367372155189514, 0.28192946314811707, -0.12030023336410522, -0.4836077392101288, -0.33161571621894836, 0.4058321416378021, -0.46093347668647766, -0.25510337948799133, 0.15669669210910797, -0.28383776545524597, 0.049381159245967865, -0.0246027410030365, -0.2604597806930542, -0.10206058621406555, 0.14220651984214783, 0.4109654128551483, 0.11011800915002823, -0.07176520675420761, -0.6477255821228027, -0.22913524508476257, -0.021284950897097588, -0.11570674926042557]"
"8","Hulk","super-hero","https://en.wikipedia.org/wiki/Hulk_(film)","[-0.38390833139419556, -0.4188532531261444, -0.24932605028152466, -0.8848856687545776, 0.22213031351566315, 0.3196229636669159, 0.13299337029457092, 0.45515838265419006, 0.24784745275974274, 0.30133146047592163, -0.24677622318267822, -0.6173527836799622, 0.12370198965072632, 0.0387255884706974, -0.09952441602945328, 0.7115675210952759, -0.04743459075689316, 0.3881450891494751, 0.28548717498779297, 0.3086715638637543, -0.14254364371299744, -0.0388929583132267, -0.28228920698165894, 0.32988354563713074, -0.015086679719388485, 0.42716288566589355, -0.1346869021654129, -0.15584726631641388, 0.1272159367799759, -0.05284447595477104, 0.2781476676464081, -0.25647351145744324, -0.727912962436676, -0.8000681400299072, 0.14582835137844086, -0.13032026588916779, -0.13979685306549072, 0.18013712763786316, -0.008050312288105488, 0.05932153761386871, -0.020074764266610146, -0.4443020522594452, -0.13800261914730072, -0.0796038880944252, -0.222957581281662, -0.03213496506214142, -0.20530371367931366, -0.3759797513484955, 0.23528757691383362, -0.27407094836235046, -0.05807199701666832, -0.38285648822784424, -0.29753145575523376, 0.2234443575143814, -0.14657562971115112, 0.045236412435770035, -0.02997535653412342, 0.2349523901939392, 0.36005157232284546, 0.12316993623971939, -0.3539237976074219, 0.16480308771133423, -0.024983873590826988, -0.43072637915611267, -0.20101051032543182, 0.10105103999376297, 0.10579115152359009, -0.2872922718524933, 0.26931625604629517, -0.2673161029815674, 0.0034665039274841547, -0.41870951652526855, -0.2801963984966278, -0.3206307291984558, 0.21709758043289185, -0.034630462527275085, -0.3271116614341736, 0.4388079047203064, -0.005719923879951239, 0.3995301127433777, -0.3288253843784332, 0.48488977551460266, 0.3184463679790497, -0.5264854431152344, -0.020131835713982582, -0.3970312178134918, -0.23587645590305328, -0.10817817598581314, -0.25430306792259216, 0.06150420010089874, -0.45606517791748047, -0.06986115127801895, -0.28373026847839355, 0.32917699217796326, 0.3151523172855377, -0.24011392891407013, 0.2800454795360565, -0.10748288035392761, 0.3863654136657715, 0.1807095855474472, 0.3502595126628876, -0.05793004110455513, -0.4213797152042389, 0.3507554531097412, 0.27657198905944824, -0.021418850868940353, 0.4676963686943054, 0.5165905952453613, -0.25943946838378906, -0.4413648247718811, -0.1544651836156845, -0.0723065659403801, -0.29480308294296265, -0.16820694506168365, 0.3431999087333679, -0.2224985808134079, -0.5474082231521606, -0.3392535150051117, -0.48431044816970825, -0.09734835475683212, 0.01064527127891779, 0.3809843063354492, -0.34686577320098877, -0.14803095161914825, -0.43091434240341187, -0.1969313621520996, -0.05414151772856712, 0.2254488319158554]"
"9","Teenage Mutant Ninja Turtles: Out of the Shadows","super-hero","https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows","[-0.33800140023231506, -0.4980292320251465, 0.16540029644966125, 0.38381555676460266, -0.3813796639442444, -0.3417952358722687, -0.10563413053750992, 0.2594590187072754, 0.2630808651447296, -0.7207733988761902, 0.14076898992061615, -0.45713651180267334, -0.4118460714817047, -0.021131565794348717, -0.06803149729967117, 0.4258098304271698, -0.19643434882164001, 0.47648370265960693, 0.35097864270210266, -0.10266297310590744, 0.09245887398719788, -0.15547320246696472, -0.10017351806163788, 0.311814546585083, -0.013450643979012966, 0.26764482259750366, -0.49898475408554077, -0.3898146450519562, 0.7755398750305176, 0.03570421412587166, 0.4325493276119232, 0.6473835110664368, -0.04235482215881348, -0.02365293726325035, 0.4830385148525238, -0.32962656021118164, 0.3772926926612854, 0.25218716263771057, 0.019597915932536125, -0.05222120136022568, 0.04306218773126602, -0.7825270891189575, -0.24027936160564423, 0.48721325397491455, -0.4701828360557556, 0.13765454292297363, -0.12919704616069794, -0.1979822963476181, -0.23037222027778625, -0.7099331021308899, -0.3620491325855255, 0.13274924457073212, 0.12997253239154816, -0.685930609703064, 0.28796327114105225, 0.3749430775642395, -0.36812135577201843, 0.21118693053722382, 0.09047257900238037, -0.20355255901813507, -0.4017581045627594, -0.10564424842596054, 0.1780526041984558, -0.34214845299720764, -0.7098614573478699, 0.30695396661758423, -0.4242410659790039, -0.25326159596443176, 0.015903053805232048, 0.24732869863510132, -0.22116874158382416, -0.12568585574626923, -0.22714337706565857, -0.3165149986743927, -0.31462812423706055, 0.20871052145957947, -0.32932546734809875, -0.1530509889125824, -0.1470870077610016, -0.1495121866464615, -0.5291456580162048, 0.31301337480545044, 0.1681981086730957, -0.6279221773147583, -0.3517160713672638, -0.4531232714653015, -0.13360850512981415, 0.029427222907543182, -0.2555733025074005, -0.08659418672323227, -0.024101778864860535, -0.20752492547035217, -0.3960397243499756, 0.3029842972755432, 0.7470346093177795, -0.011913036927580833, 0.3815716803073883, 0.269172728061676, 0.43008312582969666, -0.18337367475032806, 0.16093577444553375, -0.46116718649864197, -0.4498283863067627, 0.13061586022377014, 0.20788630843162537, 0.12074027955532074, 0.4838687479496002, 0.2772499918937683, 0.4681452214717865, -0.5869899392127991, -0.3733024001121521, -0.6914662718772888, -0.08622051030397415, -0.39878779649734497, -0.018335534259676933, -0.05576476827263832, -0.32097917795181274, 0.2027653157711029, -0.13028743863105774, 0.006920558866113424, -0.46183380484580994, 0.07239237427711487, 0.053056810051202774, 0.16986383497714996, -0.45488274097442627, 0.21430152654647827, -0.17288319766521454, -0.05900174006819725]"
