"id","title","label","URL","embedding"
"0","Bloodshot","super-hero","https://en.wikipedia.org/wiki/Bloodshot_(film)","[0.25271371006965637, -0.2185157686471939, -0.08040610700845718, 0.4611707627773285, 0.34065359830856323, -0.08992873132228851, 0.11593011766672134, -0.24568508565425873, 0.6445990800857544, 0.3120778799057007, -0.18012726306915283, -0.7392017841339111, 0.5106338262557983, -0.23125077784061432, 0.03815160319209099, 0.0551413968205452, -0.5190043449401855, 0.46244165301322937, -0.41552770137786865, 0.2266964614391327, 0.15705133974552155, -0.07188597321510315, 0.37390998005867004, -0.4655582010746002, -0.21271875500679016, 0.14952172338962555, 0.6255779266357422, -0.1421813666820526, 0.20219583809375763, -0.752423107624054, -0.4492221474647522, 0.04444202408194542, -0.3763790428638458, -0.18437321484088898, -0.1547667533159256, 0.09295406937599182, -0.3505058288574219, 0.0689273327589035, -0.4483785033226013, 0.44110286235809326, -0.12739616632461548, 0.011745639145374298, -0.24085423350334167, 0.16410532593727112, 0.0542965866625309, -0.06737193465232849, -0.7314786314964294, -0.32653528451919556, -0.18625885248184204, 0.22260482609272003, -0.43905800580978394, -0.4256267547607422, -0.1422993540763855, 0.10287699103355408, 0.2702683210372925, 0.1992744356393814, -0.39317068457603455, 0.13226111233234406, -0.06843475252389908, 0.16481414437294006, -0.05518984794616699, -0.40487200021743774, 0.6099100112915039, -0.00850679725408554, 0.08321867883205414, -0.32681772112846375, 0.8472505807876587, -0.17598199844360352, 0.02975269965827465, 0.24072134494781494, -0.012640434317290783, 0.29822590947151184, 0.5874976515769958, 0.3999575078487396, -0.2885265052318573, -0.42905429005622864, 0.2021588683128357, -0.0885227769613266, 0.07606428861618042, -0.16145135462284088, -0.2062869369983673, 0.22333994507789612, 0.27127400040626526, 0.30201205611228943, -0.40863171219825745, -0.25762856006622314, 0.3084779381752014, -0.40185901522636414, -0.2759845554828644, 0.09632433205842972, 0.2337457686662674, 0.043651703745126724, 0.1386539787054062, 0.040823210030794144, -0.01147269457578659, -0.4616162180900574, -0.6291012763977051, -0.16058823466300964, -0.10193046927452087, 0.11428490281105042, -0.113533616065979, -0.30041247606277466, -0.29277315735816956, -0.13898800313472748, -0.060487568378448486, 0.11733629554510117, -0.4388348162174225, -0.055627916008234024, 0.024343298748135567, -0.2680347263813019, -0.2229403257369995, 0.452791690826416, 0.6248089671134949, 0.09674492478370667, -0.09976110607385635, -0.5233293175697327, 0.6204555034637451, -0.05409719794988632, -0.19531407952308655, 0.3677300214767456, -0.14347195625305176, 0.3650706112384796, -0.15792733430862427, -0.20413067936897278, -0.1344694346189499, -0.5257061719894409, 0.4840203523635864, 0.11586467921733856]"
"1","Watchmen","super-hero","https://en.wikipedia.org/wiki/Watchmen_(film)","[0.2123924344778061, 0.1352006196975708, 0.3413841426372528, 0.41100943088531494, 0.3143802583217621, 0.3662604093551636, -0.30481380224227905, 0.3450949192047119, 0.029684383422136307, -0.04506094753742218, 0.26015228033065796, -0.5725799798965454, 0.0948086604475975, 0.1450103223323822, 0.127084419131279, -0.03568260371685028, -0.22681833803653717, 0.3138194978237152, 0.21587492525577545, 0.17314642667770386, -0.26932740211486816, -0.15162263810634613, -0.03926791995763779, 0.3501739501953125, 0.4155253767967224, 0.5053139328956604, 0.5459240078926086, -0.6067545413970947, -0.1262093037366867, -0.34416767954826355, -0.7477933764457703, -0.8498597741127014, 0.09196407347917557, -0.3230404853820801, -0.5095327496528625, -0.07188273966312408, -0.4683513343334198, -0.11753185093402863, -0.2952517569065094, 0.5218824148178101, -0.20369665324687958, -0.1855660229921341, 0.3507795035839081, 0.11125661432743073, -0.3628585934638977, -0.16530485451221466, -0.1398949921131134, -0.5208178162574768, 0.14383304119110107, 0.11627534031867981, -0.5954028367996216, 0.025035671889781952, -0.31374362111091614, 0.3934935927391052, 0.08990265429019928, -0.0007275590905919671, -0.13099025189876556, 0.5534964799880981, 0.07748934626579285, -0.1926911473274231, -0.11693179607391357, -0.5296189188957214, 0.2573333978652954, 0.13926346600055695, -0.1685471534729004, -0.623184323310852, 0.6832888126373291, -0.13812164962291718, -0.12134219706058502, -0.2943536341190338, 0.31200405955314636, 0.2622445821762085, 0.19615709781646729, 0.17570623755455017, 0.15517829358577728, 0.11371119320392609, 0.2540046274662018, -0.4671610891819, 0.4603091776371002, -0.24461320042610168, 0.07562176883220673, 0.3852250874042511, 0.0898439809679985, 0.008217019960284233, -0.2362673431634903, -0.11375537514686584, 0.2304731160402298, 0.27673494815826416, 0.4468458890914917, 0.2706356942653656, 0.2083529829978943, 0.34743544459342957, -0.05041034147143364, -0.11373903602361679, 0.34257379174232483, 0.19956156611442566, -0.14158810675144196, -0.6472510099411011, 0.20372672379016876, 0.034371476620435715, -0.3970830738544464, -0.2758297622203827, -0.4142164885997772, 0.3290921151638031, 0.2275187075138092, 0.2756275534629822, -0.46054691076278687, 0.11500968039035797, -0.05159534141421318, -0.12843406200408936, -0.23873049020767212, 0.48021256923675537, -0.37045127153396606, -0.05668472498655319, -0.19726821780204773, -0.021999044343829155, 0.05842990428209305, -0.0911652147769928, -0.3239472508430481, 0.1260896474123001, -0.13194189965724945, 0.1551818996667862, -0.18369553983211517, -0.26286575198173523, -0.03493812307715416, -0.7340802550315857, -0.16940629482269287, 0.329801470041275]"
"2","Superman II","super-hero","https://en.wikipedia.org/wiki/Superman_II","[0.46063682436943054, 0.177644282579422, -0.14302049577236176, 0.4113052189350128, 0.2797086536884308, 0.7809444665908813, -0.27113547921180725, 0.3248281478881836, -0.0021045194007456303, -0.3037986755371094, -0.21363110840320587, -0.44125497341156006, 0.2756134271621704, -0.3615267276763916, -0.4626754820346832, -0.2648288309574127, 0.08379669487476349, 0.5020470023155212, -0.05552233010530472, 0.28474724292755127, 0.28939375281333923, -0.6075425744056702, 0.09015088528394699, -0.007193756755441427, -0.011922050267457962, -0.06634462624788284, 0.041188955307006836, -0.8842058181762695, -0.14325694739818573, -0.4688205420970917, -0.5712299942970276, 0.19185057282447815, 0.42071571946144104, -0.03863096982240677, -0.2928812503814697, 0.41835087537765503, -0.516024649143219, 0.37052616477012634, -0.014781997539103031, 0.10185371339321136, -0.17766843736171722, -0.0033310772851109505, 0.6614648103713989, 0.2075326293706894, -0.2367693930864334, 0.3273319602012634, -0.03708146512508392, -0.6747543811798096, 0.24939854443073273, 0.328774631023407, -0.6666674017906189, -0.21478994190692902, -0.09751991927623749, 0.1984390765428543, 0.05849354714155197, -0.2617984414100647, -0.37434282898902893, 0.5742356777191162, 0.01814482919871807, 0.002727733924984932, 0.11647923290729523, -0.7731143236160278, 0.3396683633327484, 0.11485575884580612, 0.12628008425235748, -0.26807692646980286, 0.3627534806728363, -0.026736093685030937, -0.19939497113227844, -0.557887613773346, -0.21908968687057495, 0.7995576858520508, 0.32174965739250183, 0.017013955861330032, 0.20005202293395996, 0.1717357486486435, 0.18134371936321259, -0.7890520095825195, -0.2691810429096222, -0.1538533866405487, -0.13342829048633575, 0.2751515805721283, 0.13799066841602325, 0.10425131767988205, -0.2721470296382904, 0.06266552954912186, -0.08221979439258575, -0.02755318209528923, 0.18347087502479553, 0.5169155597686768, 0.04829804599285126, 0.07262212038040161, 0.002140415832400322, 0.029028689488768578, -0.1411665976047516, -0.2669004797935486, -0.3354061543941498, -0.2138291895389557, 0.20194749534130096, 0.1079593300819397, -0.31518369913101196, -0.7402222156524658, 0.3161594569683075, 0.16206476092338562, 0.3372730612754822, 0.4465624988079071, -0.011881151236593723, -0.0765865370631218, 0.4593418836593628, -0.17729507386684418, -0.5079776644706726, 0.48486414551734924, 0.2022170126438141, 0.4903985261917114, -0.20903852581977844, 0.672592282295227, 0.3079502284526825, 0.17514270544052124, -0.29293522238731384, 0.004566504620015621, -0.1424722671508789, -0.07029422372579575, 0.015882864594459534, -0.23862840235233307, 0.24332034587860107, 0.03697003051638603, 0.04207699000835419, -0.025095561519265175]"
"3","Birds of Prey (And the Fantabulous Emancipation…","super-hero","https://en.wikipedia.org/wiki/Birds_of_Prey_(2020_film)","[0.5641070604324341, -0.35937464237213135, 0.20540966093540192, 0.4485420286655426, 0.3059372305870056, 0.042654264718294144, -0.12572120130062103, 0.10635561496019363, 0.10903060436248779, -0.14842264354228973, 0.68836909532547, -0.5972766876220703, 0.3190021812915802, -0.24861694872379303, 0.017421407625079155, -0.3393208682537079, 0.1544053852558136, 0.11014024168252945, 0.06544458121061325, 0.09040607511997223, -0.2940365970134735, -0.6866763234138489, 0.23730583488941193, 0.129438117146492, 0.2354910671710968, 0.3104923665523529, 0.5332119464874268, -0.3534024953842163, -0.06245029345154762, -0.10181482136249542, -0.20585043728351593, -0.13290339708328247, -0.2695408761501312, -0.758469820022583, -0.4629913866519928, -0.25316232442855835, -0.29513370990753174, 0.08667618036270142, -0.1401188224554062, 0.5222370028495789, -0.12132703512907028, 0.22281478345394135, -0.1051805317401886, 0.09200720489025116, -0.26415127515792847, 0.07531190663576126, 0.12769953906536102, -0.7973368167877197, 0.03638944402337074, 0.06677299737930298, -0.49526605010032654, -0.6246568560600281, -0.2399686574935913, 0.20425677299499512, 0.14923734962940216, -0.25959229469299316, -0.3032495975494385, -0.08682820945978165, -0.09753189980983734, -0.2281010001897812, -0.18681053817272186, 0.026345765218138695, 0.4106196165084839, -0.251943975687027, 0.0457092709839344, -0.505752682685852, 0.7523889541625977, 0.07694509625434875, -0.2943717837333679, -0.129865825176239, -0.322278767824173, 0.49536457657814026, 0.10692744702100754, -0.06055157631635666, -0.09462383389472961, 0.23617316782474518, 0.1066904366016388, -0.34826046228408813, -0.08826488256454468, 0.11778026074171066, -0.005846148822456598, 0.47831472754478455, -0.05565020814538002, 0.16837827861309052, 0.0578354187309742, -0.7582868933677673, 0.011623678728938103, 0.012249866500496864, 0.24563004076480865, 0.13273677229881287, 0.08758081495761871, -0.1424061805009842, 0.323456734418869, 0.11050477623939514, 0.008569769561290741, -0.2979748547077179, -0.5300455093383789, -0.4669319987297058, -0.22881048917770386, 0.009721089154481888, -0.5565455555915833, -0.21054181456565857, 0.12758314609527588, 0.18758398294448853, 0.10368739813566208, 0.42396068572998047, -0.2970224618911743, -0.2237195074558258, -0.01928333379328251, -0.2953203320503235, -0.38618507981300354, 0.20312976837158203, 0.354728639125824, 0.03286304324865341, -0.05450792610645294, 0.24656303226947784, -0.10759534686803818, 0.21274970471858978, 0.39396849274635315, 0.44875043630599976, -0.2730867266654968, -0.2820580005645752, -0.03786000981926918, -0.060324084013700485, -0.2547294497489929, -0.17261312901973724, 0.1491106003522873, 0.5210371017456055]"
"4","Green Lantern","super-hero","https://en.wikipedia.org/wiki/Green_Lantern_(film)","[0.19099940359592438, -0.1380438655614853, 0.26133960485458374, 0.6624573469161987, 0.08516575396060944, 0.44858497381210327, -0.5624840259552002, 0.026059716939926147, 0.04744904115796089, -0.32395124435424805, 0.00538667431101203, -0.37691861391067505, 0.015671346336603165, -0.250614732503891, -0.25165897607803345, -0.18271078169345856, -0.12799842655658722, 0.46224600076675415, -0.05992911756038666, 0.41160866618156433, -0.07344642281532288, -0.29975321888923645, 0.24248629808425903, -0.024050317704677582, 0.03806363418698311, -0.10555160790681839, 0.37217286229133606, -0.3973172903060913, -0.1705327332019806, -0.4675949513912201, -0.2855112552642822, -0.010724863968789577, -0.024771172553300858, -0.16962499916553497, -0.6076288223266602, 0.016507463529706, -0.6064885854721069, -0.36365535855293274, -0.3067880868911743, 0.4343341886997223, -0.28497159481048584, -0.10811922699213028, 0.2975829839706421, 0.13715161383152008, -0.3222784399986267, 0.3244664967060089, -0.2515362799167633, -0.7097494602203369, 0.4129493534564972, -0.15360626578330994, -0.5926076173782349, -0.6788747310638428, -0.5392112135887146, 0.40962985157966614, -0.14788421988487244, 0.2795087695121765, -0.45182177424430847, 0.4134887456893921, 0.07378701120615005, -0.1249423623085022, -0.24987353384494781, -0.36182156205177307, 0.21983380615711212, -0.48869985342025757, -0.2630124092102051, -0.36956140398979187, 0.3575843274593353, -0.16705209016799927, -0.08520474284887314, -0.16333964467048645, -0.7063893675804138, 0.345712810754776, 0.13894978165626526, 0.12145175039768219, 0.022846464067697525, 0.32976192235946655, 0.39978763461112976, -0.5671170949935913, -0.35511547327041626, -0.06647597253322601, -0.256387859582901, 0.16184505820274353, 0.06927885115146637, 0.46563178300857544, 0.02001032419502735, -0.18423932790756226, 0.22522397339344025, 0.0890527293086052, 0.27449968457221985, 0.27085015177726746, 0.28398141264915466, 0.18478502333164215, -0.3691827654838562, 0.23179490864276886, 0.14257098734378815, -0.012722818180918694, -0.10358224809169769, -0.1021093800663948, 0.12472453713417053, 0.26026278734207153, -0.34205737709999084, -0.453655868768692, 0.20053786039352417, 0.32838451862335205, -0.32010552287101746, 0.7008698582649231, -0.1040772795677185, -0.31385287642478943, 0.34140127897262573, -0.014359417371451855, -0.1704980880022049, 0.012569592334330082, 0.40671324729919434, 0.5302948951721191, 0.1297246664762497, -0.11891700327396393, -0.174246683716774, -0.19613957405090332, 0.2877074182033539, 0.2840031683444977, -0.22334028780460358, -0.26072028279304504, -0.09407518059015274, -0.302983820438385, -0.052090663462877274, -0.3123055398464203, -0.03981969505548477, 0.17115113139152527]"
"5","The Green Hornet","super-hero","https://en.wikipedia.org/wiki/The_Green_Hornet_(2011_film)","[0.44038331508636475, -0.1297571361064911, -0.08406904339790344, 0.8240803480148315, 0.7430964112281799, -0.16767166554927826, 0.26073360443115234, -0.03806513920426369, 0.019946884363889694, 0.4278508722782135, -0.3229282796382904, -0.6834010481834412, 0.46863889694213867, -0.1343289166688919, -0.3268691301345825, -0.27713802456855774, 0.02957671694457531, 0.13222388923168182, 0.13241873681545258, 0.1321278065443039, 0.0726151317358017, -0.1532265692949295, 0.5226677060127258, -0.654610812664032, -0.5764172673225403, 0.3649592399597168, 0.2960089445114136, -0.047011326998472214, 0.3773086667060852, 0.016465123742818832, -0.8334293961524963, 0.8836560249328613, 0.07911017537117004, -0.2075517177581787, 0.4514293670654297, 0.2529377043247223, -0.2956920266151428, 0.45595884323120117, 0.02863989770412445, 0.44879287481307983, 0.3405560255050659, -0.4600869417190552, 0.12961117923259735, 0.2200598120689392, 0.29717540740966797, 0.23669326305389404, -0.32668858766555786, -0.37554219365119934, -0.216342493891716, 0.3689578175544739, -0.3324628472328186, -0.10200847685337067, -0.03650651127099991, 0.32814911007881165, -0.15248171985149384, -0.018061351031064987, -0.4094986915588379, 0.7292690873146057, -0.17689616978168488, -0.05912940949201584, 0.5747434496879578, -0.15823058784008026, 0.6107071042060852, -0.18776173889636993, -0.17245298624038696, -0.35116124153137207, 0.1820378452539444, -0.5209854245185852, 0.012002995237708092, -0.507157564163208, -0.2123703509569168, 0.0920027643442154, 0.6329253911972046, -0.2166767418384552, -0.17666231095790863, 0.35714900493621826, -0.21665239334106445, -0.13257582485675812, 0.3476971387863159, 0.04053307697176933, -0.08796906471252441, -0.4825536012649536, -0.10025785118341446, -0.29108527302742004, -0.23279619216918945, -0.19119447469711304, 0.3724152147769928, -0.577741801738739, -0.2332397848367691, -0.17136241495609283, -0.30043721199035645, -0.07254363596439362, -0.3132879436016083, -0.31839677691459656, 0.6637922525405884, -0.38552555441856384, -0.24513541162014008, -0.5948410034179688, -0.5728943347930908, 0.2290494292974472, -0.23321133852005005, 0.25216343998908997, 0.11139476299285889, 0.8464267253875732, -0.11017919331789017, -0.6253718733787537, -0.6295162439346313, -0.15948721766471863, 0.029368173331022263, -0.08191975951194763, -0.2994333505630493, 0.3681276738643646, 0.9413378238677979, 0.9057118892669678, 0.4718397557735443, -0.25658440589904785, 0.22150278091430664, -0.60166335105896, 0.16407150030136108, 0.08550558984279633, -0.04165205731987953, -0.5347199440002441, -0.12605300545692444, -0.1545807421207428, -0.11545822769403458, -0.28130653500556946, -0.35349002480506897, -0.3544257879257202]"
"6","Ghost Rider","super-hero","https://en.wikipedia.org/wiki/Ghost_Rider_(2007_film)","[-0.04022790864109993, 0.13713425397872925, -0.28759875893592834, 0.3297070860862732, 0.2740379273891449, -0.12193403393030167, 0.6121044158935547, 0.261001855134964, 0.10053743422031403, -0.1531369537115097, 0.27011844515800476, 0.08038918673992157, 0.25232893228530884, -0.4397291839122772, -0.4361731708049774, -0.2824585437774658, -0.35081711411476135, 0.397109717130661, -0.11935567110776901, 0.2339814305305481, -0.18868985772132874, -0.027594419196248055, -0.08017969131469727, -0.08644789457321167, 0.025241786614060402, 0.46472132205963135, 0.1915292590856552, -0.20195694267749786, -0.2927056849002838, -0.33176183700561523, -0.2809029221534729, 0.00797160156071186, -0.25895002484321594, -0.03573579713702202, -0.6161261200904846, 0.0047195907682180405, -0.3232318162918091, 0.07745015621185303, -0.33789271116256714, 0.25736096501350403, -0.09998627752065659, -0.19525371491909027, 0.0664258524775505, 0.6982784271240234, -0.22230857610702515, 0.20516861975193024, -0.5601245164871216, 0.04653684422373772, 0.2744416296482086, -0.13802365958690643, -0.11948190629482269, -0.23240579664707184, -0.10561850666999817, 0.2774958312511444, 0.14057928323745728, -0.6197768449783325, -0.42289280891418457, 0.3668160140514374, 0.10850705951452255, -0.20023536682128906, 0.5752939581871033, 0.0492355041205883, 0.7276532053947449, -0.47377070784568787, -0.06366733461618423, 0.07037275284528732, 0.41814133524894714, 0.1339184045791626, 0.04204736649990082, -0.30598312616348267, -0.013724748976528645, -0.03714357316493988, 0.21003611385822296, 0.09769807010889053, -0.43377119302749634, 0.12115754187107086, 0.25716841220855713, -0.2535829544067383, -0.38179880380630493, -0.3569319546222687, -0.11465290188789368, -0.05451277270913124, 0.3874247968196869, 0.1685182750225067, -0.01246078871190548, 0.09711781144142151, 0.2146943360567093, -0.4393185079097748, 0.22168858349323273, 0.2972884476184845, 0.1415329873561859, -0.3452751636505127, -0.14771735668182373, 0.16311617195606232, 0.28393542766571045, -0.09826631844043732, -0.15349896252155304, -0.1792062669992447, -0.24812042713165283, -0.4754185974597931, -0.36565062403678894, -0.44774624705314636, 0.10767780244350433, 0.03940095007419586, 0.14083801209926605, 0.1464967280626297, -0.11420655250549316, -0.22655953466892242, -0.14386245608329773, -0.13710756599903107, -0.5353047847747803, 0.14399805665016174, 0.33781227469444275, 0.21018311381340027, 0.04122632369399071, -0.4090082347393036, 0.35345855355262756, -0.10347853600978851, 0.08718781173229218, 0.261331707239151, -0.3511887490749359, -0.05908079817891121, 0.020874785259366035, -0.25666606426239014, -0.4431379735469818, -0.6017522215843201, 0.28593695163726807, -0.38636863231658936]"
"7","Batman & Robin","super-hero","https://en.wikipedia.org/wiki/Batman_%26_Robin_(film)","[0.42949068546295166, -0.07908383011817932, -0.005838474258780479, 0.8197146654129028, 0.49649885296821594, 0.23219074308872223, -0.25798237323760986, 0.5153967142105103, 0.2210666686296463, -0.04875189810991287, 0.19816364347934723, -0.37058061361312866, -0.06649434566497803, -0.33416488766670227, 0.04377112537622452, -0.17308442294597626, 0.10282067209482193, 0.43869301676750183, 0.17592859268188477, 0.49451521039009094, 0.14183279871940613, -0.5619189143180847, 0.24163322150707245, 0.010093913413584232, -0.1380813866853714, 0.12310121208429337, 0.3738795220851898, -0.5113757848739624, -0.3662721514701843, -0.5591047406196594, -0.2296375185251236, 0.06627126783132553, 0.13303785026073456, -0.09425152093172073, -0.5072649717330933, -0.007470422424376011, -0.7100082635879517, 0.10008613020181656, -0.27895793318748474, 0.24036985635757446, 0.05391884967684746, 0.08845970034599304, 0.2493809312582016, 0.2832484245300293, -0.4343249201774597, 0.2798193395137787, -0.16025635600090027, -0.7881796360015869, 0.266091525554657, 0.05043798312544823, -0.3869558572769165, -0.40773144364356995, -0.4040142893791199, 0.06703954190015793, 0.07945546507835388, -0.15469160676002502, -0.6169686317443848, 0.34355491399765015, 0.14611691236495972, -0.31044989824295044, -0.13670380413532257, -0.4215336740016937, 0.526082456111908, -0.28839582204818726, 0.2066137045621872, -0.46607547998428345, 0.5191650390625, 0.05562549829483032, -0.47197332978248596, -0.4475089907646179, -0.008411416783928871, 0.4282318949699402, 0.07770203799009323, 0.03612956404685974, -0.043684788048267365, 0.04449450969696045, 0.27685701847076416, -0.297759085893631, -0.43421947956085205, -0.025483250617980957, -0.09224832057952881, 0.3346003293991089, -0.007065880112349987, 0.14037790894508362, 0.0863678976893425, 0.22407157719135284, 0.07111716270446777, 0.1602778434753418, 0.21169352531433105, 0.17328764498233795, 0.2672613561153412, -0.11788849532604218, 0.2777256965637207, 0.09729146957397461, 0.40950894355773926, -0.2240288406610489, -0.4918099641799927, -0.31858840584754944, -0.1335580050945282, 0.17927522957324982, -0.5014871954917908, -0.08884133398532867, 0.018713386729359627, 0.29779350757598877, -0.11936546862125397, 0.09332723170518875, -0.17105242609977722, -0.043831873685121536, 0.2648095190525055, -0.3257094621658325, -0.5339340567588806, 0.5139275789260864, 0.18794792890548706, -0.0027444721199572086, -0.06306187808513641, 0.231783926486969, 0.022411666810512543, -0.10177359730005264, 0.08178757131099701, 0.2986103892326355, -0.0956115871667862, -0.1888580620288849, 0.3597978353500366, -0.1330564022064209, 0.13127954304218292, -0.5474573969841003, 0.07171723246574402, 0.17077302932739258]"
"8","Hulk","super-hero","https://en.wikipedia.org/wiki/Hulk_(film)","[0.14560797810554504, -0.13106368482112885, 0.031066790223121643, 0.20507006347179413, 0.27009785175323486, -0.12883132696151733, 0.32044968008995056, -0.15732572972774506, 0.2559494078159332, 0.04121997207403183, 0.6014689803123474, -0.08735708892345428, 0.04448065906763077, 0.05425620824098587, 0.1014825627207756, 0.33663949370384216, -0.00516475597396493, 0.049848418682813644, -0.060058675706386566, 0.32686665654182434, 0.005927146878093481, 0.21987898647785187, 0.2209576815366745, 0.1372045874595642, -0.46618229150772095, 0.46143826842308044, 0.1491607129573822, -0.6053178310394287, -0.2515847384929657, -0.1615581065416336, -0.5956708788871765, -0.1312890201807022, -0.47200438380241394, 0.11064951121807098, -0.20275118947029114, -0.3794165253639221, 0.09126844257116318, -0.10271748900413513, -0.21235373616218567, -0.027038130909204483, 0.16485045850276947, 0.530441164970398, -0.07448497414588928, 0.2565436065196991, 0.029719434678554535, 0.10657751560211182, -0.03273772820830345, -0.3471928834915161, -0.2358294427394867, 0.040296975523233414, -0.575965404510498, -0.036023396998643875, 0.005368863698095083, -0.17856088280677795, 0.12683917582035065, 0.1636115461587906, -0.38318195939064026, 0.20739883184432983, -0.2727731466293335, 0.07396738976240158, -0.32830461859703064, -0.09333539754152298, 0.3932252526283264, -0.40440383553504944, -0.016288915649056435, -0.2435266673564911, 0.4966869056224823, 0.07351378351449966, -0.40159568190574646, -0.37142837047576904, -0.2889029085636139, 0.08895990252494812, 0.21371929347515106, 0.011983421631157398, -0.7758299112319946, -0.1144247055053711, 0.11969520151615143, -0.22756941616535187, -0.4151615500450134, -0.48050856590270996, -0.4091932475566864, 0.3476680517196655, 0.39563581347465515, -0.09678719937801361, -0.4140901267528534, -0.33633357286453247, 0.6727859377861023, -0.6133374571800232, -0.5121694207191467, 0.14666084945201874, 0.2101213037967682, -0.16683818399906158, -0.711728036403656, -0.08690117299556732, 0.31874996423721313, -0.3144882023334503, -0.39266514778137207, -0.33402666449546814, -0.015445633791387081, 0.03444898501038551, -0.08838585764169693, -0.2343408167362213, -0.06478367000818253, 0.23291152715682983, 0.3478717505931854, 0.17869287729263306, 0.029123038053512573, 0.19227170944213867, 0.09517218172550201, 0.01880643516778946, -0.26665598154067993, 0.297895222902298, 0.519025981426239, 0.614608645439148, -0.2884928286075592, -0.2616415321826935, -0.0051382905803620815, 0.31161150336265564, 0.24846072494983673, 0.3280167579650879, -0.07355954498052597, -0.0722501203417778, 0.07487829774618149, -0.46461358666419983, -0.5679913759231567, 0.1534300446510315, 0.44051894545555115, -0.07987890392541885]"
"9","Teenage Mutant Ninja Turtles: Out of the Shadows","super-hero","https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows","[0.5867958664894104, 0.11143262684345245, -0.29275113344192505, 0.3571966588497162, -0.2814171314239502, -0.029433032497763634, 0.14755313098430634, 0.10845059156417847, 0.04606030881404877, -0.28398972749710083, 0.27090346813201904, -0.00799946952611208, 0.26503226161003113, 0.3697487711906433, -0.3941650688648224, 0.27925193309783936, -0.6012874245643616, -0.2523285150527954, -0.3461517095565796, 0.23684588074684143, -0.1585717797279358, -0.06109888106584549, 0.0051726545207202435, -0.28543826937675476, -0.31004321575164795, 0.709251344203949, 0.6330289840698242, -0.0787021815776825, -0.40171828866004944, -0.8931599259376526, -0.35202693939208984, 0.24579475820064545, -0.014330893754959106, -0.6742490530014038, -0.5142143368721008, 0.3577478229999542, -0.22804886102676392, -0.042729176580905914, -0.5919356942176819, 0.4483673870563507, 0.003689407603815198, 0.1856692135334015, 0.5034128427505493, 4.610758333001286e-05, 0.3763580620288849, 0.5395573973655701, -0.2539604902267456, -0.31997552514076233, 0.17099444568157196, -0.02303346060216427, -0.32551583647727966, -0.25494229793548584, 0.6224656701087952, -0.16627736389636993, -0.011165952309966087, -0.13144826889038086, 0.22940398752689362, 0.18781070411205292, -0.2531524896621704, 0.11915750056505203, -0.22736331820487976, -0.09504152089357376, 0.39672648906707764, -0.41007134318351746, -0.31894782185554504, -0.21483629941940308, 0.3561743199825287, -0.3083406686782837, -0.28528228402137756, 0.25905266404151917, -0.7615643739700317, 0.010953349992632866, -0.3583846688270569, 0.4150494337081909, -0.03306339308619499, 0.04193739965558052, 0.3766779601573944, -0.5001648664474487, 0.4004390835762024, -0.257467657327652, -0.377230167388916, 0.4185901880264282, 0.5463491082191467, 0.7557821869850159, -0.1635667383670807, -0.43402886390686035, 0.13102708756923676, -0.3021750748157501, -0.1522824764251709, 0.5742675065994263, 0.11271200329065323, 0.13215667009353638, -0.30590325593948364, -0.09773129224777222, 0.17292802035808563, -0.07633374631404877, 0.00821596011519432, -0.3447835445404053, 0.3406260907649994, -0.19666443765163422, -0.580837607383728, -0.773162305355072, -0.06777778267860413, 0.019442247226834297, 0.33223310112953186, 0.21271905303001404, 0.15831339359283447, 0.05209578201174736, 0.09433998167514801, -0.11330216377973557, -0.3731696605682373, 0.5810574293136597, 0.7026354670524597, 0.4267793297767639, -0.7091330885887146, -0.1660194844007492, 0.47833016514778137, 0.32572662830352783, 0.044641830027103424, 0.30999240279197693, -0.08439457416534424, 0.001591179403476417, 0.2647664546966553, -0.5244337320327759, -0.05496286600828171, -0.3550349473953247, -0.1778389811515808, 0.2316982001066208]"
