"id","title","label","URL","embedding"
"0","Bloodshot","super-hero","https://en.wikipedia.org/wiki/Bloodshot_(film)","[0.045533522963523865, 0.37127259373664856, -0.19601093232631683, -0.47859203815460205, -0.16963675618171692, 0.023672690615057945, 0.3480779528617859, -0.05042346939444542, 0.8031132817268372, 0.4462665319442749, -0.30842727422714233, -0.5900495052337646, -0.183960422873497, -0.4159049093723297, -0.18326163291931152, -0.20908531546592712, -0.3527370095252991, -0.2264225035905838, 0.5377542972564697, 0.6878843307495117, -0.021689491346478462, 0.2928827404975891, 0.0920075997710228, -0.2013237476348877, 0.047029849141836166, -0.02629777044057846, -0.25552165508270264, -0.09073183685541153, 0.09775714576244354, 0.44227278232574463, -0.04791339859366417, 0.29851093888282776, -0.20325683057308197, 0.5570799708366394, 0.00019766364130191505, 0.041312020272016525, 0.7421175241470337, -0.6118821501731873, 0.43677228689193726, -0.24073153734207153, 0.017102019861340523, 0.04257259890437126, -0.5789357423782349, 0.11221854388713837, -0.1016109511256218, 0.004174006637185812, -0.4386943578720093, -0.3731916546821594, 0.3171066343784332, 0.0006923582986928523, 0.09507320821285248, -0.326747864484787, 0.17568501830101013, 0.2833752930164337, 0.08000047504901886, -0.5704658031463623, 0.38501816987991333, -0.21986092627048492, 0.4886760413646698, 0.3786422610282898, 0.8890739679336548, -0.659005343914032, 0.11357220262289047, -0.0467124804854393, -0.536723792552948, 0.3005821704864502, -0.07417863607406616, -0.10657711327075958, -0.18158404529094696, 0.04680478572845459, -0.35486888885498047, -0.07679490745067596, 0.3270736038684845, -0.4779404103755951, 0.0048546562902629375, -0.06936538219451904, -0.7198929786682129, 0.7995906472206116, -0.1650284081697464, -0.5605161786079407, -0.6802940368652344, 0.2839226722717285, 0.08073252439498901, -0.26851752400398254, 0.1356080174446106, 0.5580528378486633, -0.5395533442497253, -0.2820751368999481, -0.2540234625339508, -0.02867419645190239, 0.12395250052213669, -0.11013679951429367, -0.7002977728843689, 0.391638845205307, 0.17827463150024414, -0.18136456608772278, -0.0900370180606842, 0.14640365540981293, -0.28238070011138916, 0.23801235854625702, 0.550936758518219, 0.42171135544776917, -0.37728145718574524, -0.23988749086856842, -0.19325342774391174, -0.07995094358921051, 0.07779768109321594, -0.05369139462709427, 0.01926395483314991, -0.7108368277549744, -0.20958998799324036, -0.29202479124069214, 0.5101063847541809, 0.0933811292052269, 0.15586824715137482, -0.3688496947288513, 0.33416983485221863, 0.32840943336486816, 0.004656463395804167, -0.20314598083496094, 0.2205987274646759, 0.19171969592571259, 0.24519968032836914, 0.28003817796707153, 0.414340078830719, 0.3658412992954254, -0.32820335030555725, 0.1224813312292099]"
"1","Watchmen","super-hero","https://en.wikipedia.org/wiki/Watchmen_(film)","[0.03513707220554352, 0.5051124095916748, -0.16289028525352478, -0.23862439393997192, 0.10919420421123505, 0.5619633793830872, 0.30598482489585876, -0.015461958944797516, -0.09528318047523499, -0.027459945529699326, 0.05237020179629326, -1.0839771032333374, 0.0957757756114006, 0.32854047417640686, 0.0626898929476738, 0.49776872992515564, -0.20126134157180786, -0.37071412801742554, 0.576892614364624, -0.2535291016101837, -0.14245615899562836, 0.1860279142856598, 0.23334082961082458, -0.29507845640182495, -0.05652535334229469, 0.20146484673023224, -0.3826088607311249, -0.5027365684509277, 0.4229903519153595, -0.26248782873153687, 0.381168007850647, 0.15290743112564087, -0.03205449506640434, -5.2960520406486467e-05, 0.00209537660703063, -0.09860765933990479, 0.26561492681503296, 0.12301446497440338, 0.14838434755802155, -0.06445840001106262, 0.5322555303573608, -0.17720869183540344, -0.2515646517276764, -0.3222634792327881, 0.17260891199111938, -0.2834304869174957, -0.05615365877747536, -0.1749470978975296, 0.6793546676635742, 0.30227115750312805, -0.35994723439216614, -0.4903419613838196, -0.129622220993042, 0.35926103591918945, -0.024582574144005775, -0.3730941712856293, 0.1457986682653427, 0.32035085558891296, 0.3034411072731018, 0.16775204241275787, 0.8755655288696289, -0.08761975914239883, -0.08097779750823975, 0.0368831604719162, -0.01662858948111534, -0.1919674128293991, -0.11938674747943878, 0.04899294301867485, -0.4231254458427429, 0.14608389139175415, -0.14461778104305267, 0.23725169897079468, 0.3062918484210968, -0.4225465655326843, 0.1303596943616867, 0.22474582493305206, -0.5718299746513367, 0.8154058456420898, 0.17542392015457153, -0.47113484144210815, -0.49307551980018616, -0.16308215260505676, -0.05129551887512207, -0.7663685083389282, 0.07112900167703629, 0.39672791957855225, -0.20055994391441345, 0.023473624140024185, 0.01713196001946926, -0.02661755308508873, -0.05998974293470383, -0.4967047870159149, -0.23603691160678864, 0.6626912355422974, 0.17873771488666534, 0.2841252386569977, 0.5244097113609314, 0.14970630407333374, -0.20594999194145203, 0.15957441926002502, 0.7826800346374512, 0.1942555159330368, -0.17823760211467743, -0.6461246609687805, 0.3512040078639984, 0.44300559163093567, -0.009541134350001812, -0.004782737698405981, -0.21772141754627228, -0.3558821380138397, -0.2564956247806549, -0.16649329662322998, -0.19365543127059937, -0.2958081364631653, 0.132195845246315, -0.5292774438858032, -0.13532568514347076, -0.2800302803516388, 0.03528484329581261, -0.2602250874042511, 0.33564892411231995, 0.5004180073738098, -0.06171254441142082, 0.0023064883425831795, 0.13961119949817657, 0.4934614300727844, -0.6178302764892578, -0.12919257581233978]"
"2","Superman II","super-hero","https://en.wikipedia.org/wiki/Superman_II","[-0.35405561327934265, 0.030515719205141068, 0.18825386464595795, -0.06882906705141068, -0.5190755724906921, 0.14425301551818848, 0.29134678840637207, -0.04801052808761597, -0.14191937446594238, 0.21673965454101562, 0.2992471158504486, -0.8589050769805908, -0.48529425263404846, -0.08654167503118515, 0.08544953912496567, 0.018246272578835487, -0.135454460978508, 0.12998831272125244, 0.09784342348575592, 0.3639531135559082, -0.15963764488697052, 0.05076642706990242, 0.11691530793905258, -0.16465617716312408, -0.16257008910179138, 0.19861744344234467, -0.2802157998085022, 0.004022910259664059, 0.026246700435876846, -0.2973886728286743, 0.25666412711143494, 0.5032763481140137, 0.03375236317515373, 0.45319029688835144, -0.24585239589214325, 0.039316028356552124, 0.38917604088783264, -0.039472050964832306, 0.6278547644615173, -0.1303490251302719, 0.47649243474006653, 0.29890143871307373, -0.7557260990142822, 0.28815439343452454, 0.163330540060997, 0.09822168946266174, -0.2717147171497345, -0.2549940347671509, 0.24063359200954437, 0.2690677344799042, 0.21681053936481476, -0.09126625210046768, 0.1989128142595291, -0.029117397964000702, -0.25596699118614197, -0.62641441822052, 0.37241822481155396, 0.031477946788072586, 0.3498800992965698, 0.09979470074176788, 0.6134834289550781, -0.27588963508605957, 0.17474649846553802, -0.25363773107528687, 0.17948471009731293, 0.053494736552238464, 0.10313045978546143, -0.4149022698402405, 0.1812346875667572, 0.4282515347003937, 0.10793531686067581, 0.020378729328513145, 0.5623253583908081, -0.12601512670516968, 0.033023931086063385, -0.02148905210196972, -0.2477221041917801, 0.9109871983528137, 0.6397059559822083, -0.23702453076839447, -0.2932155728340149, -0.07178633660078049, -0.44329389929771423, -0.1028212383389473, -0.027101289480924606, 0.6676154732704163, 0.3177855610847473, -0.13384251296520233, -0.20767536759376526, 0.06073653697967529, -0.24889147281646729, -0.188668355345726, 0.2934224605560303, 0.023365676403045654, 0.20063284039497375, 0.46946269273757935, 0.30890753865242004, 0.16594307124614716, -0.21609799563884735, 0.6059228181838989, 0.3573836088180542, 0.16735564172267914, -0.5960506200790405, -0.12180671840906143, -0.031472399830818176, 0.6110237240791321, -0.47113558650016785, -0.14195698499679565, -0.2620202600955963, -0.3219977617263794, -0.7803667783737183, -0.2816411256790161, -0.04320202022790909, 0.26114875078201294, 0.10738550871610641, -0.8412234783172607, -0.23725293576717377, -0.05299324542284012, 0.04249977692961693, -0.3323322534561157, 0.41839921474456787, 0.5955628752708435, 0.5203194618225098, -0.34133949875831604, 0.3039916753768921, 0.07757241278886795, -0.8592900037765503, 0.6458421945571899]"
"3","Birds of Prey (And the Fantabulous Emancipation…","super-hero","https://en.wikipedia.org/wiki/Birds_of_Prey_(2020_film)","[-0.00808458961546421, 0.152170792222023, -0.2067100554704666, -0.1167232021689415, -0.2211749255657196, -0.2629494369029999, 0.35868141055107117, -0.13609616458415985, 0.339302122592926, -0.001054014777764678, 0.03204687684774399, -0.8842340707778931, -0.18874546885490417, -0.4391136169433594, -0.1606283187866211, 0.2598770260810852, -0.08148647099733353, -0.12480048835277557, 0.20415958762168884, 0.220419779419899, -0.3396546244621277, 0.003081419738009572, -0.1929042935371399, -0.14455807209014893, -0.08856035023927689, 0.11920040845870972, 0.13843204081058502, -0.5301325917243958, 0.30087968707084656, -0.5430119633674622, 0.1936364322900772, 0.3483664095401764, -0.0922415554523468, 0.013684673234820366, 0.02252366580069065, 0.014234048314392567, -0.13348324596881866, -0.22424578666687012, 0.6049017906188965, 0.19587911665439606, 0.2183530181646347, 0.24917340278625488, -0.9218417406082153, -0.12671199440956116, 0.40924036502838135, 0.23162797093391418, 0.003182658925652504, 0.05655544996261597, 0.21801583468914032, -0.0993172749876976, -0.23039300739765167, -0.36141666769981384, 0.07529245316982269, 0.11913430690765381, -0.17308279871940613, -0.9207116961479187, 0.1018422469496727, -0.030311960726976395, 0.5061787366867065, 0.0007697450928390026, 0.542800784111023, -0.10859648883342743, 0.35961198806762695, 0.15596140921115875, -0.2615097165107727, 0.11799903213977814, -0.12278171628713608, -0.33690446615219116, -0.07303647696971893, -0.378530353307724, -0.652846097946167, -0.04919617623090744, 0.6371862292289734, -0.7436572313308716, -0.38017362356185913, 0.24315029382705688, -0.45737215876579285, 0.4870792031288147, 0.3812181055545807, -0.2812560200691223, -0.6478080153465271, 0.1926501989364624, -0.3540380597114563, -0.5700162053108215, 0.8398210406303406, 0.0004760163719765842, -0.21567165851593018, -0.1349194347858429, -0.1805693805217743, 0.27407360076904297, -0.15773087739944458, -0.11456399410963058, -0.36227697134017944, 0.39439740777015686, 0.21882107853889465, -0.13890430331230164, -0.06388857215642929, -0.5322616100311279, -0.005368597339838743, 0.516731858253479, 0.7491793632507324, 0.08944394439458847, -0.29246023297309875, -0.1020963042974472, 0.2930886149406433, 0.4929766058921814, -0.26727068424224854, -0.19620350003242493, 0.04076413810253143, -0.5604318380355835, -0.016508998349308968, -0.0808081328868866, 0.5148997902870178, -0.8168109655380249, 0.28784677386283875, -0.5510889887809753, 0.3312239646911621, 0.20565125346183777, -0.10652131587266922, -0.45938119292259216, 0.24275563657283783, 0.14952215552330017, 0.08067533373832703, -0.02121835947036743, 0.30317413806915283, 0.056283850222826004, -0.22472095489501953, 0.5385282039642334]"
"4","Green Lantern","super-hero","https://en.wikipedia.org/wiki/Green_Lantern_(film)","[-0.37984195351600647, 0.1374480277299881, -0.2180422693490982, -0.4645608067512512, -0.3313048481941223, 0.24610364437103271, 0.2695431411266327, 0.32433733344078064, 0.29213738441467285, -0.15941615402698517, 0.1837567538022995, -0.446373850107193, -0.3358173072338104, -0.4333994388580322, -0.04220791906118393, 0.6163455247879028, -0.19729609787464142, -0.6544366478919983, 0.0769687294960022, 0.11467020213603973, 0.0779290646314621, 0.21758440136909485, 0.529150128364563, -0.29847171902656555, -0.054398223757743835, 0.10398586094379425, -0.21208606660366058, -0.3187612295150757, 0.050503768026828766, -0.18705742061138153, 0.22614383697509766, -0.18431811034679413, -0.11888165026903152, 0.09371945261955261, 0.10034503787755966, 0.02222207561135292, 0.5206218957901001, -0.1692487895488739, 0.45787501335144043, -0.12115359306335449, 0.4791267514228821, 0.05786442756652832, -0.7067902684211731, 0.3125085234642029, 0.13125582039356232, 0.2639525830745697, -0.15171068906784058, -0.1501503437757492, 0.38853204250335693, 0.19329918920993805, 0.18842090666294098, -0.12974344193935394, -0.16647082567214966, -0.1080852597951889, -0.09257078170776367, -0.5629144310951233, 0.27090275287628174, 0.046951934695243835, 0.13219429552555084, 0.398970365524292, 0.7663342952728271, -0.38412344455718994, 0.3701038658618927, -0.024241119623184204, -0.08065742254257202, 0.18248434364795685, -0.12686572968959808, -0.41525334119796753, -0.23162944614887238, 0.0036601766478270292, -0.39219987392425537, -0.1768476963043213, 0.8789506554603577, -0.393719881772995, -0.11025967448949814, 0.20153610408306122, -0.3242924213409424, 0.7281366586685181, 0.019106389954686165, -0.3889387249946594, -0.41489142179489136, -0.32270294427871704, -0.29781991243362427, -0.7759901881217957, 0.17210693657398224, 0.5122854709625244, -0.06611618399620056, 0.09646669775247574, -0.24016672372817993, 0.2954653203487396, -0.3139652609825134, -0.10502269864082336, -0.36881980299949646, -0.010691940784454346, 0.04666496813297272, 0.20826472342014313, 0.3703575134277344, -0.3641086220741272, -0.021448606625199318, 0.5269538164138794, 0.3026583790779114, 0.3561784327030182, -0.6142566204071045, -0.43279972672462463, 0.20661254227161407, 0.4793466329574585, -0.33658939599990845, -0.11417784541845322, 0.0023979772813618183, -0.8351877331733704, -0.49164456129074097, -0.005177902057766914, 0.1464833766222, 0.1862163543701172, -0.12428344786167145, -0.11345431208610535, -0.14957526326179504, -0.5171122550964355, 0.3011910915374756, -0.5542177557945251, 0.4202278256416321, 0.4904857873916626, 0.43643221259117126, 0.0855003297328949, 0.11558113992214203, 0.07650075852870941, -0.7725770473480225, 0.09013049304485321]"
"5","The Green Hornet","super-hero","https://en.wikipedia.org/wiki/The_Green_Hornet_(2011_film)","[-0.050186481326818466, 0.5361576080322266, -0.5532523393630981, -0.045644138008356094, -0.011917921714484692, 0.05987904593348503, -0.34004881978034973, 0.14857324957847595, -0.1729954183101654, -0.4099101424217224, -0.11991417407989502, -0.2314414381980896, -0.33696749806404114, -0.07415913045406342, 0.00014760707563254982, 0.48790615797042847, -0.20964457094669342, 0.14938920736312866, 0.45817744731903076, 0.18925857543945312, -0.055566612631082535, 0.17642360925674438, 0.4951137602329254, 0.11505063623189926, 0.08224029839038849, 0.09577830135822296, -0.4655407667160034, 0.25682640075683594, 0.1752615123987198, 0.14731644093990326, 0.4511493742465973, 0.17367097735404968, 0.038857605308294296, -0.3945116698741913, 0.013246951624751091, -0.38562673330307007, 0.4066055715084076, -0.7219255566596985, 0.7471518516540527, -0.12074536830186844, 0.25422051548957825, -0.14419709146022797, -0.47167301177978516, 0.11551627516746521, 0.11474426835775375, -0.10921680927276611, -0.785584032535553, -0.08161445707082748, 0.7352646589279175, 0.47804495692253113, 0.35859692096710205, -0.03035922907292843, -0.601818859577179, 0.051387935876846313, -0.2358454316854477, -0.33819717168807983, 0.08183899521827698, -0.16477800905704498, 0.689368486404419, 0.12683157622814178, 0.3059506416320801, -0.11421605944633484, 0.4029391407966614, 0.37102973461151123, -0.5584296584129333, 0.3281763195991516, 0.22273173928260803, 0.06639163196086884, 0.02456856705248356, 0.49451640248298645, 0.32271888852119446, -0.11601464450359344, 0.5513166189193726, -0.119648776948452, -0.3887721598148346, -0.297980934381485, -0.43401795625686646, 0.697982668876648, 0.16656450927257538, -0.19895195960998535, -0.6570221781730652, 0.5465660691261292, -0.25238680839538574, 0.19125741720199585, 0.4736112058162689, 0.6934650540351868, 0.3869860768318176, -0.3904756009578705, 0.17004823684692383, 1.0078808069229126, -0.3079929053783417, -0.16845741868019104, -0.6661100387573242, 0.3039437532424927, 0.4689440429210663, 0.5032619833946228, 0.4857814610004425, -0.20519348978996277, -0.08145253360271454, -0.33382922410964966, 0.5855607986450195, 0.4092421233654022, -0.8501197695732117, -0.24489562213420868, 0.22428083419799805, -0.14126518368721008, 0.5734246969223022, -0.14709807932376862, 0.12258906662464142, -0.6492981910705566, -0.5514504909515381, 0.5353443026542664, 0.4929804801940918, -0.1319512277841568, -0.2141258865594864, 0.21281810104846954, 0.023248789831995964, 0.6040107011795044, -0.05499887093901634, -0.3752624988555908, -0.10845552384853363, -0.0029688277281820774, 0.49439096450805664, 0.110850989818573, 0.8204366564750671, 0.6568895578384399, -0.2261948138475418, 0.35654759407043457]"
"6","Ghost Rider","super-hero","https://en.wikipedia.org/wiki/Ghost_Rider_(2007_film)","[-0.045820560306310654, 0.4374096393585205, 0.09290845692157745, 0.5491902232170105, -0.21783782541751862, -0.49389562010765076, -0.03526325523853302, -0.34631210565567017, 0.4078286290168762, 0.3464585542678833, -0.06189104542136192, -0.2252655029296875, 0.2139982134103775, -0.3591761887073517, 0.16457317769527435, 0.10473648458719254, 0.19708706438541412, -0.011125205084681511, 0.2610680162906647, -0.004150319378823042, -0.18526285886764526, 0.45481041073799133, -0.19983243942260742, -0.3262847065925598, -0.1487916111946106, 0.4266202747821808, -0.12315688282251358, -0.2351139932870865, -0.04369858652353287, 0.08574739843606949, 0.26187264919281006, 0.456270307302475, -0.12362644076347351, 0.00922360084950924, -0.18542879819869995, 0.5127802491188049, 0.6249671578407288, -0.15039624273777008, 0.5469943284988403, 0.37106242775917053, 0.6669970154762268, 0.14852175116539001, -0.28457576036453247, 0.38335955142974854, -0.1039060577750206, 0.000924995809327811, -0.22428174316883087, -0.3400242328643799, -0.08528421819210052, 0.03252599388360977, 0.13757680356502533, -0.2787497639656067, -0.00917077250778675, 0.07899796962738037, -0.38421839475631714, -0.7070607542991638, -0.09415583312511444, -0.23783887922763824, -0.20825976133346558, 0.5168513059616089, 0.6810912489891052, -0.15076862275600433, 0.46406567096710205, -0.6853620409965515, -0.35848283767700195, 0.01822398044168949, -0.0008044212008826435, -0.1439736783504486, -0.1847478598356247, -0.018254907801747322, -0.2409266233444214, 0.13244307041168213, 0.4263240396976471, -0.4226617217063904, -0.30092811584472656, -0.4992423355579376, -0.07866628468036652, 0.7942675948143005, -0.01823955960571766, -0.10977630317211151, -0.1184205561876297, -0.2987195551395416, 0.1548277884721756, -0.10158314555883408, 0.054209545254707336, 0.4565087854862213, -0.33309534192085266, -0.025877058506011963, -0.04838935658335686, 0.15234318375587463, -0.49775418639183044, -0.2030627280473709, 0.005593628156930208, 0.08264730125665665, 0.516800045967102, -0.26352056860923767, 0.3452346622943878, -0.04844547063112259, 0.07784402370452881, 0.026111673563718796, 0.48223158717155457, 0.5023300051689148, -0.11544043570756912, 0.1219390481710434, -0.07637335360050201, 0.03133654594421387, 0.1562478095293045, 0.18862207233905792, 0.03062409721314907, -0.5241965651512146, -0.4159506857395172, -0.20714528858661652, 0.4857769310474396, 0.17410869896411896, -0.11200782656669617, -0.18943719565868378, -0.10778763890266418, 0.5135876536369324, -0.40366244316101074, -0.08486028760671616, 0.4566571116447449, 0.556455671787262, 0.2814997136592865, 0.2688318192958832, 0.33740854263305664, 0.29980888962745667, -0.4631602466106415, 0.426679790019989]"
"7","Batman & Robin","super-hero","https://en.wikipedia.org/wiki/Batman_%26_Robin_(film)","[-0.31141719222068787, 0.0487326942384243, -0.09960868209600449, -0.08770054578781128, -0.4981956481933594, -0.1155630499124527, -0.0015810956247150898, 0.02319062128663063, 0.2675974667072296, 0.2713017165660858, -0.19312569499015808, -0.6650028824806213, -0.5059208869934082, -0.2549230754375458, 0.3640230596065521, 0.4323795735836029, -0.30460867285728455, -0.22799228131771088, 0.26980355381965637, -0.05008601397275925, 0.14788435399532318, -0.006248410325497389, 0.008291162550449371, 0.0051484243012964725, -0.10350751131772995, -0.041151903569698334, -0.06944012641906738, -0.23380959033966064, -0.038725193589925766, -0.18351715803146362, 0.2223561406135559, 0.31737837195396423, -0.1411782205104828, 0.17534658312797546, -0.19698625802993774, 0.06357373297214508, 0.7140952348709106, -0.1766415685415268, 0.4258158802986145, -0.13354673981666565, 0.6841608285903931, 0.006212630309164524, -0.7741286754608154, 0.0005643694312311709, 0.033273644745349884, 0.23398466408252716, -0.1857587844133377, -0.41672101616859436, 0.5374064445495605, 0.21676406264305115, -0.045145582407712936, -0.6260584592819214, -0.16689833998680115, -0.00426452187821269, -0.4063219428062439, -0.8951102495193481, 0.17501312494277954, 0.24137574434280396, 0.0025124845560640097, 0.2761082649230957, 0.5306118130683899, -0.3939879238605499, 0.21673701703548431, 0.0413929745554924, 0.04791475087404251, -0.19514377415180206, 0.10596103221178055, -0.42118677496910095, -0.22672508656978607, 0.034876350313425064, -0.26926931738853455, -0.3110616207122803, 0.15740257501602173, -0.3089333772659302, -0.2705830931663513, -0.0041068196296691895, -0.4255371391773224, 0.8303349614143372, 0.21003411710262299, -0.2919205129146576, -0.4710732102394104, -0.07613518834114075, -0.0659072995185852, -0.33835217356681824, 0.24110865592956543, 0.466829389333725, -0.006989024113863707, -0.20949001610279083, -0.08753123134374619, 0.0689021497964859, -0.034848954528570175, -0.20832176506519318, 0.132417231798172, 0.2865633964538574, 0.33744028210639954, 0.12485749274492264, 0.1163230687379837, -0.2468050718307495, -0.3331508934497833, 0.436478853225708, 0.5434432029724121, 0.40529119968414307, -0.3918079733848572, -0.2537880837917328, 0.11360545456409454, 0.32502633333206177, -0.3458234965801239, -0.09551037102937698, -0.28109022974967957, -0.8739234805107117, -0.1815444827079773, -0.14911168813705444, 0.0975879654288292, -0.19495844841003418, 0.2173665165901184, -0.37940505146980286, -0.03934880718588829, -0.4931299090385437, 0.12272027879953384, -0.20354099571704865, 0.4053211212158203, 0.25044748187065125, 0.08362872898578644, -0.030804768204689026, 0.3446859121322632, 0.20683903992176056, -0.5708462595939636, -0.09192223101854324]"
"8","Hulk","super-hero","https://en.wikipedia.org/wiki/Hulk_(film)","[0.39209699630737305, 0.17079533636569977, -0.2159256935119629, -0.41556069254875183, -0.1911274939775467, -0.162513867020607, 0.1268564760684967, -0.20331904292106628, 0.15101522207260132, 0.27445554733276367, -0.01053772121667862, -0.23209083080291748, -0.2807674705982208, -0.15780292451381683, 0.12861892580986023, 0.3098214566707611, 0.09919613599777222, -0.2360495775938034, 0.1977786123752594, 0.25423306226730347, 0.06330333650112152, -0.10290335863828659, 0.013720795512199402, -0.5205762982368469, -0.1412750780582428, 0.8209860324859619, -0.0059032803401350975, -0.7621715664863586, -0.5873489379882812, 0.3065422475337982, 0.14523282647132874, -0.176003560423851, -0.6758694648742676, 0.33304762840270996, 0.12694516777992249, 0.02535351552069187, 0.3836113512516022, -0.27676936984062195, 0.3206203579902649, -0.10444743931293488, 0.5573599934577942, -0.57594895362854, -0.21073104441165924, -0.06836331635713577, -0.14011305570602417, -0.15180067718029022, 0.3437943756580353, -0.24387919902801514, 0.25420477986335754, 0.1787329763174057, 0.5030638575553894, -0.4341740310192108, -0.20025019347667694, -0.20274657011032104, -0.40789180994033813, -0.09466701000928879, 0.719403088092804, 0.21178895235061646, -0.12496521323919296, 0.39583343267440796, 0.5669485330581665, -0.26954054832458496, 0.45600277185440063, -0.20958749949932098, -0.32844123244285583, 0.24181175231933594, 0.04486093670129776, -0.5316445231437683, -0.05231168866157532, -0.035834137350320816, -0.6775115132331848, -0.14526405930519104, 0.32830479741096497, -0.3190464377403259, -0.04038235545158386, -0.20637165009975433, -0.17701637744903564, 0.5389196872711182, 0.12990421056747437, -0.23935304582118988, -0.5242723822593689, 0.5755943059921265, -0.12359112501144409, 0.07629565894603729, 0.015771066769957542, 0.17417104542255402, 0.01536171231418848, -0.36209920048713684, -0.041452109813690186, 0.16446733474731445, 0.1108643040060997, 0.5563917756080627, -0.46087923645973206, -0.2322012186050415, 0.30209875106811523, 0.05470755323767662, 0.14838777482509613, -0.17049680650234222, -0.06469187885522842, 0.4422455132007599, 0.774336576461792, 0.5448346138000488, -0.3859359920024872, -0.008981972001492977, 0.04961264133453369, -0.22999007999897003, 0.18017727136611938, 0.26426395773887634, 0.10925232619047165, -0.25838109850883484, -0.1589677631855011, -0.4632653295993805, 0.049157172441482544, 0.044442519545555115, -0.01785237528383732, -0.15994785726070404, -0.0886896625161171, 0.24394634366035461, -0.18503709137439728, -0.2563614249229431, -0.1704254001379013, 0.4756029546260834, 0.17465975880622864, 0.5466426014900208, 0.3067898154258728, 0.13939553499221802, -0.1857338547706604, 0.09551706165075302]"
"9","Teenage Mutant Ninja Turtles: Out of the Shadows","super-hero","https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows","[0.21106238663196564, 0.10213442146778107, 0.0711410790681839, -0.19714854657649994, -0.28788238763809204, 0.37524649500846863, 0.5931258201599121, 0.2332645058631897, 0.43055737018585205, 0.17849843204021454, 0.1954181045293808, -0.24845293164253235, -0.030478408560156822, -0.532209575176239, 0.040375880897045135, 0.11108274757862091, 0.16287316381931305, -0.3539954125881195, 0.20147687196731567, 0.26416221261024475, -0.04445569962263107, 0.3383328318595886, -0.49481257796287537, -0.3048236668109894, 0.2659989297389984, 0.26951485872268677, -0.15329094231128693, 0.09018398821353912, -0.046436697244644165, -0.23363515734672546, 0.09102625399827957, 0.4128096103668213, 0.04507254436612129, 0.04026995226740837, 0.04845508933067322, 0.05148280784487724, 0.6837584972381592, 0.3088233470916748, 0.20564958453178406, -0.07269744575023651, 0.8732045888900757, -0.5739732384681702, -0.41510728001594543, 0.27893683314323425, 0.25021183490753174, -0.24531053006649017, -0.3274862766265869, -0.49340757727622986, 0.3382900655269623, -0.15501274168491364, -0.23394392430782318, -0.6077945232391357, 0.6871098279953003, 0.01600351557135582, 0.1370738446712494, -0.6579486131668091, 0.07862429320812225, -0.01766970381140709, -0.01967109926044941, 0.31130075454711914, 0.20997260510921478, -0.4241638481616974, 0.8012215495109558, 0.013331003487110138, 0.12404143810272217, 0.17795465886592865, 0.32578161358833313, -0.490073561668396, -0.07336603105068207, 0.6247742176055908, -0.7960352301597595, 0.19086340069770813, 0.36953282356262207, -0.20826686918735504, -0.33361172676086426, 0.15362480282783508, -0.3867371380329132, 0.28670400381088257, 0.04664306342601776, -0.46573007106781006, -0.3899608552455902, -0.5247732996940613, 0.02914867363870144, -0.0524684339761734, 0.044356007128953934, 0.7198279500007629, 0.15154211223125458, -0.3295355439186096, -0.06506886333227158, 0.16860529780387878, -0.23703674972057343, 0.28977280855178833, -0.30198392271995544, 0.2974514961242676, -0.3645796775817871, -0.07060075551271439, -0.1260739266872406, -0.0069826263934373856, -0.4308124780654907, 0.3125946521759033, 0.5462833642959595, 0.13048727810382843, -0.5272353291511536, -0.058541856706142426, 0.08826909214258194, 0.9300761818885803, -0.43894609808921814, -0.19542698562145233, 0.13175663352012634, -0.5000038146972656, 0.28962242603302, -0.34257587790489197, 0.15525206923484802, 0.2734094560146332, 0.34122610092163086, -0.592581033706665, -0.059826143085956573, 0.32392996549606323, -0.12624002993106842, -0.44562339782714844, 0.03344767168164253, 0.17373059689998627, 0.036940380930900574, 0.2123182713985443, -0.06890508532524109, 0.14066091179847717, -0.2983183264732361, 0.512830913066864]"
