"id","title","label","URL","embedding"
"0","Bloodshot","super-hero","https://en.wikipedia.org/wiki/Bloodshot_(film)","[-0.1591568887233734, 0.01753082126379013, 0.06824181973934174, -0.07007067650556564, 0.6190256476402283, -0.05415380373597145, 0.06293199211359024, -0.42431315779685974, -0.1432214081287384, -0.06014012545347214, 0.07515645772218704, 0.10303404927253723, 0.4621182382106781, 0.024260519072413445, 0.26835688948631287, -0.09857536107301712, -0.515334963798523, 0.166920006275177, 0.12201429158449173, -0.4590992331504822, -0.16319239139556885, -0.4662315845489502, -0.7107335329055786, 0.7679644823074341, -0.3792445659637451, -0.45176073908805847, 0.08241893351078033, 0.16667358577251434, 0.6878138780593872, -0.16217094659805298, -0.8787569403648376, 0.07168169319629669, -0.25399163365364075, -0.2461261749267578, -0.07713625580072403, -0.3251502811908722, 0.4042354226112366, 0.5637128949165344, 0.06372399628162384, -0.014254632405936718, -0.5337253212928772, 0.1812886893749237, 0.04749520495533943, -0.1306179165840149, 0.2394361048936844, 0.21243137121200562, -0.13493067026138306, -0.3221389949321747, -0.09946335852146149, -0.23598699271678925, -0.6935189366340637, 0.050702787935733795, 0.6171375513076782, 0.3855799734592438, 0.7540151476860046, -0.03001450002193451, -0.025759149342775345, -0.275608628988266, 0.10228220373392105, 0.6569535136222839, -0.02728845179080963, -0.1849004477262497, 0.35274001955986023, -0.350558876991272, -0.3962734639644623, 0.15166103839874268, -0.4655398726463318, 0.5562576055526733, -0.7133876085281372, -0.043295565992593765, -0.050319697707891464, 0.5996444225311279, -0.3578140139579773, 0.1642308533191681, 0.04054244980216026, 0.007682332769036293, -0.16698789596557617, 0.0038165294099599123, -0.03144809603691101, -0.3834758698940277, 0.10075965523719788, 0.28572359681129456, 0.26585668325424194, -0.05292915552854538, -0.5774490237236023, 0.2139902114868164, 0.17873011529445648, 0.30228400230407715, -0.12617012858390808, 0.42901599407196045, 0.11066259443759918, 0.016452856361865997, -0.6359813809394836, -0.3714734613895416, -0.4541596472263336, -0.4715057611465454, -0.09509935230016708, 0.23788630962371826, -0.5702201128005981, -0.01840168423950672, -0.01992032304406166, -0.07945402711629868, 0.5404711365699768, -0.26366445422172546, 0.18770140409469604, 0.24544526636600494, 0.580167293548584, 0.22502464056015015, 0.20116132497787476, 0.29986581206321716, -0.061605263501405716, 0.8566751480102539, 0.4146774411201477, -0.4135788381099701, 0.16374340653419495, -0.4095858037471771, 0.2055325210094452, -0.31160151958465576, 0.4038054943084717, 0.3307083249092102, -0.2581738531589508, 0.04080086573958397, 0.04785754904150963, -0.09907186776399612, 0.003426244482398033, 0.5044074654579163, -0.09265179187059402, -0.15753747522830963]"
"1","Watchmen","super-hero","https://en.wikipedia.org/wiki/Watchmen_(film)","[0.15334855020046234, -0.042991768568754196, 0.39410126209259033, -0.3817991614341736, 0.5920640230178833, 0.07738640904426575, -0.15055997669696808, -0.23076240718364716, -0.07869061082601547, -0.11250436305999756, 0.23462584614753723, 0.12593775987625122, 0.36555132269859314, -0.32606399059295654, 0.05432535335421562, 0.16285470128059387, -0.31647682189941406, 0.5187214016914368, -0.30342182517051697, 0.34143003821372986, -0.32458874583244324, 0.2743074893951416, -0.7334346175193787, 0.6054683327674866, -0.29715728759765625, -0.5788683295249939, 0.43350329995155334, 0.6014782190322876, 0.4785822033882141, -0.13082073628902435, -0.674493670463562, -0.3854980766773224, 0.1475502848625183, -0.33309853076934814, -0.07150523364543915, 0.08835918456315994, 0.16142237186431885, 0.6247648000717163, -0.10870963335037231, -0.5943383574485779, -0.15593145787715912, -0.020178940147161484, 0.1694665253162384, 0.15288855135440826, 0.164101243019104, -0.17769433557987213, 0.09177394211292267, 0.44893699884414673, 0.14218202233314514, 0.07778457552194595, -0.17126113176345825, -0.08297470957040787, -0.2382872998714447, 0.5071533918380737, -0.24375620484352112, -0.08836003392934799, 0.16222892701625824, 0.05858919396996498, -0.20534507930278778, 0.731494665145874, -0.17629605531692505, -0.11906098574399948, 0.4038619101047516, -0.07420957833528519, -0.039020076394081116, 0.2564087212085724, -0.5430947542190552, 0.4941743314266205, -0.9089994430541992, 0.365498423576355, -0.07664679735898972, 0.008270448073744774, -0.0642300695180893, 0.6591454148292542, 0.10844554752111435, 0.2148776799440384, -0.2809837758541107, 0.10818929970264435, -0.28650885820388794, -0.1841137707233429, 0.1941591054201126, 0.05872615426778793, 0.2076866179704666, -0.20718517899513245, -0.4765509068965912, 0.12864257395267487, 0.25611305236816406, -0.34030842781066895, 0.014029322192072868, 0.4928918778896332, -0.00610801437869668, 0.6338871121406555, -0.21876050531864166, -0.11157787591218948, 0.5427836179733276, -0.2981020510196686, -0.010095066390931606, 0.10131977498531342, -0.4784735441207886, 0.08019015192985535, 0.16512951254844666, -0.37051495909690857, 0.6842287182807922, -0.3742952048778534, 0.3490324914455414, 0.03851834684610367, 0.21153655648231506, -0.2740897536277771, 0.13168670237064362, 0.48601624369621277, -0.1130160391330719, -0.04627350717782974, 0.26391276717185974, 0.2858540117740631, 0.18412195146083832, -0.3511040210723877, -0.34797990322113037, -0.21408335864543915, 0.4300305247306824, 0.46940261125564575, 0.22933422029018402, 0.14781031012535095, 0.2755730152130127, -0.005568149033933878, 0.4569854438304901, 0.30992385745048523, 0.211921826004982, -0.6293483376502991]"
"2","Superman II","super-hero","https://en.wikipedia.org/wiki/Superman_II","[0.3249050974845886, -0.3908265233039856, 0.6414991617202759, -0.03264143317937851, 0.3639884293079376, 0.33591246604919434, 0.14024017751216888, -0.37009695172309875, -0.07501894980669022, -0.09112296253442764, -0.03788888081908226, 0.6211916208267212, 0.09244007617235184, -0.27637869119644165, 0.34629905223846436, -0.2933453619480133, -0.19599340856075287, 0.48540639877319336, -0.4080057740211487, 0.4223974645137787, -0.3130938410758972, -0.2889716625213623, -0.6540628671646118, 0.2646222412586212, -0.7169712781906128, -0.2624489665031433, 0.32935476303100586, 0.6469177603721619, -0.02591225504875183, -0.27122029662132263, -0.3155014216899872, -0.32519981265068054, -0.22732214629650116, -0.5767461657524109, 0.054420072585344315, 0.10225587338209152, 0.2589786946773529, 0.457278847694397, 0.4262726604938507, -0.14767765998840332, -0.571264386177063, 0.20790231227874756, 0.5175613760948181, -0.013988531194627285, 0.4222085773944855, -0.07501854747533798, -0.003618209157139063, 0.2640076279640198, 0.07621512562036514, -0.20588798820972443, -0.10950826108455658, 0.048573579639196396, 0.4561117887496948, 0.5313563346862793, 0.7040846943855286, -0.3247705101966858, -0.020814301446080208, -0.2317592352628708, 0.12086332589387894, 0.28963080048561096, 0.17604310810565948, -0.1198316439986229, 0.39896273612976074, 0.3461180627346039, 0.31446343660354614, 0.3933151364326477, -0.30730023980140686, 0.1364668905735016, -0.8572996854782104, 0.019039684906601906, -0.3281426727771759, 0.4837282598018646, -0.23130103945732117, 0.13422302901744843, 0.7031369209289551, 0.01677776873111725, 0.15005286037921906, 0.07007571309804916, -0.1372428834438324, -0.2034907341003418, 0.7939547896385193, -0.4949893355369568, -0.39985185861587524, -0.3855915069580078, -0.20461151003837585, -0.022860752418637276, 0.40428072214126587, -0.11601610481739044, 0.15993580222129822, 0.009842338040471077, 0.6464927792549133, 0.11746235191822052, -0.05375194177031517, -0.4241996705532074, -0.08920601010322571, -0.3436873257160187, -0.3149416744709015, 0.05567815527319908, -0.7904327511787415, -0.391907274723053, 0.09663070738315582, -0.17424024641513824, 0.536705732345581, -0.20014849305152893, 0.22225160896778107, 0.5884190797805786, 0.39222609996795654, -0.18255290389060974, 0.31244534254074097, 0.15204524993896484, -0.008369220420718193, 0.34254905581474304, -0.3544355034828186, 0.5196924209594727, 0.14906151592731476, -0.286370187997818, -0.05741352215409279, -0.19775812327861786, 0.7394787669181824, 0.27968630194664, 0.15905722975730896, 0.19586560130119324, -0.2867134213447571, -0.020676389336586, 0.24260732531547546, 0.4779084622859955, -0.16232465207576752, -0.026887968182563782]"
"3","Birds of Prey (And the Fantabulous Emancipation…","super-hero","https://en.wikipedia.org/wiki/Birds_of_Prey_(2020_film)","[-0.15358184278011322, 0.1878850758075714, 0.06097075715661049, -0.8228243589401245, -0.024965107440948486, 0.08424670994281769, 0.22848671674728394, 0.11965803802013397, -0.005506256595253944, 0.04834854602813721, 0.29528748989105225, 0.623266875743866, 0.031036844477057457, -0.07627537101507187, 0.14063511788845062, 0.1280061900615692, -0.17751532793045044, 0.8384448885917664, -0.2830207049846649, 0.4003772735595703, -0.24862034618854523, -0.4085574746131897, -0.8185909986495972, 0.6180409789085388, -0.09669377654790878, -0.4677865207195282, 0.12462092936038971, 0.41425821185112, 0.28214994072914124, 0.10416603088378906, -0.786098062992096, -0.2741912603378296, 0.13027113676071167, -0.22803056240081787, 0.10707302391529083, -0.4061630666255951, -0.2708779275417328, 0.13466981053352356, -0.5033760070800781, -0.07622732222080231, -0.051532771438360214, 0.07793863862752914, -0.23288513720035553, -0.09150035679340363, 0.7079030871391296, 0.41107186675071716, -0.22749172151088715, 0.42488858103752136, -0.08888086676597595, -0.1601191610097885, -0.6619389057159424, -0.20522430539131165, 0.25837957859039307, 0.43344277143478394, 0.6048506498336792, -0.04995180666446686, 0.09023192524909973, -0.3531043231487274, 0.14810563623905182, 0.16211797297000885, -0.03045051358640194, 0.09504584968090057, 0.12247243523597717, 0.3862254321575165, 0.1110151931643486, 0.2591460049152374, -0.39934471249580383, 0.6275737285614014, -0.4024445712566376, 0.23588836193084717, 0.044928986579179764, 0.5158610343933105, 0.2999316453933716, -0.10899404436349869, 0.44709667563438416, 0.276716411113739, -0.12852494418621063, -0.4405956268310547, -0.10849954187870026, -0.10183460265398026, 0.21061375737190247, 0.0144917331635952, -0.1590176224708557, -0.007194731384515762, -0.37675777077674866, 0.12120722234249115, 0.25880664587020874, -0.13313822448253632, -0.03281445428729057, 0.6753340363502502, 0.4252081513404846, 0.26398804783821106, -0.3252331018447876, -0.45203328132629395, 0.5393663048744202, -0.4799448549747467, -0.2453196495771408, -0.13063912093639374, -0.01669672504067421, -0.5716983079910278, -0.4139259159564972, -0.5753940343856812, 0.36486732959747314, -0.19596265256404877, 0.3013532757759094, 0.22536884248256683, 0.22649957239627838, -0.16946817934513092, 0.22372357547283173, 0.11694034188985825, 0.15630847215652466, 0.3328465223312378, 0.27794572710990906, 0.08719407767057419, 0.03586779907345772, -0.5595033168792725, 0.4784512519836426, 0.3844000995159149, 0.487897127866745, -0.04215335100889206, -0.2456250786781311, 0.04520158842206001, 0.3492579162120819, 0.2852306067943573, 0.4212881922721863, 0.35030627250671387, -0.33687958121299744, -0.23964248597621918]"
"4","Green Lantern","super-hero","https://en.wikipedia.org/wiki/Green_Lantern_(film)","[-0.2993561625480652, 0.2938873767852783, 0.023594776168465614, -0.6321942210197449, 0.39513519406318665, 0.1672624796628952, -0.15812774002552032, -0.2811875641345978, -0.08154047280550003, -0.2793722152709961, -0.01989675685763359, 0.5760826468467712, 0.4412580728530884, 0.1088758260011673, 0.23029734194278717, -0.2238149493932724, 0.13759629428386688, 0.6612038016319275, -0.17891953885555267, 0.19579853117465973, -0.48324182629585266, 0.01618020050227642, -0.742190420627594, 0.4754747450351715, -0.6795216202735901, -0.551978588104248, 0.07347091287374496, 0.4105989634990692, 0.6189979910850525, -0.14573189616203308, -0.2947581708431244, -0.3611845076084137, 0.15071460604667664, -0.4233897924423218, 0.2760899066925049, 0.16506744921207428, 0.057116441428661346, 0.5581749677658081, -0.1705143004655838, -0.08414715528488159, -0.23170584440231323, 0.10767511278390884, 0.06210896745324135, 0.03745365887880325, 0.680948793888092, 0.052442196756601334, 0.22047045826911926, 0.1548657864332199, -0.111845962703228, -0.003338310867547989, -0.4836834669113159, -0.16995325684547424, 0.3256012201309204, 0.22220559418201447, 0.7643406987190247, -0.2193657010793686, 0.32905861735343933, -0.6862236857414246, -0.011714165098965168, 0.20942160487174988, 0.08290458470582962, -0.09585404396057129, 0.44228678941726685, 0.049502141773700714, -0.07471705228090286, 0.1593584269285202, -0.9493083953857422, 0.34613627195358276, -0.6400246024131775, 0.46873316168785095, -0.01822979748249054, 0.2441532462835312, -0.6272209286689758, 0.666110098361969, 0.4565657675266266, 0.1812591254711151, 0.010945453308522701, 0.015698503702878952, -0.13391819596290588, -0.09880160540342331, 0.6103615760803223, 0.3677794635295868, -0.3879760503768921, -0.22624212503433228, -0.3652889132499695, -0.23417001962661743, -0.2208297848701477, -0.3281249403953552, 0.14788199961185455, 0.2546210289001465, 0.3673534691333771, 0.05844293162226677, 0.0772782415151596, -0.47532451152801514, -0.0037693919148296118, -0.3561738431453705, -0.14584051072597504, 0.36249494552612305, -0.3323809802532196, -0.8380362391471863, 0.032266683876514435, 0.019461609423160553, 0.7801594734191895, -0.2519444525241852, 0.18568086624145508, 0.30539336800575256, 0.18647602200508118, 0.1887127161026001, 0.19553308188915253, 0.04802495986223221, 0.3369612693786621, 0.1824955940246582, 0.08875555545091629, 0.3001319468021393, -0.14116869866847992, -0.22668799757957458, 0.014170580543577671, 0.09654002636671066, 0.2110951542854309, -0.02319614589214325, -0.05921533331274986, 0.02077149972319603, 0.18258115649223328, 0.353014200925827, 0.6344912052154541, 0.2570471465587616, 0.1314823031425476, -0.027249230071902275]"
"5","The Green Hornet","super-hero","https://en.wikipedia.org/wiki/The_Green_Hornet_(2011_film)","[-0.412262886762619, 0.5592949986457825, 0.34238219261169434, -0.4842328131198883, 0.3264494240283966, 0.24779024720191956, -0.2883933186531067, -0.33563780784606934, 0.19912637770175934, -0.0877842903137207, -0.32381120324134827, -0.6056878566741943, 0.5160485506057739, -0.101531982421875, 0.49350449442863464, -0.10904103517532349, -0.052454132586717606, -0.24241994321346283, 0.08061877638101578, 0.40710529685020447, -0.2529781460762024, -0.3855115473270416, -1.1798677444458008, 0.9584195613861084, -0.2440224289894104, -0.14623841643333435, -0.35767456889152527, -0.03387067839503288, 0.5414050817489624, -0.278690367937088, -0.5148618817329407, 0.1481093019247055, -0.3099401593208313, 0.060864392668008804, -0.2329484522342682, -0.3733616769313812, -0.14293964207172394, 0.14822180569171906, 0.5830109119415283, 0.30012181401252747, -0.44618672132492065, 0.03574486821889877, 0.025966467335820198, -0.12189020216464996, 0.6253809928894043, -0.2656244933605194, -0.41425821185112, 0.3419843018054962, 0.42544257640838623, 0.18678617477416992, -0.3516359031200409, 0.1988627165555954, 0.19374381005764008, 0.20002052187919617, 0.4313544034957886, -0.2448723316192627, 0.08569338172674179, -0.3506546914577484, -0.38099244236946106, 0.28063586354255676, 0.015952657908201218, 0.7306153178215027, 0.40417981147766113, -0.5826461315155029, -0.14673884212970734, 0.21086318790912628, -0.7249670624732971, 0.6940521597862244, -0.6783604621887207, 0.3534911274909973, 0.11318555474281311, -0.07497625797986984, 0.21928416192531586, -0.3642062246799469, -0.6743231415748596, 0.05348395183682442, -0.13298103213310242, -0.14215809106826782, -0.40437445044517517, -0.021439652889966965, -0.00693534966558218, -0.28104710578918457, -0.058409433811903, 0.07650745660066605, -0.4047240912914276, 0.2531399130821228, 0.055026572197675705, 0.03408887982368469, 0.24309590458869934, -0.12234202027320862, 0.18462300300598145, -0.4842384159564972, -0.33077919483184814, -0.027105923742055893, -0.6189243793487549, -0.4847343862056732, -0.30186349153518677, -0.19711464643478394, -0.4041162133216858, -0.8017768859863281, 0.33065229654312134, -0.29633307456970215, 1.1478298902511597, 0.2941732108592987, 0.13851945102214813, 0.17005033791065216, 0.24662423133850098, -0.29674044251441956, 0.5323514342308044, 0.7411993145942688, -0.22522006928920746, 0.39733657240867615, -0.7378195524215698, -0.23804932832717896, -0.28038033843040466, -0.3928595781326294, 0.42046573758125305, -0.255057156085968, 0.3296845853328705, -0.005868098698556423, -0.024435579776763916, 0.45244503021240234, -0.04111858829855919, -0.1905919462442398, 0.486568421125412, 0.206250861287117, 0.3908822238445282, 0.04731574282050133]"
"6","Ghost Rider","super-hero","https://en.wikipedia.org/wiki/Ghost_Rider_(2007_film)","[-0.6278459429740906, 0.4054986834526062, 0.141850084066391, -0.21582567691802979, 0.28524747490882874, 0.24163863062858582, 0.1681172102689743, 0.06453990191221237, -0.5130848288536072, -0.02653500624001026, 0.022054167464375496, 0.0949089303612709, 0.19519753754138947, 0.27534252405166626, 0.11624442040920258, 0.3751813769340515, -0.4218226671218872, 0.28377997875213623, -0.05077748000621796, -0.002114319009706378, -0.012965936213731766, -0.36771970987319946, -0.5296434164047241, 0.9842687845230103, -0.04159482941031456, -0.03536020219326019, -0.2728455364704132, 0.13017411530017853, 0.3027474880218506, -0.4472828507423401, -0.4127291440963745, -0.12165471911430359, -0.2667645215988159, -0.2922597825527191, -0.15976478159427643, -0.3372657895088196, -0.13761956989765167, 0.5870593190193176, -0.03047126904129982, -0.0912526473402977, -0.0830668956041336, -0.02564021572470665, 0.15836799144744873, -0.16787900030612946, 0.28605085611343384, 0.17603415250778198, -0.2559114098548889, -0.4718277156352997, -0.14081916213035583, -0.4109112620353699, -0.4770912826061249, 0.20355801284313202, 0.4320911765098572, -0.21444110572338104, 0.36100006103515625, -0.3507230579853058, -0.047952428460121155, -0.3069109618663788, -0.16214796900749207, 0.31637752056121826, 0.02935204654932022, 0.05405490845441818, 0.6711454391479492, 0.01662963442504406, -0.18637990951538086, -0.04720771685242653, 0.18570983409881592, 0.11649791151285172, -0.4897686839103699, 0.035493191331624985, -0.21107207238674164, 0.5131468176841736, -0.7451857328414917, -0.07449743896722794, 0.27127134799957275, -0.06215287744998932, -0.14764584600925446, -0.3305742144584656, 0.20602799952030182, -0.07350743561983109, 0.4612070620059967, -0.06692028790712357, -0.2636035680770874, 0.15947988629341125, 0.31469011306762695, 0.41158777475357056, -0.26710718870162964, -0.1564469039440155, 0.48887982964515686, 0.13770920038223267, -0.06722074747085571, 0.40139779448509216, 0.2120984047651291, -0.6066706776618958, -0.36903074383735657, -0.07006937265396118, -0.5225580334663391, 0.12510459125041962, -0.295416921377182, 0.007732229772955179, -0.1061963215470314, -0.2644774317741394, 0.7228061556816101, -0.09953073412179947, 0.12241125106811523, 0.11550327390432358, 0.4630810022354126, -0.05234856903553009, 0.6695818305015564, -0.1337052434682846, 0.15861456096172333, 0.6077392101287842, 0.21615207195281982, 0.49726778268814087, 0.03284904733300209, -0.6767880916595459, 0.2355697751045227, -0.31253883242607117, 0.6000728011131287, -0.2760798931121826, -0.06464595347642899, -0.07553647458553314, -0.16859309375286102, 0.2959356904029846, 0.3310593366622925, 0.17787009477615356, -0.06393773853778839, 0.2977314889431]"
"7","Batman & Robin","super-hero","https://en.wikipedia.org/wiki/Batman_%26_Robin_(film)","[-0.003467769594863057, -0.3504728078842163, 0.20949509739875793, -0.5239221453666687, 0.4207766652107239, 0.16077886521816254, 0.13017725944519043, -0.15458248555660248, -0.013138917274773121, -0.32894429564476013, 0.11567190289497375, 0.3940978944301605, 0.3964857757091522, -0.05713867396116257, 0.2465723156929016, -0.12332425266504288, -0.07150273025035858, 0.6487160921096802, -0.41544249653816223, 0.2262367159128189, -0.121421217918396, -0.07531408220529556, -0.6154868602752686, 0.47198161482810974, -0.4807441532611847, -0.34844955801963806, 0.07688210159540176, 0.4894159436225891, 0.2755827307701111, -0.19218800961971283, -0.28814759850502014, -0.12237183749675751, -0.08083676546812057, -0.07629291713237762, -0.019181137904524803, -0.2739723324775696, -0.05313100293278694, 0.8397637605667114, 0.021575331687927246, -0.21296775341033936, -0.37790346145629883, 0.17174772918224335, 0.2988429069519043, -0.23002351820468903, 0.6404153108596802, 0.15173764526844025, 0.01400020532310009, 0.3290957808494568, -0.355944961309433, -0.2456943839788437, -0.4935002624988556, 0.02289823442697525, 0.204226553440094, 0.3982070982456207, 0.6366204619407654, -0.2555525302886963, 0.29298681020736694, -0.38619545102119446, 0.16846121847629547, -0.1632460206747055, -0.19860288500785828, -0.1406434327363968, 0.4812755286693573, 0.08079536259174347, 0.08312447369098663, 0.298092782497406, -0.7668576240539551, 0.37071481347084045, -0.7469935417175293, 0.17053261399269104, 0.19444525241851807, 0.6015531420707703, -0.12046702206134796, 0.24431660771369934, 0.30570536851882935, 0.046166952699422836, -0.21337801218032837, 0.05148182809352875, 0.307067334651947, -0.028450651094317436, 0.6810563206672668, 0.20754103362560272, 0.2454218864440918, -0.02699674665927887, -0.20329399406909943, 0.13055916130542755, 0.09139814227819443, -0.23573683202266693, -0.23774521052837372, 0.40043944120407104, 0.1586645096540451, 0.6285680532455444, -0.000919163750950247, -0.12197286635637283, 0.17818354070186615, -0.018375933170318604, -0.3164641857147217, -0.08943919092416763, -0.5541517734527588, -0.5913284420967102, -0.017286399379372597, -0.0867362767457962, 0.4477505087852478, 0.03787253424525261, 0.43137285113334656, 0.09743648022413254, 0.23485685884952545, 0.11431343108415604, 0.14920713007450104, 0.301310658454895, 0.19370384514331818, 0.30444857478141785, -0.1707853525876999, 0.09707524627447128, 0.10458654910326004, -0.07970855385065079, 0.2591841518878937, -0.20738475024700165, 0.4963817596435547, 0.13046549260616302, 0.035578615963459015, -0.08128084242343903, 0.37162432074546814, -0.14130167663097382, 0.29449233412742615, 0.23346412181854248, 0.03758998215198517, -0.0819055438041687]"
"8","Hulk","super-hero","https://en.wikipedia.org/wiki/Hulk_(film)","[-0.04523281008005142, 0.017362462356686592, -0.31126371026039124, -0.06865130364894867, 0.13660866022109985, -0.0638478696346283, 0.36834365129470825, 0.3041631579399109, -0.18876126408576965, 0.1730974018573761, -0.03487766534090042, 0.2668921649456024, -0.2889472246170044, 0.4583354890346527, -0.09248305857181549, -0.061916716396808624, -0.5814662575721741, 0.11896376311779022, 0.47790539264678955, 0.32703885436058044, -0.3458383083343506, -0.08589784801006317, -0.5140480399131775, 0.5494305491447449, -0.2753468453884125, -0.6025791168212891, -0.04018324613571167, 0.2895292341709137, 0.3728514611721039, -0.18744437396526337, 0.007226652931421995, 0.16902537643909454, -0.64692223072052, 0.0004400501202326268, 0.04019937291741371, 0.33105918765068054, 0.3981165587902069, 0.2262875884771347, 0.02700583077967167, 0.28866732120513916, -0.10966940969228745, 0.08449903875589371, 0.20089203119277954, 0.18338602781295776, 0.10623735934495926, 0.6540899872779846, 0.0733276978135109, -0.4024188816547394, -0.41968247294425964, 0.10840226709842682, 0.025554906576871872, 0.3214854598045349, -0.31769058108329773, 0.21091236174106598, 0.7296953201293945, -0.39459332823753357, 0.026791423559188843, -0.10572616755962372, -0.03639376908540726, 0.3992953598499298, -0.07606678456068039, 0.03909724950790405, 0.32614120841026306, -0.04095025733113289, -0.19736385345458984, -0.1191571056842804, -0.13099481165409088, 0.31398963928222656, -0.483022004365921, 0.4994604289531708, -0.24776899814605713, 0.7070420384407043, -0.24989482760429382, 0.1501835286617279, -0.022993098944425583, -0.34661751985549927, -0.22251763939857483, -0.09337212145328522, 0.4435817301273346, 0.03329376503825188, 0.32461145520210266, 0.0031661386601626873, 0.13614128530025482, -0.05021299421787262, -0.2374049723148346, 0.17286910116672516, -0.2666940987110138, 0.19094108045101166, 0.5229026079177856, 0.8302006721496582, -0.2361389845609665, 0.2509734034538269, -0.14075328409671783, -0.11440064013004303, 0.12488499283790588, -0.6978752613067627, -0.2737811505794525, -0.45406055450439453, -0.06757849454879761, -0.47640299797058105, 0.07152274250984192, -0.11775530129671097, 0.8757769465446472, 0.35763511061668396, 0.16531844437122345, -0.07263672351837158, 0.30339571833610535, -0.19371545314788818, -0.004966437350958586, 0.24322596192359924, -0.3346327245235443, 0.6479839086532593, 0.23167844116687775, 0.10105422884225845, -0.04043956100940704, -0.5326933860778809, 0.6749993562698364, -0.42696821689605713, 0.4221632480621338, 0.1327793449163437, 0.047722283750772476, 0.07572320103645325, 0.29555946588516235, 0.39491981267929077, 0.37893837690353394, -0.023785745725035667, 0.13819000124931335, -0.25292497873306274]"
"9","Teenage Mutant Ninja Turtles: Out of the Shadows","super-hero","https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows","[-0.32844799757003784, -0.10007691383361816, 0.16363473236560822, -0.18984559178352356, 0.3780520260334015, 0.09977900981903076, 0.5901456475257874, -0.23297378420829773, -0.4255425035953522, 0.14748553931713104, 0.20528769493103027, 0.39896926283836365, 0.3726145327091217, 0.328586608171463, 0.5653806328773499, 0.23143604397773743, -0.23567861318588257, 0.44215622544288635, 0.16720594465732574, -0.06458384543657303, -0.3593560457229614, -0.458069771528244, -0.5551010370254517, 0.18258914351463318, 0.08542636781930923, -0.11592114716768265, 0.5379744172096252, 0.2917405664920807, 0.32787010073661804, -0.24385258555412292, -0.3992103636264801, -0.8557596802711487, 0.13524788618087769, -0.5152876377105713, 0.2660558819770813, 0.27338582277297974, 0.03085421584546566, 0.39686617255210876, -0.20780442655086517, -0.05348062142729759, -0.021940218284726143, -0.09294800460338593, 0.3579062223434448, 0.0966913253068924, 1.0073521137237549, 0.3489927649497986, -0.6550285220146179, 0.2196757048368454, -0.30518728494644165, 0.23875971138477325, -0.14295314252376556, -0.1778981238603592, 0.11027806997299194, 0.31997787952423096, 0.5813598036766052, -0.373117595911026, -0.41843080520629883, 0.19136613607406616, 0.1213361993432045, 0.5072994232177734, 0.01528986357152462, 0.08067988604307175, 0.5306219458580017, -0.13514311611652374, -0.1554677039384842, 0.12372677028179169, -0.22745634615421295, 0.0004653502837754786, -0.3829942047595978, 0.2540924847126007, -0.3727114498615265, 0.3375048339366913, -0.3661443889141083, 0.5009898543357849, -0.2453080266714096, -0.002802948234602809, -0.065534308552742, 0.35987046360969543, -0.06669596582651138, -0.38439109921455383, -0.06998594850301743, -0.029502417892217636, -0.33610981702804565, 0.12420916557312012, -0.3521982729434967, 0.2957601249217987, -0.36098966002464294, 0.006286489777266979, -0.0592542365193367, 0.2406548410654068, 0.47804999351501465, 0.1018858402967453, -0.164055734872818, -0.006453958339989185, 0.06595683842897415, -0.23787015676498413, 0.36226341128349304, 0.14808480441570282, 0.14231698215007782, -0.15430793166160583, -0.20198792219161987, -0.424495667219162, 0.5971639156341553, 0.4369598627090454, 0.46028926968574524, 0.5812579393386841, 0.36165493726730347, -0.20182019472122192, 0.548225462436676, 0.5540613532066345, -0.03417664393782616, 0.6873224377632141, 0.15201812982559204, 0.2183433473110199, 0.38091152906417847, -0.10226649045944214, 0.2509970963001251, -0.2521156966686249, 0.7752478122711182, -0.04579491913318634, 0.005322583019733429, -0.07763952761888504, -0.07134296000003815, 0.002144168596714735, 0.24145616590976715, 0.20430320501327515, -0.7160336971282959, 0.5382211804389954]"
