"id","title","label","URL","embedding"
"0","Bloodshot","super-hero","https://en.wikipedia.org/wiki/Bloodshot_(film)","[0.2753945  0.02390916 0.08704145 0.53342676 0.         0.
 0.54071677 0.0960573  0.48380667 0.29719976 0.45698258 0.37518975
 0.42317936 0.3270503  0.32033706 0.47287932 0.3806033  0.19346485
 0.32262644 0.45724547 0.40698376 0.2929269  0.         0.36315566
 0.09452169 0.51117265 0.         0.         0.         0.00259114
 0.5214393  0.3470291  0.         0.31228045 0.         0.
 0.2897921  0.37293372 0.         0.         0.         0.08202742
 0.         0.25633416 0.09511265 0.         0.49759087 0.
 0.46339872 0.36020082 0.         0.         0.00132935 0.30150956
 0.4702406  0.09945511 0.         0.04546431 0.3705508  0.
 0.03137764 0.08020449 0.32620898 0.5151454  0.42371023 0.4991255
 0.20629449 0.568833   0.35722628 0.         0.49240634 0.33216763
 0.2928628  0.2705359  0.         0.00364261 0.14933187 0.46451724
 0.3331174  0.         0.2692008  0.         0.07833682 0.48271003
 0.41195717 0.42688477 0.46629086 0.4613149  0.2458005  0.
 0.25830242 0.35194743 0.22731653 0.         0.43228984 0.
 0.23386467 0.13669504 0.         0.29019883 0.45736563 0.5356464
 0.32992047 0.00350861 0.47786647 0.40200305 0.         0.
 0.28984535 0.         0.1510388  0.16196062 0.43953568 0.12442873
 0.08435992 0.39758238 0.06457043 0.22049217 0.30206943 0.26331338
 0.39764473 0.3875735  0.31942332 0.09166561 0.16003187 0.48102927
 0.         0.08000763]"
"1","Watchmen","super-hero","https://en.wikipedia.org/wiki/Watchmen_(film)","[3.3125602e-02 7.6905215e-01 0.0000000e+00 0.0000000e+00 1.0532070e-01
 0.0000000e+00 4.0721536e-01 6.1544138e-01 5.2582449e-01 0.0000000e+00
 6.4742434e-01 2.7029401e-01 4.0703017e-01 0.0000000e+00 0.0000000e+00
 0.0000000e+00 5.3275090e-01 3.6631227e-01 6.9868821e-01 3.5966296e-02
 6.3773608e-01 1.5887889e-01 5.7819515e-01 0.0000000e+00 0.0000000e+00
 4.1856852e-01 4.9023479e-01 4.4553325e-01 0.0000000e+00 1.0998327e-01
 6.2701142e-01 5.0076425e-01 1.7624921e-01 0.0000000e+00 7.9548836e-02
 4.8446780e-01 6.9480687e-01 0.0000000e+00 2.6842469e-01 2.0791750e-01
 3.4518996e-01 2.5889581e-01 3.4131177e-02 1.5736490e-02 6.8258375e-01
 1.6980581e-02 4.8045227e-01 7.5590426e-01 1.4493945e-01 2.4268305e-01
 4.9993128e-01 2.5714368e-02 1.2238920e-02 5.8637387e-01 0.0000000e+00
 5.6962550e-01 5.0905353e-01 5.8333200e-01 5.4245442e-01 5.2431852e-02
 3.0139437e-01 1.0502838e-02 2.2094187e-01 2.3577842e-01 6.9310421e-01
 6.1104935e-01 1.7553790e-01 3.4980468e-02 7.8610575e-01 2.4162814e-02
 2.5959793e-01 0.0000000e+00 0.0000000e+00 8.8360004e-02 1.4549702e-02
 2.4446386e-01 9.0198688e-02 6.1322701e-01 0.0000000e+00 7.7188283e-02
 6.1340457e-01 0.0000000e+00 1.8567462e-01 5.8168596e-01 6.9425333e-01
 3.3695960e-01 7.5723338e-01 0.0000000e+00 6.3554740e-01 2.7729511e-01
 7.6174074e-01 5.2189149e-02 5.5490732e-01 4.5246631e-04 6.4255905e-01
 0.0000000e+00 4.2194501e-03 6.0851276e-01 8.2253367e-03 5.0743419e-01
 6.2005186e-01 3.2382384e-03 1.8534496e-01 1.2668538e-01 2.9901713e-01
 4.3016171e-01 6.6882998e-01 4.6981461e-02 5.2853417e-01 1.0930674e-01
 6.0116863e-01 5.0867069e-01 0.0000000e+00 6.8225157e-01 0.0000000e+00
 2.8606564e-01 0.0000000e+00 0.0000000e+00 5.1526749e-01 3.9402905e-01
 2.6909000e-01 2.3951089e-01 2.7210739e-01 0.0000000e+00 3.9307141e-01
 6.4480484e-01 5.3266907e-01 1.7677523e-01]"
"2","Superman II","super-hero","https://en.wikipedia.org/wiki/Superman_II","[0.00493839 0.3236694  0.19432324 0.09019996 0.29305872 0.21376401
 0.45248997 0.24266894 0.         0.0600115  0.2997772  0.
 0.06099769 0.         0.36000255 0.01279815 0.37153625 0.09726545
 0.38065714 0.32396495 0.30649248 0.         0.         0.
 0.263552   0.351517   0.4313586  0.         0.42730343 0.03561358
 0.40338936 0.         0.14117259 0.38419572 0.32684332 0.22196601
 0.283485   0.         0.34838924 0.25827625 0.46081102 0.00052503
 0.         0.00831999 0.319059   0.         0.3930953  0.40190908
 0.483874   0.46891254 0.09423691 0.19262916 0.09971426 0.
 0.         0.38682553 0.         0.4263344  0.3892221  0.40699506
 0.         0.02877739 0.         0.13215446 0.135545   0.3939617
 0.22810428 0.4367823  0.         0.4363258  0.         0.1614294
 0.         0.19700763 0.15932795 0.37256482 0.42700398 0.
 0.00305329 0.         0.39523113 0.         0.         0.
 0.383907   0.4083346  0.3966063  0.36935467 0.34437212 0.
 0.         0.         0.25613245 0.         0.         0.00326158
 0.3626254  0.3961438  0.         0.14056522 0.3618833  0.32259488
 0.39059705 0.14514339 0.10686484 0.         0.28348964 0.47562766
 0.44471875 0.         0.37011445 0.38750556 0.3999323  0.3534217
 0.26943094 0.02548455 0.36270604 0.         0.12710808 0.46403927
 0.         0.         0.46985394 0.         0.         0.
 0.26811147 0.        ]"
"3","Birds of Prey (And the Fantabulous Emancipation…","super-hero","https://en.wikipedia.org/wiki/Birds_of_Prey_(2020_film)","[3.80213201e-01 3.86729091e-01 0.00000000e+00 1.19321026e-01
 0.00000000e+00 1.79477036e-03 2.73805499e-01 3.49713355e-01
 4.88346159e-01 7.98677951e-02 3.89831543e-01 3.12877446e-03
 3.93752009e-01 3.10568660e-01 2.90711313e-01 2.80779839e-01
 2.36418068e-01 1.90501034e-01 3.53427917e-01 2.13919804e-01
 3.18440408e-01 2.07259879e-01 1.78081840e-01 7.64950886e-02
 3.44212323e-01 3.41003478e-01 3.28347713e-01 7.85103887e-02
 2.80981213e-02 4.54789102e-02 3.62651110e-01 5.02774060e-01
 5.08669205e-02 3.41966569e-01 0.00000000e+00 1.82160720e-01
 3.86653066e-01 4.04171467e-01 3.09191465e-01 2.44639158e-01
 2.74047256e-04 3.47871542e-01 2.77528942e-01 0.00000000e+00
 4.05507535e-01 0.00000000e+00 3.42370957e-01 3.04842293e-01
 2.57811695e-03 1.85958207e-01 2.85990179e-01 2.17349082e-03
 1.33093700e-01 1.26826301e-01 3.66010696e-01 3.78139198e-01
 2.27015823e-01 1.80503249e-01 2.51821756e-01 0.00000000e+00
 2.95113564e-01 2.98196897e-02 2.83847272e-01 7.61659443e-02
 4.57895458e-01 3.06567967e-01 2.37638444e-01 4.27524686e-01
 4.21906143e-01 3.26049417e-01 1.75480306e-01 7.56406263e-02
 2.25846946e-01 3.46387684e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 4.14758742e-01 3.21675241e-01 3.71143699e-01
 2.94128060e-01 4.36336920e-02 1.34925902e-01 3.44704956e-01
 3.41451734e-01 2.90375352e-01 3.76918405e-01 3.17688823e-01
 4.24171776e-01 1.51266962e-01 4.26526129e-01 6.06130064e-02
 4.10144389e-01 1.28857777e-01 4.10467803e-01 2.61799097e-01
 3.02809834e-01 1.96343631e-01 3.11674923e-02 1.42460272e-01
 3.73736233e-01 2.45016322e-01 3.58796865e-01 0.00000000e+00
 3.94294739e-01 4.09152031e-01 3.76509666e-01 7.15217590e-02
 3.58631104e-01 3.56774688e-01 3.45019519e-01 2.79161304e-01
 3.66747081e-01 2.11872250e-01 5.75754791e-03 0.00000000e+00
 1.85004711e-01 0.00000000e+00 2.18558222e-01 3.95694911e-01
 3.22125673e-01 3.88681650e-01 2.39308923e-02 3.01611722e-01
 3.20993930e-01 3.70294929e-01 3.95227194e-01 3.90970767e-01]"
"4","Green Lantern","super-hero","https://en.wikipedia.org/wiki/Green_Lantern_(film)","[1.61345840e-01 4.85985219e-01 0.00000000e+00 1.85673818e-01
 2.10556656e-01 0.00000000e+00 4.00147378e-01 4.09552544e-01
 2.24465638e-01 1.69175804e-01 4.41781193e-01 1.26944095e-01
 4.15509254e-01 4.18899924e-01 3.59882772e-01 3.69100943e-02
 4.26231712e-01 2.01882452e-01 4.27073509e-01 9.19635966e-02
 2.31883198e-01 2.27196515e-02 0.00000000e+00 0.00000000e+00
 4.70724612e-01 4.28430766e-01 3.42673689e-01 3.34082723e-01
 3.05512995e-02 5.03830239e-02 3.79001200e-01 4.37891185e-01
 1.57599181e-01 2.48664975e-01 7.96802342e-04 3.53236914e-01
 3.95410717e-01 2.86073565e-01 1.28678456e-02 0.00000000e+00
 1.60333738e-02 1.28664583e-01 0.00000000e+00 0.00000000e+00
 4.12450373e-01 0.00000000e+00 4.04510915e-01 3.49165887e-01
 8.37439895e-02 1.36278704e-01 1.55418664e-01 7.03293979e-02
 1.04941428e-03 1.02720618e-01 3.35034370e-01 3.87514800e-01
 2.70440072e-01 2.81151056e-01 3.18082064e-01 1.38476118e-02
 3.89767408e-01 5.17904013e-03 1.15118399e-02 2.71443725e-01
 4.71821785e-01 4.90002692e-01 2.81347454e-01 4.58911687e-01
 4.86178935e-01 4.07425791e-01 0.00000000e+00 0.00000000e+00
 1.83172375e-02 3.28939289e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 3.64432335e-01 8.30809996e-02 2.01844692e-01
 4.89495337e-01 0.00000000e+00 2.56538808e-01 4.65168059e-01
 2.39130557e-01 3.38809848e-01 4.16447282e-01 4.51610506e-01
 3.82658452e-01 0.00000000e+00 4.23926711e-01 0.00000000e+00
 4.28690732e-01 1.47803187e-01 2.83316314e-01 0.00000000e+00
 3.92151803e-01 3.26830894e-01 0.00000000e+00 3.50508600e-01
 4.34292883e-01 1.86506987e-01 4.36669052e-01 0.00000000e+00
 2.45426387e-01 3.26076075e-02 4.70648229e-01 3.60899866e-02
 3.46207142e-01 1.78293467e-01 4.45465446e-01 2.65359670e-01
 4.47932929e-01 4.17762846e-01 2.66194344e-04 0.00000000e+00
 8.77671763e-02 0.00000000e+00 1.80785984e-01 3.83312315e-01
 1.32115915e-01 2.40041643e-01 3.89168143e-01 7.69317150e-04
 1.24424718e-01 4.99359965e-01 1.05922125e-01 3.37632418e-01]"
"5","The Green Hornet","super-hero","https://en.wikipedia.org/wiki/The_Green_Hornet_(2011_film)","[5.19647300e-01 2.39814162e-01 4.67271298e-01 6.55597299e-02
 2.16712803e-01 0.00000000e+00 4.53283548e-01 3.14625889e-01
 3.83624464e-01 4.52118963e-01 0.00000000e+00 0.00000000e+00
 1.66654795e-01 2.24011600e-01 3.55429441e-01 4.02279198e-01
 4.70489174e-01 3.10934693e-01 1.85576528e-02 1.42056853e-01
 4.50370580e-01 1.43610835e-02 2.70636603e-02 0.00000000e+00
 2.39058882e-01 4.88198727e-01 0.00000000e+00 4.19565052e-01
 0.00000000e+00 1.54060945e-02 1.33641779e-01 0.00000000e+00
 4.23413754e-01 4.24605638e-01 6.26711905e-01 5.54227889e-01
 4.17035520e-01 2.09896371e-01 3.01315635e-03 5.69369674e-01
 8.51991773e-03 4.83504087e-02 0.00000000e+00 5.04602551e-01
 9.44924355e-03 3.70166957e-01 4.57195193e-01 3.71710718e-01
 1.37785971e-01 5.99928975e-01 4.39021975e-01 5.62265515e-04
 1.37256384e-02 1.12957403e-01 9.61873531e-02 1.61406785e-01
 0.00000000e+00 5.80126524e-01 5.07536054e-01 5.67032732e-02
 0.00000000e+00 1.49834976e-01 0.00000000e+00 0.00000000e+00
 3.18072736e-03 0.00000000e+00 4.59845275e-01 2.29915604e-02
 1.63749814e-01 3.68065029e-01 3.23698878e-01 6.48546517e-02
 0.00000000e+00 0.00000000e+00 5.04274130e-01 4.67016578e-01
 1.70576021e-01 2.88633227e-01 0.00000000e+00 3.23799908e-01
 0.00000000e+00 0.00000000e+00 3.50283414e-01 0.00000000e+00
 3.09615731e-01 6.57428727e-02 5.68699121e-01 0.00000000e+00
 0.00000000e+00 1.84744000e-02 3.84948045e-01 4.93313700e-01
 0.00000000e+00 0.00000000e+00 5.10344446e-01 1.14144385e-03
 1.48564056e-01 1.10176593e-01 0.00000000e+00 0.00000000e+00
 1.71050727e-02 0.00000000e+00 2.62868777e-02 5.25657773e-01
 0.00000000e+00 3.47981274e-01 4.20293450e-01 0.00000000e+00
 0.00000000e+00 4.22632396e-02 3.37782115e-01 5.35297036e-01
 1.18930936e-02 0.00000000e+00 9.16835591e-02 0.00000000e+00
 0.00000000e+00 4.84093577e-01 5.07540047e-01 2.61336565e-04
 5.44705153e-01 0.00000000e+00 5.32284558e-01 2.23371685e-02
 9.96047705e-02 3.37353379e-01 4.66343343e-01 3.00928950e-01]"
"6","Ghost Rider","super-hero","https://en.wikipedia.org/wiki/Ghost_Rider_(2007_film)","[2.2650447e-01 4.7204681e-02 0.0000000e+00 6.0447359e-01 4.8495117e-01
 4.9297833e-01 0.0000000e+00 6.9305611e-01 6.8613935e-01 4.1085157e-01
 5.8256578e-01 6.2304372e-01 5.5453873e-01 1.8702835e-01 7.0745796e-03
 4.3554258e-01 3.8078374e-01 2.5202699e-02 0.0000000e+00 5.9119678e-01
 5.5430114e-01 1.0803260e-02 6.7264289e-01 7.7737743e-01 6.1544931e-01
 4.5310318e-02 0.0000000e+00 5.4048246e-01 0.0000000e+00 0.0000000e+00
 7.3591125e-01 1.5339491e-01 0.0000000e+00 1.3434270e-01 2.2891834e-02
 3.0430600e-01 0.0000000e+00 5.2111590e-01 0.0000000e+00 6.8928248e-01
 4.5304781e-01 6.0559362e-01 0.0000000e+00 0.0000000e+00 5.2457941e-01
 0.0000000e+00 4.7695291e-01 4.4169374e-02 6.9578630e-01 6.6989779e-01
 5.2873844e-01 0.0000000e+00 1.8143356e-03 1.6299874e-02 9.2127256e-02
 2.1020518e-01 6.5784782e-01 6.4752001e-01 6.5132678e-01 1.4881037e-01
 0.0000000e+00 6.0060096e-01 4.1595069e-01 6.7257285e-01 3.2564217e-01
 6.3878250e-01 6.7081380e-01 3.4647533e-01 3.5186225e-01 0.0000000e+00
 7.1512036e-02 6.9805861e-01 1.0093483e-01 5.7193023e-01 5.2462138e-02
 0.0000000e+00 3.0008033e-03 1.3972712e-01 6.3248003e-01 5.4427195e-01
 3.6730260e-01 1.7632864e-02 1.0277649e-01 1.2213760e-01 3.7187341e-01
 6.2099731e-01 4.8328179e-01 2.7327248e-01 6.1510348e-01 5.2195656e-01
 0.0000000e+00 6.3528460e-01 2.2845298e-01 6.3716397e-03 6.8699175e-01
 8.7043814e-02 6.6225976e-04 6.5571183e-01 0.0000000e+00 7.5507748e-01
 0.0000000e+00 0.0000000e+00 4.2455159e-02 0.0000000e+00 5.2291874e-02
 7.2196841e-01 3.1648451e-01 0.0000000e+00 6.6338688e-02 0.0000000e+00
 6.6879183e-01 3.5128587e-01 7.0109057e-01 3.9242175e-01 1.0457955e-02
 5.1042342e-01 6.4300913e-01 1.7118603e-03 5.0108165e-01 9.5262066e-02
 6.4015836e-03 6.6038734e-01 9.4327062e-02 1.3912961e-02 8.9215219e-02
 5.5523902e-01 4.8724896e-01 1.8942904e-01]"
"7","Batman & Robin","super-hero","https://en.wikipedia.org/wiki/Batman_%26_Robin_(film)","[0.         0.2747063  0.09977128 0.16203077 0.18299055 0.
 0.20468244 0.41552192 0.31926122 0.         0.38832688 0.
 0.48779437 0.43303183 0.404348   0.         0.39360464 0.03405435
 0.52122265 0.34871536 0.41021118 0.03739905 0.01460002 0.01068534
 0.5167341  0.34465376 0.17924067 0.49203303 0.13764647 0.22486392
 0.48855078 0.44588783 0.42460778 0.24492037 0.1601226  0.3660512
 0.12865669 0.10994349 0.21319777 0.07304721 0.01605816 0.02774095
 0.12795644 0.         0.38980553 0.         0.42225182 0.21181725
 0.09292151 0.17106667 0.3576514  0.         0.00091496 0.36340135
 0.3242645  0.4645973  0.0726897  0.05508866 0.36008722 0.16938879
 0.26814663 0.04625072 0.1128479  0.355479   0.5279291  0.3188306
 0.         0.58930206 0.47463828 0.45723227 0.16645294 0.
 0.2734203  0.40677953 0.         0.04128791 0.         0.19918324
 0.20377138 0.22936037 0.52342117 0.22210863 0.12128834 0.5472504
 0.30517325 0.38509655 0.5189528  0.50594264 0.51594216 0.24315459
 0.49301347 0.00160083 0.55384034 0.00900801 0.0342541  0.36070955
 0.32811415 0.2960663  0.31304705 0.30968672 0.5248406  0.46780235
 0.46147847 0.         0.34727943 0.33271992 0.12039928 0.00443734
 0.52346873 0.09335475 0.45974582 0.3846402  0.4971017  0.45712295
 0.         0.2204383  0.10987291 0.         0.47585127 0.5377258
 0.02904113 0.04064667 0.05716059 0.14546582 0.42181748 0.5223643
 0.2266457  0.44856882]"
"8","Hulk","super-hero","https://en.wikipedia.org/wiki/Hulk_(film)","[0.06032475 0.59492314 0.47364095 0.1446698  0.10541769 0.3215443
 0.62511516 0.6797933  0.81875896 0.43759406 0.5572199  0.
 0.5074244  0.05574758 0.47558925 0.29753283 0.         0.06933999
 0.0050504  0.37944764 0.59320027 0.6369856  0.59256643 0.478109
 0.24471053 0.00119352 0.56093496 0.35530752 0.00235735 0.
 0.627938   0.52205706 0.         0.         0.16944969 0.
 0.         0.55688816 0.44131026 0.667957   0.18637583 0.5916041
 0.07103313 0.         0.62649614 0.15377544 0.40717602 0.01936387
 0.52380514 0.37438205 0.27485818 0.         0.         0.25325102
 0.31897256 0.03526268 0.06341498 0.16746613 0.14383897 0.
 0.04622034 0.49365357 0.10566989 0.7302973  0.         0.07091606
 0.68889296 0.08802183 0.         0.6035838  0.         0.22530526
 0.559467   0.43823943 0.         0.00138062 0.         0.
 0.63706183 0.6457146  0.         0.33893883 0.485659   0.64357376
 0.09723374 0.53625673 0.06864293 0.65352    0.45447743 0.05590786
 0.         0.00919854 0.10522778 0.19327772 0.41387206 0.17771685
 0.43915814 0.5249907  0.15490468 0.665497   0.19736883 0.
 0.63941187 0.         0.31456786 0.6600125  0.         0.09607972
 0.28080627 0.06190195 0.         0.         0.42853424 0.48516697
 0.19294286 0.6853358  0.5887429  0.5598992  0.42060417 0.33345696
 0.5802166  0.44613343 0.09386351 0.08987695 0.55538833 0.5598784
 0.00575726 0.28655475]"
"9","Teenage Mutant Ninja Turtles: Out of the Shadows","super-hero","https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows","[3.27192992e-03 4.54646289e-01 2.03382224e-03 9.69775766e-03
 0.00000000e+00 0.00000000e+00 2.94303656e-01 4.64301825e-01
 4.06971425e-01 3.16716284e-02 3.56750876e-01 0.00000000e+00
 3.95811766e-01 3.99449736e-01 3.95977423e-02 3.68866682e-01
 4.35677290e-01 2.31616288e-01 2.20838726e-01 1.88417614e-01
 5.12948036e-01 1.87528223e-01 1.09472446e-01 3.76956224e-01
 4.93661836e-02 5.10308623e-01 3.83464664e-01 0.00000000e+00
 4.71428409e-02 3.93712297e-02 3.50203514e-01 5.87266088e-01
 0.00000000e+00 3.57596308e-01 2.00274318e-01 2.67804295e-01
 0.00000000e+00 4.90236819e-01 5.80664456e-01 4.10253793e-01
 2.93872729e-02 3.93379569e-01 0.00000000e+00 4.51790214e-01
 4.14047927e-01 0.00000000e+00 2.79455632e-03 0.00000000e+00
 3.85174423e-01 5.56855083e-01 0.00000000e+00 2.39262477e-01
 0.00000000e+00 5.70349395e-04 4.96484160e-01 0.00000000e+00
 4.54660922e-01 4.08828646e-01 4.19266522e-04 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 5.52058458e-01
 5.21816373e-01 4.38393205e-01 3.16411644e-01 5.57327688e-01
 5.22687733e-01 2.70773619e-01 1.46620497e-01 3.16535473e-01
 0.00000000e+00 4.65143591e-01 0.00000000e+00 4.07972708e-02
 3.81171465e-01 4.62289333e-01 8.62709358e-02 5.13729095e-01
 1.26850575e-01 1.94317847e-03 1.66024268e-03 0.00000000e+00
 4.47845101e-01 5.20537496e-01 0.00000000e+00 4.21579599e-01
 3.10463905e-01 1.58651784e-01 5.30320048e-01 4.72980857e-01
 3.74619290e-02 4.88217115e-01 0.00000000e+00 3.55263129e-02
 7.93304369e-02 4.49080020e-01 0.00000000e+00 5.33025026e-01
 5.30365407e-01 3.98330390e-02 5.19311786e-01 0.00000000e+00
 4.49875474e-01 4.93169785e-01 3.02615702e-01 0.00000000e+00
 4.60635811e-01 0.00000000e+00 3.93877864e-01 3.46722752e-01
 4.70044434e-01 1.62182882e-01 4.60095286e-01 0.00000000e+00
 5.63714743e-01 0.00000000e+00 2.96199292e-01 4.81835067e-01
 5.51708825e-02 4.72338706e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 5.31196117e-01 2.40083978e-01 4.70444202e-01]"
