"id","title","label","URL","embedding"
"0","Bloodshot","super-hero","https://en.wikipedia.org/wiki/Bloodshot_(film)","[0.00179685 0.37072122 0.39485168 0.24674284 0.         0.
 0.32721573 0.3348027  0.4634921  0.42212206 0.45213693 0.38648063
 0.35220712 0.24830218 0.         0.37404013 0.43393922 0.50131565
 0.4145354  0.03010378 0.45304194 0.2340979  0.42751634 0.3773177
 0.3568905  0.         0.41403508 0.00839675 0.48994136 0.
 0.         0.         0.41755134 0.37087706 0.         0.2745029
 0.36714703 0.34725553 0.         0.36411363 0.18995118 0.
 0.3483833  0.         0.4361262  0.         0.02802254 0.
 0.04243794 0.         0.52449596 0.09500133 0.46486625 0.01003288
 0.44193512 0.01813301 0.06336437 0.4750163  0.47917324 0.5317247
 0.342631   0.         0.         0.01559906 0.35948622 0.43045378
 0.         0.03858444 0.0013853  0.32632896 0.         0.19550154
 0.         0.03880656 0.3121884  0.06803142 0.         0.05740196
 0.48953083 0.         0.         0.46137318 0.         0.31423244
 0.4937575  0.08891689 0.39287668 0.00739284 0.07650575 0.47895113
 0.24172989 0.02412848 0.         0.25637895 0.17704786 0.
 0.4534964  0.         0.51102453 0.         0.46351358 0.5166694
 0.4752565  0.40743107 0.40787578 0.         0.0051577  0.29820803
 0.3876802  0.         0.424633   0.03747433 0.3714853  0.28684506
 0.01391798 0.5894236  0.43478468 0.         0.01864443 0.3322371
 0.         0.02977466 0.0007947  0.3548666  0.00604211 0.1439447
 0.12851742 0.        ]"
"1","Watchmen","super-hero","https://en.wikipedia.org/wiki/Watchmen_(film)","[0.08873908 0.01489835 0.04584204 0.43977097 0.         0.
 0.39121115 0.24223153 0.674937   0.08337954 0.17154974 0.7340113
 0.544935   0.03424406 0.         0.38583818 0.3549217  0.
 0.7219109  0.         0.         0.28544688 0.51490605 0.
 0.         0.09810223 0.         0.3484393  0.64621896 0.
 0.5992039  0.09285194 0.07612575 0.0479266  0.6169032  0.
 0.6488592  0.4006937  0.         0.13608155 0.00414114 0.00704182
 0.         0.67734087 0.69140947 0.         0.37755224 0.73989993
 0.6424742  0.12221309 0.7533657  0.         0.35580656 0.4964231
 0.57236445 0.3882408  0.07115579 0.54985464 0.6444684  0.4614833
 0.6127323  0.06632691 0.2729526  0.         0.47511077 0.24962315
 0.5263769  0.01925229 0.2265862  0.         0.06378214 0.20080416
 0.         0.7016051  0.552187   0.         0.         0.5993974
 0.02909736 0.56314486 0.6370479  0.65637046 0.67970675 0.
 0.7240548  0.03053285 0.46467474 0.3499061  0.00714398 0.5689916
 0.01296886 0.         0.01387219 0.6775563  0.47038552 0.4954139
 0.06222612 0.07616588 0.7545498  0.         0.53902763 0.
 0.48224062 0.02442024 0.625329   0.02318369 0.38630822 0.61378765
 0.         0.6440957  0.02060591 0.6443079  0.         0.25322777
 0.         0.08510459 0.03960589 0.         0.25158173 0.55417806
 0.03729381 0.28262103 0.24840188 0.41359928 0.         0.43628752
 0.26159462 0.21263215]"
"2","Superman II","super-hero","https://en.wikipedia.org/wiki/Superman_II","[0.         0.01791573 0.00240707 0.34171867 0.04748411 0.
 0.14642332 0.         0.40491766 0.39129168 0.01738639 0.
 0.2662196  0.         0.32811058 0.35318547 0.35133904 0.15314548
 0.04335239 0.         0.02559344 0.10019414 0.41532245 0.
 0.31409222 0.36928552 0.29676744 0.         0.0005813  0.01371771
 0.22266632 0.         0.42774093 0.31096068 0.00994694 0.
 0.         0.44860134 0.33755982 0.42389286 0.00052118 0.
 0.02237967 0.37410843 0.32619816 0.         0.34118164 0.39871898
 0.38326523 0.40229356 0.18410844 0.         0.39000762 0.24263187
 0.18081556 0.3051494  0.48344183 0.         0.3907259  0.31383684
 0.         0.19312885 0.22459403 0.15150385 0.48354042 0.29240632
 0.3897408  0.         0.         0.         0.00236893 0.40300965
 0.         0.37968853 0.03055327 0.         0.         0.44721428
 0.16045497 0.4252386  0.35524955 0.         0.3348758  0.34979278
 0.3564859  0.39149064 0.38168386 0.4159962  0.08685332 0.08306709
 0.00868186 0.         0.07203928 0.37101158 0.4140909  0.07056496
 0.04020602 0.         0.         0.0635884  0.3021727  0.07251633
 0.04609776 0.416452   0.3578289  0.2467973  0.         0.19654283
 0.         0.         0.36186865 0.39222956 0.37289095 0.4517226
 0.         0.         0.01617428 0.02081996 0.410087   0.
 0.09814581 0.         0.13573577 0.39161012 0.21225412 0.14571717
 0.40875876 0.        ]"
"3","Birds of Prey (And the Fantabulous Emancipation…","super-hero","https://en.wikipedia.org/wiki/Birds_of_Prey_(2020_film)","[5.4053515e-03 3.8123763e-01 4.0600014e-01 9.4678506e-02 0.0000000e+00
 3.7683278e-01 4.2904913e-04 3.5396409e-01 4.1426492e-01 4.1313291e-01
 3.7255263e-01 0.0000000e+00 3.6862487e-01 3.7749547e-01 1.5636981e-03
 4.2012215e-01 2.0869684e-01 0.0000000e+00 4.2385125e-01 3.9005229e-01
 0.0000000e+00 0.0000000e+00 0.0000000e+00 3.0474901e-01 0.0000000e+00
 0.0000000e+00 4.1297507e-01 4.0571102e-01 4.4672486e-01 0.0000000e+00
 3.5509062e-01 2.2873622e-01 2.8260639e-01 2.6432931e-01 2.2805393e-01
 4.8639618e-02 4.4134146e-01 3.5027915e-01 0.0000000e+00 4.3254259e-01
 3.3412129e-04 3.5944480e-01 4.2512760e-01 4.2313099e-01 4.2197782e-01
 0.0000000e+00 0.0000000e+00 4.3623316e-01 2.7864072e-01 0.0000000e+00
 4.2229915e-01 6.0502216e-03 0.0000000e+00 3.4374207e-01 0.0000000e+00
 3.6500016e-01 0.0000000e+00 2.1355489e-01 3.1013089e-01 3.3824438e-01
 4.6452677e-01 0.0000000e+00 3.5656413e-01 3.2389706e-01 2.6408419e-01
 4.3067771e-01 3.7375107e-01 3.4164286e-01 2.3755646e-01 0.0000000e+00
 3.2727128e-01 0.0000000e+00 0.0000000e+00 3.8576159e-01 0.0000000e+00
 4.1428974e-01 2.2089779e-03 0.0000000e+00 0.0000000e+00 2.8749824e-02
 4.2435125e-01 4.0532219e-01 4.6730283e-01 0.0000000e+00 3.8534101e-02
 0.0000000e+00 4.0930566e-01 4.3834311e-01 0.0000000e+00 4.7847679e-01
 2.6032180e-02 0.0000000e+00 5.7982951e-03 4.7315881e-01 4.3796209e-01
 0.0000000e+00 4.6146154e-01 3.3291388e-01 4.4080603e-01 0.0000000e+00
 3.7649456e-01 5.0012153e-01 4.8078448e-01 0.0000000e+00 3.9611417e-01
 0.0000000e+00 3.7211534e-01 2.6472390e-02 8.4692240e-04 3.9562136e-01
 3.8610795e-01 4.2260504e-01 0.0000000e+00 4.5391446e-01 0.0000000e+00
 5.8193140e-02 3.9150250e-01 0.0000000e+00 5.1832646e-03 1.8461755e-01
 1.8200055e-03 0.0000000e+00 2.7168718e-01 3.5246640e-02 2.6890144e-01
 0.0000000e+00 2.4114233e-01 4.8229733e-01]"
"4","Green Lantern","super-hero","https://en.wikipedia.org/wiki/Green_Lantern_(film)","[0.         0.08054523 0.29522812 0.14693028 0.         0.37368977
 0.42444855 0.02419439 0.41837913 0.34503272 0.3518226  0.41944563
 0.37307122 0.21015427 0.22262271 0.5126257  0.42799777 0.
 0.44155622 0.37270018 0.         0.         0.3339608  0.
 0.         0.01295082 0.02044089 0.28801513 0.30664763 0.
 0.30689538 0.         0.27735183 0.1808604  0.40608567 0.
 0.3355636  0.3611378  0.30651242 0.36617377 0.33431736 0.19799797
 0.16658804 0.42663795 0.40134367 0.         0.01380469 0.35552865
 0.3133563  0.28402382 0.42883337 0.17197508 0.10190431 0.34798366
 0.31072342 0.37024078 0.1268941  0.20088464 0.45305318 0.10048998
 0.3153556  0.01720648 0.01866237 0.03109122 0.06920248 0.38452327
 0.36522537 0.         0.         0.02814424 0.         0.11362758
 0.         0.479245   0.36244547 0.         0.         0.01770759
 0.         0.3059004  0.3516646  0.38554662 0.4043807  0.00447972
 0.43137926 0.29178375 0.42218584 0.34060967 0.         0.24672821
 0.         0.03610622 0.07250402 0.42149454 0.2979235  0.02485412
 0.40549627 0.10007893 0.4608888  0.01953463 0.37718865 0.3351344
 0.5111832  0.45015895 0.43044034 0.         0.2838206  0.40195543
 0.3498183  0.34624755 0.32198533 0.48116124 0.         0.43176925
 0.         0.4151999  0.3756026  0.         0.01134846 0.
 0.         0.14543372 0.25509804 0.41305774 0.00760414 0.01008973
 0.17638615 0.        ]"
"5","The Green Hornet","super-hero","https://en.wikipedia.org/wiki/The_Green_Hornet_(2011_film)","[1.3995004e-01 1.9571185e-03 0.0000000e+00 5.2191257e-01 0.0000000e+00
 0.0000000e+00 5.2620363e-01 1.5967718e-01 8.7597497e-02 7.3034130e-02
 2.9718292e-01 1.6621035e-01 5.1855409e-01 0.0000000e+00 5.3059065e-01
 1.4394762e-01 5.4557699e-01 1.6590761e-01 0.0000000e+00 0.0000000e+00
 5.8260804e-01 2.7463534e-01 6.0861015e-01 0.0000000e+00 0.0000000e+00
 0.0000000e+00 5.3202653e-01 1.9201458e-01 6.5005219e-01 1.0211398e-01
 5.8374397e-02 1.0807144e-01 3.8319957e-01 4.5403662e-01 4.6517402e-01
 6.1443806e-01 4.5193624e-01 1.3541862e-01 9.3364120e-03 2.6681277e-01
 2.0511633e-01 4.9593428e-01 2.6535672e-01 0.0000000e+00 3.6595479e-02
 5.5573499e-01 0.0000000e+00 5.7423621e-01 4.1704443e-01 0.0000000e+00
 0.0000000e+00 1.2466970e-01 6.8443984e-02 1.2497777e-01 2.3037677e-01
 4.2434543e-01 2.4949914e-01 0.0000000e+00 5.1565009e-01 4.8300765e-02
 0.0000000e+00 4.7284392e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00
 2.8519559e-01 4.8341969e-01 2.1549167e-01 0.0000000e+00 0.0000000e+00
 5.0808233e-01 0.0000000e+00 4.5990795e-03 0.0000000e+00 4.3119031e-01
 1.3853517e-01 0.0000000e+00 3.3185673e-01 0.0000000e+00 0.0000000e+00
 0.0000000e+00 4.7436759e-01 0.0000000e+00 0.0000000e+00 4.2811596e-01
 4.8457450e-01 0.0000000e+00 3.5700485e-01 2.7202815e-01 3.7312171e-01
 0.0000000e+00 0.0000000e+00 0.0000000e+00 4.5604926e-01 2.6879758e-03
 0.0000000e+00 3.5020700e-01 3.7777834e-02 0.0000000e+00 5.1580429e-01
 0.0000000e+00 4.5620397e-01 1.9070432e-03 6.3652545e-04 3.0064821e-01
 5.3309464e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 4.3795419e-01 4.6168822e-01 1.6359572e-01 3.0885532e-01
 4.3412274e-01 3.9734390e-01 2.0824045e-02 2.9999048e-01 9.8159812e-02
 5.7482171e-01 5.0032270e-01 0.0000000e+00 6.0824943e-01 0.0000000e+00
 1.4596805e-03 5.2357268e-01 1.9923270e-01]"
"6","Ghost Rider","super-hero","https://en.wikipedia.org/wiki/Ghost_Rider_(2007_film)","[0.65928566 0.6729531  0.79401463 0.6520055  0.         0.
 0.         0.51743037 0.7029742  0.         0.4872697  0.20072809
 0.5664331  0.         0.5617409  0.         0.6386023  0.33928657
 0.         0.         0.         0.6402701  0.5721813  0.00264511
 0.         0.         0.6776772  0.0018434  0.7349198  0.
 0.26513952 0.09231743 0.5530062  0.6899201  0.32180914 0.13459483
 0.4491781  0.45000196 0.4617073  0.28765666 0.6550995  0.
 0.5547778  0.00324041 0.         0.04425845 0.479728   0.5547707
 0.61395925 0.27411208 0.00657633 0.2267798  0.42444822 0.21367608
 0.00494713 0.40848163 0.         0.36615536 0.61350685 0.5500102
 0.6485927  0.         0.5267558  0.53789276 0.473938   0.5318948
 0.5892503  0.         0.24790421 0.10410702 0.4727509  0.444827
 0.         0.60931903 0.5786733  0.7000582  0.         0.
 0.5590187  0.5455728  0.56446695 0.5486686  0.01527122 0.14725496
 0.02640446 0.38583064 0.         0.         0.7045942  0.5864264
 0.6672909  0.00559974 0.34836894 0.446938   0.         0.
 0.25769258 0.53608066 0.55370426 0.         0.6756965  0.
 0.         0.7123263  0.         0.00583882 0.43682277 0.81781065
 0.51333886 0.6400804  0.3662306  0.         0.         0.5424372
 0.17958239 0.6171459  0.00200053 0.16904935 0.14045766 0.00097475
 0.         0.4484312  0.         0.49020758 0.22436985 0.01495304
 0.67211705 0.6787027 ]"
"7","Batman & Robin","super-hero","https://en.wikipedia.org/wiki/Batman_%26_Robin_(film)","[0.03419499 0.41534036 0.34598595 0.0881322  0.0134039  0.43124247
 0.45880133 0.09926889 0.49416542 0.50474095 0.40791476 0.42160463
 0.43528152 0.         0.11226252 0.55275065 0.48757333 0.11320497
 0.4612037  0.38853705 0.06900872 0.27479205 0.19930604 0.2724106
 0.03080627 0.05406326 0.09494076 0.40852392 0.42358106 0.
 0.44166848 0.00373412 0.0832627  0.31821075 0.39921278 0.05312204
 0.43013144 0.14835247 0.07754043 0.4953644  0.         0.08725745
 0.11808752 0.3893888  0.47091967 0.07797314 0.1283897  0.51663846
 0.34485114 0.00999847 0.25948387 0.         0.40157068 0.33812332
 0.06771751 0.08795912 0.46715102 0.4951895  0.09744464 0.
 0.4777375  0.35472953 0.3448677  0.3005477  0.26489854 0.40345007
 0.45936534 0.01375159 0.04675197 0.06110281 0.02752721 0.14731427
 0.00761364 0.45508784 0.04541086 0.02138427 0.0087161  0.19219151
 0.11950637 0.17716624 0.43923926 0.46643284 0.4024172  0.
 0.5058059  0.16958377 0.4698594  0.15435492 0.02605672 0.
 0.11433223 0.39213952 0.         0.402487   0.46993613 0.13766515
 0.4173586  0.         0.5047802  0.0131651  0.44924262 0.53232896
 0.44349158 0.47082666 0.45807242 0.35624936 0.28467137 0.46122143
 0.47686914 0.48000175 0.49516663 0.48796833 0.         0.04477273
 0.         0.5697831  0.14317727 0.04648105 0.         0.07321561
 0.2577012  0.3318728  0.08256386 0.4854962  0.         0.
 0.48793298 0.01893514]"
"8","Hulk","super-hero","https://en.wikipedia.org/wiki/Hulk_(film)","[1.23877078e-03 5.01914740e-01 5.86504221e-01 6.13880455e-01
 2.87167579e-01 3.50075126e-01 0.00000000e+00 3.76688004e-01
 2.10519880e-01 4.74158913e-01 6.46941066e-01 3.16609949e-01
 7.31905699e-01 6.09280109e-01 1.31601185e-01 3.90115045e-02
 5.27048349e-01 4.76474196e-01 6.14156015e-02 2.39603251e-01
 4.73757565e-01 4.45591658e-01 5.88365436e-01 5.27331114e-01
 0.00000000e+00 4.71257120e-02 6.55525804e-01 8.98968279e-02
 5.55092275e-01 6.63456619e-01 6.05986714e-01 0.00000000e+00
 1.59876943e-01 4.91348058e-01 5.67585468e-01 4.38717231e-02
 5.14971375e-01 0.00000000e+00 4.01005566e-01 4.11053538e-01
 5.67051768e-01 1.13733254e-01 4.88305986e-01 1.68784589e-01
 0.00000000e+00 0.00000000e+00 1.09341741e-03 1.01183593e-01
 5.82960606e-01 3.22943181e-03 2.53359586e-01 4.61985201e-01
 6.17248237e-01 0.00000000e+00 1.27670974e-01 4.81159426e-02
 2.82626778e-01 2.17144728e-01 4.33087051e-01 6.42752230e-01
 4.10311937e-01 0.00000000e+00 5.90678275e-01 5.59442520e-01
 1.04753815e-01 0.00000000e+00 2.99737602e-01 1.30456537e-02
 1.72364235e-01 3.50665808e-01 3.44694078e-01 5.36981761e-01
 5.43246567e-01 4.95821357e-01 3.46440256e-01 0.00000000e+00
 5.15947044e-01 2.62735486e-02 4.13386375e-01 4.75107610e-01
 3.43169004e-01 5.58816493e-01 5.06307125e-01 2.54722446e-01
 1.05808288e-01 0.00000000e+00 4.83964086e-01 5.91186881e-01
 2.91690022e-01 9.54854488e-02 7.56325275e-02 0.00000000e+00
 0.00000000e+00 0.00000000e+00 5.54582655e-01 3.02618891e-01
 0.00000000e+00 6.06800377e-01 6.77170277e-01 0.00000000e+00
 3.82060319e-01 4.35821712e-04 0.00000000e+00 2.07111061e-01
 0.00000000e+00 0.00000000e+00 4.10781473e-01 4.49335247e-01
 4.20104235e-01 5.95148027e-01 2.57279992e-01 1.23770505e-01
 0.00000000e+00 7.29927778e-01 0.00000000e+00 6.14365339e-01
 0.00000000e+00 6.57085180e-02 4.88868654e-02 2.93154538e-01
 0.00000000e+00 4.31591958e-01 4.18245494e-02 5.93642235e-01
 7.69399583e-01 0.00000000e+00 1.52067095e-03 6.30406439e-01]"
"9","Teenage Mutant Ninja Turtles: Out of the Shadows","super-hero","https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows","[0.00000000e+00 3.89340639e-01 0.00000000e+00 5.12859106e-01
 0.00000000e+00 0.00000000e+00 3.33581120e-02 2.68001199e-01
 3.69256318e-01 3.24661016e-01 5.00080168e-01 1.59857422e-01
 0.00000000e+00 3.95493388e-01 0.00000000e+00 1.37970418e-01
 4.82228577e-01 5.26217222e-01 4.40996706e-01 4.28016275e-01
 4.92149502e-01 4.29525107e-01 0.00000000e+00 0.00000000e+00
 0.00000000e+00 0.00000000e+00 0.00000000e+00 5.03076792e-01
 4.21377510e-01 0.00000000e+00 3.78486633e-01 2.69590989e-02
 4.00951505e-01 0.00000000e+00 4.56495166e-01 8.27818066e-02
 3.14299703e-01 1.69975758e-02 7.53667206e-02 5.11333704e-01
 2.84283459e-02 2.07928360e-01 5.20530820e-01 5.27807176e-01
 1.83362752e-01 1.61199465e-01 2.06328809e-01 5.64747989e-01
 3.69578600e-04 3.12194318e-01 6.18787669e-02 5.34762859e-01
 4.56133306e-01 2.36941993e-01 5.12661934e-01 2.14748085e-04
 0.00000000e+00 3.60364676e-01 4.77210224e-01 5.61539590e-01
 2.53033757e-01 0.00000000e+00 0.00000000e+00 2.42328107e-01
 0.00000000e+00 4.94160295e-01 2.37535954e-01 0.00000000e+00
 0.00000000e+00 3.61074328e-01 2.85137221e-02 4.26225126e-01
 4.18226086e-02 5.07299840e-01 0.00000000e+00 4.16303515e-01
 0.00000000e+00 4.50131625e-01 0.00000000e+00 0.00000000e+00
 9.86918136e-02 2.29976103e-02 3.28148514e-01 3.91301036e-01
 5.26144207e-01 0.00000000e+00 1.12949267e-01 1.15785971e-02
 5.47779985e-02 3.90294641e-01 1.89007312e-01 1.07887939e-01
 1.38323545e-01 2.70841807e-01 2.22335070e-01 3.12037736e-01
 0.00000000e+00 4.33825165e-01 5.10685205e-01 0.00000000e+00
 4.69527334e-01 5.92586160e-01 1.01160109e-01 2.01851517e-01
 5.48335433e-01 1.37371570e-02 3.54397088e-01 3.30153704e-01
 3.35544348e-01 1.10463336e-01 3.11963528e-01 0.00000000e+00
 3.60877395e-01 5.13673186e-01 0.00000000e+00 4.48135346e-01
 4.50667590e-01 4.42443453e-02 3.52837145e-01 2.67461658e-01
 7.33431429e-03 9.14716348e-02 0.00000000e+00 4.96667266e-01
 0.00000000e+00 3.65108460e-01 5.92346191e-01 0.00000000e+00]"
