"id","title","label","URL","embedding"
"0","Bloodshot","super-hero","https://en.wikipedia.org/wiki/Bloodshot_(film)","[0.5610629  0.16124217 0.30755335 0.3864005  0.757005   0.47597143
 0.6564466  0.3115327  0.07697786 0.50317454 0.5184828  0.1647211
 0.         0.44604665 0.29129034 0.26836288 0.         0.28520116
 0.8200666  0.9390124  0.3985937  0.06593604 0.25965005 0.34092396
 0.         0.37267917 0.31108123 0.28354633 0.43803278 0.56789905
 0.74811614 0.06268036 0.27144027 0.11342972 0.         0.6320551
 0.54289275 0.10167774 0.         0.13769384 0.06421456 0.15334803
 0.33679062 0.04096252 0.5632839  0.15840137 0.05328146 0.48340708
 0.1008302  0.9071762  0.5082266  0.66686046 0.21905077 0.24085967
 0.26791242 0.94103616 0.         0.14596467 0.67861754 0.5383865
 0.30058    0.47006014 0.75014806 0.6420421  0.2620166  1.0782506
 0.34695137 0.41110957 0.         0.         0.01045248 0.5208129
 0.08138807 0.         0.0583038  0.4763045  0.44325635 0.
 0.25952476 0.28708845 0.37307608 0.15116441 0.         0.66830575
 0.         0.84335136 0.20104659 0.74159604 0.18487129 0.13365674
 0.         0.         0.         0.         0.1384688  0.07353418
 0.7263071  0.71394944 0.38077778 0.8638253  0.26570776 0.5206056
 0.27198958 0.05067934 0.54733413 0.85864514 0.01838667 0.07857491
 0.         0.         0.28137866 0.13790505 0.4282552  0.9740244
 0.1837233  0.24553506 0.6791917  0.         0.17964312 0.40989792
 0.3002423  0.5963421  0.20612772 0.07866418 0.         0.02632847
 0.33809355 1.2664374 ]"
"1","Watchmen","super-hero","https://en.wikipedia.org/wiki/Watchmen_(film)","[0.37846583 0.03243019 0.10013693 0.71328187 0.2713266  0.44235635
 0.24205428 0.25457883 0.         0.82442683 0.54326373 0.2211306
 0.54275686 0.2617247  0.36240983 0.67009497 0.49033648 0.18540916
 0.10850013 0.6633079  0.51720464 0.4020583  0.39836952 0.32503423
 0.         1.1948357  0.         0.36360428 0.948222   1.014853
 0.6810635  0.15286386 0.61354905 0.         0.2370523  0.
 0.18957098 0.19579785 0.         0.10841979 0.0876974  1.7002572
 0.24546602 0.03561623 0.64958954 0.14670537 0.07677594 0.2024744
 0.41258922 0.4143859  0.46137372 0.8997807  0.71075445 0.28423992
 1.2758354  0.05993625 0.47529727 0.2682206  1.4455607  0.
 0.34509358 0.91196764 1.0537852  0.80401975 0.8414902  0.27129576
 0.7888012  0.02353041 0.57272124 0.22926916 0.3031401  0.6691303
 0.         0.4451934  0.28463507 0.2765377  0.549994   0.22971876
 1.2849371  0.1878649  0.         0.39988154 0.23282355 0.88095
 0.1317216  1.2683467  0.72385967 0.8970932  0.         0.08436653
 0.37730145 0.07021901 0.1942665  0.         0.406193   0.
 0.7123928  0.6206779  0.5643179  0.24914561 0.10934094 1.1541666
 0.1208595  0.14928997 0.8576166  0.34121832 0.5211314  0.
 0.5673555  0.27632272 0.5993283  0.         0.5846003  0.1738064
 0.51244205 0.8534327  1.237604   0.4962898  0.61584985 0.
 0.30979896 0.         0.05435486 0.69871134 0.         0.42760515
 0.92041594 0.9775044 ]"
"2","Superman II","super-hero","https://en.wikipedia.org/wiki/Superman_II","[0.00000000e+00 0.00000000e+00 0.00000000e+00 3.69906947e-02
 6.63439929e-01 2.90969610e-01 5.71967103e-02 2.33724460e-01
 0.00000000e+00 7.96922028e-01 2.83640355e-01 3.46792862e-02
 2.24066794e-01 2.69782126e-01 3.36951971e-01 4.65169728e-01
 2.10178986e-01 3.86557579e-01 1.56474113e-02 7.63625324e-01
 2.60899574e-01 3.98619592e-01 4.59520787e-01 3.27981651e-01
 2.67386109e-01 2.50236243e-01 0.00000000e+00 1.10089846e-01
 2.03384593e-01 4.54789013e-01 1.04800731e-01 1.36635110e-01
 3.72765452e-01 0.00000000e+00 1.27196938e-01 1.14452928e-01
 2.51491010e-01 9.63655263e-02 3.58808368e-01 1.11274265e-01
 1.69390723e-01 8.26747537e-01 4.35270935e-01 6.51721656e-01
 0.00000000e+00 5.66850066e-01 2.19612181e-01 0.00000000e+00
 5.26749194e-01 0.00000000e+00 2.88156807e-01 7.51031190e-02
 0.00000000e+00 8.34036693e-02 5.41475892e-01 8.90655965e-02
 2.25037336e-02 8.18320885e-02 4.33839649e-01 2.37858608e-01
 0.00000000e+00 5.06723166e-01 8.26566368e-02 3.92772079e-01
 1.27171457e-01 1.14614502e-01 6.32662140e-03 8.00703347e-01
 4.89053503e-03 8.68975222e-02 9.11504850e-02 4.41066206e-01
 5.97694397e-01 0.00000000e+00 5.11185169e-01 9.45729539e-02
 3.60521048e-01 0.00000000e+00 5.92904165e-04 5.60465634e-01
 0.00000000e+00 3.74112517e-01 8.43148679e-02 0.00000000e+00
 8.05628076e-02 1.05857968e+00 3.07812877e-02 3.38827252e-01
 2.73513258e-01 3.09836298e-01 4.99758571e-02 0.00000000e+00
 3.29651594e-01 5.67030385e-02 1.56760752e-01 5.62873423e-01
 1.33405879e-01 9.90065634e-02 1.82922915e-01 7.80919045e-02
 1.80959716e-01 7.07240701e-01 1.57271236e-01 1.07790314e-01
 5.98541617e-01 5.14055073e-01 2.03972980e-01 1.82979956e-01
 4.37175870e-01 5.34968674e-01 4.55413699e-01 9.64769498e-02
 4.35697198e-01 0.00000000e+00 1.33364558e-01 9.66506541e-01
 5.58490217e-01 1.63137466e-01 3.43854390e-02 5.82384132e-02
 5.21049738e-01 0.00000000e+00 1.12754561e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 1.00229406e+00 5.76630175e-01]"
"3","Birds of Prey (And the Fantabulous Emancipation…","super-hero","https://en.wikipedia.org/wiki/Birds_of_Prey_(2020_film)","[0.         0.23176396 0.3484738  0.09168338 0.24236767 0.01555936
 0.27978706 0.14564049 0.07101929 0.607231   0.1566779  1.1143668
 0.37015772 0.48790023 0.19575864 0.19539739 0.10168019 0.23754552
 0.         0.4418094  0.18582451 0.         0.7878028  0.50127923
 0.         0.5375306  0.20617318 0.02273433 0.6659312  0.294346
 0.14969721 0.04130172 0.09623477 0.         0.56335336 0.53097963
 0.6260484  0.         0.25379744 0.         0.43499875 0.4764252
 0.19329506 0.00651963 0.29409903 0.6792741  0.17250726 0.46518967
 0.16227382 0.45192584 0.         0.2529127  0.8162735  0.3220308
 0.74338466 0.19727597 0.19689585 1.0340354  1.2042458  0.52984816
 0.4596759  0.54039985 1.275138   0.38380888 0.19830987 0.37909856
 0.29490942 0.7218631  0.         0.13339345 0.         0.03246612
 0.1065881  0.35475993 0.11696545 0.15809257 0.10522476 0.19771549
 0.41481832 0.         0.11032432 0.0865653  0.15498057 0.11539599
 0.13274118 0.6368295  0.59743816 0.12107109 0.11794992 0.1332163
 0.52320606 0.2659947  0.         0.06272916 0.1604027  0.25356472
 0.5472215  0.19390178 0.86716145 0.13861723 0.36934835 0.4066444
 0.14293279 0.02627122 0.53222674 0.3254624  0.02492363 0.11308682
 1.0091043  0.31235394 0.6413503  0.         0.43231997 0.
 0.00264612 0.27426922 1.0251645  0.47872883 0.35428256 0.02863098
 0.283575   0.         0.17916015 0.22546744 0.08149938 0.3678853
 0.02639053 0.6573604 ]"
"4","Green Lantern","super-hero","https://en.wikipedia.org/wiki/Green_Lantern_(film)","[0.19682167 0.         0.         0.2974154  0.5159999  0.52404636
 0.06982208 0.17644241 0.         0.8377954  0.3485373  0.20588961
 0.19725324 0.47004196 0.1988008  0.74636465 0.10407057 0.22855783
 0.         0.5916743  0.31196418 0.27936488 0.68894243 0.22247373
 0.         0.5155678  0.         0.         0.62151945 0.55589515
 0.16432652 0.09532171 0.3726839  0.         0.2643221  0.40271455
 0.22362961 0.22221959 0.10833128 0.31279242 0.1425032  0.75447553
 0.22256084 0.08542856 0.42012072 0.4209152  0.13957356 0.28263295
 0.20920861 0.5439654  0.0871758  0.09089279 0.24731229 0.04239668
 0.9242872  0.         0.09100849 0.35470018 1.0129278  0.19562572
 0.11080853 0.5250568  0.7975096  0.4868909  0.14007342 0.1896699
 0.21885678 0.49310067 0.         0.254837   0.07238694 0.00616828
 0.10180682 0.11180883 0.271933   0.31312597 0.24989735 0.0057429
 0.5609264  0.2787022  0.         0.31815684 0.16859461 0.41416135
 0.28119126 0.61458343 0.32570606 0.27832553 0.09774558 0.12059007
 0.19017173 0.08584535 0.14478889 0.2715323  0.17962082 0.
 0.27578136 0.33431098 0.32440978 0.05684407 0.41932577 0.7351438
 0.15131754 0.16410603 0.47248828 0.63655204 0.22034028 0.
 0.52690953 0.26614392 0.49918926 0.         0.5861654  0.
 0.20156614 0.6551328  1.0108465  0.06004741 0.41983438 0.
 0.44963887 0.         0.16204362 0.00684977 0.00511943 0.19119294
 0.5717365  0.40441555]"
"5","The Green Hornet","super-hero","https://en.wikipedia.org/wiki/The_Green_Hornet_(2011_film)","[5.11188991e-04 7.13857770e-01 2.18504921e-01 9.24814716e-02
 1.08217396e-01 5.58437742e-02 5.29726744e-01 5.90967722e-02
 0.00000000e+00 0.00000000e+00 1.85742453e-01 0.00000000e+00
 0.00000000e+00 5.78637779e-01 1.36853665e-01 3.30393672e-01
 5.21992266e-01 5.53157389e-01 0.00000000e+00 3.16742569e-01
 1.20842144e-01 0.00000000e+00 0.00000000e+00 4.43437308e-01
 4.13356125e-01 8.67621541e-01 2.77431667e-01 1.00682652e+00
 4.15376902e-01 0.00000000e+00 8.49064708e-01 3.07063550e-01
 5.21740496e-01 0.00000000e+00 1.83967829e-01 1.85972705e-01
 1.05755851e-01 2.15712100e-01 6.68978393e-01 8.61315191e-01
 2.78692961e-01 4.33673292e-01 7.88073182e-01 2.01178581e-01
 4.05514419e-01 7.13018715e-01 2.50753492e-01 0.00000000e+00
 4.06515688e-01 0.00000000e+00 3.00283313e-01 5.32878041e-01
 3.44060451e-01 4.16673690e-01 0.00000000e+00 6.91692770e-01
 1.41588375e-01 1.52201325e-01 7.32432425e-01 1.24899887e-01
 7.53844202e-01 6.02142692e-01 2.49092549e-01 1.00850785e+00
 1.55348092e-01 6.83619261e-01 8.99839282e-01 0.00000000e+00
 3.38953912e-01 1.87423572e-01 3.70371073e-01 2.63116419e-01
 5.14617682e-01 0.00000000e+00 4.79064196e-01 4.44279075e-01
 9.58557725e-01 0.00000000e+00 3.74733806e-01 1.05359650e+00
 5.14548242e-01 3.21383744e-01 1.27762005e-01 8.13471138e-01
 1.30543903e-01 7.88439572e-01 0.00000000e+00 4.05477285e-01
 4.65460390e-01 0.00000000e+00 8.00845385e-01 1.62429303e-01
 3.02128613e-01 3.17649990e-01 5.89025021e-01 2.10643426e-01
 4.34418917e-01 1.15820527e+00 5.47728360e-01 3.60964686e-01
 6.95061237e-02 2.06316710e-01 5.21263838e-01 4.15598810e-01
 0.00000000e+00 1.38425410e-01 6.41520798e-01 1.78124502e-01
 1.65080801e-01 8.31218734e-02 2.23825350e-01 3.31139773e-01
 0.00000000e+00 3.77583474e-01 4.26439792e-01 5.81656754e-01
 7.54565418e-01 4.40923691e-01 3.36422682e-01 7.04122931e-02
 4.11003262e-01 2.18257546e-01 8.32636133e-02 5.89789212e-01
 2.40685791e-01 0.00000000e+00 6.82772815e-01 8.62967312e-01]"
"6","Ghost Rider","super-hero","https://en.wikipedia.org/wiki/Ghost_Rider_(2007_film)","[1.50129959e-01 5.74468255e-01 8.06719542e-01 1.16126604e-01
 5.06294847e-01 0.00000000e+00 5.38935065e-01 7.19062746e-01
 0.00000000e+00 6.70006335e-01 0.00000000e+00 8.38053003e-02
 2.91682243e-01 1.16682470e+00 0.00000000e+00 6.09328449e-01
 1.44764259e-01 8.91681015e-02 2.75404584e-02 2.92450398e-01
 4.46926504e-01 0.00000000e+00 1.68126136e-01 5.23340881e-01
 0.00000000e+00 1.08979511e+00 0.00000000e+00 4.91468906e-02
 0.00000000e+00 1.70444474e-01 3.32289159e-01 6.67249560e-01
 6.79268837e-01 5.55926524e-02 6.67389154e-01 6.49342120e-01
 6.81320369e-01 0.00000000e+00 5.42320132e-01 2.33803988e-02
 1.95592448e-01 4.14384454e-01 9.70061839e-01 0.00000000e+00
 3.71066511e-01 1.79315820e-01 0.00000000e+00 4.75164913e-02
 6.44232631e-01 2.18305230e-01 1.74220070e-01 4.61640984e-01
 3.81452069e-02 7.57755578e-01 2.15380237e-01 3.96727920e-01
 9.67311442e-01 3.72691184e-01 1.04783177e+00 3.70586932e-01
 2.15374827e-01 1.06849062e+00 4.71613318e-01 8.64395022e-01
 0.00000000e+00 2.96160191e-01 0.00000000e+00 1.69535443e-01
 3.22518378e-01 0.00000000e+00 2.66408533e-01 4.21586096e-01
 4.28607255e-01 0.00000000e+00 5.44574142e-01 4.90138441e-01
 1.94946021e-01 2.16803402e-02 5.34180403e-01 5.90132810e-02
 5.20796478e-01 0.00000000e+00 0.00000000e+00 3.46080393e-01
 3.11208516e-01 4.64763224e-01 2.30851829e-01 4.12914634e-01
 4.11849141e-01 2.01830212e-02 2.80212611e-01 4.27162498e-02
 2.84301579e-01 6.78493083e-02 2.09530845e-01 5.53436160e-01
 4.82715279e-01 5.07455826e-01 2.08258316e-01 9.15595815e-02
 5.78000605e-01 2.78463542e-01 1.65269990e-03 0.00000000e+00
 7.06472397e-01 3.35402876e-01 2.52855718e-01 1.41951129e-01
 2.99403161e-01 4.27790582e-02 2.39225522e-01 3.02561671e-01
 1.29711008e+00 2.94072688e-01 1.00721441e-01 1.72666460e-01
 7.84999847e-01 1.92696005e-01 6.13816548e-04 0.00000000e+00
 4.32881653e-01 0.00000000e+00 2.03677908e-01 4.05159175e-01
 0.00000000e+00 0.00000000e+00 3.53030503e-01 8.07845056e-01]"
"7","Batman & Robin","super-hero","https://en.wikipedia.org/wiki/Batman_%26_Robin_(film)","[0.11684925 0.07906637 0.         0.28642187 0.57923925 0.75960606
 0.21752815 0.14806847 0.         0.48463693 0.35677114 0.2887024
 0.         0.37385786 0.4536142  0.6384693  0.24817398 0.12664326
 0.1339586  0.9551355  0.05774158 0.23058657 0.96677774 0.12771007
 0.03725139 0.17261133 0.         0.24662976 0.63231486 0.8596229
 0.213628   0.18333933 0.25756857 0.         0.46083966 0.6697407
 0.57410985 0.10602351 0.         0.2838946  0.08951958 1.1732014
 0.05435255 0.         0.48719513 0.16148421 0.06161379 0.34693792
 0.13751969 0.8734312  0.1738398  0.07151338 0.4128278  0.
 1.1417669  0.10917306 0.17932199 0.20062    0.7911449  0.44600198
 0.03052535 0.1672045  0.8881041  0.29999346 0.07140383 0.30528325
 0.5812932  0.57286125 0.0273867  0.15673788 0.4532938  0.11772198
 0.2350292  0.28979144 0.29827955 0.23254381 0.38154563 0.09132793
 0.46948057 0.07401273 0.         0.10112949 0.11072899 0.48404545
 0.40745148 0.6195393  0.218346   0.40591043 0.22019762 0.26787737
 0.         0.         0.         0.12802187 0.30700523 0.
 0.45943275 0.6455435  0.38642374 0.10140212 0.05481217 0.39421678
 0.4358031  0.16090682 0.4394809  0.9760399  0.03708456 0.096361
 0.8911285  0.04198621 0.67620593 0.06187635 0.4340628  0.48412767
 0.36397687 0.5030044  0.9040928  0.         0.37091485 0.
 0.523144   0.23940794 0.2865849  0.15601923 0.         0.00284482
 0.20779392 0.15724479]"
"8","Hulk","super-hero","https://en.wikipedia.org/wiki/Hulk_(film)","[0.06859057 0.71953577 0.94293565 0.         0.719703   0.
 0.9630193  1.1488549  0.         0.4394131  0.         0.01092883
 0.         0.47807762 0.         0.32741034 0.07207174 0.1281572
 0.25092837 0.09460618 0.         0.27026895 0.18749577 0.81620866
 0.04171173 1.269787   0.10505053 0.         0.04693708 0.620965
 0.4934245  0.3690588  0.42175803 0.06260438 0.00378393 0.21980336
 1.0230728  0.         0.8208645  0.00830712 0.1197058  0.04208194
 0.6362449  0.38633734 0.6428692  0.6345078  0.265715   0.04088532
 0.08799399 0.68988657 0.         0.6427875  0.3037786  0.
 0.02676708 0.5314789  0.3251125  0.38626826 0.6142638  0.44368055
 0.2670667  0.7078475  0.34809795 0.8598685  0.         0.3928482
 0.         0.17600827 0.         0.14299373 0.06148283 0.11375661
 0.40134424 0.         0.22191027 0.         0.5745258  0.
 0.7272807  0.21924987 0.74979323 0.24035716 0.21390283 0.19301346
 0.2925229  0.33123875 0.31874257 0.         0.2845517  0.
 0.54919267 0.18940113 0.2522322  0.21186249 0.25537977 0.51163846
 0.7926587  0.13382342 0.08446223 0.62181765 0.45980388 0.27667302
 0.28902477 0.15195516 0.76298046 0.8195806  0.         0.63345313
 0.5001083  0.34207967 0.66669923 0.68385977 1.050347   0.3556465
 0.374105   0.16915609 0.83100814 0.00337198 0.17238519 0.
 0.4683818  0.         0.02803092 0.44439557 0.         0.00933352
 0.12247588 0.20032342]"
"9","Teenage Mutant Ninja Turtles: Out of the Shadows","super-hero","https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows","[2.7653748e-01 0.0000000e+00 4.8105854e-01 0.0000000e+00 4.7168908e-01
 0.0000000e+00 2.9203925e-01 6.8481797e-01 1.4500853e-01 1.1785096e+00
 7.2756684e-01 5.8698189e-01 3.2022834e-01 6.0475415e-01 6.8689078e-02
 8.1408107e-01 0.0000000e+00 8.8431299e-02 3.9425081e-01 3.5047552e-01
 6.5870769e-04 0.0000000e+00 9.1910172e-01 0.0000000e+00 2.9068214e-01
 6.0956419e-01 0.0000000e+00 3.1743911e-01 5.0523686e-01 4.9872175e-01
 1.0784186e-01 3.6562344e-01 5.7561618e-01 1.2916408e-01 0.0000000e+00
 2.5761202e-01 5.1507795e-01 1.9298245e-01 3.1128857e-01 2.9167283e-01
 4.5386583e-02 6.3047402e-02 5.4542786e-01 0.0000000e+00 4.7069085e-01
 8.3865201e-01 3.2950521e-01 3.8042447e-01 1.1536332e+00 8.4424365e-01
 4.8438850e-01 0.0000000e+00 1.1792453e-01 8.8125482e-02 4.1554108e-01
 6.0378280e-03 1.3151850e-01 8.1287307e-01 5.6016946e-01 3.9322850e-01
 0.0000000e+00 5.8144277e-01 7.5982374e-01 7.0267463e-01 5.5480462e-01
 3.3438605e-01 9.1340356e-02 4.9582446e-01 1.7835587e-01 2.0674731e-01
 0.0000000e+00 9.1401704e-02 3.5261124e-01 1.8699190e-01 0.0000000e+00
 0.0000000e+00 5.0673497e-01 2.6510170e-01 4.8133719e-01 0.0000000e+00
 4.6387637e-01 5.0385571e-01 5.5966592e-01 7.4737638e-01 4.1467455e-01
 3.4132695e-01 5.4405320e-01 4.9000233e-02 0.0000000e+00 3.4727889e-01
 0.0000000e+00 7.5026087e-02 7.8463838e-02 5.1319383e-02 7.2532767e-01
 1.7190450e-01 8.4070182e-01 2.7994484e-01 9.9758708e-01 3.4121481e-01
 1.6954808e-01 3.0893487e-01 3.1385970e-01 8.9358002e-02 9.8058522e-01
 3.4510219e-01 0.0000000e+00 9.8311937e-01 7.7005789e-02 1.6492926e-01
 6.8239760e-01 1.5073742e-01 0.0000000e+00 1.2457050e-02 5.4667777e-01
 3.1354085e-01 1.4115660e+00 2.9687768e-01 3.6124748e-01 1.6534759e-01
 4.7817567e-01 1.3999003e-01 5.1682419e-01 2.4664180e-01 5.0730759e-01
 0.0000000e+00 5.2460685e-02 1.2897764e-01]"
