"id","title","label","URL","embedding"
"0","Bloodshot","super-hero","https://en.wikipedia.org/wiki/Bloodshot_(film)","[0.         0.         0.58556896 0.12511842 0.04903607 0.20266812
 0.46394828 0.534108   0.05583588 0.         0.8892129  0.48759997
 0.         0.16683298 0.         0.         0.         0.46859378
 0.4113069  0.18943621 1.0597901  0.2465504  0.5261874  0.
 0.31216604 0.19139235 0.18316586 0.06646294 0.11832665 0.17468435
 0.         0.6973925  0.02801518 0.32863578 0.         0.22790882
 0.         0.28556004 0.17534518 0.         0.4917983  0.23478007
 0.         0.         0.84896827 0.6901167  0.15385097 0.40374073
 0.         0.4614861  0.         0.44904852 0.05617486 0.72730434
 0.3614417  0.         0.24778575 0.         0.         0.1545933
 0.5285218  0.43871495 0.26692417 0.43733233 0.6220961  0.19107085
 0.5088005  0.23948058 0.434573   0.3865749  0.         0.36753243
 0.         0.1816698  0.26520327 0.33627996 0.5737228  0.17054494
 0.0632629  0.33007982 0.44784895 0.0968688  0.33590683 0.
 0.7037235  0.6469396  0.0602914  0.15893668 0.34130222 0.16713056
 0.11267635 0.08746426 0.24562168 0.93949854 0.         0.34150234
 0.24171205 0.         0.12269781 0.04649758 0.5052071  0.13567509
 0.50360936 0.69924134 0.164102   0.22602245 0.16072926 0.07332544
 0.28444627 0.13281688 0.04196696 0.43229815 0.09713806 0.28255597
 0.         0.10442425 0.28104907 0.43448833 0.44300747 0.
 0.7831072  0.04794567 0.04888803 0.07781975 0.15794483 0.02681375
 0.         0.07127634]"
"1","Watchmen","super-hero","https://en.wikipedia.org/wiki/Watchmen_(film)","[0.1269848  0.         0.51620895 0.         0.         0.
 0.42534488 0.3582681  0.         0.21610612 0.7059062  0.3664096
 0.         0.2733951  0.24538994 0.03385447 0.19557807 0.4412587
 0.28356782 0.1293882  0.31927362 0.5760115  0.24375224 0.38569707
 0.47294614 0.         0.35516906 0.14043534 0.75213045 0.22469097
 0.46107194 0.6449698  0.01960454 0.9976024  0.14157434 0.26709935
 0.         0.6782543  0.5097073  0.16071513 0.11775319 0.3402945
 0.5830553  0.48469687 0.67510104 0.11344018 0.2762337  0.
 0.         0.2051265  0.         0.22511017 0.         0.09401234
 0.33092216 0.4003959  0.6209524  0.         0.         0.
 0.8254238  0.5461781  0.         0.79258096 0.47421208 0.01602672
 1.0103172  0.2292967  0.62631947 0.55040556 0.6636512  0.6408432
 0.56682074 0.11200416 0.         0.06383667 0.11917243 0.
 0.57371736 0.05584831 0.3478471  0.158452   0.3699059  0.
 0.25000027 0.39897874 0.45458746 0.3314989  0.24655256 0.8998468
 0.         0.17671847 0.3965387  0.22944844 0.26411822 0.34043595
 0.74401754 0.285029   1.0185516  0.         0.849737   0.45681128
 0.48800075 0.35862574 0.92843056 0.         0.04546993 0.51428276
 0.6060095  0.04673786 0.5600977  0.24364582 0.         0.
 0.         0.17779697 0.2948704  0.09941483 0.06441633 0.24828333
 0.6385993  0.41175973 0.16958788 0.27147192 0.20041049 0.10886637
 0.5742056  0.03217562]"
"2","Superman II","super-hero","https://en.wikipedia.org/wiki/Superman_II","[0.47570112 0.         0.5472408  0.         0.         0.51569796
 0.70813894 0.51817894 0.10762621 0.23395278 0.822983   0.19974259
 0.         0.09659162 0.30275264 0.33183068 0.39915976 0.28422093
 0.38700017 0.02015404 0.0043145  0.         0.19644362 0.914313
 0.28003296 0.         0.21494602 0.         0.18707488 0.1753859
 0.         0.50318295 0.07976665 0.20140643 0.4553497  0.19105388
 0.19321153 0.33621478 0.76008147 0.         0.31974083 0.04457042
 0.7847741  0.02643611 0.6657037  0.16111103 0.1685988  0.408374
 0.1293985  0.26044974 0.4685399  0.38496923 0.02878822 0.18848608
 0.44428027 0.2612492  0.5251879  0.         0.5935808  0.2758779
 0.22300422 0.30769387 0.         0.         0.3680574  0.11323857
 0.3725685  0.17283261 0.46974337 0.05783914 0.29265758 0.0963758
 0.         0.00677376 0.12268928 0.00418436 0.09216768 0.4081279
 0.6121591  0.         0.71150696 0.         0.20844224 0.5991482
 0.19940145 0.1435042  0.29622722 0.04335382 0.0779965  0.08307387
 0.01567707 0.1101194  0.36910996 0.08387589 0.         0.49587756
 0.38271034 0.18520418 0.3966202  0.20458318 0.39194965 0.
 0.09132852 0.09230544 0.20507413 0.2789339  0.         0.00903865
 0.33814347 0.37444404 0.45906806 0.44192114 0.30724108 0.36105177
 0.         0.33510837 0.14619677 0.57487255 0.7889165  0.44421512
 0.4960996  0.         0.31832546 0.0998997  0.         0.06210063
 0.6335313  0.22874479]"
"3","Birds of Prey (And the Fantabulous Emancipation…","super-hero","https://en.wikipedia.org/wiki/Birds_of_Prey_(2020_film)","[1.17072344e-01 0.00000000e+00 5.28220475e-01 0.00000000e+00
 0.00000000e+00 0.00000000e+00 2.50935376e-01 6.12113103e-02
 0.00000000e+00 5.74370027e-02 6.95729434e-01 2.19198942e-01
 0.00000000e+00 2.52073407e-02 1.00727670e-01 0.00000000e+00
 2.97576487e-02 3.58570255e-02 2.88964003e-01 1.60013929e-01
 4.89081115e-01 3.73758793e-01 1.91678375e-01 2.32245341e-01
 5.50956964e-01 0.00000000e+00 4.94211584e-01 1.47428319e-01
 4.68450814e-01 2.60755539e-01 1.52119443e-01 5.31114221e-01
 0.00000000e+00 6.15588665e-01 0.00000000e+00 1.43745348e-01
 0.00000000e+00 2.15080962e-01 5.42209148e-01 4.24668074e-01
 4.28814590e-01 3.62934679e-01 2.02374458e-01 1.99416608e-01
 4.70344156e-01 4.85910058e-01 4.07615378e-02 9.12949666e-02
 0.00000000e+00 3.52529734e-01 0.00000000e+00 2.43442550e-01
 0.00000000e+00 2.85184801e-01 4.62680101e-01 0.00000000e+00
 4.38790530e-01 0.00000000e+00 0.00000000e+00 0.00000000e+00
 4.08597291e-01 2.37372577e-01 7.96954557e-02 4.93328482e-01
 2.72097349e-01 7.36946166e-02 9.04792964e-01 1.61442474e-01
 2.37159774e-01 3.12729061e-01 3.26948076e-01 5.69503367e-01
 0.00000000e+00 0.00000000e+00 1.38886407e-01 2.05577075e-01
 5.06554067e-01 0.00000000e+00 3.62533957e-01 1.11391574e-01
 3.88049543e-01 0.00000000e+00 3.45411927e-01 9.30450037e-02
 2.41077229e-01 2.95154005e-01 9.61047187e-02 9.87571031e-02
 3.76732439e-01 2.81468809e-01 2.85625756e-01 1.16079390e-01
 1.28731206e-01 3.83278042e-01 4.44832034e-02 4.51345384e-01
 3.44755322e-01 0.00000000e+00 4.41789567e-01 2.11785913e-01
 4.54800516e-01 3.98887843e-01 4.21082854e-01 7.97324032e-02
 4.11924541e-01 7.95225352e-02 2.68047512e-01 0.00000000e+00
 2.25244820e-01 5.89254722e-02 4.03099716e-01 1.76481649e-01
 0.00000000e+00 0.00000000e+00 0.00000000e+00 0.00000000e+00
 1.01895556e-01 1.91754431e-01 2.27529094e-01 3.05841178e-01
 3.76351029e-01 3.08078051e-01 2.79325340e-02 1.12785451e-01
 4.10692766e-04 0.00000000e+00 2.72632360e-01 2.23485101e-02]"
"4","Green Lantern","super-hero","https://en.wikipedia.org/wiki/Green_Lantern_(film)","[0.08657268 0.         0.5016614  0.01332101 0.         0.
 0.24792531 0.1408195  0.0706514  0.01056948 0.7615965  0.32914186
 0.         0.00617245 0.14255981 0.         0.00928949 0.
 0.22352736 0.1349467  0.4487612  0.35847145 0.20630649 0.27619863
 0.4481162  0.         0.40520304 0.10027844 0.55965805 0.27491105
 0.12850423 0.40796158 0.         0.567564   0.         0.15447663
 0.         0.3195697  0.5846138  0.3619647  0.4215821  0.41646507
 0.18556088 0.11187645 0.32074377 0.4721696  0.         0.03213373
 0.         0.27981773 0.00353757 0.18107904 0.         0.21203578
 0.41890848 0.10415142 0.4736872  0.         0.         0.07256908
 0.44124603 0.25154442 0.07970258 0.36968777 0.26215515 0.0458007
 0.9592534  0.23238248 0.29223478 0.2767469  0.36669123 0.64412874
 0.0690807  0.07566386 0.18152921 0.23912367 0.48388454 0.
 0.40414646 0.04049513 0.32920158 0.01253596 0.33306047 0.19896755
 0.21465255 0.24274246 0.21773206 0.05727891 0.29403776 0.35911325
 0.21970785 0.09034862 0.12979794 0.2934384  0.11536366 0.4940637
 0.4761313  0.         0.4497815  0.1528725  0.4305884  0.42623073
 0.3873279  0.17208616 0.4276868  0.11654673 0.15309158 0.
 0.28601775 0.05604416 0.38754922 0.17238536 0.         0.
 0.         0.         0.26754743 0.25497967 0.22476842 0.24967909
 0.46288073 0.27457455 0.0937885  0.12474296 0.08342222 0.02087366
 0.22338413 0.04140649]"
"5","The Green Hornet","super-hero","https://en.wikipedia.org/wiki/The_Green_Hornet_(2011_film)","[0.         0.         0.2907813  0.32930228 0.02794877 0.71763647
 0.698844   0.         0.         0.         0.41600952 0.17301868
 0.         0.22094645 0.48677123 0.2167034  0.19075821 0.37182704
 0.         0.49015492 0.45192114 0.09946603 0.         0.14121708
 0.         0.22092421 0.         0.09030812 0.37328303 0.06232586
 0.18063751 0.4339777  0.599564   0.05630047 0.18486395 0.13133457
 0.         0.2772898  0.0516595  0.23588888 0.02739544 0.23147151
 0.01499472 0.3054604  0.01482385 0.13092361 0.14806357 0.13860898
 0.05531564 0.06472594 0.0096545  0.74587727 0.19295184 0.38652614
 0.43700683 0.4182145  0.         0.         0.45997173 0.24384391
 0.06603815 0.5690547  0.13355666 0.38171056 0.3663301  0.11131547
 0.02858793 0.160574   0.38427332 0.24753915 0.02725297 0.83054954
 0.29910785 0.         0.30519742 0.0386738  0.61073023 0.08771901
 0.54608333 0.         0.1811558  0.01496773 0.         0.09712214
 0.479722   0.43480733 0.30668166 0.19061781 0.         0.23759577
 0.17225619 0.16008027 0.08247931 0.10890074 0.26297498 0.21092665
 0.1862971  0.         0.16685908 0.         0.14872375 0.00256305
 0.08486054 0.         0.5111703  0.         0.27774867 0.3028478
 0.1371325  0.40295348 0.26117226 0.30390948 0.05525818 0.25643703
 0.         0.826847   0.17968193 0.3645853  0.59467036 0.34868598
 0.14427626 0.08289339 0.95621467 0.52097005 0.01034874 0.6245468
 0.5840079  0.06650251]"
"6","Ghost Rider","super-hero","https://en.wikipedia.org/wiki/Ghost_Rider_(2007_film)","[0.         0.         0.         0.         0.02207347 0.08257623
 0.5277322  0.74813205 0.23239058 0.02383706 1.2745341  1.1106756
 0.         0.         0.5769793  0.20014423 0.4293119  0.09574759
 0.76112205 0.22877598 0.98744404 0.58474743 0.         0.37957698
 0.04727244 0.46371743 0.         0.         0.0035903  0.01538814
 0.5206764  0.46138015 0.         0.         0.16747667 0.3103354
 0.00655726 0.43234205 0.45790115 0.01731559 0.23695733 0.16052863
 0.6798908  0.05691808 0.9444657  0.43983063 0.23355322 0.7466437
 0.         0.88974154 0.28756565 0.65896803 0.         0.21496665
 0.26165983 0.         0.         0.         0.51212966 0.19771193
 0.         0.         0.05507753 0.         1.4142567  0.11343169
 0.17515133 0.31743783 0.65064716 0.05124106 0.         0.88433945
 0.5778133  0.         0.2626547  0.35457858 0.8452492  0.05034048
 1.1771322  0.         0.3922063  0.18407091 0.10116403 0.18148701
 0.36698154 0.15231393 0.55103266 0.         0.         0.22832847
 0.47417992 0.         0.21720144 0.79236907 0.22431988 0.10045771
 0.3830275  0.03107379 0.         0.151982   0.343118   0.
 0.64515674 0.44275346 0.15721762 0.14538302 0.         0.16672412
 0.         0.10020372 0.59875023 0.6775498  0.07623143 1.3414499
 0.         0.         0.         0.21794935 0.61327744 0.
 0.6234073  0.5343801  0.         0.         0.         0.20796888
 0.49234843 0.35837168]"
"7","Batman & Robin","super-hero","https://en.wikipedia.org/wiki/Batman_%26_Robin_(film)","[3.1976368e-02 0.0000000e+00 4.1113856e-01 0.0000000e+00 0.0000000e+00
 0.0000000e+00 2.6757922e-02 2.4930699e-01 1.4749223e-01 0.0000000e+00
 7.0079041e-01 4.5237982e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00
 8.5621119e-02 0.0000000e+00 1.4544996e-02 5.1723993e-01 1.8174893e-01
 4.3709338e-01 1.1707805e-01 1.6868788e-01 1.6806638e-01 8.2085764e-01
 1.9674990e-02 5.0890791e-01 9.6852705e-02 6.3538915e-01 1.8613103e-01
 9.1453023e-02 4.2229155e-01 3.5050839e-02 5.4185683e-01 0.0000000e+00
 2.4019738e-01 0.0000000e+00 4.1469905e-01 6.4044750e-01 3.5296661e-01
 2.3288961e-01 4.5363623e-01 2.5912496e-01 6.4939417e-02 3.4118459e-01
 6.1517739e-01 0.0000000e+00 9.8644726e-02 0.0000000e+00 2.1679774e-01
 8.4007233e-02 2.3960030e-01 0.0000000e+00 1.4812659e-01 4.7942182e-01
 1.2392457e-01 6.0750586e-01 0.0000000e+00 0.0000000e+00 0.0000000e+00
 4.9776733e-01 2.8077379e-01 2.7789527e-01 2.1981086e-01 4.6925634e-01
 1.3632086e-01 9.5058924e-01 3.0945657e-02 4.4527724e-01 3.6674830e-01
 1.4481215e-01 6.9411558e-01 0.0000000e+00 5.2976768e-02 3.7238118e-01
 2.5321057e-01 1.0189948e+00 0.0000000e+00 2.1572217e-01 1.9329943e-02
 4.3234286e-01 0.0000000e+00 4.0002614e-01 0.0000000e+00 3.2933301e-01
 2.5093412e-01 0.0000000e+00 2.1959074e-01 2.9489106e-01 7.6559603e-01
 3.4208775e-01 1.5698633e-01 2.1326218e-02 5.2785035e-05 2.9012722e-01
 6.3785690e-01 3.3925465e-01 0.0000000e+00 6.1857194e-01 1.1371425e-01
 1.7587629e-01 5.4381198e-01 2.7988103e-01 5.6614980e-02 4.7025627e-01
 1.8332972e-01 1.1796829e-01 0.0000000e+00 2.9753631e-01 9.7238675e-02
 1.7758769e-01 1.8688276e-01 0.0000000e+00 1.1645200e-02 0.0000000e+00
 0.0000000e+00 3.7638721e-01 3.4183059e-02 8.0328964e-02 9.5430337e-02
 1.9262706e-01 8.6674012e-02 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 4.3247426e-01 1.3078173e-01]"
"8","Hulk","super-hero","https://en.wikipedia.org/wiki/Hulk_(film)","[0.06742831 0.         0.09468717 0.11117977 0.         0.
 0.16781232 0.3363162  0.23358917 0.         0.         0.7147168
 0.         0.         0.7745992  0.17149574 0.5265938  0.52478135
 0.         0.30309078 0.3982788  0.2733421  0.         0.15543298
 0.         0.08057432 0.         0.         0.54339117 0.31106958
 0.11374521 0.33656946 0.08353256 0.12948798 0.         0.15472095
 0.44365093 0.45065644 0.7086237  0.18262579 0.6342072  0.2203008
 0.5658576  0.71223485 0.5914419  0.47324806 0.20137922 0.
 0.         0.45447162 0.08211377 0.28403994 0.         0.
 0.         0.         0.         0.         0.58602893 0.
 0.         0.         0.         0.7433603  0.982222   0.
 0.36458963 0.61778426 0.36595565 0.21079685 0.         0.19893876
 1.3485731  0.08435169 0.         1.065615   0.         0.0940244
 0.75014263 0.         0.         0.06668919 0.         0.34363377
 0.3413869  0.57318985 1.0681041  0.10292456 0.         0.403252
 0.27157795 0.0054192  0.31989187 0.50033784 0.14172162 0.
 0.57013255 0.20445766 0.3737774  0.31686455 0.33773512 0.863331
 0.5819262  0.2046047  0.82906044 0.         0.00426462 0.5591615
 0.2603722  0.49153006 0.7369447  0.72262025 0.10441303 0.93689466
 0.         0.         0.         0.739171   0.03734238 0.18798709
 0.5309826  1.1164926  0.         0.         0.14705408 0.
 0.15745954 0.        ]"
"9","Teenage Mutant Ninja Turtles: Out of the Shadows","super-hero","https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows","[0.11101894 0.         0.40826938 0.16004993 0.0932433  0.
 0.         0.49141562 0.         0.11472367 0.2928761  0.28426805
 0.         0.         0.10823888 0.4766567  0.         0.10649317
 0.         0.5951189  0.38642678 0.25065705 0.41814268 0.06876273
 0.60522056 0.         0.31388384 0.574388   0.49873695 0.31032714
 0.16280665 0.45620397 0.30396307 0.37679413 0.         0.05007131
 0.         0.3787961  0.3696639  0.         0.4462761  0.43048498
 0.02904144 0.648426   0.34505    0.33043304 0.21785612 0.
 0.         0.5274936  0.16709408 0.03609214 0.         0.16756175
 0.6171543  0.04807781 0.26512775 0.         0.07983748 0.49188846
 0.36054692 0.51163524 0.20677574 0.6796638  0.0872764  0.256073
 1.3545257  0.24034624 0.61328024 0.3255386  0.62253004 0.6034353
 0.16570601 0.         0.26977566 0.4559463  0.22540583 0.20349324
 0.         0.28884596 0.4684419  0.11203436 0.41441867 0.8696963
 0.38184384 0.8649084  0.         0.86636496 0.9499468  0.32992795
 0.14518102 0.         0.19254787 0.5431437  0.11437802 0.7171876
 0.4203345  0.02591136 0.33574128 0.         0.38101488 0.25025326
 0.5642143  0.18096116 0.09069181 0.012148   0.07295636 0.38689953
 0.5148775  0.         0.44449487 0.         0.12215923 0.4842584
 0.         0.23979528 0.41381797 0.8520186  0.20271946 0.44488722
 0.5953595  0.5443311  0.06211836 0.0507157  0.44191578 0.
 0.04483724 0.        ]"
