"id","title","label"
"0","Avengers: Endgame","super-hero"
"1","Avengers: Infinity War","super-hero"
"2","The Avengers","super-hero"
"3","Avengers: Age of Ultron","super-hero"
"4","Black Panther","super-hero"
"5","Iron Man 3","super-hero"
"6","Captain America: Civil War","super-hero"
"7","Aquaman","super-hero"
"8","Captain Marvel","super-hero"
"9","Spider-Man: Far From Home","super-hero"
"10","The Dark Knight Rises","super-hero"
"11","The Dark Knight","super-hero"
"12","Spider-Man 3","super-hero"
"13","Spider-Man: Homecoming","super-hero"
"14","Batman v Superman: Dawn of Justice","super-hero"
"15","Guardians of the Galaxy Vol 2","super-hero"
"16","Thor: Ragnarok","super-hero"
"17","Venom","super-hero"
"18","Spider-Man","super-hero"
"19","Wonder Woman","super-hero"
"20","Spider-Man 2","super-hero"
"21","Deadpool 2","super-hero"
"22","Deadpool","super-hero"
"23","Guardians of the Galaxy","super-hero"
"24","The Amazing Spider-Man","super-hero"
"25","X-Men: Days of Future Past","super-hero"
"26","Suicide Squad","super-hero"
"27","Captain America: The Winter Soldier","super-hero"
"28","The Amazing Spider-Man 2","super-hero"
"29","Doctor Strange","super-hero"
"30","Man of Steel","super-hero"
"31","Justice League","super-hero"
"32","Big Hero 6","super-hero"
"33","Thor: The Dark World","super-hero"
"34","Hancock","super-hero"
"35","Ant-Man and the Wasp","super-hero"
"36","Iron Man 2","super-hero"
"37","Logan","super-hero"
"38","Iron Man","super-hero"
"39","X-Men: Apocalypse","super-hero"
"40","Ant-Man","super-hero"
"41","Teenage Mutant Ninja Turtles","super-hero"
"42","X-Men: The Last Stand","super-hero"
"43","Thor","super-hero"
"44","The Wolverine","super-hero"
"45","Batman","super-hero"
"46","X-Men 2","super-hero"
"47","Superman Returns","super-hero"
"48","X-Men Origins: Wolverine","super-hero"
"49","Spider-Man: Into The Spider-Verse 3D","super-hero"
"50","Captain America: The First Avenger","super-hero"
"51","Shazam!","super-hero"
"52","Batman Begins","super-hero"
"53","X-Men: First Class","super-hero"
"54","The Mask","super-hero"
"55","Batman Forever","super-hero"
"56","Fantastic Four","super-hero"
"57","Superman","super-hero"
"58","X-Men","super-hero"
"59","Fantastic Four: Rise of the Silver Surfer","super-hero"
"60","Batman Returns","super-hero"
"61","The Incredible Hulk","super-hero"
"62","Unbreakable","super-hero"
"63","Dark Phoenix","super-hero"
"64","Teenage Mutant Ninja Turtles: Out of the Shadows","super-hero"
"65","Hulk","super-hero"
"66","Batman & Robin","super-hero"
"67","Ghost Rider","super-hero"
"68","The Green Hornet","super-hero"
"69","Green Lantern","super-hero"
"70","Birds of Prey (And the Fantabulous Emancipation…","super-hero"
"71","Superman II","super-hero"
"72","Watchmen","super-hero"
"73","Daredevil","super-hero"
"74","The League of Extraordinary Gentlemen","super-hero"
"75","Jian Bing Man","super-hero"
"76","The Fantastic Four","super-hero"
"77","Dick Tracy","super-hero"
"78","Hellboy II: The Golden Army","super-hero"
"79","Blade 2","super-hero"
"80","Blade: Trinity","super-hero"
"81","Blade","super-hero"
"82","Hellboy","super-hero"
"83","Sky High","super-hero"
"84","Catwoman","super-hero"
"85","Superman III","super-hero"
"86","Superhero Movie","super-hero"
"87","My Super Ex-Girlfriend","super-hero"
"88","Elektra","super-hero"
"89","The Punisher","super-hero"
"90","Astro Boy","super-hero"
"91","Hellboy","super-hero"
"92","The Spirit","super-hero"
"93","Superman IV: The Quest for Peace","super-hero"
"94","Mystery Men","super-hero"
"95","BrightBurn","super-hero"
"96","Darkman","super-hero"
"97","The Shadow","super-hero"
"98","Boku no Hīrō Akademia The Movie Hīrōzu: Raijing…","super-hero"
"99","Bloodshot","super-hero"
"100","The Lion King","kids-fiction"
"101","Frozen II","kids-fiction"
"102","Frozen","kids-fiction"
"103","Incredibles 2","kids-fiction"
"104","Minions","kids-fiction"
"105","Toy Story 4","kids-fiction"
"106","Toy Story 3","kids-fiction"
"107","Despicable Me 3","kids-fiction"
"108","Finding Dory","kids-fiction"
"109","Zootopia","kids-fiction"
"110","The Lion King","kids-fiction"
"111","Despicable Me 2","kids-fiction"
"112","Finding Nemo","kids-fiction"
"113","Shrek 2","kids-fiction"
"114","The Secret Life of Pets","kids-fiction"
"115","Ice Age: Dawn of the Dinosaurs","kids-fiction"
"116","Inside Out","kids-fiction"
"117","Shrek the Third","kids-fiction"
"118","Coco","kids-fiction"
"119","ET: The Extra-Terrestrial","kids-fiction"
"120","Shrek Forever After","kids-fiction"
"121","Madagascar 3: Europe's Most Wanted","kids-fiction"
"122","Monsters University","kids-fiction"
"123","Kung Fu Panda 2","kids-fiction"
"124","Ice Age: The Meltdown","kids-fiction"
"125","Moana","kids-fiction"
"126","Sing","kids-fiction"
"127","Kung Fu Panda","kids-fiction"
"128","The Incredibles","kids-fiction"
"129","Ratatouille","kids-fiction"
"130","Madagascar: Escape 2 Africa","kids-fiction"
"131","Tangled","kids-fiction"
"132","Night at the Museum","kids-fiction"
"133","The Croods","kids-fiction"
"134","The Smurfs","kids-fiction"
"135","Cars 2","kids-fiction"
"136","Monsters, Inc.","kids-fiction"
"137","Madagascar","kids-fiction"
"138","Puss in Boots","kids-fiction"
"139","Brave","kids-fiction"
"140","Despicable Me","kids-fiction"
"141","Ralph Breaks The Internet","kids-fiction"
"142","The Boss Baby","kids-fiction"
"143","Hotel Transylvania 3: Summer Vacation","kids-fiction"
"144","How to Train Your Dragon: The Hidden World","kids-fiction"
"145","Kung Fu Panda 3","kids-fiction"
"146","Dr. Seuss’ The Grinch","kids-fiction"
"147","Toy Story 2","kids-fiction"
"148","Wreck-It Ralph","kids-fiction"
"149","Rio 2","kids-fiction"
"150","Shrek","kids-fiction"
"151","Rio","kids-fiction"
"152","Charlie and the Chocolate Factory","kids-fiction"
"153","Hotel Transylvania 2","kids-fiction"
"154","The Lego Movie","kids-fiction"
"155","Cars","kids-fiction"
"156","Alvin and the Chipmunks: The Squeakquel","kids-fiction"
"157","The Secret Life of Pets 2","kids-fiction"
"158","Pokémon: Detective Pikachu","kids-fiction"
"159","Ice Age: Collision Course","kids-fiction"
"160","Ice Age","kids-fiction"
"161","Home","kids-fiction"
"162","Happy Feet","kids-fiction"
"163","Cars 3","kids-fiction"
"164","Monsters vs. Aliens","kids-fiction"
"165","Hotel Transylvania","kids-fiction"
"166","Shark Tale","kids-fiction"
"167","Penguins of Madagascar","kids-fiction"
"168","Toy Story","kids-fiction"
"169","Alvin and the Chipmunks","kids-fiction"
"170","Dinosaur","kids-fiction"
"171","Dumbo","kids-fiction"
"172","The Angry Birds Movie","kids-fiction"
"173","Doctor Seuss' The Lorax","kids-fiction"
"174","Mary Poppins Returns","kids-fiction"
"175","Alvin and the Chipmunks: Chipwrecked","kids-fiction"
"176","The Smurfs 2","kids-fiction"
"177","Peter Rabbit","kids-fiction"
"178","How the Grinch Stole Christmas","kids-fiction"
"179","Trolls","kids-fiction"
"180","Over the Hedge","kids-fiction"
"181","The Good Dinosaur","kids-fiction"
"182","Bolt","kids-fiction"
"183","Megamind","kids-fiction"
"184","The Polar Express","kids-fiction"
"185","The SpongeBob Movie: Sponge Out of Water","kids-fiction"
"186","The Lego Batman Movie","kids-fiction"
"187","Chicken Little","kids-fiction"
"188","Rise of the Guardians","kids-fiction"
"189","Sonic The Hedgehog","kids-fiction"
"190","101 Dalmatians","kids-fiction"
"191","Hook","kids-fiction"
"192","Stuart Little","kids-fiction"
"193","Doctor Dolittle","kids-fiction"
