"id","URL","title"
"0","https://en.wikipedia.org/wiki/Bloodshot_(film)","Bloodshot (film)"
"1","https://en.wikipedia.org/wiki/Kevin_VanHook","Kevin VanHook"
"2","https://en.wikipedia.org/wiki/Valiant_Comics","Valiant Comics"
"3","https://en.wikipedia.org/wiki/Comic_books","Comic book"
"4","https://en.wikipedia.org/wiki/Marvel_Comics","Marvel Comics"
"5","https://en.wikipedia.org/wiki/Jim_Shooter","Jim Shooter"
"6","https://en.wikipedia.org/wiki/Bloodshot_(comics)","Bloodshot (comics)"
"7","https://en.wikipedia.org/wiki/Superhero","Superhero"
"8","https://en.wikipedia.org/wiki/Don_Perlin","Don Perlin"
"9","https://en.wikipedia.org/wiki/Superhero_film","Superhero film"
"10","https://en.wikipedia.org/wiki/Action_film","Action film"
"11","https://en.wikipedia.org/wiki/Adventure_film","Adventure film"
"12","https://en.wikipedia.org/wiki/Bob_Layton","Bob Layton"
"13","https://en.wikipedia.org/wiki/Hercules_(Marvel_Comics)","Hercules (Marvel Comics)"
"14","https://en.wikipedia.org/wiki/Iron_Man_(comic_book)","Iron Man (comic book)"
"15","https://en.wikipedia.org/wiki/Watchmen_(film)","Watchmen (film)"
"16","https://en.wikipedia.org/wiki/Watchmen","Watchmen"
"17","https://en.wikipedia.org/wiki/Comic_book","Comic book"
"18","https://en.wikipedia.org/wiki/Alan_Moore","Alan Moore"
"19","https://en.wikipedia.org/wiki/Limited_series_(comics)","Limited series (comics)"
"20","https://en.wikipedia.org/wiki/List_of_films_based_on_DC_Comics_publications","List of films based on DC Comics publications"
"21","https://en.wikipedia.org/wiki/List_of_television_series_based_on_DC_Comics_publications","List of television series based on DC Comics publications"
"22","https://en.wikipedia.org/wiki/American_comic_book","American comic book"
"23","https://en.wikipedia.org/wiki/List_of_DC_Comics_characters","Lists of DC Comics characters"
"24","https://en.wikipedia.org/wiki/List_of_video_games_based_on_DC_Comics","List of video games based on DC Comics"
"25","https://en.wikipedia.org/wiki/DC_Comics","DC Comics"
"26","https://en.wikipedia.org/wiki/List_of_films_set_on_Mars","List of films set on Mars"
"27","https://en.wikipedia.org/wiki/Martian_canals","Martian canal"
