"id","title","label","URL"
"0","Bloodshot","super-hero","https://en.wikipedia.org/wiki/Bloodshot_(film)"
"1","Watchmen","super-hero","https://en.wikipedia.org/wiki/Watchmen_(film)"
"2","Superman II","super-hero","https://en.wikipedia.org/wiki/Superman_II"
"3","Birds of Prey (And the Fantabulous Emancipation…","super-hero","https://en.wikipedia.org/wiki/Birds_of_Prey_(2020_film)"
"4","Green Lantern","super-hero","https://en.wikipedia.org/wiki/Green_Lantern_(film)"
"5","The Green Hornet","super-hero","https://en.wikipedia.org/wiki/The_Green_Hornet_(2011_film)"
"6","Ghost Rider","super-hero","https://en.wikipedia.org/wiki/Ghost_Rider_(2007_film)"
"7","Batman & Robin","super-hero","https://en.wikipedia.org/wiki/Batman_%26_Robin_(film)"
"8","Hulk","super-hero","https://en.wikipedia.org/wiki/Hulk_(film)"
"9","Teenage Mutant Ninja Turtles: Out of the Shadows","super-hero","https://en.wikipedia.org/wiki/Teenage_Mutant_Ninja_Turtles:_Out_of_the_Shadows"
"10","Unbreakable","super-hero","https://en.wikipedia.org/wiki/Unbreakable_(film)"
"11","Shazam!","super-hero","https://en.wikipedia.org/wiki/Shazam!_(film)"
"12","The Incredible Hulk","super-hero","https://en.wikipedia.org/wiki/The_Incredible_Hulk_(film)"
"13","Fantastic Four: Rise of the Silver Surfer","super-hero","https://en.wikipedia.org/wiki/Fantastic_Four:_Rise_of_the_Silver_Surfer"
"14","X-Men","super-hero","https://en.wikipedia.org/wiki/X-Men_(film)"
"15","Superman","super-hero","https://en.wikipedia.org/wiki/Superman_(1978_film)"
"16","Fantastic Four","super-hero","https://en.wikipedia.org/wiki/Fantastic_Four_(2005_film)"
"17","Batman Forever","super-hero","https://en.wikipedia.org/wiki/Batman_Forever"
"18","The Mask","super-hero","https://en.wikipedia.org/wiki/The_Mask_(1994_film)"
"19","X-Men: First Class","super-hero","https://en.wikipedia.org/wiki/X-Men:_First_Class"
"20","Batman Begins","super-hero","https://en.wikipedia.org/wiki/Batman_Begins"
"21","Daredevil","super-hero","https://en.wikipedia.org/wiki/Daredevil_(film)"
"22","Spider-Man: Into The Spider-Verse 3D","super-hero","https://en.wikipedia.org/wiki/Spider-Man:_Into_the_Spider-Verse"
"23","The League of Extraordinary Gentlemen","super-hero","https://en.wikipedia.org/wiki/The_League_of_Extraordinary_Gentlemen_(film)"
"24","Batman Returns","super-hero","https://en.wikipedia.org/wiki/Batman_Returns"
"25","Jian Bing Man","super-hero","https://en.wikipedia.org/wiki/Jian_Bing_Man"
"26","Elektra","super-hero","https://en.wikipedia.org/wiki/Elektra_(2005_film)"
"27","Darkman","super-hero","https://en.wikipedia.org/wiki/Darkman"
"28","BrightBurn","super-hero","https://en.wikipedia.org/wiki/Brightburn"
"29","Mystery Men","super-hero","https://en.wikipedia.org/wiki/Mystery_Men"
"30","Superman IV: The Quest for Peace","super-hero","https://en.wikipedia.org/wiki/Superman_IV:_The_Quest_for_Peace"
"31","The Spirit","super-hero","https://en.wikipedia.org/wiki/The_Spirit_(film)"
"32","Hellboy","super-hero","https://en.wikipedia.org/wiki/Hellboy_(2019_film)"
"33","Astro Boy","super-hero","https://en.wikipedia.org/wiki/Astro_Boy_(film)"
"34","The Punisher","super-hero","https://en.wikipedia.org/wiki/The_Punisher_(2004_film)"
"35","The Shadow","super-hero","https://en.wikipedia.org/wiki/The_Shadow_(1994_film)"
"36","Captain America: The First Avenger","super-hero","https://en.wikipedia.org/wiki/Captain_America:_The_First_Avenger"
"37","Sky High","super-hero","https://en.wikipedia.org/wiki/Sky_High_(2005_film)"
"38","Superhero Movie","super-hero","https://en.wikipedia.org/wiki/Superhero_Movie"
"39","Superman III","super-hero","https://en.wikipedia.org/wiki/Superman_III"
"40","Catwoman","super-hero","https://en.wikipedia.org/wiki/Catwoman_(film)"
"41","Hellboy","super-hero","https://en.wikipedia.org/wiki/Hellboy_(2004_film)"
"42","Blade","super-hero","https://en.wikipedia.org/wiki/Blade_(film)"
